ID,Location,Batch,New_Alerts,Temperature,Flow,Conductivity,Ozone,Combo_Change,Plant
1,Ctrl RM 20,Dosing Station,"6,29","9,4,1,19,14,17,5,14,12,8,9,31,31,11,3,13,24,29,15,7","2.572943363143131,4.163635993564967,6.6712417922378515,3.2019294410781005,3.8860060676466675,3.3456436702935024,6.408713737998624,2.132670921308454,5.814073843488004,0.439292638998013,6.956171017307788,3.552283790151123,1.374385130389128,2.9930446573370135,1.9278190217143856,6.350961046197917,2.7684329615021124,4.12618732997682,5.348499784788583,7.107387781569269","110,40,146,88,17,180,144,103,75,30,121,45,205,140,62,205,1,203,40,193","0.9915599737549201,0.8511202019173653,1.0375098648481071,0.7868512214859947,0.16507902017328888,1.0396414397750051,0.8664696170482785,0.5642298937309533,0.9076437627198175,0.3950142163317651,0.4685366224264726,0.3441601349040866,1.055478267511353,0.6004003439797089,0.18001264885533602,1.2007568251108751,0.40408375491388143,0.36698983816895636,0.08521270803175866,1.2715117117157206","1,-1,0,1,-1,-1,1,0,0,0",Tokyo
2,Ctrl RM 44,Treated Water,"0,22","24,19,12,6,4,9,17,1,25,16,29,19,18,0,5,6,13,15,17,14","2.2201500363717788,6.4108171666273845,2.7270443198503926,5.8000130758062,1.7993545370432549,3.4306160716619343,6.6634412139700725,1.9691571018146352,2.2743711082590745,7.198636570130475,4.5811420136806555,5.17256569941761,7.368527064637747,4.572740683294833,5.8832349022827115,0.5847192228958011,6.786584357188549,6.302023795032874,7.354397411283571,1.727330394817982","169,99,148,28,11,201,164,150,177,71,188,129,153,204,177,178,177,14,195,130","0.5487911480944604,0.5698435534955933,0.26162703996524217,0.24807719145901502,1.0079045075690374,0.18076776270754635,0.6972614327911287,0.3507537490921095,0.9843385041225702,0.039293219009414314,0.45426322806160896,1.2438532126368955,0.291019349382259,1.1942099377280102,0.26686344381887467,0.5001554541056976,1.0710616608150303,0.4546571477083489,0.8925327488221229,0.533582997880876","0,-1,-1,-1,-1,0,0,0,1,-1",Tokyo
3,Ctrl RM 42,Phosphoric Acid,"7,22","28,31,8,24,25,21,9,24,8,7,3,3,10,15,10,5,7,8,22,12","5.74340792789124,6.768421207643114,0.8126584377023391,1.748586291349493,3.281800083492417,4.999683880538214,7.459466811784077,3.038691716787871,1.671559980371967,0.44207891924772413,4.414426060570404,0.34107306277612226,0.8425586126977578,7.7511292564729235,3.3494607260613702,1.0085403564199806,3.9124186936346814,0.878360497772228,0.5455539910076186,6.832611814227421","179,51,187,97,3,195,3,185,104,136,93,115,195,54,148,84,187,187,52,9","0.22312028668820857,0.328627087851055,0.017448919010348618,1.2849276147084312,0.3768747586989775,1.215167375211604,0.6480984299676493,1.1355263413162902,0.9698155235964805,0.5823495367309078,0.9988179556559772,1.2028833340853453,0.7659201586153358,0.0922533385688439,0.5297046303749084,0.3384653281886131,1.2234709621872752,0.3595549689605832,1.14760405770503,0.20673246996011585","1,0,-1,0,-1,0,1,1,0,1",Tokyo
4,Ctrl RM 21,Particulate Remover,"5,32","29,4,18,26,15,18,14,28,5,4,17,30,9,21,7,31,22,4,16,24","3.6152390031074173,6.42488257021876,2.4892921792599374,5.814050312340259,0.6404416727926582,5.107174957790412,2.279038224646356,0.9787091694143601,1.6703708621254192,2.148203508425504,4.7796863062446935,1.703849129609298,5.315958927241154,0.824842266610358,4.206856898481492,3.2256155290314927,5.978017204559874,6.788036557722371,7.500443290937692,0.35891768329078333","107,3,88,90,168,149,208,165,6,197,106,60,207,128,194,166,171,190,116,28","0.008728869701735675,0.3830733230337501,0.495100178103894,0.7700594754889608,0.8595518872374669,0.5790061273844913,1.2366853615269064,0.8282374116359279,0.6430438183480874,1.1173867026809603,0.2007623208453879,0.25850945580750706,0.6066244944464415,1.1969306265935302,0.24483522707596422,0.8689233734738082,0.049165721191093324,0.28890725765377284,0.7869976165238768,0.40944532928988336","1,1,1,-1,0,-1,-1,0,1,0",Tokyo
5,Ctrl RM 6,Batch Tank,"4,22","4,24,17,2,12,0,19,4,5,8,2,20,24,10,15,30,0,22,9,2","5.4511315339966675,4.774762646583841,2.542801573916804,2.0137012649839745,7.119248579479754,6.075038945090491,1.1968110975879245,5.240209029878024,6.072239506819751,0.3418379283254035,4.850861950516701,7.648742352866102,6.842427973242011,5.163492044943851,2.703047564565204,0.5898431475250981,2.5340772422985176,7.233445838505868,2.882867794150952,2.1626792123378253","49,8,60,70,33,175,27,165,104,51,112,21,144,71,13,175,120,203,152,41","1.2667882817797362,0.3984856392722577,0.3043709341203794,0.9836578455753625,1.0798070065909997,0.42718316649552435,0.5315031609265134,0.960679380921647,0.9085258925333619,0.3852859226288274,1.2359660934424028,0.8856376888230443,0.007822679867967964,0.8327373512554914,0.016394991148263215,0.40266256108880044,0.9322684500366449,0.3698944395408034,0.2830780408112332,1.1680751011008397","1,1,0,0,0,0,0,1,-1,1",Tokyo
6,Ctrl RM 45,Carbonator,"2,32","31,8,8,22,12,11,27,1,26,14,23,9,20,30,25,7,24,30,1,6","1.9806600770819933,7.9299845359916805,0.2991963651403785,6.9241118571814155,0.6058878352213651,4.095305886215065,1.875759699388873,0.0084340812638402,0.443357144810725,0.608011066922918,1.6686744819837622,2.758687985651195,0.4608030771021731,7.485649242165964,2.731267250245437,4.3575778064504265,6.141015448402613,1.0713946936954744,1.5929314008215443,0.5635597521672026","130,34,34,142,87,181,33,32,197,149,97,70,159,117,80,25,70,86,31,171","0.3630551728187129,0.9162755475612357,0.7813001991948113,0.8968426733044907,1.251071631256491,0.9738219137769193,0.5807569701224565,0.8344483764609322,1.0062149378238245,0.5782324401894584,0.019452284811995926,0.09236275036819279,0.6086055436637253,0.33650131470058114,0.16802915730513632,0.11885292222723365,0.7917459542863071,0.08006155455950648,0.07790187792852521,0.3431888725375757","1,-1,1,0,-1,0,1,-1,1,1",Tokyo
7,Ctrl RM 22,Particulate Remover,"6,22","8,9,14,18,23,22,5,0,0,2,30,27,5,30,1,2,29,14,31,22","3.137714514571708,6.178785461261868,2.840704432851635,0.1346060528419912,7.745288681986276,2.3357325375475924,4.923809256372042,7.952104196236469,7.2856512831384315,1.430779152805917,2.024473163636867,0.14068102539051325,4.416363037349656,0.3757652502506971,6.988873971702997,4.949726383248344,7.29825344707584,5.063394117967691,1.9384871742175893,0.14337150676408783","181,128,25,205,174,115,101,165,42,118,93,191,137,152,81,100,131,134,85,9","0.0018201812403276564,0.6268889845814556,0.9849388844100759,0.8283499940065667,1.0010443862061948,0.2749330408172682,1.157636656635441,0.7254170214524492,0.20109513306524604,0.8040552970254794,0.5261576025513932,0.7734075255226344,0.010312807210721076,0.13602741505019367,0.06900066777598113,0.008296255161985755,1.0720547751523555,0.44384891111403707,0.32670543652493506,0.5086844736943021","-1,-1,-1,-1,0,1,-1,-1,1,0",Tokyo
8,Ctrl RM 5,Phosphoric Acid,"2,23","23,4,15,3,2,3,23,22,22,13,22,14,12,16,3,9,20,8,28,27","7.645762359683868,7.874724633414298,7.184066194694024,2.2091855893447065,0.3082236660993658,1.6481911062053405,4.433976359090302,3.0696002132771536,5.7003905918658715,3.0194505508383735,7.645352533743717,3.9656629484938457,0.7282866786932573,5.291522205162328,1.7092270395765081,4.170376838622615,6.388753687951248,3.0081777804787273,4.346260308492929,7.117021556980908","105,36,205,116,199,81,42,54,7,90,9,105,37,160,48,32,74,93,163,146","0.5379237769404427,1.2731515862746166,0.570780871831812,0.0368953944882378,1.1877205392345787,0.82367275392171,0.9488705453230069,0.8069677187362686,0.8478888089302927,0.433474952285178,0.16718329701106996,0.5735843091271818,0.11293376861140132,0.8873280019499362,0.6076238125097007,0.5183024520985783,0.1628108176868409,1.0548790952190756,1.1647881448734552,1.2651800732826814","1,-1,0,-1,0,1,1,-1,1,0",Tokyo
9,Ctrl RM 6,Carbon filter,"0,22","10,19,25,3,4,24,23,25,26,12,20,2,24,24,9,27,6,1,7,22","6.161839837001171,1.8080344777810389,4.0441607663733885,7.677022835561075,5.362325843735598,3.5785024557844736,2.7283057448919865,5.841302125395742,7.125676498780958,7.414613804393448,7.5171283275960015,2.965408329812344,1.5011650962987915,3.4782516758749265,3.0111380877881313,3.5238632125756704,3.656957132916432,3.9427115554711785,6.059229708395433,4.732105650210287","72,206,61,5,103,96,77,170,160,167,108,90,57,90,168,131,65,39,25,134","1.2246158268768341,0.5156246133148671,0.3109176804544404,1.2495591413229705,0.8100093251094223,0.11743169813416898,1.087260397989303,0.07168988520279528,0.17815107523929327,0.3025607703719288,0.9927482624072582,0.24521382234524935,0.3870508251478896,1.1284037444740533,0.1560700387461111,0.3658786423737183,0.4786685584578663,1.2274571012705564,0.9385296703083441,1.1683373616775499","0,-1,-1,1,1,1,1,1,-1,0",Tokyo
10,Ctrl RM 34,Phosphoric Acid,"0,22","26,30,29,30,29,1,7,2,2,8,21,27,13,5,3,25,21,25,18,2","7.394091064310633,0.02131478858180344,5.399757982129231,0.6930160926678218,5.896502817808651,2.2884246169845572,4.906557743933518,7.106384678264149,5.863453673331533,6.931433050401974,2.515256078222301,7.328427070043981,6.352707286551595,4.995373505949974,3.250625591459684,3.554083535077516,2.971797653120011,1.9286379499314354,5.929240063424222,0.9358618868119084","58,209,20,121,97,54,70,11,160,16,103,177,159,93,164,10,14,20,149,176","1.1661298770690338,0.4958165395539254,0.3117730433819816,0.2717143379850313,0.8355826761107892,1.0318447171244771,0.34489286618772896,1.2065590368583798,0.8636125751538203,0.35847788911778483,0.3446547388797626,1.1267205676296725,0.19884282520506533,0.06382409676443786,1.043874280480668,0.44256448559463024,0.7441717911744491,0.6305765415076167,0.0036206873832270504,1.2222995382500812","-1,0,1,0,0,1,0,1,0,0",Tokyo
