Date,State,Population,DiabetesRate,ObesityRate,InactivityRate,HypertensionRate
2016/01/01,Alabama,4863300,14.6,35.7,29.4,40.4
2015/01/01,Alabama,4853875,14.49,35.44,29.19,40.11
2014/01/01,Alabama,4843214,14.39,35.18,28.98,39.82
2013/01/01,Alabama,4829479,14.29,34.93,28.77,39.53
2012/01/01,Alabama,4815960,14.19,34.68,28.56,39.25
2011/01/01,Alabama,4799918,14.09,34.43,28.35,38.97
2010/01/01,Alabama,4785492,13.99,34.18,28.15,38.69
2009/01/01,Alabama,4812838,13.89,33.93,27.95,38.41
2008/01/01,Alabama,4819629,14.19,34.68,28.56,39.25
2007/01/01,Alabama,4783920,14.06,34.35,28.29,38.88
2006/01/01,Alabama,4823091,14.15,34.57,28.47,39.13
2005/01/01,Alabama,4820734,14.12,34.51,28.42,39.06
2004/01/01,Alabama,4769027,13.96,34.11,28.09,38.61
2003/01/01,Alabama,4761287,13.93,34.04,28.04,38.53
2002/01/01,Alabama,4790969,14.02,34.26,28.21,38.78
2001/01/01,Alabama,4796961,14.07,34.37,28.31,38.9
2000/01/01,Alabama,4793243,14,34,28,39
1999/01/01,Alabama,4760061,13.94,34.03,28.02,38.59
1998/01/01,Alabama,4742986,13.88,33.89,27.91,38.44
1997/01/01,Alabama,4791644,14.02,34.23,28.19,38.84
1996/01/01,Alabama,4790588,14.02,34.22,28.18,38.84
1995/01/01,Alabama,4775663,13.98,34.11,28.09,38.73
1994/01/01,Alabama,4771567,13.97,34.07,28.06,38.7
1993/01/01,Alabama,4775585,13.97,34.08,28.07,38.74
1992/01/01,Alabama,4759222,14,34,28,39
1991/01/01,Alabama,4760534,13.94,34,28,38.66
1990/01/01,Alabama,4733430,13.86,33.8,27.84,38.45
1989/01/01,Alabama,4756646,13.93,33.97,27.98,38.65
1988/01/01,Alabama,4749902,13.92,33.92,27.94,38.61
1987/01/01,Alabama,4733384,13.87,33.8,27.84,38.49
1986/01/01,Alabama,4766455,13.97,34.04,28.03,38.77
1985/01/01,Alabama,4749942,13.92,33.92,27.94,38.65
1984/01/01,Alabama,4714892,13.81,33.67,27.73,38.33
1983/01/01,Alabama,4735932,13.87,33.82,27.86,38.5
1982/01/01,Alabama,4722057,13.83,33.72,27.77,38.39
1981/01/01,Alabama,4710030,13.8,33.63,27.7,38.3
1980/01/01,Alabama,4731822,13.86,33.79,27.83,38.48
1979/01/01,Alabama,4749111,13.91,33.91,27.93,38.62
1978/01/01,Alabama,4716349,13.82,33.68,27.74,38.35
1977/01/01,Alabama,4677539,13.7,33.4,27.51,38.03
1976/01/01,Alabama,4676506,13.7,33.39,27.5,38.02
1975/01/01,Alabama,4720869,13.83,33.71,27.76,38.39
1974/01/01,Alabama,4709391,13.8,33.63,27.7,38.29
1973/01/01,Alabama,4680558,13.71,33.42,27.53,38.06
1972/01/01,Alabama,4723620,13.84,33.73,27.78,38.41
1971/01/01,Alabama,4700690,13.77,33.57,27.65,38.22
2016/01/01,Alaska,741894,7.5,31.4,19.1,27.5
2015/01/01,Alaska,737709,7.45,31.17,18.96,27.3
2014/01/01,Alaska,736705,7.4,30.95,18.82,27.1
2013/01/01,Alaska,736879,7.35,30.73,18.68,26.9
2012/01/01,Alaska,731089,7.3,30.51,18.55,26.71
2011/01/01,Alaska,722713,7.25,30.29,18.42,26.52
2010/01/01,Alaska,714031,7.2,30.07,18.29,26.33
2009/01/01,Alaska,729380,7.15,29.85,18.16,26.14
2008/01/01,Alaska,729714,7.3,30.51,18.55,26.71
2007/01/01,Alaska,723908,7.23,30.22,18.38,26.46
2006/01/01,Alaska,729287,7.28,30.41,18.5,26.63
2005/01/01,Alaska,727981,7.27,30.36,18.46,26.58
2004/01/01,Alaska,719630,7.18,30.01,18.25,26.27
2003/01/01,Alaska,718686,7.17,29.95,18.21,26.22
2002/01/01,Alaska,724351,7.21,30.14,18.33,26.39
2001/01/01,Alaska,725011,7.24,30.24,18.39,26.47
2000/01/01,Alaska,724267,7,30,18,26
1999/01/01,Alaska,719104,7.14,29.95,18.18,26.18
1998/01/01,Alaska,716431,7.11,29.83,18.1,26.07
1997/01/01,Alaska,723809,7.18,30.13,18.28,26.33
1996/01/01,Alaska,723758,7.17,30.12,18.27,26.31
1995/01/01,Alaska,721596,7.14,30.03,18.2,26.22
1994/01/01,Alaska,720914,7.13,30,18.18,26.19
1993/01/01,Alaska,721483,7.12,30.01,18.17,26.19
1992/01/01,Alaska,718995,7,30,18,26
1991/01/01,Alaska,719196,7.1,29.94,18.13,26.12
1990/01/01,Alaska,715117,7.06,29.77,18.02,25.97
1989/01/01,Alaska,718639,7.09,29.92,18.1,26.09
1988/01/01,Alaska,717621,7.07,29.88,18.07,26.05
1987/01/01,Alaska,715114,7.04,29.78,18,25.95
1986/01/01,Alaska,720106,7.09,29.99,18.12,26.13
1985/01/01,Alaska,717612,7.06,29.89,18.06,26.04
1984/01/01,Alaska,712319,7.02,29.66,17.94,25.86
1983/01/01,Alaska,715500,7.05,29.79,18.02,25.97
1982/01/01,Alaska,713405,7.03,29.71,17.96,25.89
1981/01/01,Alaska,711587,7.01,29.63,17.91,25.83
1980/01/01,Alaska,714877,7.04,29.77,18,25.95
1979/01/01,Alaska,717489,7.07,29.88,18.06,26.04
1978/01/01,Alaska,712540,7.02,29.67,17.94,25.86
1977/01/01,Alaska,706677,6.96,29.43,17.79,25.65
1976/01/01,Alaska,706521,6.96,29.42,17.79,25.64
1975/01/01,Alaska,713223,7.03,29.7,17.96,25.89
1974/01/01,Alaska,711489,7.01,29.63,17.91,25.82
1973/01/01,Alaska,707133,6.97,29.45,17.8,25.67
1972/01/01,Alaska,713639,7.03,29.72,17.97,25.9
1971/01/01,Alaska,710175,7,29.57,17.88,25.78
2016/01/01,Arizona,6931071,10.8,29,23.1,30.8
2015/01/01,Arizona,6817565,10.72,28.79,22.93,30.58
2014/01/01,Arizona,6719993,10.64,28.58,22.76,30.36
2013/01/01,Arizona,6624617,10.56,28.37,22.6,30.14
2012/01/01,Arizona,6549634,10.48,28.17,22.44,29.92
2011/01/01,Arizona,6467163,10.4,27.97,22.28,29.7
2010/01/01,Arizona,6408312,10.33,27.77,22.12,29.49
2009/01/01,Arizona,6625543,10.26,27.57,21.96,29.28
2008/01/01,Arizona,6601172,10.48,28.17,22.44,29.92
2007/01/01,Arizona,6528208,10.38,27.9,22.23,29.64
2006/01/01,Arizona,6565769,10.45,28.08,22.37,29.83
2005/01/01,Arizona,6555373,10.43,28.03,22.33,29.77
2004/01/01,Arizona,6484954,10.31,27.71,22.07,29.43
2003/01/01,Arizona,6482899,10.29,27.65,22.03,29.37
2002/01/01,Arizona,6538653,10.35,27.83,22.17,29.56
2001/01/01,Arizona,6538679,10.39,27.92,22.24,29.65
2000/01/01,Arizona,6529096,10,28,22,30
1999/01/01,Arizona,6482222,10.24,27.69,22.02,29.45
1998/01/01,Arizona,6459293,10.2,27.59,21.93,29.35
1997/01/01,Arizona,6526965,10.29,27.88,22.15,29.66
1996/01/01,Arizona,6527132,10.28,27.87,22.14,29.66
1995/01/01,Arizona,6507411,10.24,27.8,22.07,29.59
1994/01/01,Arizona,6500349,10.22,27.78,22.05,29.58
1993/01/01,Arizona,6505289,10.21,27.8,22.05,29.62
1992/01/01,Arizona,6483034,10,28,22,29
1991/01/01,Arizona,6485100,10.18,27.75,22,29.42
1990/01/01,Arizona,6448446,10.11,27.6,21.87,29.25
1989/01/01,Arizona,6480186,10.16,27.74,21.98,29.38
1988/01/01,Arizona,6470899,10.13,27.71,21.95,29.33
1987/01/01,Arizona,6448195,10.09,27.62,21.87,29.22
1986/01/01,Arizona,6493226,10.16,27.83,22.02,29.4
1985/01/01,Arizona,6470785,10.12,27.74,21.95,29.28
1984/01/01,Arizona,6423091,10.06,27.51,21.79,29.11
1983/01/01,Arizona,6451779,10.1,27.63,21.88,29.23
1982/01/01,Arizona,6432866,10.07,27.56,21.82,29.14
1981/01/01,Arizona,6416454,10.04,27.49,21.76,29.07
1980/01/01,Arizona,6446122,10.09,27.62,21.86,29.2
1979/01/01,Arizona,6469683,10.13,27.72,21.94,29.3
1978/01/01,Arizona,6425064,10.06,27.53,21.79,29.1
1977/01/01,Arizona,6372199,9.98,27.3,21.61,28.87
1976/01/01,Arizona,6370791,9.97,27.29,21.61,28.86
1975/01/01,Arizona,6431222,10.07,27.55,21.81,29.13
1974/01/01,Arizona,6415581,10.04,27.49,21.76,29.06
1973/01/01,Arizona,6376303,9.98,27.32,21.62,28.88
1972/01/01,Arizona,6434967,10.07,27.57,21.82,29.15
1971/01/01,Arizona,6403732,10.02,27.44,21.72,29.01
2016/01/01,Arkansas,2988248,13.5,35.7,32.5,39.3
2015/01/01,Arkansas,2977853,13.4,35.44,32.27,39.02
2014/01/01,Arkansas,2966912,13.3,35.18,32.04,38.74
2013/01/01,Arkansas,2958663,13.2,34.93,31.81,38.46
2012/01/01,Arkansas,2950685,13.1,34.68,31.58,38.18
2011/01/01,Arkansas,2939493,13.01,34.43,31.35,37.91
2010/01/01,Arkansas,2921995,12.92,34.18,31.12,37.64
2009/01/01,Arkansas,2948820,12.83,33.93,30.9,37.37
2008/01/01,Arkansas,2951765,13.11,34.68,31.58,38.18
2007/01/01,Arkansas,2929169,12.98,34.35,31.28,37.82
2006/01/01,Arkansas,2952947,13.07,34.57,31.48,38.07
2005/01/01,Arkansas,2951245,13.04,34.51,31.42,38
2004/01/01,Arkansas,2919256,12.89,34.11,31.06,37.56
2003/01/01,Arkansas,2914330,12.87,34.04,31,37.48
2002/01/01,Arkansas,2933518,12.95,34.26,31.2,37.72
2001/01/01,Arkansas,2936914,12.99,34.37,31.3,37.84
2000/01/01,Arkansas,2934498,13,34,31,38
1999/01/01,Arkansas,2914130,12.88,34.03,30.99,37.55
1998/01/01,Arkansas,2903644,12.83,33.89,30.87,37.41
1997/01/01,Arkansas,2933432,12.96,34.23,31.18,37.79
1996/01/01,Arkansas,2932833,12.96,34.22,31.17,37.79
1995/01/01,Arkansas,2923776,12.92,34.11,31.07,37.69
1994/01/01,Arkansas,2921215,12.91,34.07,31.04,37.67
1993/01/01,Arkansas,2923653,12.92,34.08,31.05,37.7
1992/01/01,Arkansas,2913631,13,34,31,38
1991/01/01,Arkansas,2914436,12.9,34,30.98,37.63
1990/01/01,Arkansas,2897850,12.83,33.8,30.8,37.42
1989/01/01,Arkansas,2912071,12.89,33.97,30.95,37.62
1988/01/01,Arkansas,2907945,12.88,33.92,30.91,37.58
1987/01/01,Arkansas,2897824,12.84,33.8,30.8,37.46
1986/01/01,Arkansas,2918068,12.93,34.04,31.02,37.74
1985/01/01,Arkansas,2907959,12.89,33.92,30.91,37.62
1984/01/01,Arkansas,2886502,12.78,33.67,30.68,37.3
1983/01/01,Arkansas,2899385,12.84,33.82,30.82,37.47
1982/01/01,Arkansas,2890891,12.81,33.72,30.73,37.37
1981/01/01,Arkansas,2883527,12.77,33.63,30.65,37.28
1980/01/01,Arkansas,2896867,12.83,33.79,30.79,37.45
1979/01/01,Arkansas,2907452,12.88,33.91,30.9,37.59
1978/01/01,Arkansas,2887395,12.79,33.68,30.69,37.33
1977/01/01,Arkansas,2863635,12.68,33.4,30.44,37.02
1976/01/01,Arkansas,2863003,12.68,33.39,30.43,37.01
1975/01/01,Arkansas,2890162,12.8,33.71,30.72,37.36
1974/01/01,Arkansas,2883135,12.77,33.63,30.64,37.27
1973/01/01,Arkansas,2865483,12.69,33.42,30.46,37.04
1972/01/01,Arkansas,2891846,12.81,33.73,30.74,37.38
1971/01/01,Arkansas,2877808,12.75,33.57,30.59,37.2
2016/01/01,California,39250017,10.2,25,20.5,28.5
2015/01/01,California,38993940,10.13,24.82,20.35,28.29
2014/01/01,California,38680810,10.06,24.64,20.2,28.09
2013/01/01,California,38335203,9.99,24.46,20.05,27.89
2012/01/01,California,38011074,9.92,24.28,19.91,27.69
2011/01/01,California,37676861,9.85,24.11,19.77,27.49
2010/01/01,California,37332685,9.78,23.94,19.63,27.29
2009/01/01,California,38210821,9.71,23.77,19.49,27.09
2008/01/01,California,38173524,9.92,24.29,19.91,27.69
2007/01/01,California,37812749,9.83,24.06,19.72,27.42
2006/01/01,California,38065114,9.89,24.21,19.85,27.6
2005/01/01,California,38015029,9.87,24.17,19.82,27.55
2004/01/01,California,37602507,9.76,23.89,19.59,27.23
2003/01/01,California,37565446,9.74,23.84,19.55,27.18
2002/01/01,California,37860068,9.8,23.99,19.67,27.35
2001/01/01,California,37881995,9.83,24.07,19.74,27.44
2000/01/01,California,37836553,10,24,20,27
1999/01/01,California,37567561,9.77,23.86,19.61,27.14
