Symbol,Name,Sector,Price,Price/Earnings,MaxPE,Dividend Yield,MaxDiv,Earnings/Share,MaxErnShr,52 Week Low,52 Week High,Market Cap,EBITDA,MaxEBIDTA,Price/Sales,MaxPS,Price/Book,MaxPB,SEC Filings
MMM,3M Company,Industrials,222.89,24.31,0.046736518,2.3329,0.184255837,7.92,0.17963257,259.77,175.49,138721055226.00,9048000000.00,0.113974756,4.3903,0.218484844,11.34,0.008080491,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MMM
AOS,A.O. Smith Corp,Industrials,60.24,27.76,0.05336922,1.148,0.090670711,1.7,0.038557496,68.39,48.925,10783419933.00,601000000.00,0.007570604,3.5755,0.177936032,6.35,0.00452479,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AOS
ABT,Abbott Laboratories,Health Care,56.27,22.51,0.043275978,1.909,0.150775598,0.26,0.005897029,64.6,42.28,102121042306.00,5744000000.00,0.072355327,3.7405,0.186147315,3.19,0.002273084,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ABT
ABBV,AbbVie Inc.,Health Care,108.48,19.41,0.037316159,2.4996,0.197422045,3.29,0.074620095,125.86,60.05,181386347059.00,10310000000.00,0.129871766,6.2916,0.313103716,26.14,0.018626459,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ABBV
ACN,Accenture plc,Information Technology,150.51,25.47,0.048966644,1.7145,0.135413705,5.44,0.123383987,162.6,114.82,98765855553.00,5643228000.00,0.071085935,2.6041,0.129593964,10.62,0.007567444,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ACN
ATVI,Activision Blizzard,Information Technology,65.83,31.8,0.061136211,0.4319,0.03411209,1.28,0.029031526,74.945,38.93,52518668144.00,2704000000.00,0.034061421,10.5951,0.527268927,5.16,0.003676837,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ATVI
AYI,Acuity Brands Inc,Industrials,145.41,18.22,0.035028357,0.3512,0.027738287,7.43,0.168518939,225.36,142,6242377704.00,587800000.00,0.007404328,1.7953,0.089343744,3.55,0.002529607,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AYI
ADBE,Adobe Systems Inc,Information Technology,185.16,52.31,0.100567144,0,0,3.39,0.076888183,204.45,114.451,94550214268.00,2538040000.00,0.031970876,13.0928,0.651567858,11.06,0.007880973,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ADBE
AAP,Advance Auto Parts,Consumer Discretionary,109.63,19.54,0.037566087,0.2183,0.017241652,6.19,0.140394647,169.55,78.81,8123611867.00,853941000.00,0.010756821,1.1301,0.056239829,2.51,0.001788539,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AAP
AMD,Advanced Micro Devices Inc,Information Technology,11.22,187,0.359511679,0,0,0.03,0.000680426,15.65,9.7,11191663795.00,339000000.00,0.004270274,2.1092,0.10496509,21.47,0.015298779,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AMD
AES,AES Corp,Utilities,10.06,9.96,0.019148323,4.9618,0.391890184,-1.72,-0.039011114,12.05,10,6920851212.00,3001000000.00,0.037802635,0.6595,0.032820253,2.2,0.001567644,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AES
AET,Aetna Inc,Health Care,178,18.11,0.03481688,1.102,0.087037564,5.75,0.13041506,194.4,119.51,59197016353.00,4139000000.00,0.052137657,0.9924,0.04938714,3.79,0.002700623,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AET
AMG,Affiliated Managers Group Inc,Financials,179.11,12.24,0.023531674,0.6387,0.050445455,12.07,0.273758222,216.995,148.81,10442174371.00,1261400000.00,0.015889452,4.5912,0.228482704,2.89,0.002059314,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AMG
AFL,AFLAC Inc,Financials,83.25,12.24,0.023531674,2.4299,0.191917038,11.01,0.249716489,91.73,68.8,33422948000.00,0.00,0,1.5429,0.076782968,1.53,0.001090225,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AFL
A,Agilent Technologies Inc,Health Care,65.05,27.45,0.052773238,0.8757,0.06916406,2.1,0.047629848,75,49.23,21984606918.00,1094000000.00,0.013780767,6.4936,0.323156318,4.56,0.003249298,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=A
