Date,Open,High,Low,Close,Volume
20191230 000000,0.679730,0.679760,0.679710,0.679760,0
20191230 000100,0.679770,0.679810,0.679710,0.679710,0
20191230 000200,0.679710,0.679710,0.679570,0.679580,0
20191230 000300,0.679560,0.679570,0.679540,0.679550,0
20191230 000400,0.679550,0.679550,0.679520,0.679520,0
20191230 000500,0.679530,0.679680,0.679530,0.679670,0
20191230 000600,0.679660,0.679840,0.679630,0.679840,0
20191230 000700,0.679850,0.679890,0.679820,0.679880,0
20191230 000800,0.679890,0.679990,0.679890,0.679970,0
20191230 000900,0.679980,0.680020,0.679940,0.680000,0
20191230 001000,0.680010,0.680020,0.679940,0.679940,0
20191230 001100,0.679950,0.679950,0.679870,0.679870,0
20191230 001200,0.679870,0.679950,0.679860,0.679940,0
20191230 001300,0.679940,0.679950,0.679920,0.679950,0
20191230 001400,0.679950,0.680000,0.679950,0.680000,0
20191230 001500,0.680000,0.680000,0.679880,0.679900,0
20191230 001600,0.679900,0.679930,0.679900,0.679930,0
20191230 001700,0.679940,0.679940,0.679840,0.679840,0
20191230 001800,0.679840,0.679850,0.679820,0.679840,0
20191230 001900,0.679840,0.679850,0.679830,0.679830,0
20191230 002000,0.679850,0.679850,0.679790,0.679800,0
20191230 002100,0.679790,0.679830,0.679790,0.679810,0
20191230 002200,0.679810,0.679830,0.679710,0.679730,0
20191230 002300,0.679720,0.679740,0.679710,0.679710,0
20191230 002400,0.679710,0.679750,0.679710,0.679730,0
20191230 002500,0.679720,0.679730,0.679710,0.679710,0
20191230 002600,0.679730,0.679910,0.679730,0.679870,0
20191230 002700,0.679880,0.679930,0.679830,0.679850,0
20191230 002800,0.679830,0.679830,0.679770,0.679820,0
20191230 002900,0.679810,0.679840,0.679770,0.679770,0
20191230 003000,0.679760,0.679760,0.679640,0.679660,0
20191230 003100,0.679670,0.679700,0.679660,0.679680,0
20191230 003200,0.679680,0.679680,0.679620,0.679640,0
20191230 003300,0.679630,0.679700,0.679630,0.679650,0
20191230 003400,0.679660,0.679690,0.679630,0.679640,0
20191230 003500,0.679630,0.679680,0.679620,0.679670,0
20191230 003600,0.679650,0.679650,0.679610,0.679650,0
20191230 003700,0.679650,0.679660,0.679620,0.679620,0
20191230 003800,0.679610,0.679640,0.679600,0.679600,0
20191230 003900,0.679590,0.679620,0.679550,0.679550,0
20191230 004000,0.679540,0.679540,0.679420,0.679430,0
20191230 004100,0.679430,0.679430,0.679410,0.679430,0
20191230 004200,0.679400,0.679420,0.679390,0.679420,0
20191230 004300,0.679410,0.679410,0.679410,0.679410,0
20191230 004400,0.679410,0.679440,0.679410,0.679440,0
20191230 004500,0.679430,0.679440,0.679430,0.679430,0
20191230 004600,0.679430,0.679430,0.679410,0.679420,0
20191230 004700,0.679410,0.679630,0.679380,0.679610,0
20191230 004800,0.679610,0.679610,0.679540,0.679540,0
20191230 004900,0.679530,0.679560,0.679480,0.679480,0
20191230 005000,0.679480,0.679550,0.679480,0.679550,0
20191230 005100,0.679540,0.679560,0.679530,0.679550,0
20191230 005200,0.679560,0.679690,0.679560,0.679670,0
20191230 005300,0.679690,0.679690,0.679560,0.679570,0
20191230 005400,0.679560,0.679570,0.679520,0.679520,0
20191230 005500,0.679530,0.679630,0.679510,0.679580,0
20191230 005600,0.679590,0.679610,0.679560,0.679610,0
20191230 005700,0.679610,0.679730,0.679600,0.679730,0
20191230 005800,0.679730,0.679850,0.679670,0.679820,0
20191230 005900,0.679820,0.679830,0.679760,0.679830,0
20191230 010000,0.679810,0.679820,0.679740,0.679810,0
20191230 010100,0.679810,0.679910,0.679810,0.679910,0
20191230 010200,0.679910,0.679920,0.679760,0.679770,0
20191230 010300,0.679760,0.679760,0.679670,0.679720,0
20191230 010400,0.679740,0.679760,0.679590,0.679610,0
20191230 010500,0.679620,0.679650,0.679590,0.679620,0
20191230 010600,0.679620,0.679620,0.679520,0.679600,0
20191230 010700,0.679580,0.679600,0.679530,0.679540,0
20191230 010800,0.679540,0.679540,0.679510,0.679520,0
20191230 010900,0.679510,0.679510,0.679430,0.679430,0
20191230 011000,0.679430,0.679470,0.679410,0.679440,0
20191230 011100,0.679420,0.679420,0.679360,0.679390,0
20191230 011200,0.679400,0.679400,0.679350,0.679400,0
20191230 011300,0.679400,0.679470,0.679400,0.679400,0
20191230 011400,0.679390,0.679390,0.679350,0.679350,0
20191230 011500,0.679340,0.679450,0.679340,0.679450,0
20191230 011600,0.679460,0.679460,0.679400,0.679410,0
20191230 011700,0.679420,0.679420,0.679410,0.679420,0
20191230 011800,0.679430,0.679430,0.679360,0.679360,0
20191230 011900,0.679370,0.679440,0.679370,0.679440,0
20191230 012000,0.679440,0.679470,0.679390,0.679400,0
20191230 012100,0.679400,0.679440,0.679400,0.679420,0
20191230 012200,0.679400,0.679400,0.679310,0.679330,0
20191230 012300,0.679330,0.679430,0.679330,0.679420,0
20191230 012400,0.679430,0.679430,0.679320,0.679320,0
20191230 012500,0.679320,0.679320,0.679200,0.679270,0
20191230 012600,0.679250,0.679320,0.679210,0.679310,0
20191230 012700,0.679310,0.679410,0.679290,0.679410,0
20191230 012800,0.679410,0.679410,0.679320,0.679320,0
20191230 012900,0.679330,0.679570,0.679330,0.679570,0
20191230 013000,0.679560,0.679620,0.679540,0.679620,0
20191230 013100,0.679620,0.679740,0.679610,0.679740,0
20191230 013200,0.679750,0.679780,0.679740,0.679740,0
20191230 013300,0.679750,0.679780,0.679660,0.679660,0
20191230 013400,0.679650,0.679700,0.679620,0.679630,0
20191230 013500,0.679620,0.679620,0.679570,0.679620,0
20191230 013600,0.679620,0.679670,0.679590,0.679590,0
20191230 013700,0.679590,0.679600,0.679530,0.679530,0
20191230 013800,0.679540,0.679570,0.679540,0.679560,0
20191230 013900,0.679540,0.679570,0.679460,0.679460,0
20191230 014000,0.679460,0.679530,0.679430,0.679460,0
20191230 014100,0.679480,0.679510,0.679430,0.679500,0
20191230 014200,0.679500,0.679540,0.679490,0.679520,0
20191230 014300,0.679510,0.679580,0.679510,0.679580,0
20191230 014400,0.679610,0.679630,0.679600,0.679600,0
20191230 014500,0.679600,0.679600,0.679580,0.679590,0
20191230 014600,0.679600,0.679670,0.679600,0.679660,0
20191230 014700,0.679660,0.679690,0.679620,0.679660,0
