Date,Open,High,Low,Close,Volume
20191230 000000,76.288000,76.288000,76.278000,76.284000,0
20191230 000100,76.287000,76.288000,76.276000,76.278000,0
20191230 000200,76.279000,76.279000,76.269000,76.270000,0
20191230 000300,76.270000,76.274000,76.270000,76.272000,0
20191230 000400,76.272000,76.275000,76.272000,76.273000,0
20191230 000500,76.275000,76.296000,76.275000,76.293000,0
20191230 000600,76.295000,76.308000,76.295000,76.305000,0
20191230 000700,76.306000,76.310000,76.303000,76.310000,0
20191230 000800,76.309000,76.324000,76.309000,76.317000,0
20191230 000900,76.316000,76.317000,76.312000,76.316000,0
20191230 001000,76.318000,76.322000,76.308000,76.310000,0
20191230 001100,76.310000,76.310000,76.308000,76.310000,0
20191230 001200,76.310000,76.322000,76.309000,76.318000,0
20191230 001300,76.318000,76.320000,76.317000,76.318000,0
20191230 001400,76.319000,76.329000,76.319000,76.328000,0
20191230 001500,76.328000,76.328000,76.311000,76.311000,0
20191230 001600,76.311000,76.320000,76.311000,76.319000,0
20191230 001700,76.319000,76.319000,76.307000,76.308000,0
20191230 001800,76.308000,76.312000,76.306000,76.309000,0
20191230 001900,76.308000,76.310000,76.308000,76.308000,0
20191230 002000,76.309000,76.310000,76.306000,76.309000,0
20191230 002100,76.309000,76.310000,76.306000,76.309000,0
20191230 002200,76.309000,76.309000,76.297000,76.297000,0
20191230 002300,76.297000,76.298000,76.293000,76.293000,0
20191230 002400,76.292000,76.298000,76.292000,76.295000,0
20191230 002500,76.294000,76.296000,76.293000,76.293000,0
20191230 002600,76.293000,76.319000,76.293000,76.317000,0
20191230 002700,76.319000,76.325000,76.309000,76.311000,0
20191230 002800,76.310000,76.310000,76.306000,76.308000,0
20191230 002900,76.308000,76.315000,76.304000,76.304000,0
20191230 003000,76.304000,76.305000,76.291000,76.297000,0
20191230 003100,76.297000,76.302000,76.297000,76.302000,0
20191230 003200,76.302000,76.302000,76.297000,76.299000,0
20191230 003300,76.299000,76.306000,76.297000,76.303000,0
20191230 003400,76.305000,76.307000,76.301000,76.301000,0
20191230 003500,76.302000,76.303000,76.300000,76.300000,0
20191230 003600,76.300000,76.300000,76.297000,76.297000,0
20191230 003700,76.297000,76.301000,76.297000,76.298000,0
20191230 003800,76.298000,76.300000,76.296000,76.297000,0
20191230 003900,76.297000,76.302000,76.290000,76.290000,0
20191230 004000,76.289000,76.289000,76.273000,76.276000,0
20191230 004100,76.277000,76.278000,76.274000,76.277000,0
20191230 004200,76.277000,76.277000,76.273000,76.277000,0
20191230 004300,76.279000,76.280000,76.277000,76.280000,0
20191230 004400,76.279000,76.281000,76.279000,76.279000,0
20191230 004500,76.278000,76.278000,76.278000,76.278000,0
20191230 004600,76.280000,76.280000,76.276000,76.276000,0
20191230 004700,76.274000,76.300000,76.271000,76.298000,0
20191230 004800,76.297000,76.298000,76.291000,76.292000,0
20191230 004900,76.292000,76.294000,76.289000,76.291000,0
20191230 005000,76.292000,76.293000,76.291000,76.291000,0
20191230 005100,76.292000,76.293000,76.288000,76.288000,0
20191230 005200,76.290000,76.306000,76.290000,76.306000,0
20191230 005300,76.305000,76.308000,76.298000,76.298000,0
20191230 005400,76.297000,76.297000,76.292000,76.296000,0
20191230 005500,76.297000,76.307000,76.296000,76.302000,0
20191230 005600,76.302000,76.305000,76.293000,76.301000,0
20191230 005700,76.301000,76.320000,76.301000,76.320000,0
20191230 005800,76.321000,76.340000,76.313000,76.336000,0
20191230 005900,76.336000,76.346000,76.331000,76.344000,0
20191230 010000,76.344000,76.344000,76.331000,76.334000,0
20191230 010100,76.334000,76.344000,76.333000,76.342000,0
20191230 010200,76.342000,76.344000,76.329000,76.329000,0
20191230 010300,76.328000,76.328000,76.311000,76.315000,0
20191230 010400,76.315000,76.323000,76.302000,76.305000,0
20191230 010500,76.305000,76.309000,76.303000,76.305000,0
20191230 010600,76.305000,76.305000,76.298000,76.300000,0
20191230 010700,76.302000,76.304000,76.297000,76.298000,0
20191230 010800,76.297000,76.297000,76.296000,76.297000,0
20191230 010900,76.296000,76.296000,76.288000,76.291000,0
20191230 011000,76.291000,76.298000,76.289000,76.291000,0
20191230 011100,76.292000,76.296000,76.290000,76.291000,0
20191230 011200,76.291000,76.292000,76.286000,76.292000,0
20191230 011300,76.291000,76.298000,76.291000,76.293000,0
20191230 011400,76.294000,76.294000,76.288000,76.288000,0
20191230 011500,76.288000,76.301000,76.287000,76.300000,0
20191230 011600,76.300000,76.301000,76.286000,76.291000,0
20191230 011700,76.291000,76.292000,76.290000,76.291000,0
20191230 011800,76.291000,76.291000,76.283000,76.284000,0
20191230 011900,76.284000,76.294000,76.284000,76.294000,0
20191230 012000,76.295000,76.297000,76.284000,76.286000,0
20191230 012100,76.286000,76.287000,76.283000,76.284000,0
20191230 012200,76.284000,76.284000,76.273000,76.274000,0
20191230 012300,76.273000,76.281000,76.273000,76.273000,0
20191230 012400,76.273000,76.275000,76.262000,76.265000,0
20191230 012500,76.266000,76.266000,76.250000,76.253000,0
20191230 012600,76.253000,76.260000,76.252000,76.260000,0
20191230 012700,76.261000,76.265000,76.258000,76.262000,0
20191230 012800,76.262000,76.271000,76.254000,76.267000,0
20191230 012900,76.265000,76.288000,76.264000,76.288000,0
20191230 013000,76.287000,76.289000,76.282000,76.286000,0
20191230 013100,76.286000,76.292000,76.285000,76.291000,0
20191230 013200,76.291000,76.294000,76.288000,76.293000,0
20191230 013300,76.294000,76.295000,76.281000,76.282000,0
20191230 013400,76.281000,76.283000,76.277000,76.277000,0
20191230 013500,76.276000,76.276000,76.268000,76.268000,0
20191230 013600,76.268000,76.272000,76.262000,76.263000,0
20191230 013700,76.262000,76.263000,76.254000,76.254000,0
20191230 013800,76.256000,76.259000,76.256000,76.259000,0
20191230 013900,76.257000,76.257000,76.249000,76.251000,0
20191230 014000,76.250000,76.261000,76.250000,76.252000,0
20191230 014100,76.254000,76.261000,76.250000,76.257000,0
20191230 014200,76.256000,76.263000,76.255000,76.261000,0
20191230 014300,76.261000,76.268000,76.260000,76.266000,0
20191230 014400,76.266000,76.270000,76.266000,76.269000,0
20191230 014500,76.269000,76.270000,76.265000,76.269000,0
20191230 014600,76.268000,76.276000,76.268000,76.275000,0
20191230 014700,76.276000,76.278000,76.271000,76.277000,0
20191230 014800,76.278000,76.281000,76.277000,76.279000,0
20191230 014900,76.277000,76.284000,76.277000,76.280000,0
20191230 015000,76.281000,76.285000,76.279000,76.283000,0
20191230 015100,76.284000,76.286000,76.281000,76.281000,0
20191230 015200,76.281000,76.283000,76.279000,76.281000,0
20191230 015300,76.280000,76.282000,76.278000,76.279000,0
20191230 015400,76.278000,76.279000,76.275000,76.275000,0
20191230 015500,76.276000,76.276000,76.272000,76.274000,0
20191230 015600,76.274000,76.274000,76.269000,76.271000,0
20191230 015700,76.270000,76.272000,76.266000,76.266000,0
20191230 015800,76.268000,76.272000,76.264000,76.264000,0
20191230 015900,76.267000,76.280000,76.267000,76.280000,0
20191230 020000,76.279000,76.285000,76.279000,76.283000,0
