Date,Open,High,Low,Close,Volume
20191230 000000,1.041330,1.041420,1.041330,1.041400,0
20191230 000100,1.041390,1.041390,1.041330,1.041330,0
20191230 000200,1.041330,1.041330,1.041200,1.041230,0
20191230 000300,1.041230,1.041230,1.041190,1.041220,0
20191230 000400,1.041220,1.041220,1.041180,1.041180,0
20191230 000500,1.041180,1.041250,1.041170,1.041170,0
20191230 000600,1.041170,1.041320,1.041170,1.041290,0
20191230 000700,1.041290,1.041320,1.041280,1.041320,0
20191230 000800,1.041320,1.041370,1.041320,1.041360,0
20191230 000900,1.041360,1.041360,1.041280,1.041300,0
20191230 001000,1.041320,1.041420,1.041300,1.041330,0
20191230 001100,1.041330,1.041330,1.041330,1.041330,0
20191230 001200,1.041330,1.041330,1.041290,1.041290,0
20191230 001300,1.041290,1.041360,1.041290,1.041360,0
20191230 001400,1.041360,1.041440,1.041350,1.041430,0
20191230 001500,1.041430,1.041430,1.041380,1.041420,0
20191230 001600,1.041420,1.041430,1.041380,1.041380,0
20191230 001700,1.041380,1.041430,1.041380,1.041380,0
20191230 001800,1.041370,1.041370,1.041360,1.041360,0
20191230 001900,1.041360,1.041370,1.041340,1.041340,0
20191230 002000,1.041340,1.041340,1.041270,1.041270,0
20191230 002100,1.041270,1.041270,1.041250,1.041250,0
20191230 002200,1.041250,1.041250,1.041100,1.041100,0
20191230 002300,1.041100,1.041100,1.041040,1.041040,0
20191230 002400,1.041040,1.041060,1.041000,1.041020,0
20191230 002500,1.041010,1.041010,1.041010,1.041010,0
20191230 002600,1.041010,1.041240,1.041010,1.041210,0
20191230 002700,1.041210,1.041220,1.041020,1.041020,0
20191230 002800,1.041020,1.041020,1.041020,1.041020,0
20191230 002900,1.041020,1.041060,1.041020,1.041040,0
20191230 003000,1.041040,1.041080,1.041020,1.041020,0
20191230 003100,1.041020,1.041070,1.041020,1.041070,0
20191230 003200,1.041070,1.041070,1.041030,1.041030,0
20191230 003300,1.041030,1.041080,1.041020,1.041060,0
20191230 003400,1.041060,1.041060,1.041060,1.041060,0
20191230 003500,1.041060,1.041060,1.041040,1.041040,0
20191230 003600,1.041040,1.041040,1.041000,1.041040,0
20191230 003700,1.041040,1.041040,1.040930,1.040950,0
20191230 003800,1.040940,1.040940,1.040940,1.040940,0
20191230 003900,1.040940,1.041140,1.040940,1.041050,0
20191230 004000,1.041050,1.041340,1.041050,1.041230,0
20191230 004100,1.041230,1.041250,1.041220,1.041230,0
20191230 004200,1.041230,1.041230,1.041230,1.041230,0
20191230 004300,1.041230,1.041230,1.041230,1.041230,0
20191230 004400,1.041230,1.041240,1.041230,1.041240,0
20191230 004500,1.041240,1.041240,1.041240,1.041240,0
20191230 004600,1.041240,1.041270,1.041240,1.041270,0
20191230 004700,1.041260,1.041500,1.041230,1.041230,0
20191230 004800,1.041230,1.041260,1.041180,1.041180,0
20191230 004900,1.041180,1.041180,1.041170,1.041170,0
20191230 005000,1.041170,1.041170,1.041170,1.041170,0
20191230 005100,1.041170,1.041170,1.041120,1.041120,0
20191230 005200,1.041120,1.041200,1.041120,1.041150,0
20191230 005300,1.041120,1.041190,1.041120,1.041150,0
20191230 005400,1.041150,1.041190,1.041060,1.041080,0
20191230 005500,1.041080,1.041110,1.041020,1.041100,0
20191230 005600,1.041100,1.041120,1.041070,1.041100,0
20191230 005700,1.041100,1.041300,1.041100,1.041270,0
20191230 005800,1.041280,1.041500,1.041280,1.041480,0
20191230 005900,1.041480,1.041490,1.041430,1.041470,0
20191230 010000,1.041490,1.041520,1.041450,1.041450,0
20191230 010100,1.041450,1.041540,1.041450,1.041520,0
20191230 010200,1.041520,1.041540,1.041430,1.041440,0
20191230 010300,1.041440,1.041440,1.041360,1.041380,0
20191230 010400,1.041390,1.041430,1.041290,1.041290,0
20191230 010500,1.041290,1.041300,1.041280,1.041300,0
20191230 010600,1.041300,1.041300,1.041290,1.041290,0
20191230 010700,1.041290,1.041290,1.041260,1.041260,0
20191230 010800,1.041260,1.041260,1.041250,1.041250,0
