Date,Open,High,Low,Close,Volume
20191230 000000,0.698890,0.698890,0.698810,0.698880,0
20191230 000100,0.698890,0.698920,0.698880,0.698890,0
20191230 000200,0.698890,0.698900,0.698840,0.698840,0
20191230 000300,0.698850,0.698860,0.698830,0.698830,0
20191230 000400,0.698840,0.698840,0.698830,0.698830,0
20191230 000500,0.698850,0.699010,0.698850,0.699010,0
20191230 000600,0.699010,0.699120,0.699010,0.699100,0
20191230 000700,0.699110,0.699110,0.699090,0.699090,0
20191230 000800,0.699090,0.699210,0.699090,0.699190,0
20191230 000900,0.699180,0.699200,0.699150,0.699180,0
20191230 001000,0.699200,0.699220,0.699100,0.699110,0
20191230 001100,0.699110,0.699110,0.699100,0.699100,0
20191230 001200,0.699110,0.699200,0.699110,0.699190,0
20191230 001300,0.699190,0.699210,0.699190,0.699210,0
20191230 001400,0.699220,0.699270,0.699220,0.699260,0
20191230 001500,0.699260,0.699260,0.699150,0.699150,0
20191230 001600,0.699150,0.699200,0.699150,0.699180,0
20191230 001700,0.699200,0.699200,0.699100,0.699100,0
20191230 001800,0.699100,0.699120,0.699080,0.699090,0
20191230 001900,0.699090,0.699110,0.699090,0.699100,0
20191230 002000,0.699100,0.699110,0.699080,0.699100,0
20191230 002100,0.699100,0.699120,0.699080,0.699090,0
20191230 002200,0.699090,0.699090,0.698980,0.698980,0
20191230 002300,0.698980,0.699000,0.698960,0.698960,0
20191230 002400,0.698960,0.699010,0.698960,0.698980,0
20191230 002500,0.698970,0.698980,0.698960,0.698970,0
20191230 002600,0.698980,0.699190,0.698980,0.699190,0
20191230 002700,0.699190,0.699200,0.699090,0.699110,0
20191230 002800,0.699100,0.699100,0.699070,0.699090,0
20191230 002900,0.699120,0.699150,0.699090,0.699090,0
20191230 003000,0.699090,0.699090,0.699010,0.699030,0
20191230 003100,0.699040,0.699070,0.699040,0.699040,0
20191230 003200,0.699040,0.699040,0.698990,0.699010,0
20191230 003300,0.699020,0.699090,0.699010,0.699090,0
20191230 003400,0.699080,0.699090,0.699080,0.699090,0
20191230 003500,0.699090,0.699090,0.699060,0.699060,0
20191230 003600,0.699060,0.699060,0.699030,0.699050,0
20191230 003700,0.699040,0.699060,0.699040,0.699050,0
20191230 003800,0.699050,0.699050,0.699050,0.699050,0
20191230 003900,0.699050,0.699070,0.699000,0.699000,0
20191230 004000,0.698990,0.698990,0.698870,0.698900,0
20191230 004100,0.698890,0.698890,0.698860,0.698880,0
20191230 004200,0.698880,0.698890,0.698860,0.698880,0
20191230 004300,0.698900,0.698900,0.698890,0.698890,0
20191230 004400,0.698890,0.698910,0.698890,0.698890,0
20191230 004500,0.698900,0.698900,0.698880,0.698890,0
20191230 004600,0.698900,0.698900,0.698870,0.698870,0
20191230 004700,0.698880,0.699130,0.698860,0.699110,0
20191230 004800,0.699100,0.699110,0.699040,0.699040,0
20191230 004900,0.699040,0.699070,0.699040,0.699040,0
20191230 005000,0.699050,0.699050,0.699030,0.699040,0
20191230 005100,0.699060,0.699060,0.699040,0.699060,0
20191230 005200,0.699060,0.699200,0.699060,0.699190,0
20191230 005300,0.699190,0.699190,0.699100,0.699100,0
20191230 005400,0.699080,0.699100,0.699050,0.699060,0
20191230 005500,0.699040,0.699160,0.699040,0.699090,0
20191230 005600,0.699080,0.699080,0.699010,0.699050,0
20191230 005700,0.699060,0.699200,0.699050,0.699200,0
20191230 005800,0.699200,0.699320,0.699130,0.699300,0
