Date,Open,High,Low,Close,Volume
20191230 000000,6804.220000,6805.120000,6797.530000,6799.900000,0
20191230 000100,6799.840000,6803.300000,6799.300000,6802.100000,0
20191230 000200,6801.760000,6802.100000,6798.680000,6798.680000,0
20191230 000300,6798.710000,6799.940000,6796.800000,6796.920000,0
20191230 000400,6796.980000,6799.930000,6796.480000,6799.590000,0
20191230 000500,6799.470000,6800.930000,6798.470000,6800.060000,0
20191230 000600,6799.500000,6800.930000,6799.470000,6799.620000,0
20191230 000700,6799.620000,6800.620000,6799.470000,6799.620000,0
20191230 000800,6799.500000,6802.920000,6799.470000,6801.560000,0
20191230 000900,6801.500000,6802.920000,6800.470000,6801.430000,0
20191230 001000,6800.470000,6803.920000,6800.470000,6802.520000,0
20191230 001100,6801.960000,6802.610000,6799.590000,6800.620000,0
20191230 001200,6800.530000,6801.930000,6800.470000,6801.930000,0
20191230 001300,6800.590000,6800.930000,6799.470000,6799.470000,0
20191230 001400,6799.560000,6800.590000,6796.940000,6797.480000,0
20191230 001500,6797.570000,6797.940000,6796.600000,6797.630000,0
20191230 001600,6797.570000,6798.930000,6797.510000,6798.560000,0
20191230 001700,6798.500000,6799.930000,6798.500000,6799.930000,0
20191230 001800,6799.470000,6799.590000,6799.470000,6799.530000,0
20191230 001900,6799.930000,6799.930000,6799.500000,6799.590000,0
20191230 002000,6799.560000,6800.930000,6799.470000,6800.590000,0
20191230 002100,6802.500000,6803.920000,6802.000000,6803.550000,0
20191230 002200,6803.580000,6803.920000,6802.470000,6803.460000,0
20191230 002300,6803.460000,6803.460000,6800.500000,6801.930000,0
20191230 002400,6801.590000,6801.620000,6800.470000,6800.930000,0
20191230 002500,6801.560000,6803.920000,6801.000000,6803.580000,0
20191230 002600,6803.460000,6803.610000,6802.500000,6802.620000,0
20191230 002700,6802.470000,6803.520000,6802.470000,6802.500000,0
20191230 002800,6802.530000,6802.560000,6799.500000,6801.470000,0
20191230 002900,6801.560000,6802.930000,6800.470000,6801.120000,0
20191230 011000,6797.130000,6798.600000,6796.940000,6797.100000,0
20191230 011100,6797.480000,6798.440000,6797.480000,6797.600000,0
20191230 011300,6796.980000,6797.100000,6796.980000,6797.100000,0
20191230 011500,6797.010000,6797.440000,6795.990000,6797.100000,0
20191230 011600,6797.100000,6797.100000,6797.100000,6797.100000,0
20191230 011700,6797.010000,6797.070000,6794.990000,6795.580000,0
20191230 011800,6796.140000,6796.140000,6795.110000,6795.990000,0
20191230 011900,6797.600000,6797.600000,6797.600000,6797.600000,0
20191230 012000,6798.100000,6798.440000,6797.980000,6797.980000,0
20191230 012100,6797.940000,6797.940000,6796.020000,6796.140000,0
20191230 012200,6796.050000,6796.050000,6796.050000,6796.050000,0
20191230 012300,6797.040000,6797.130000,6796.050000,6796.550000,0
20191230 012400,6796.490000,6797.040000,6796.490000,6797.040000,0
20191230 012500,6797.440000,6797.440000,6795.990000,6795.990000,0
20191230 012600,6796.140000,6797.100000,6796.140000,6797.100000,0
