Date,Open,High,Low,Close,Volume
20191230 000000,67.016000,67.016000,67.016000,67.016000,0
20191230 000100,67.006000,67.006000,67.006000,67.006000,0
20191230 000200,66.996000,66.996000,66.996000,66.996000,0
20191230 000600,67.001000,67.001000,67.001000,67.001000,0
20191230 000700,66.996000,66.996000,66.996000,66.996000,0
20191230 000800,67.001000,67.001000,67.001000,67.001000,0
20191230 001000,66.996000,66.996000,66.996000,66.996000,0
20191230 001900,66.986000,66.986000,66.986000,66.986000,0
20191230 002100,66.996000,66.996000,66.996000,66.996000,0
20191230 002200,66.990000,66.990000,66.990000,66.990000,0
20191230 002300,66.996000,66.996000,66.996000,66.996000,0
20191230 002500,66.986000,66.986000,66.986000,66.986000,0
20191230 002800,66.996000,66.996000,66.996000,66.996000,0
20191230 003000,66.996000,67.016000,66.996000,67.016000,0
20191230 003200,67.016000,67.016000,67.016000,67.016000,0
20191230 003300,67.026000,67.026000,67.026000,67.026000,0
20191230 003900,67.016000,67.016000,67.016000,67.016000,0
20191230 004400,67.006000,67.006000,67.006000,67.006000,0
20191230 004800,67.016000,67.026000,67.016000,67.026000,0
20191230 004900,67.016000,67.016000,67.016000,67.016000,0
20191230 005300,67.026000,67.036000,67.026000,67.026000,0
20191230 005400,67.021000,67.026000,67.021000,67.026000,0
20191230 005500,67.036000,67.036000,67.036000,67.036000,0
20191230 005600,67.031000,67.036000,67.026000,67.026000,0
20191230 005700,67.036000,67.036000,67.036000,67.036000,0
20191230 005800,67.046000,67.046000,67.036000,67.036000,0
20191230 010000,67.031000,67.046000,67.026000,67.046000,0
20191230 010200,67.036000,67.036000,67.016000,67.016000,0
20191230 010300,67.021000,67.036000,67.021000,67.026000,0
20191230 010400,67.036000,67.036000,67.016000,67.026000,0
20191230 010500,67.016000,67.026000,67.016000,67.016000,0
20191230 010600,67.011000,67.016000,67.011000,67.016000,0
20191230 011000,67.026000,67.026000,67.016000,67.016000,0
20191230 011100,67.006000,67.016000,67.006000,67.016000,0
20191230 011300,67.026000,67.026000,67.016000,67.016000,0
20191230 011400,67.026000,67.026000,67.026000,67.026000,0
20191230 011500,67.016000,67.026000,67.016000,67.026000,0
20191230 011600,67.036000,67.036000,67.036000,67.036000,0
20191230 011700,67.026000,67.031000,67.026000,67.026000,0
20191230 011800,67.036000,67.036000,67.026000,67.026000,0
20191230 012000,67.036000,67.036000,67.036000,67.036000,0
20191230 012100,67.036000,67.036000,67.036000,67.036000,0
20191230 012200,67.031000,67.036000,67.026000,67.036000,0
20191230 012300,67.026000,67.036000,67.026000,67.036000,0
20191230 012400,67.031000,67.036000,67.026000,67.031000,0
20191230 012500,67.036000,67.036000,67.036000,67.036000,0
20191230 012700,67.046000,67.051000,67.036000,67.041000,0
20191230 012800,67.046000,67.046000,67.041000,67.041000,0
20191230 012900,67.036000,67.046000,67.036000,67.046000,0
20191230 013000,67.041000,67.046000,67.041000,67.046000,0
20191230 013200,67.041000,67.046000,67.036000,67.036000,0
20191230 013300,67.026000,67.026000,67.026000,67.026000,0
20191230 013500,67.021000,67.026000,67.016000,67.016000,0
20191230 013700,67.006000,67.006000,67.006000,67.006000,0
20191230 013800,66.996000,67.006000,66.996000,67.006000,0
20191230 013900,67.001000,67.001000,67.001000,67.001000,0
20191230 014000,67.006000,67.006000,66.996000,66.996000,0
20191230 014100,66.996000,66.996000,66.996000,66.996000,0
20191230 014200,67.001000,67.001000,66.996000,66.996000,0
20191230 014500,66.986000,66.986000,66.986000,66.986000,0
20191230 014600,66.986000,66.986000,66.986000,66.986000,0
20191230 014700,66.990000,67.006000,66.990000,67.006000,0
20191230 014800,67.016000,67.016000,67.006000,67.006000,0
20191230 015100,67.006000,67.011000,66.996000,67.006000,0
20191230 015200,66.996000,66.996000,66.996000,66.996000,0
20191230 015400,66.986000,66.986000,66.986000,66.986000,0
20191230 015500,66.996000,66.996000,66.986000,66.986000,0
20191230 015900,66.986000,66.986000,66.986000,66.986000,0
20191230 020000,67.001000,67.001000,66.996000,66.996000,0
20191230 020100,66.986000,66.986000,66.986000,66.986000,0
20191230 020400,66.996000,66.996000,66.996000,66.996000,0
20191230 020500,67.006000,67.006000,66.990000,66.990000,0
20191230 020600,66.996000,66.996000,66.996000,66.996000,0
20191230 020700,66.990000,66.996000,66.990000,66.996000,0
20191230 020800,66.986000,67.006000,66.986000,66.996000,0
20191230 020900,66.996000,67.026000,66.996000,67.026000,0
20191230 021000,67.036000,67.036000,67.031000,67.036000,0
20191230 021100,67.026000,67.046000,67.026000,67.036000,0
20191230 021300,67.016000,67.016000,67.016000,67.016000,0
20191230 021400,67.026000,67.026000,67.016000,67.016000,0
20191230 021500,67.026000,67.026000,67.006000,67.011000,0
20191230 021600,67.006000,67.016000,67.006000,67.006000,0
20191230 021800,67.011000,67.011000,67.011000,67.011000,0
20191230 021900,67.006000,67.006000,66.986000,66.996000,0
20191230 022000,67.011000,67.016000,66.996000,67.001000,0
20191230 022100,66.996000,66.996000,66.976000,66.996000,0
20191230 022200,67.006000,67.006000,67.001000,67.001000,0
20191230 022300,66.996000,67.006000,66.996000,67.006000,0
20191230 022400,67.001000,67.001000,66.986000,66.986000,0
20191230 022500,66.981000,66.986000,66.976000,66.986000,0
20191230 022700,66.976000,66.986000,66.976000,66.981000,0
20191230 022800,66.976000,66.981000,66.966000,66.966000,0
20191230 022900,66.971000,66.971000,66.971000,66.971000,0
20191230 023000,66.966000,66.976000,66.966000,66.966000,0
20191230 023100,66.976000,66.976000,66.956000,66.956000,0
20191230 023300,66.966000,66.971000,66.966000,66.971000,0
20191230 023400,66.966000,66.976000,66.966000,66.976000,0
20191230 023500,66.966000,66.966000,66.966000,66.966000,0
20191230 023700,66.971000,66.971000,66.971000,66.971000,0
20191230 023800,66.966000,66.971000,66.956000,66.971000,0
20191230 023900,66.966000,66.976000,66.966000,66.976000,0
20191230 024200,66.966000,66.966000,66.966000,66.966000,0
20191230 024300,66.956000,66.956000,66.956000,66.956000,0
20191230 024400,66.966000,66.966000,66.966000,66.966000,0
20191230 024500,66.956000,66.956000,66.956000,66.956000,0
20191230 024600,66.946000,66.956000,66.946000,66.956000,0
20191230 024700,66.936000,66.936000,66.926000,66.926000,0
20191230 024800,66.916000,66.926000,66.911000,66.916000,0
20191230 024900,66.911000,66.926000,66.911000,66.926000,0
20191230 025100,66.916000,66.916000,66.906000,66.906000,0
20191230 025200,66.916000,66.926000,66.916000,66.926000,0
20191230 025400,66.921000,66.926000,66.921000,66.926000,0
20191230 025500,66.916000,66.936000,66.916000,66.936000,0
20191230 025600,66.946000,66.946000,66.946000,66.946000,0
20191230 025700,66.941000,66.946000,66.936000,66.946000,0
20191230 025800,66.936000,66.936000,66.936000,66.936000,0
20191230 025900,66.926000,66.926000,66.926000,66.926000,0
20191230 030000,66.936000,66.976000,66.936000,66.966000,0
20191230 030100,66.976000,66.976000,66.946000,66.976000,0
20191230 030200,66.986000,66.986000,66.966000,66.976000,0
20191230 030300,66.986000,66.986000,66.966000,66.966000,0
20191230 030400,66.976000,66.976000,66.966000,66.966000,0
20191230 030500,66.956000,66.966000,66.946000,66.966000,0
20191230 030600,66.960000,66.976000,66.956000,66.966000,0
20191230 030700,66.971000,66.976000,66.966000,66.976000,0
20191230 030800,66.971000,66.976000,66.971000,66.976000,0
20191230 030900,66.986000,66.996000,66.976000,66.990000,0
20191230 031000,66.986000,66.990000,66.976000,66.986000,0
20191230 031100,66.996000,66.996000,66.976000,66.976000,0
20191230 031200,66.981000,66.986000,66.976000,66.986000,0
20191230 031300,66.976000,66.981000,66.976000,66.981000,0
20191230 031400,66.976000,66.986000,66.976000,66.986000,0
20191230 031500,66.996000,66.996000,66.976000,66.976000,0
20191230 031600,66.981000,66.986000,66.956000,66.956000,0
20191230 031700,66.946000,66.976000,66.946000,66.966000,0
20191230 031800,66.956000,66.966000,66.956000,66.966000,0
20191230 031900,66.976000,66.996000,66.966000,66.986000,0
20191230 032000,66.976000,66.986000,66.976000,66.986000,0
20191230 032100,66.996000,66.996000,66.946000,66.946000,0
20191230 032200,66.936000,66.946000,66.926000,66.936000,0
20191230 032300,66.926000,66.926000,66.916000,66.926000,0
20191230 032400,66.936000,66.976000,66.936000,66.956000,0
20191230 032500,66.960000,66.966000,66.916000,66.926000,0
20191230 032600,66.916000,66.926000,66.906000,66.916000,0
20191230 032700,66.926000,66.946000,66.926000,66.926000,0
20191230 032800,66.921000,66.931000,66.906000,66.911000,0
20191230 032900,66.916000,66.936000,66.896000,66.916000,0
