Date,Open,High,Low,Close,Volume
20191230 000000,0.744320,0.744370,0.744300,0.744320,0
20191230 000100,0.744350,0.744350,0.744280,0.744300,0
20191230 000200,0.744310,0.744310,0.744180,0.744180,0
20191230 000300,0.744180,0.744220,0.744180,0.744220,0
20191230 000400,0.744210,0.744210,0.744180,0.744180,0
20191230 000500,0.744220,0.744260,0.744220,0.744220,0
20191230 000600,0.744220,0.744330,0.744170,0.744330,0
20191230 000700,0.744330,0.744370,0.744300,0.744360,0
20191230 000800,0.744360,0.744380,0.744350,0.744380,0
20191230 000900,0.744380,0.744390,0.744350,0.744390,0
20191230 001000,0.744380,0.744410,0.744380,0.744400,0
20191230 001100,0.744390,0.744400,0.744320,0.744320,0
20191230 001200,0.744340,0.744360,0.744310,0.744330,0
20191230 001300,0.744340,0.744360,0.744320,0.744360,0
20191230 001400,0.744350,0.744410,0.744350,0.744410,0
20191230 001500,0.744410,0.744410,0.744360,0.744380,0
20191230 001600,0.744380,0.744400,0.744360,0.744390,0
20191230 001700,0.744390,0.744390,0.744360,0.744390,0
20191230 001800,0.744390,0.744430,0.744390,0.744420,0
20191230 001900,0.744410,0.744450,0.744410,0.744450,0
20191230 002000,0.744450,0.744450,0.744350,0.744370,0
20191230 002100,0.744370,0.744410,0.744370,0.744370,0
20191230 002200,0.744380,0.744410,0.744380,0.744410,0
20191230 002300,0.744410,0.744410,0.744400,0.744410,0
20191230 002400,0.744410,0.744420,0.744400,0.744420,0
20191230 002500,0.744390,0.744400,0.744390,0.744400,0
20191230 002600,0.744420,0.744440,0.744390,0.744390,0
20191230 002700,0.744390,0.744450,0.744370,0.744430,0
20191230 002800,0.744430,0.744430,0.744380,0.744380,0
20191230 002900,0.744380,0.744400,0.744330,0.744330,0
20191230 003000,0.744320,0.744330,0.744270,0.744270,0
20191230 003100,0.744270,0.744290,0.744270,0.744270,0
20191230 003200,0.744270,0.744280,0.744270,0.744270,0
20191230 003300,0.744270,0.744300,0.744240,0.744250,0
20191230 003400,0.744250,0.744280,0.744190,0.744220,0
20191230 003500,0.744250,0.744300,0.744220,0.744300,0
20191230 003600,0.744300,0.744300,0.744280,0.744300,0
20191230 003700,0.744300,0.744300,0.744260,0.744260,0
20191230 003800,0.744270,0.744280,0.744240,0.744240,0
20191230 003900,0.744250,0.744250,0.744210,0.744210,0
20191230 004000,0.744210,0.744210,0.744180,0.744200,0
20191230 004100,0.744200,0.744200,0.744160,0.744180,0
20191230 004200,0.744150,0.744210,0.744150,0.744210,0
20191230 004300,0.744200,0.744210,0.744140,0.744140,0
20191230 004400,0.744150,0.744170,0.744140,0.744170,0
20191230 004500,0.744170,0.744180,0.744170,0.744180,0
20191230 004600,0.744170,0.744180,0.744140,0.744170,0
20191230 004700,0.744150,0.744200,0.744140,0.744190,0
20191230 004800,0.744190,0.744190,0.744130,0.744130,0
20191230 004900,0.744130,0.744130,0.744060,0.744070,0
20191230 005000,0.744070,0.744170,0.744060,0.744170,0
20191230 005100,0.744160,0.744170,0.744140,0.744170,0
20191230 005200,0.744170,0.744180,0.744150,0.744170,0
20191230 005300,0.744160,0.744170,0.744100,0.744110,0
20191230 005400,0.744110,0.744120,0.744100,0.744100,0
20191230 005500,0.744100,0.744150,0.744100,0.744150,0
20191230 005600,0.744150,0.744190,0.744130,0.744190,0
20191230 005700,0.744190,0.744210,0.744180,0.744210,0
20191230 005800,0.744200,0.744240,0.744200,0.744220,0
20191230 005900,0.744230,0.744250,0.744180,0.744230,0
20191230 010000,0.744230,0.744260,0.744200,0.744210,0
20191230 010100,0.744250,0.744260,0.744140,0.744180,0
20191230 010200,0.744170,0.744170,0.744050,0.744050,0
20191230 010300,0.744050,0.744050,0.743930,0.743970,0
20191230 010400,0.743970,0.743980,0.743910,0.743940,0
20191230 010500,0.743930,0.743960,0.743910,0.743930,0
20191230 010600,0.743920,0.743940,0.743830,0.743890,0
20191230 010700,0.743900,0.743900,0.743860,0.743870,0
20191230 010800,0.743850,0.743850,0.743820,0.743820,0
20191230 010900,0.743820,0.743830,0.743790,0.743790,0
20191230 011000,0.743790,0.743790,0.743780,0.743790,0
20191230 011100,0.743790,0.743840,0.743750,0.743830,0
20191230 011200,0.743830,0.743830,0.743720,0.743720,0
20191230 011300,0.743710,0.743740,0.743710,0.743710,0
20191230 011400,0.743710,0.743710,0.743700,0.743700,0
20191230 011500,0.743700,0.743830,0.743690,0.743820,0
20191230 011600,0.743820,0.743840,0.743680,0.743680,0
20191230 011700,0.743690,0.743690,0.743670,0.743680,0
20191230 011800,0.743670,0.743710,0.743610,0.743620,0
20191230 011900,0.743610,0.743610,0.743600,0.743600,0
20191230 012000,0.743610,0.743660,0.743600,0.743600,0
20191230 012100,0.743610,0.743640,0.743600,0.743600,0
20191230 012200,0.743610,0.743620,0.743590,0.743620,0
20191230 012300,0.743620,0.743710,0.743610,0.743680,0
20191230 012400,0.743680,0.743680,0.743640,0.743650,0
