Date,Open,High,Low,Close,Volume
20191230 000000,83.535000,83.536000,83.525000,83.527000,0
20191230 000100,83.529000,83.531000,83.522000,83.526000,0
20191230 000200,83.525000,83.526000,83.520000,83.524000,0
20191230 000300,83.522000,83.532000,83.522000,83.532000,0
20191230 000400,83.532000,83.535000,83.531000,83.533000,0
20191230 000500,83.536000,83.545000,83.536000,83.544000,0
20191230 000600,83.544000,83.549000,83.544000,83.548000,0
20191230 000700,83.545000,83.549000,83.543000,83.549000,0
20191230 000800,83.549000,83.550000,83.545000,83.545000,0
20191230 000900,83.545000,83.547000,83.541000,83.545000,0
20191230 001000,83.544000,83.549000,83.544000,83.544000,0
20191230 001100,83.545000,83.549000,83.543000,83.548000,0
20191230 001200,83.549000,83.555000,83.546000,83.550000,0
20191230 001300,83.550000,83.553000,83.547000,83.552000,0
20191230 001400,83.551000,83.562000,83.550000,83.560000,0
20191230 001500,83.561000,83.561000,83.546000,83.546000,0
20191230 001600,83.546000,83.554000,83.546000,83.552000,0
20191230 001700,83.552000,83.557000,83.547000,83.556000,0
20191230 001800,83.557000,83.558000,83.555000,83.557000,0
20191230 001900,83.558000,83.562000,83.556000,83.562000,0
20191230 002000,83.561000,83.561000,83.554000,83.558000,0
20191230 002100,83.559000,83.559000,83.553000,83.556000,0
20191230 002200,83.556000,83.559000,83.553000,83.558000,0
20191230 002300,83.558000,83.559000,83.552000,83.555000,0
20191230 002400,83.555000,83.557000,83.554000,83.556000,0
20191230 002500,83.556000,83.556000,83.552000,83.554000,0
20191230 002600,83.555000,83.565000,83.554000,83.562000,0
20191230 002700,83.562000,83.568000,83.560000,83.562000,0
20191230 002800,83.563000,83.563000,83.556000,83.556000,0
20191230 002900,83.558000,83.563000,83.552000,83.553000,0
20191230 003000,83.553000,83.555000,83.548000,83.553000,0
20191230 003100,83.553000,83.557000,83.551000,83.556000,0
20191230 003200,83.556000,83.557000,83.555000,83.555000,0
20191230 003300,83.556000,83.562000,83.552000,83.556000,0
20191230 003400,83.555000,83.557000,83.548000,83.548000,0
20191230 003500,83.550000,83.557000,83.550000,83.557000,0
20191230 003600,83.557000,83.560000,83.555000,83.555000,0
20191230 003700,83.556000,83.558000,83.555000,83.557000,0
20191230 003800,83.556000,83.560000,83.553000,83.554000,0
20191230 003900,83.556000,83.559000,83.547000,83.547000,0
20191230 004000,83.544000,83.550000,83.542000,83.545000,0
20191230 004100,83.547000,83.549000,83.547000,83.548000,0
20191230 004200,83.548000,83.552000,83.545000,83.552000,0
20191230 004300,83.554000,83.554000,83.545000,83.547000,0
20191230 004400,83.545000,83.547000,83.545000,83.547000,0
20191230 004500,83.547000,83.548000,83.547000,83.547000,0
20191230 004600,83.549000,83.549000,83.544000,83.547000,0
20191230 004700,83.544000,83.548000,83.543000,83.548000,0
20191230 004800,83.547000,83.548000,83.542000,83.542000,0
20191230 004900,83.542000,83.544000,83.538000,83.544000,0
20191230 005000,83.544000,83.550000,83.543000,83.546000,0
20191230 005100,83.546000,83.547000,83.544000,83.544000,0
20191230 005200,83.544000,83.548000,83.542000,83.547000,0
20191230 005300,83.547000,83.552000,83.546000,83.546000,0
20191230 005400,83.545000,83.550000,83.543000,83.550000,0
20191230 005500,83.550000,83.555000,83.550000,83.553000,0
20191230 005600,83.554000,83.557000,83.548000,83.554000,0
20191230 005700,83.554000,83.562000,83.554000,83.561000,0
20191230 005800,83.561000,83.573000,83.561000,83.569000,0
20191230 005900,83.569000,83.582000,83.569000,83.580000,0
20191230 010000,83.580000,83.581000,83.568000,83.571000,0
20191230 010100,83.571000,83.572000,83.559000,83.560000,0
20191230 010200,83.560000,83.562000,83.546000,83.549000,0
20191230 010300,83.548000,83.549000,83.526000,83.529000,0
20191230 010400,83.529000,83.533000,83.523000,83.526000,0
20191230 010500,83.526000,83.528000,83.520000,83.522000,0
20191230 010600,83.522000,83.523000,83.516000,83.521000,0
20191230 010700,83.521000,83.522000,83.517000,83.519000,0
20191230 010800,83.518000,83.519000,83.517000,83.517000,0
20191230 010900,83.517000,83.518000,83.516000,83.517000,0
20191230 011000,83.517000,83.522000,83.517000,83.518000,0
20191230 011100,83.517000,83.526000,83.517000,83.523000,0
20191230 011200,83.523000,83.523000,83.513000,83.513000,0
20191230 011300,83.514000,83.518000,83.513000,83.514000,0
20191230 011400,83.515000,83.518000,83.513000,83.515000,0
20191230 011500,83.516000,83.532000,83.513000,83.532000,0
20191230 011600,83.532000,83.534000,83.507000,83.510000,0
20191230 011700,83.511000,83.513000,83.510000,83.511000,0
20191230 011800,83.511000,83.512000,83.499000,83.500000,0
20191230 011900,83.500000,83.505000,83.500000,83.503000,0
20191230 012000,83.504000,83.504000,83.495000,83.496000,0
20191230 012100,83.495000,83.496000,83.492000,83.493000,0
20191230 012200,83.493000,83.495000,83.488000,83.494000,0
20191230 012300,83.493000,83.496000,83.488000,83.488000,0
20191230 012400,83.490000,83.491000,83.486000,83.490000,0
20191230 012500,83.491000,83.494000,83.487000,83.494000,0
20191230 012600,83.493000,83.496000,83.487000,83.491000,0
20191230 012700,83.493000,83.500000,83.490000,83.492000,0
20191230 012800,83.491000,83.504000,83.488000,83.500000,0
20191230 012900,83.500000,83.505000,83.493000,83.497000,0
20191230 013000,83.495000,83.498000,83.491000,83.493000,0
20191230 013100,83.493000,83.497000,83.493000,83.495000,0
20191230 013200,83.496000,83.496000,83.488000,83.490000,0
20191230 013300,83.490000,83.491000,83.488000,83.489000,0
20191230 013400,83.489000,83.493000,83.488000,83.489000,0
20191230 013500,83.489000,83.491000,83.484000,83.487000,0
20191230 013600,83.487000,83.488000,83.483000,83.483000,0
20191230 013700,83.483000,83.485000,83.478000,83.478000,0
20191230 013800,83.478000,83.481000,83.476000,83.481000,0
20191230 013900,83.482000,83.484000,83.481000,83.482000,0
20191230 014000,83.482000,83.485000,83.482000,83.485000,0
20191230 014100,83.482000,83.485000,83.480000,83.484000,0
20191230 014200,83.485000,83.485000,83.480000,83.485000,0
20191230 014300,83.484000,83.485000,83.482000,83.484000,0
20191230 014400,83.487000,83.488000,83.484000,83.487000,0
20191230 014500,83.486000,83.488000,83.485000,83.486000,0
20191230 014600,83.487000,83.490000,83.486000,83.488000,0
20191230 014700,83.487000,83.488000,83.481000,83.484000,0
20191230 014800,83.484000,83.488000,83.484000,83.485000,0
20191230 014900,83.483000,83.487000,83.481000,83.482000,0
20191230 015000,83.483000,83.494000,83.483000,83.491000,0
20191230 015100,83.489000,83.496000,83.489000,83.496000,0
20191230 015200,83.496000,83.501000,83.494000,83.500000,0
20191230 015300,83.500000,83.500000,83.496000,83.498000,0
20191230 015400,83.499000,83.499000,83.498000,83.499000,0
20191230 015500,83.500000,83.500000,83.498000,83.498000,0
20191230 015600,83.498000,83.500000,83.497000,83.500000,0
20191230 015700,83.499000,83.500000,83.496000,83.496000,0
20191230 015800,83.496000,83.497000,83.490000,83.492000,0
20191230 015900,83.491000,83.493000,83.486000,83.492000,0
20191230 020000,83.492000,83.497000,83.492000,83.495000,0
20191230 020100,83.494000,83.503000,83.493000,83.503000,0
20191230 020200,83.503000,83.507000,83.502000,83.504000,0
20191230 020300,83.505000,83.518000,83.504000,83.516000,0
20191230 020400,83.516000,83.538000,83.516000,83.524000,0
20191230 020500,83.527000,83.530000,83.519000,83.522000,0
20191230 020600,83.524000,83.536000,83.524000,83.536000,0
20191230 020700,83.536000,83.542000,83.530000,83.541000,0
20191230 020800,83.541000,83.553000,83.541000,83.553000,0
20191230 020900,83.553000,83.559000,83.542000,83.544000,0
20191230 021000,83.543000,83.550000,83.543000,83.547000,0
20191230 021100,83.552000,83.558000,83.551000,83.551000,0
20191230 021200,83.552000,83.555000,83.548000,83.549000,0
20191230 021300,83.549000,83.549000,83.543000,83.545000,0
20191230 021400,83.546000,83.547000,83.536000,83.538000,0
20191230 021500,83.539000,83.540000,83.528000,83.534000,0
20191230 021600,83.534000,83.540000,83.534000,83.537000,0
20191230 021700,83.535000,83.540000,83.529000,83.529000,0
20191230 021800,83.529000,83.544000,83.529000,83.543000,0
20191230 021900,83.541000,83.545000,83.535000,83.539000,0
20191230 022000,83.539000,83.543000,83.536000,83.539000,0
20191230 022100,83.539000,83.541000,83.536000,83.538000,0
20191230 022200,83.538000,83.543000,83.532000,83.533000,0
20191230 022300,83.533000,83.538000,83.524000,83.525000,0
20191230 022400,83.525000,83.532000,83.520000,83.527000,0
20191230 022500,83.527000,83.531000,83.520000,83.529000,0
20191230 022600,83.527000,83.533000,83.525000,83.529000,0
20191230 022700,83.529000,83.530000,83.521000,83.523000,0
20191230 022800,83.523000,83.530000,83.523000,83.525000,0
20191230 022900,83.524000,83.530000,83.521000,83.524000,0
20191230 023000,83.524000,83.525000,83.521000,83.521000,0
20191230 023100,83.519000,83.527000,83.515000,83.522000,0
20191230 023200,83.522000,83.531000,83.520000,83.524000,0
20191230 023300,83.524000,83.529000,83.524000,83.526000,0
20191230 023400,83.526000,83.529000,83.523000,83.526000,0
20191230 023500,83.525000,83.533000,83.522000,83.524000,0
20191230 023600,83.524000,83.525000,83.517000,83.521000,0
