Date,Open,High,Low,Close,Volume
20191230 000000,112.245000,112.245000,112.229000,112.239000,0
20191230 000100,112.240000,112.242000,112.230000,112.238000,0
20191230 000200,112.236000,112.251000,112.229000,112.248000,0
20191230 000300,112.253000,112.255000,112.244000,112.247000,0
20191230 000400,112.254000,112.264000,112.250000,112.264000,0
20191230 000500,112.263000,112.270000,112.258000,112.270000,0
20191230 000600,112.271000,112.274000,112.246000,112.256000,0
20191230 000700,112.258000,112.261000,112.246000,112.257000,0
20191230 000800,112.256000,112.258000,112.247000,112.249000,0
20191230 000900,112.247000,112.253000,112.243000,112.244000,0
20191230 001000,112.245000,112.251000,112.243000,112.248000,0
20191230 001100,112.246000,112.263000,112.244000,112.258000,0
20191230 001200,112.256000,112.265000,112.246000,112.259000,0
20191230 001300,112.257000,112.264000,112.255000,112.257000,0
20191230 001400,112.257000,112.266000,112.248000,112.264000,0
20191230 001500,112.265000,112.265000,112.252000,112.255000,0
20191230 001600,112.257000,112.263000,112.253000,112.260000,0
20191230 001700,112.260000,112.263000,112.251000,112.260000,0
20191230 001800,112.258000,112.264000,112.250000,112.261000,0
20191230 001900,112.262000,112.263000,112.257000,112.260000,0
20191230 002000,112.260000,112.268000,112.248000,112.268000,0
20191230 002100,112.268000,112.270000,112.261000,112.264000,0
20191230 002200,112.263000,112.264000,112.252000,112.261000,0
20191230 002300,112.262000,112.264000,112.257000,112.257000,0
20191230 002400,112.257000,112.261000,112.247000,112.260000,0
20191230 002500,112.260000,112.264000,112.257000,112.262000,0
20191230 002600,112.261000,112.270000,112.254000,112.270000,0
20191230 002700,112.268000,112.271000,112.254000,112.264000,0
20191230 002800,112.264000,112.270000,112.253000,112.264000,0
20191230 002900,112.265000,112.273000,112.259000,112.268000,0
20191230 003000,112.268000,112.275000,112.255000,112.272000,0
20191230 003100,112.272000,112.279000,112.261000,112.278000,0
20191230 003200,112.277000,112.282000,112.276000,112.278000,0
20191230 003300,112.278000,112.287000,112.272000,112.285000,0
20191230 003400,112.282000,112.286000,112.276000,112.277000,0
20191230 003500,112.281000,112.286000,112.276000,112.279000,0
20191230 003600,112.280000,112.284000,112.270000,112.274000,0
20191230 003700,112.275000,112.282000,112.274000,112.278000,0
20191230 003800,112.281000,112.282000,112.277000,112.280000,0
20191230 003900,112.281000,112.286000,112.277000,112.277000,0
20191230 004000,112.277000,112.280000,112.261000,112.276000,0
20191230 004100,112.278000,112.284000,112.270000,112.283000,0
20191230 004200,112.284000,112.286000,112.279000,112.285000,0
20191230 004300,112.285000,112.287000,112.280000,112.285000,0
20191230 004400,112.284000,112.284000,112.280000,112.281000,0
20191230 004500,112.283000,112.286000,112.272000,112.281000,0
20191230 004600,112.277000,112.288000,112.277000,112.281000,0
20191230 004700,112.281000,112.285000,112.266000,112.281000,0
20191230 004800,112.279000,112.289000,112.273000,112.287000,0
20191230 004900,112.287000,112.294000,112.285000,112.289000,0
20191230 005000,112.292000,112.294000,112.280000,112.282000,0
20191230 005100,112.278000,112.287000,112.272000,112.277000,0
20191230 005200,112.279000,112.284000,112.275000,112.281000,0
20191230 005300,112.277000,112.294000,112.277000,112.288000,0
20191230 005400,112.288000,112.295000,112.278000,112.290000,0
20191230 005500,112.292000,112.295000,112.290000,112.293000,0
20191230 005600,112.294000,112.296000,112.271000,112.286000,0
20191230 005700,112.286000,112.294000,112.285000,112.291000,0
20191230 005800,112.292000,112.304000,112.292000,112.299000,0
20191230 005900,112.300000,112.319000,112.300000,112.314000,0
20191230 010000,112.313000,112.314000,112.298000,112.306000,0
20191230 010100,112.305000,112.305000,112.298000,112.300000,0
20191230 010200,112.300000,112.303000,112.295000,112.302000,0
20191230 010300,112.302000,112.304000,112.286000,112.289000,0
20191230 010400,112.291000,112.297000,112.288000,112.292000,0
20191230 010500,112.289000,112.297000,112.284000,112.288000,0
20191230 010600,112.290000,112.299000,112.270000,112.291000,0
20191230 010700,112.290000,112.297000,112.288000,112.293000,0
20191230 010800,112.294000,112.296000,112.292000,112.294000,0
20191230 010900,112.294000,112.300000,112.290000,112.297000,0
20191230 011000,112.297000,112.305000,112.297000,112.300000,0
20191230 011100,112.300000,112.312000,112.299000,112.306000,0
20191230 011200,112.305000,112.310000,112.300000,112.306000,0
20191230 011300,112.307000,112.311000,112.304000,112.307000,0
20191230 011400,112.307000,112.311000,112.307000,112.307000,0
20191230 011500,112.307000,112.311000,112.305000,112.307000,0
20191230 011600,112.308000,112.310000,112.294000,112.298000,0
20191230 011700,112.298000,112.303000,112.298000,112.301000,0
20191230 011800,112.302000,112.304000,112.293000,112.299000,0
20191230 011900,112.300000,112.306000,112.298000,112.305000,0
20191230 012000,112.304000,112.305000,112.295000,112.297000,0
20191230 012100,112.297000,112.299000,112.288000,112.292000,0
20191230 012200,112.292000,112.295000,112.284000,112.289000,0
20191230 012300,112.289000,112.293000,112.274000,112.276000,0
20191230 012400,112.276000,112.283000,112.275000,112.281000,0
20191230 012500,112.283000,112.285000,112.269000,112.272000,0
20191230 012600,112.273000,112.281000,112.267000,112.272000,0
20191230 012700,112.275000,112.278000,112.262000,112.262000,0
20191230 012800,112.262000,112.282000,112.262000,112.279000,0
20191230 012900,112.278000,112.280000,112.266000,112.270000,0
20191230 013000,112.269000,112.273000,112.262000,112.262000,0
20191230 013100,112.259000,112.262000,112.248000,112.250000,0
20191230 013200,112.251000,112.251000,112.237000,112.249000,0
20191230 013300,112.249000,112.249000,112.241000,112.248000,0
20191230 013400,112.248000,112.252000,112.240000,112.245000,0
20191230 013500,112.246000,112.250000,112.235000,112.235000,0
20191230 013600,112.238000,112.238000,112.229000,112.231000,0
20191230 013700,112.231000,112.240000,112.229000,112.230000,0
20191230 013800,112.231000,112.235000,112.230000,112.233000,0
20191230 013900,112.233000,112.237000,112.225000,112.237000,0
20191230 014000,112.236000,112.239000,112.235000,112.239000,0
20191230 014100,112.237000,112.245000,112.234000,112.237000,0
20191230 014200,112.238000,112.242000,112.236000,112.241000,0
20191230 014300,112.238000,112.240000,112.236000,112.237000,0
20191230 014400,112.233000,112.240000,112.233000,112.239000,0
20191230 014500,112.240000,112.243000,112.237000,112.239000,0
20191230 014600,112.239000,112.243000,112.238000,112.239000,0
20191230 014700,112.239000,112.247000,112.237000,112.246000,0
20191230 014800,112.247000,112.252000,112.245000,112.245000,0
20191230 014900,112.244000,112.246000,112.240000,112.241000,0
20191230 015000,112.242000,112.249000,112.241000,112.246000,0
20191230 015100,112.246000,112.248000,112.246000,112.247000,0
20191230 015200,112.248000,112.262000,112.244000,112.260000,0
20191230 015300,112.257000,112.261000,112.242000,112.258000,0
20191230 015400,112.258000,112.262000,112.247000,112.259000,0
20191230 015500,112.259000,112.269000,112.250000,112.263000,0
20191230 015600,112.266000,112.270000,112.252000,112.270000,0
20191230 015700,112.269000,112.278000,112.265000,112.276000,0
20191230 015800,112.273000,112.285000,112.269000,112.284000,0
20191230 015900,112.284000,112.285000,112.268000,112.282000,0
20191230 020000,112.283000,112.293000,112.280000,112.284000,0
20191230 020100,112.284000,112.291000,112.282000,112.283000,0
20191230 020200,112.283000,112.283000,112.282000,112.283000,0
20191230 020300,112.286000,112.288000,112.282000,112.282000,0
20191230 020400,112.283000,112.296000,112.283000,112.289000,0
20191230 020500,112.289000,112.290000,112.289000,112.289000,0
20191230 020600,112.290000,112.295000,112.290000,112.293000,0
20191230 020700,112.294000,112.296000,112.288000,112.292000,0
20191230 020800,112.292000,112.304000,112.292000,112.299000,0
20191230 020900,112.299000,112.308000,112.289000,112.290000,0
20191230 021000,112.289000,112.296000,112.289000,112.296000,0
20191230 021100,112.294000,112.299000,112.292000,112.295000,0
20191230 021200,112.295000,112.295000,112.289000,112.292000,0
20191230 021300,112.291000,112.291000,112.287000,112.290000,0
20191230 021400,112.290000,112.292000,112.288000,112.290000,0
20191230 021500,112.289000,112.291000,112.272000,112.276000,0
20191230 021600,112.274000,112.276000,112.270000,112.273000,0
20191230 021700,112.273000,112.281000,112.268000,112.268000,0
20191230 021800,112.266000,112.277000,112.265000,112.268000,0
20191230 021900,112.267000,112.275000,112.267000,112.269000,0
20191230 022000,112.269000,112.272000,112.268000,112.269000,0
20191230 022100,112.270000,112.271000,112.264000,112.264000,0
20191230 022200,112.264000,112.268000,112.255000,112.257000,0
20191230 022300,112.258000,112.263000,112.258000,112.260000,0
20191230 022400,112.259000,112.266000,112.253000,112.259000,0
20191230 022500,112.259000,112.266000,112.253000,112.258000,0
20191230 022600,112.259000,112.261000,112.253000,112.254000,0
20191230 022700,112.253000,112.254000,112.243000,112.247000,0
20191230 022800,112.246000,112.253000,112.246000,112.252000,0
20191230 022900,112.254000,112.259000,112.244000,112.245000,0
20191230 023000,112.246000,112.248000,112.237000,112.239000,0
20191230 023100,112.236000,112.243000,112.228000,112.229000,0
20191230 023200,112.229000,112.239000,112.228000,112.234000,0
20191230 023300,112.235000,112.239000,112.233000,112.233000,0
20191230 023400,112.236000,112.240000,112.225000,112.225000,0
20191230 023500,112.225000,112.229000,112.217000,112.229000,0
20191230 023600,112.229000,112.229000,112.220000,112.221000,0
20191230 023700,112.221000,112.229000,112.218000,112.223000,0
20191230 023800,112.223000,112.234000,112.222000,112.230000,0
20191230 023900,112.230000,112.230000,112.226000,112.227000,0
20191230 024000,112.227000,112.228000,112.220000,112.220000,0
20191230 024100,112.224000,112.224000,112.212000,112.213000,0
20191230 024200,112.214000,112.226000,112.213000,112.226000,0
20191230 024300,112.222000,112.227000,112.218000,112.221000,0
20191230 024400,112.221000,112.221000,112.215000,112.215000,0
20191230 024500,112.217000,112.222000,112.215000,112.220000,0
20191230 024600,112.219000,112.229000,112.215000,112.228000,0
20191230 024700,112.227000,112.237000,112.225000,112.228000,0
20191230 024800,112.228000,112.239000,112.228000,112.233000,0
20191230 024900,112.231000,112.235000,112.227000,112.227000,0
20191230 025000,112.228000,112.229000,112.212000,112.214000,0
20191230 025100,112.214000,112.217000,112.197000,112.197000,0
20191230 025200,112.203000,112.203000,112.181000,112.181000,0
20191230 025300,112.181000,112.182000,112.174000,112.181000,0
20191230 025400,112.178000,112.180000,112.173000,112.175000,0
20191230 025500,112.174000,112.199000,112.174000,112.198000,0
20191230 025600,112.199000,112.201000,112.194000,112.198000,0
20191230 025700,112.200000,112.201000,112.186000,112.187000,0
20191230 025800,112.189000,112.191000,112.179000,112.179000,0
20191230 025900,112.179000,112.180000,112.161000,112.169000,0
20191230 030000,112.169000,112.176000,112.162000,112.171000,0
20191230 030100,112.171000,112.212000,112.171000,112.209000,0
20191230 030200,112.209000,112.209000,112.189000,112.198000,0
20191230 030300,112.198000,112.212000,112.198000,112.211000,0
20191230 030400,112.211000,112.214000,112.207000,112.211000,0
20191230 030500,112.213000,112.221000,112.213000,112.221000,0
20191230 030600,112.221000,112.246000,112.221000,112.243000,0
20191230 030700,112.243000,112.252000,112.241000,112.245000,0
20191230 030800,112.249000,112.251000,112.240000,112.251000,0
20191230 030900,112.252000,112.252000,112.243000,112.248000,0
20191230 031000,112.249000,112.261000,112.244000,112.250000,0
20191230 031100,112.251000,112.260000,112.251000,112.258000,0
20191230 031200,112.261000,112.261000,112.253000,112.260000,0
20191230 031300,112.261000,112.265000,112.256000,112.256000,0
20191230 031400,112.258000,112.258000,112.245000,112.257000,0
20191230 031500,112.259000,112.259000,112.247000,112.259000,0
20191230 031600,112.259000,112.259000,112.230000,112.231000,0
20191230 031700,112.229000,112.231000,112.224000,112.228000,0
20191230 031800,112.228000,112.228000,112.224000,112.226000,0
20191230 031900,112.225000,112.231000,112.223000,112.226000,0
20191230 032000,112.226000,112.228000,112.219000,112.220000,0
20191230 032100,112.221000,112.238000,112.221000,112.238000,0
20191230 032200,112.239000,112.241000,112.223000,112.228000,0
20191230 032300,112.227000,112.235000,112.226000,112.233000,0
20191230 032400,112.233000,112.233000,112.219000,112.227000,0
20191230 032500,112.227000,112.227000,112.206000,112.209000,0
20191230 032600,112.208000,112.215000,112.205000,112.213000,0
20191230 032700,112.216000,112.220000,112.196000,112.202000,0
20191230 032800,112.202000,112.208000,112.191000,112.206000,0
20191230 032900,112.206000,112.209000,112.201000,112.201000,0
20191230 033000,112.201000,112.217000,112.200000,112.203000,0
20191230 033100,112.203000,112.204000,112.195000,112.200000,0
20191230 033200,112.200000,112.202000,112.196000,112.199000,0
20191230 033300,112.199000,112.202000,112.199000,112.201000,0
20191230 033400,112.201000,112.201000,112.188000,112.193000,0
20191230 033500,112.193000,112.207000,112.193000,112.199000,0
20191230 033600,112.200000,112.205000,112.200000,112.204000,0
20191230 033700,112.202000,112.205000,112.194000,112.205000,0
20191230 033800,112.205000,112.209000,112.191000,112.191000,0
20191230 033900,112.191000,112.192000,112.182000,112.191000,0
20191230 034000,112.191000,112.198000,112.190000,112.196000,0
20191230 034100,112.193000,112.200000,112.193000,112.197000,0
20191230 034200,112.197000,112.199000,112.177000,112.178000,0
20191230 034300,112.178000,112.189000,112.165000,112.184000,0
20191230 034400,112.184000,112.184000,112.171000,112.176000,0
20191230 034500,112.175000,112.187000,112.175000,112.183000,0
20191230 034600,112.181000,112.181000,112.171000,112.180000,0
20191230 034700,112.180000,112.181000,112.176000,112.176000,0
20191230 034800,112.177000,112.181000,112.166000,112.166000,0
20191230 034900,112.166000,112.173000,112.161000,112.161000,0
20191230 035000,112.161000,112.173000,112.161000,112.165000,0
20191230 035100,112.165000,112.179000,112.161000,112.176000,0
20191230 035200,112.175000,112.177000,112.168000,112.169000,0
20191230 035300,112.171000,112.173000,112.163000,112.168000,0
20191230 035400,112.168000,112.177000,112.163000,112.176000,0
20191230 035500,112.178000,112.178000,112.162000,112.167000,0
20191230 035600,112.164000,112.169000,112.157000,112.163000,0
20191230 035700,112.160000,112.162000,112.157000,112.158000,0
20191230 035800,112.158000,112.164000,112.154000,112.154000,0
20191230 035900,112.154000,112.163000,112.154000,112.162000,0
20191230 040000,112.163000,112.166000,112.161000,112.164000,0
20191230 040100,112.164000,112.165000,112.150000,112.150000,0
20191230 040200,112.152000,112.155000,112.145000,112.146000,0
20191230 040300,112.145000,112.147000,112.142000,112.147000,0
20191230 040400,112.147000,112.153000,112.144000,112.144000,0
20191230 040500,112.145000,112.147000,112.135000,112.139000,0
20191230 040600,112.139000,112.144000,112.133000,112.133000,0
20191230 040700,112.132000,112.132000,112.114000,112.124000,0
20191230 040800,112.122000,112.122000,112.116000,112.118000,0
20191230 040900,112.118000,112.124000,112.118000,112.119000,0
20191230 041000,112.119000,112.136000,112.119000,112.135000,0
20191230 041100,112.135000,112.149000,112.135000,112.149000,0
20191230 041200,112.149000,112.156000,112.145000,112.152000,0
20191230 041300,112.152000,112.156000,112.148000,112.148000,0
20191230 041400,112.148000,112.170000,112.148000,112.154000,0
20191230 041500,112.154000,112.162000,112.152000,112.162000,0
20191230 041600,112.163000,112.178000,112.163000,112.178000,0
20191230 041700,112.178000,112.184000,112.177000,112.179000,0
20191230 041800,112.178000,112.180000,112.171000,112.171000,0
20191230 041900,112.171000,112.178000,112.171000,112.177000,0
20191230 042000,112.177000,112.178000,112.168000,112.170000,0
20191230 042100,112.170000,112.170000,112.159000,112.166000,0
20191230 042200,112.166000,112.171000,112.165000,112.165000,0
20191230 042300,112.167000,112.167000,112.157000,112.164000,0
20191230 042400,112.164000,112.166000,112.158000,112.158000,0
20191230 042500,112.158000,112.160000,112.146000,112.146000,0
20191230 042600,112.146000,112.146000,112.142000,112.143000,0
20191230 042700,112.143000,112.150000,112.142000,112.146000,0
20191230 042800,112.147000,112.150000,112.146000,112.148000,0
20191230 042900,112.148000,112.149000,112.142000,112.142000,0
20191230 043000,112.142000,112.147000,112.136000,112.141000,0
20191230 043100,112.141000,112.151000,112.138000,112.138000,0
20191230 043200,112.140000,112.149000,112.137000,112.141000,0
20191230 043300,112.141000,112.147000,112.139000,112.146000,0
20191230 043400,112.146000,112.154000,112.144000,112.154000,0
20191230 043500,112.154000,112.157000,112.152000,112.156000,0
20191230 043600,112.156000,112.160000,112.149000,112.149000,0
20191230 043700,112.148000,112.149000,112.139000,112.142000,0
20191230 043800,112.142000,112.143000,112.140000,112.143000,0
20191230 043900,112.144000,112.187000,112.144000,112.187000,0
20191230 044000,112.187000,112.190000,112.179000,112.183000,0
20191230 044100,112.183000,112.186000,112.175000,112.186000,0
20191230 044200,112.186000,112.186000,112.177000,112.177000,0
