Date,Open,High,Low,Close,Volume
20191230 000000,1.601870,1.601950,1.601810,1.601840,0
20191230 000100,1.601820,1.601990,1.601820,1.601940,0
20191230 000200,1.601930,1.602230,1.601930,1.602230,0
20191230 000300,1.602230,1.602290,1.602200,1.602290,0
20191230 000400,1.602280,1.602280,1.602220,1.602260,0
20191230 000500,1.602250,1.602250,1.601940,1.601980,0
20191230 000600,1.601980,1.601990,1.601690,1.601710,0
20191230 000700,1.601700,1.601700,1.601550,1.601550,0
20191230 000800,1.601580,1.601610,1.601370,1.601410,0
20191230 000900,1.601410,1.601520,1.601340,1.601370,0
20191230 001000,1.601370,1.601610,1.601310,1.601540,0
20191230 001100,1.601540,1.601600,1.601470,1.601570,0
20191230 001200,1.601570,1.601630,1.601430,1.601440,0
20191230 001300,1.601430,1.601600,1.601430,1.601490,0
20191230 001400,1.601480,1.601600,1.601390,1.601390,0
20191230 001500,1.601410,1.601700,1.601390,1.601670,0
20191230 001600,1.601670,1.601670,1.601520,1.601600,0
20191230 001700,1.601580,1.601820,1.601560,1.601820,0
20191230 001800,1.601820,1.601870,1.601770,1.601830,0
20191230 001900,1.601830,1.601830,1.601730,1.601730,0
20191230 002000,1.601730,1.601870,1.601730,1.601870,0
20191230 002100,1.601870,1.601870,1.601790,1.601830,0
20191230 002200,1.601830,1.602070,1.601830,1.602070,0
20191230 002300,1.602070,1.602090,1.601950,1.602050,0
20191230 002400,1.602050,1.602060,1.601920,1.601940,0
20191230 002500,1.601950,1.602100,1.601950,1.602100,0
20191230 002600,1.602100,1.602100,1.601660,1.601720,0
20191230 002700,1.601720,1.601960,1.601680,1.601940,0
20191230 002800,1.601940,1.602040,1.601940,1.601970,0
20191230 002900,1.601980,1.602040,1.601890,1.602030,0
20191230 003000,1.602040,1.602300,1.602040,1.602240,0
20191230 003100,1.602210,1.602240,1.602150,1.602150,0
20191230 003200,1.602170,1.602340,1.602170,1.602290,0
20191230 003300,1.602300,1.602350,1.602150,1.602190,0
20191230 003400,1.602200,1.602200,1.602160,1.602200,0
20191230 003500,1.602180,1.602270,1.602160,1.602270,0
20191230 003600,1.602270,1.602270,1.602190,1.602210,0
20191230 003700,1.602200,1.602210,1.602170,1.602180,0
20191230 003800,1.602180,1.602210,1.602160,1.602190,0
20191230 003900,1.602190,1.602330,1.602120,1.602330,0
20191230 004000,1.602330,1.602590,1.602330,1.602550,0
20191230 004100,1.602540,1.602620,1.602540,1.602540,0
20191230 004200,1.602560,1.602630,1.602540,1.602540,0
20191230 004300,1.602550,1.602560,1.602550,1.602560,0
20191230 004400,1.602530,1.602530,1.602440,1.602440,0
20191230 004500,1.602440,1.602520,1.602440,1.602490,0
20191230 004600,1.602490,1.602670,1.602490,1.602670,0
20191230 004700,1.602630,1.602650,1.602110,1.602170,0
20191230 004800,1.602170,1.602290,1.602150,1.602250,0
20191230 004900,1.602250,1.602370,1.602230,1.602370,0
20191230 005000,1.602370,1.602410,1.602350,1.602410,0
20191230 005100,1.602410,1.602560,1.602300,1.602500,0
20191230 005200,1.602470,1.602590,1.602320,1.602320,0
20191230 005300,1.602320,1.602440,1.602310,1.602390,0
20191230 005400,1.602420,1.602520,1.602400,1.602500,0
20191230 005500,1.602490,1.602500,1.602250,1.602420,0
20191230 005600,1.602420,1.602420,1.602150,1.602170,0
20191230 005700,1.602190,1.602210,1.602010,1.602040,0
20191230 005800,1.602010,1.602190,1.601750,1.601800,0
