Date,Open,High,Low,Close,Volume
20191230 000000,1.462740,1.462830,1.462650,1.462800,0
20191230 000100,1.462780,1.462830,1.462760,1.462830,0
20191230 000200,1.462820,1.462930,1.462790,1.462930,0
20191230 000300,1.462910,1.462980,1.462890,1.462940,0
20191230 000400,1.462900,1.462920,1.462830,1.462910,0
20191230 000500,1.462910,1.462920,1.462790,1.462900,0
20191230 000600,1.462900,1.462900,1.462780,1.462790,0
20191230 000700,1.462780,1.462890,1.462750,1.462750,0
20191230 000800,1.462740,1.462790,1.462730,1.462790,0
20191230 000900,1.462780,1.462810,1.462730,1.462750,0
20191230 001000,1.462750,1.462780,1.462710,1.462730,0
20191230 001100,1.462720,1.462760,1.462670,1.462720,0
20191230 001200,1.462730,1.462780,1.462720,1.462730,0
20191230 001300,1.462730,1.462860,1.462730,1.462760,0
20191230 001400,1.462760,1.462820,1.462700,1.462720,0
20191230 001500,1.462700,1.462830,1.462670,1.462820,0
20191230 001600,1.462800,1.462850,1.462750,1.462800,0
20191230 001700,1.462800,1.462840,1.462750,1.462770,0
20191230 001800,1.462770,1.462790,1.462710,1.462760,0
20191230 001900,1.462760,1.462770,1.462640,1.462650,0
20191230 002000,1.462650,1.462790,1.462650,1.462780,0
20191230 002100,1.462770,1.462790,1.462700,1.462790,0
20191230 002200,1.462770,1.462800,1.462720,1.462740,0
20191230 002300,1.462760,1.462820,1.462670,1.462680,0
20191230 002400,1.462680,1.462700,1.462600,1.462620,0
20191230 002500,1.462620,1.462740,1.462620,1.462740,0
20191230 002600,1.462760,1.462780,1.462690,1.462780,0
20191230 002700,1.462790,1.462880,1.462780,1.462800,0
20191230 002800,1.462820,1.462890,1.462820,1.462860,0
20191230 002900,1.462850,1.462940,1.462830,1.462940,0
20191230 003000,1.462930,1.463010,1.462930,1.463010,0
20191230 003100,1.463010,1.463010,1.462950,1.462970,0
20191230 003200,1.462960,1.463010,1.462960,1.462970,0
20191230 003300,1.463000,1.463070,1.462990,1.462990,0
20191230 003400,1.463000,1.463080,1.462960,1.463040,0
20191230 003500,1.463020,1.463050,1.462980,1.463000,0
20191230 003600,1.463000,1.463000,1.462890,1.462910,0
20191230 003700,1.462880,1.462920,1.462880,1.462920,0
20191230 003800,1.462910,1.462960,1.462870,1.462940,0
20191230 003900,1.462890,1.462990,1.462890,1.462980,0
20191230 004000,1.462990,1.463010,1.462930,1.462980,0
20191230 004100,1.462970,1.462990,1.462970,1.462970,0
20191230 004200,1.463000,1.463010,1.462910,1.462910,0
20191230 004300,1.462920,1.462990,1.462890,1.462990,0
20191230 004400,1.463000,1.463000,1.462940,1.462940,0
20191230 004500,1.462950,1.462950,1.462940,1.462940,0
20191230 004600,1.462970,1.463050,1.462960,1.463050,0
20191230 004700,1.463040,1.463060,1.463000,1.463030,0
20191230 004800,1.463010,1.463080,1.463000,1.463080,0
20191230 004900,1.463100,1.463160,1.463060,1.463140,0
20191230 005000,1.463150,1.463160,1.463060,1.463150,0
20191230 005100,1.463150,1.463290,1.463100,1.463250,0
20191230 005200,1.463250,1.463400,1.463240,1.463320,0
20191230 005300,1.463390,1.463390,1.463260,1.463270,0
20191230 005400,1.463270,1.463300,1.463250,1.463270,0
20191230 005500,1.463260,1.463300,1.463210,1.463220,0
20191230 005600,1.463210,1.463210,1.463020,1.463050,0
20191230 005700,1.463020,1.463120,1.463000,1.463100,0
20191230 005800,1.463110,1.463110,1.462960,1.463080,0
20191230 005900,1.463060,1.463130,1.463020,1.463060,0
20191230 010000,1.463050,1.463090,1.463000,1.463030,0
20191230 010100,1.463050,1.463170,1.463010,1.463160,0
20191230 010200,1.463180,1.463300,1.463150,1.463300,0
20191230 010300,1.463290,1.463470,1.463280,1.463440,0
