Date,Open,High,Low,Close,Volume
20191230 000000,1.089070,1.089090,1.089030,1.089060,0
20191230 000100,1.089090,1.089090,1.089030,1.089060,0
20191230 000200,1.089070,1.089080,1.089020,1.089020,0
20191230 000300,1.089020,1.089030,1.089000,1.089020,0
20191230 000400,1.089000,1.089000,1.088960,1.088960,0
20191230 000500,1.088970,1.089010,1.088970,1.088990,0
20191230 000600,1.089000,1.089090,1.088970,1.089090,0
20191230 000700,1.089100,1.089100,1.089070,1.089100,0
20191230 000800,1.089090,1.089180,1.089090,1.089180,0
20191230 000900,1.089160,1.089180,1.089160,1.089180,0
20191230 001000,1.089180,1.089190,1.089100,1.089100,0
20191230 001100,1.089100,1.089100,1.089060,1.089080,0
20191230 001200,1.089080,1.089100,1.089080,1.089100,0
20191230 001300,1.089100,1.089120,1.089090,1.089100,0
20191230 001400,1.089110,1.089150,1.089110,1.089120,0
20191230 001500,1.089130,1.089150,1.089090,1.089150,0
20191230 001600,1.089140,1.089150,1.089130,1.089150,0
20191230 001700,1.089150,1.089150,1.089110,1.089140,0
20191230 001800,1.089150,1.089150,1.089130,1.089150,0
20191230 001900,1.089140,1.089150,1.089130,1.089130,0
20191230 002000,1.089140,1.089150,1.089100,1.089100,0
20191230 002100,1.089100,1.089150,1.089100,1.089130,0
20191230 002200,1.089140,1.089140,1.089130,1.089140,0
20191230 002300,1.089150,1.089160,1.089130,1.089130,0
20191230 002400,1.089120,1.089120,1.089080,1.089080,0
20191230 002500,1.089080,1.089140,1.089080,1.089140,0
20191230 002600,1.089140,1.089160,1.089140,1.089150,0
20191230 002700,1.089150,1.089240,1.089140,1.089230,0
20191230 002800,1.089210,1.089230,1.089210,1.089220,0
20191230 002900,1.089210,1.089230,1.089190,1.089200,0
20191230 003000,1.089200,1.089210,1.089160,1.089160,0
20191230 003100,1.089170,1.089170,1.089160,1.089160,0
20191230 003200,1.089160,1.089170,1.089160,1.089170,0
20191230 003300,1.089170,1.089180,1.089160,1.089160,0
20191230 003400,1.089160,1.089170,1.089120,1.089120,0
20191230 003500,1.089140,1.089170,1.089140,1.089170,0
20191230 003600,1.089130,1.089130,1.089080,1.089130,0
20191230 003700,1.089110,1.089110,1.089080,1.089080,0
20191230 003800,1.089080,1.089080,1.089060,1.089070,0
20191230 003900,1.089060,1.089080,1.089050,1.089060,0
20191230 004000,1.089060,1.089080,1.089010,1.089010,0
20191230 004100,1.089040,1.089040,1.088990,1.088990,0
