Date,Open,High,Low,Close,Volume
20191230 000000,25.441900,25.443400,25.441900,25.443400,0
20191230 000200,25.443500,25.444400,25.443400,25.443400,0
20191230 000300,25.441800,25.441800,25.441800,25.441800,0
20191230 000400,25.443400,25.443400,25.443400,25.443400,0
20191230 000600,25.443400,25.443400,25.443400,25.443400,0
20191230 000700,25.443400,25.443400,25.443400,25.443400,0
20191230 000900,25.443400,25.443400,25.443400,25.443400,0
20191230 001100,25.443400,25.443400,25.443400,25.443400,0
20191230 001300,25.443400,25.443400,25.443400,25.443400,0
20191230 001400,25.443400,25.443400,25.443400,25.443400,0
20191230 001500,25.443400,25.443400,25.443400,25.443400,0
20191230 002700,25.443400,25.443400,25.443400,25.443400,0
20191230 003500,25.441800,25.443400,25.441800,25.443400,0
20191230 003600,25.441400,25.443400,25.414400,25.443400,0
20191230 003700,25.441400,25.443400,25.441400,25.443400,0
20191230 003800,25.443400,25.443400,25.439200,25.443400,0
20191230 003900,25.443400,25.444400,25.443400,25.444400,0
20191230 004000,25.443400,25.444400,25.443400,25.444400,0
20191230 004100,25.441900,25.444400,25.441900,25.444400,0
20191230 004300,25.444400,25.444400,25.444400,25.444400,0
20191230 004400,25.443400,25.443400,25.443400,25.443400,0
20191230 004500,25.443400,25.443400,25.441700,25.443400,0
20191230 004600,25.444400,25.444400,25.444400,25.444400,0
20191230 004700,25.443400,25.444400,25.443400,25.444400,0
20191230 004800,25.443400,25.444400,25.443400,25.444400,0
20191230 004900,25.443400,25.443400,25.443400,25.443400,0
20191230 005000,25.441400,25.443400,25.441400,25.443400,0
20191230 005100,25.441400,25.441400,25.437900,25.438000,0
20191230 005200,25.437500,25.437500,25.437500,25.437500,0
20191230 005400,25.437500,25.437500,25.437500,25.437500,0
20191230 005700,25.437500,25.438400,25.437500,25.437800,0
20191230 005800,25.437800,25.437800,25.437800,25.437800,0
20191230 005900,25.437800,25.437800,25.437800,25.437800,0
20191230 010000,25.437800,25.437800,25.437800,25.437800,0
20191230 010100,25.438300,25.438300,25.437900,25.437900,0
20191230 010200,25.437800,25.437800,25.437800,25.437800,0
20191230 010600,25.438400,25.438400,25.437800,25.437800,0
20191230 010700,25.437800,25.437800,25.437800,25.437800,0
20191230 010800,25.437800,25.437800,25.437800,25.437800,0
20191230 010900,25.437800,25.437800,25.437800,25.437800,0
20191230 011000,25.437800,25.437800,25.437800,25.437800,0
20191230 011100,25.437800,25.437800,25.437800,25.437800,0
20191230 011200,25.437800,25.437800,25.437800,25.437800,0
20191230 011400,25.437800,25.437800,25.437800,25.437800,0
20191230 011500,25.437800,25.437800,25.437800,25.437800,0
20191230 011700,25.437800,25.437800,25.437800,25.437800,0
20191230 011800,25.437800,25.438700,25.437600,25.437600,0
20191230 011900,25.437600,25.437600,25.437600,25.437600,0
20191230 012000,25.437600,25.437600,25.437600,25.437600,0
20191230 012300,25.437600,25.438600,25.437600,25.437700,0
20191230 012400,25.437700,25.437700,25.437700,25.437700,0
20191230 012500,25.437700,25.438400,25.437700,25.437700,0
20191230 012600,25.437900,25.437900,25.437700,25.437700,0
20191230 012700,25.437700,25.437700,25.437700,25.437700,0
20191230 012800,25.438300,25.438700,25.438300,25.438600,0
20191230 012900,25.437400,25.438600,25.437400,25.438600,0
20191230 013000,25.438600,25.438600,25.438600,25.438600,0
20191230 013400,25.438600,25.438600,25.438600,25.438600,0
20191230 013600,25.438600,25.438600,25.438600,25.438600,0
20191230 013800,25.438600,25.438600,25.438600,25.438600,0
20191230 013900,25.438600,25.438600,25.438600,25.438600,0
20191230 014000,25.437700,25.437700,25.437700,25.437700,0
20191230 014100,25.437700,25.437700,25.437700,25.437700,0
20191230 014200,25.437700,25.437900,25.437700,25.437900,0
20191230 014300,25.437900,25.437900,25.437700,25.437700,0
20191230 014400,25.437700,25.437900,25.437700,25.437700,0
20191230 014500,25.437700,25.437700,25.437700,25.437700,0
20191230 014600,25.437700,25.437700,25.437700,25.437700,0
20191230 014700,25.437900,25.438300,25.437900,25.437900,0
20191230 014800,25.438300,25.438400,25.437900,25.438400,0
20191230 014900,25.438400,25.438400,25.437900,25.437900,0
20191230 015000,25.437900,25.437900,25.437900,25.437900,0
20191230 015100,25.437900,25.437900,25.437900,25.437900,0
20191230 015200,25.437900,25.438200,25.437900,25.438200,0
20191230 015300,25.438200,25.438200,25.438200,25.438200,0
20191230 015400,25.438200,25.438200,25.438200,25.438200,0
20191230 015500,25.438200,25.438200,25.438200,25.438200,0
20191230 015600,25.438200,25.438200,25.438200,25.438200,0
20191230 015700,25.438200,25.438200,25.438200,25.438200,0
20191230 015800,25.438200,25.438200,25.438200,25.438200,0
20191230 015900,25.438200,25.438200,25.438200,25.438200,0
20191230 020000,25.440600,25.440600,25.440600,25.440600,0
20191230 020100,25.441300,25.441300,25.441300,25.441300,0
20191230 020600,25.441500,25.441500,25.441500,25.441500,0
20191230 020700,25.441500,25.441500,25.441500,25.441500,0
20191230 020800,25.441500,25.441500,25.441500,25.441500,0
20191230 020900,25.441500,25.441500,25.441200,25.441200,0
20191230 021000,25.441200,25.441200,25.441200,25.441200,0
20191230 021100,25.441200,25.441200,25.441200,25.441200,0
20191230 021200,25.442000,25.442000,25.442000,25.442000,0
20191230 021300,25.442000,25.456300,25.442000,25.453200,0
20191230 021400,25.454900,25.457900,25.454900,25.456500,0
20191230 021500,25.456500,25.457500,25.456500,25.456800,0
20191230 021600,25.456800,25.456800,25.456700,25.456700,0
20191230 021700,25.457800,25.457800,25.457800,25.457800,0
20191230 021800,25.458700,25.460200,25.458400,25.458400,0
20191230 021900,25.457300,25.457500,25.456400,25.457500,0
20191230 022000,25.457300,25.458500,25.455400,25.458500,0
20191230 022100,25.458600,25.460800,25.457400,25.457400,0
20191230 022200,25.457400,25.459400,25.453400,25.456400,0
20191230 022300,25.456400,25.457400,25.456400,25.456400,0
20191230 022400,25.455400,25.457400,25.455400,25.456400,0
20191230 022500,25.457400,25.457400,25.455400,25.457400,0
20191230 022600,25.457400,25.458400,25.456400,25.458400,0
20191230 022700,25.457400,25.459400,25.456400,25.456400,0
20191230 022800,25.456400,25.457400,25.456400,25.457400,0
20191230 022900,25.458400,25.458400,25.458400,25.458400,0
20191230 023000,25.456200,25.459400,25.456200,25.458400,0
