Date,Open,High,Low,Close,Volume
20191230 000000,7.469600,7.469620,7.469580,7.469610,0
20191230 000100,7.469600,7.469630,7.469570,7.469610,0
20191230 000200,7.469610,7.469620,7.469550,7.469570,0
20191230 000300,7.469560,7.469630,7.469560,7.469590,0
20191230 000400,7.469620,7.469620,7.469570,7.469610,0
20191230 000500,7.469620,7.469620,7.469570,7.469610,0
20191230 000600,7.469610,7.469610,7.469610,7.469610,0
20191230 000700,7.469610,7.469630,7.469560,7.469630,0
20191230 000800,7.469610,7.469630,7.469570,7.469610,0
20191230 000900,7.469620,7.469620,7.469580,7.469600,0
20191230 001000,7.469590,7.469620,7.469570,7.469600,0
20191230 001100,7.469590,7.469620,7.469570,7.469610,0
20191230 001200,7.469620,7.469630,7.469570,7.469610,0
20191230 001300,7.469600,7.469630,7.469580,7.469600,0
20191230 001400,7.469610,7.469630,7.469570,7.469570,0
20191230 001500,7.469610,7.469630,7.469560,7.469600,0
20191230 001600,7.469620,7.469620,7.469570,7.469590,0
20191230 001700,7.469610,7.469620,7.469560,7.469600,0
20191230 001800,7.469610,7.469630,7.469560,7.469600,0
20191230 001900,7.469600,7.469620,7.469550,7.469580,0
20191230 002000,7.469610,7.469620,7.469560,7.469610,0
20191230 002100,7.469610,7.469620,7.469590,7.469600,0
20191230 002200,7.469320,7.469600,7.469320,7.469600,0
20191230 002300,7.469600,7.469620,7.469590,7.469610,0
20191230 002400,7.469610,7.469630,7.469420,7.469610,0
20191230 002600,7.469290,7.469610,7.469290,7.469610,0
20191230 002800,7.469290,7.469610,7.469290,7.469610,0
20191230 003100,7.469620,7.469620,7.469620,7.469620,0
20191230 003200,7.469610,7.469620,7.469590,7.469610,0
20191230 003300,7.469610,7.469630,7.469570,7.469610,0
20191230 003400,7.469610,7.469620,7.469570,7.469610,0
20191230 003500,7.469620,7.469630,7.469570,7.469610,0
20191230 003600,7.469610,7.469620,7.469560,7.469600,0
20191230 003700,7.469610,7.469630,7.469560,7.469630,0
20191230 003800,7.469620,7.469630,7.469570,7.469580,0
20191230 003900,7.469600,7.469630,7.469570,7.469620,0
20191230 004000,7.469610,7.469620,7.469570,7.469610,0
20191230 004100,7.469320,7.469610,7.469320,7.469610,0
