Date,Open,High,Low,Close,Volume
20191230 020200,330.783000,330.806000,330.783000,330.806000,0
20191230 020300,330.809000,330.844000,330.784000,330.788000,0
20191230 020500,330.741000,330.761000,330.739000,330.741000,0
20191230 020600,330.738000,330.960000,330.738000,330.952000,0
20191230 020700,330.953000,331.004000,330.942000,331.004000,0
20191230 020800,330.969000,331.347000,330.969000,331.283000,0
20191230 020900,331.679000,331.735000,331.651000,331.651000,0
20191230 021000,331.671000,331.745000,331.626000,331.659000,0
20191230 021100,331.655000,331.675000,331.650000,331.671000,0
20191230 021200,331.667000,331.670000,331.528000,331.559000,0
20191230 021300,331.551000,331.559000,331.541000,331.545000,0
20191230 021400,331.555000,331.583000,331.477000,331.477000,0
20191230 021500,331.516000,331.516000,331.463000,331.463000,0
20191230 021600,331.471000,331.481000,331.470000,331.477000,0
20191230 021700,331.505000,331.511000,331.487000,331.487000,0
20191230 021800,331.487000,331.538000,331.487000,331.538000,0
20191230 021900,331.524000,331.578000,331.517000,331.556000,0
20191230 022000,331.500000,331.557000,331.495000,331.520000,0
20191230 022100,331.505000,331.505000,331.502000,331.502000,0
20191230 022200,331.507000,331.520000,331.507000,331.520000,0
20191230 022300,331.432000,331.486000,331.432000,331.486000,0
20191230 023000,331.490000,331.490000,331.435000,331.435000,0
20191230 023100,331.554000,331.559000,331.554000,331.559000,0
20191230 023300,331.459000,331.541000,331.427000,331.451000,0
20191230 023400,331.451000,331.478000,331.421000,331.428000,0
20191230 023500,331.431000,331.441000,331.390000,331.411000,0
20191230 023600,331.411000,331.437000,331.399000,331.423000,0
20191230 023700,331.425000,331.470000,331.425000,331.456000,0
20191230 023800,331.456000,331.475000,331.445000,331.459000,0
20191230 023900,331.459000,331.459000,331.405000,331.423000,0
20191230 024000,331.435000,331.440000,331.390000,331.404000,0
20191230 024100,331.405000,331.418000,331.390000,331.399000,0
20191230 024200,331.403000,331.403000,331.356000,331.356000,0
20191230 024300,331.307000,331.318000,331.296000,331.296000,0
20191230 024400,331.296000,331.312000,331.282000,331.282000,0
20191230 024500,331.294000,331.335000,331.282000,331.335000,0
20191230 024600,331.328000,331.339000,331.328000,331.338000,0
20191230 024700,331.337000,331.337000,331.318000,331.323000,0
20191230 024800,331.323000,331.323000,331.318000,331.319000,0
20191230 024900,331.319000,331.323000,331.319000,331.320000,0
20191230 025000,331.318000,331.320000,331.318000,331.320000,0
20191230 025100,331.323000,331.323000,331.320000,331.320000,0
20191230 025200,331.313000,331.327000,331.303000,331.305000,0
20191230 025300,331.308000,331.313000,331.308000,331.308000,0
20191230 025400,331.313000,331.313000,331.302000,331.302000,0
20191230 025500,331.306000,331.315000,331.276000,331.290000,0
20191230 025600,331.290000,331.297000,331.274000,331.278000,0
20191230 025700,331.295000,331.295000,331.246000,331.247000,0
20191230 025800,331.251000,331.251000,331.042000,331.115000,0
20191230 025900,331.106000,331.109000,331.072000,331.091000,0
20191230 030000,331.093000,331.100000,331.072000,331.078000,0
20191230 030100,331.073000,331.125000,331.073000,331.106000,0
20191230 030200,331.106000,331.123000,331.079000,331.123000,0
20191230 030300,331.109000,331.131000,331.082000,331.131000,0
20191230 030400,331.111000,331.137000,331.080000,331.137000,0
20191230 030500,331.130000,331.130000,331.086000,331.089000,0
20191230 030600,331.089000,331.112000,331.082000,331.098000,0
20191230 030700,331.106000,331.141000,331.075000,331.126000,0
20191230 030800,331.093000,331.150000,331.092000,331.145000,0
20191230 030900,331.145000,331.175000,331.106000,331.146000,0
20191230 031000,331.168000,331.196000,331.128000,331.196000,0
20191230 031100,331.196000,331.199000,331.135000,331.192000,0
20191230 031200,331.198000,331.210000,331.137000,331.186000,0
20191230 031300,331.186000,331.223000,331.153000,331.223000,0
20191230 031400,331.223000,331.275000,331.221000,331.266000,0
20191230 031500,331.272000,331.291000,331.259000,331.278000,0
20191230 031600,331.286000,331.317000,331.286000,331.306000,0
20191230 031700,331.267000,331.313000,331.193000,331.313000,0
20191230 031800,331.311000,331.320000,331.307000,331.320000,0
20191230 031900,331.312000,331.341000,331.309000,331.341000,0
20191230 032000,331.335000,331.335000,331.335000,331.335000,0
20191230 032100,331.334000,331.357000,331.330000,331.357000,0
20191230 032200,331.354000,331.355000,331.354000,331.355000,0
20191230 032300,331.351000,331.357000,331.351000,331.357000,0
