Date,Open,High,Low,Close,Volume
20191230 000000,122.236000,122.236000,122.222000,122.231000,0
20191230 000100,122.232000,122.235000,122.223000,122.228000,0
20191230 000200,122.230000,122.237000,122.226000,122.233000,0
20191230 000300,122.233000,122.245000,122.233000,122.245000,0
20191230 000400,122.243000,122.245000,122.238000,122.243000,0
20191230 000500,122.243000,122.257000,122.243000,122.257000,0
20191230 000600,122.257000,122.259000,122.253000,122.253000,0
20191230 000700,122.253000,122.256000,122.252000,122.252000,0
20191230 000800,122.253000,122.256000,122.250000,122.251000,0
20191230 000900,122.251000,122.251000,122.246000,122.246000,0
20191230 001000,122.246000,122.256000,122.242000,122.244000,0
20191230 001100,122.244000,122.253000,122.240000,122.253000,0
20191230 001200,122.250000,122.261000,122.249000,122.253000,0
20191230 001300,122.253000,122.262000,122.253000,122.258000,0
20191230 001400,122.258000,122.266000,122.258000,122.265000,0
20191230 001500,122.266000,122.268000,122.258000,122.259000,0
20191230 001600,122.261000,122.266000,122.258000,122.264000,0
20191230 001700,122.264000,122.268000,122.260000,122.265000,0
20191230 001800,122.265000,122.268000,122.259000,122.265000,0
20191230 001900,122.263000,122.267000,122.258000,122.260000,0
20191230 002000,122.261000,122.270000,122.260000,122.269000,0
20191230 002100,122.269000,122.271000,122.261000,122.267000,0
20191230 002200,122.267000,122.268000,122.264000,122.265000,0
20191230 002300,122.266000,122.268000,122.257000,122.258000,0
20191230 002400,122.258000,122.262000,122.256000,122.256000,0
20191230 002500,122.256000,122.265000,122.256000,122.263000,0
20191230 002600,122.264000,122.276000,122.264000,122.276000,0
20191230 002700,122.279000,122.284000,122.275000,122.278000,0
20191230 002800,122.279000,122.279000,122.277000,122.277000,0
20191230 002900,122.277000,122.281000,122.273000,122.274000,0
20191230 003000,122.274000,122.283000,122.273000,122.279000,0
20191230 003100,122.279000,122.281000,122.276000,122.281000,0
20191230 003200,122.282000,122.287000,122.280000,122.285000,0
20191230 003300,122.285000,122.293000,122.283000,122.287000,0
20191230 003400,122.287000,122.291000,122.278000,122.280000,0
20191230 003500,122.282000,122.287000,122.282000,122.287000,0
20191230 003600,122.287000,122.287000,122.278000,122.281000,0
20191230 003700,122.280000,122.285000,122.279000,122.279000,0
20191230 003800,122.279000,122.279000,122.273000,122.275000,0
20191230 003900,122.275000,122.282000,122.269000,122.272000,0
20191230 004000,122.273000,122.277000,122.264000,122.269000,0
20191230 004100,122.270000,122.273000,122.270000,122.272000,0
20191230 004200,122.274000,122.274000,122.271000,122.272000,0
20191230 004300,122.274000,122.274000,122.271000,122.273000,0
20191230 004400,122.270000,122.273000,122.267000,122.268000,0
20191230 004500,122.268000,122.272000,122.268000,122.269000,0
20191230 004600,122.272000,122.279000,122.272000,122.278000,0
20191230 004700,122.275000,122.277000,122.268000,122.274000,0
20191230 004800,122.272000,122.278000,122.272000,122.276000,0
20191230 004900,122.276000,122.285000,122.273000,122.284000,0
20191230 005000,122.285000,122.287000,122.281000,122.287000,0
20191230 005100,122.286000,122.299000,122.281000,122.290000,0
20191230 005200,122.291000,122.307000,122.291000,122.298000,0
20191230 005300,122.298000,122.305000,122.293000,122.293000,0
20191230 005400,122.295000,122.299000,122.290000,122.298000,0
20191230 005500,122.298000,122.302000,122.296000,122.300000,0
20191230 005600,122.300000,122.305000,122.275000,122.281000,0
20191230 005700,122.284000,122.302000,122.282000,122.301000,0
20191230 005800,122.301000,122.314000,122.298000,122.309000,0
20191230 005900,122.310000,122.330000,122.308000,122.326000,0
20191230 010000,122.326000,122.326000,122.305000,122.311000,0
20191230 010100,122.308000,122.312000,122.304000,122.304000,0
20191230 010200,122.304000,122.307000,122.294000,122.296000,0
20191230 010300,122.296000,122.297000,122.282000,122.285000,0
20191230 010400,122.285000,122.292000,122.281000,122.285000,0
20191230 010500,122.285000,122.286000,122.273000,122.277000,0
20191230 010600,122.277000,122.278000,122.262000,122.267000,0
20191230 010700,122.265000,122.270000,122.264000,122.269000,0
20191230 010800,122.269000,122.271000,122.269000,122.269000,0
20191230 010900,122.269000,122.269000,122.264000,122.268000,0
20191230 011000,122.268000,122.278000,122.268000,122.272000,0
20191230 011100,122.272000,122.278000,122.271000,122.273000,0
20191230 011200,122.273000,122.276000,122.270000,122.274000,0
20191230 011300,122.275000,122.279000,122.273000,122.273000,0
20191230 011400,122.273000,122.283000,122.271000,122.281000,0
20191230 011500,122.281000,122.284000,122.276000,122.282000,0
20191230 011600,122.283000,122.283000,122.264000,122.268000,0
20191230 011700,122.269000,122.273000,122.268000,122.268000,0
20191230 011800,122.268000,122.269000,122.246000,122.252000,0
20191230 011900,122.252000,122.262000,122.251000,122.259000,0
20191230 012000,122.259000,122.262000,122.248000,122.250000,0
20191230 012100,122.250000,122.252000,122.243000,122.245000,0
20191230 012200,122.245000,122.246000,122.235000,122.235000,0
20191230 012300,122.235000,122.235000,122.206000,122.208000,0
20191230 012400,122.209000,122.215000,122.201000,122.212000,0
20191230 012500,122.211000,122.211000,122.193000,122.198000,0
20191230 012600,122.199000,122.211000,122.192000,122.201000,0
20191230 012700,122.202000,122.213000,122.200000,122.207000,0
20191230 012800,122.207000,122.222000,122.196000,122.215000,0
20191230 012900,122.215000,122.229000,122.209000,122.225000,0
20191230 013000,122.228000,122.229000,122.210000,122.211000,0
20191230 013100,122.211000,122.214000,122.207000,122.212000,0
20191230 013200,122.213000,122.217000,122.208000,122.211000,0
20191230 013300,122.211000,122.222000,122.207000,122.220000,0
20191230 013400,122.219000,122.219000,122.204000,122.204000,0
20191230 013500,122.204000,122.208000,122.196000,122.196000,0
20191230 013600,122.196000,122.200000,122.190000,122.192000,0
20191230 013700,122.191000,122.206000,122.187000,122.193000,0
20191230 013800,122.192000,122.201000,122.191000,122.198000,0
20191230 013900,122.198000,122.198000,122.192000,122.195000,0
20191230 014000,122.196000,122.204000,122.195000,122.195000,0
20191230 014100,122.196000,122.205000,122.193000,122.198000,0
20191230 014200,122.198000,122.204000,122.194000,122.204000,0
20191230 014300,122.204000,122.206000,122.200000,122.200000,0
20191230 014400,122.200000,122.210000,122.200000,122.208000,0
20191230 014500,122.208000,122.211000,122.206000,122.207000,0
20191230 014600,122.208000,122.208000,122.207000,122.207000,0
20191230 014700,122.206000,122.211000,122.202000,122.211000,0
20191230 014800,122.211000,122.225000,122.211000,122.219000,0
20191230 014900,122.216000,122.220000,122.207000,122.207000,0
20191230 015000,122.208000,122.216000,122.208000,122.212000,0
20191230 015100,122.212000,122.215000,122.210000,122.214000,0
20191230 015200,122.216000,122.225000,122.216000,122.225000,0
20191230 015300,122.224000,122.224000,122.219000,122.222000,0
20191230 015400,122.221000,122.226000,122.221000,122.223000,0
20191230 015500,122.227000,122.228000,122.223000,122.226000,0
20191230 015600,122.226000,122.232000,122.226000,122.232000,0
20191230 015700,122.232000,122.236000,122.229000,122.234000,0
20191230 015800,122.234000,122.234000,122.231000,122.233000,0
20191230 015900,122.235000,122.239000,122.229000,122.235000,0
20191230 020000,122.236000,122.242000,122.232000,122.242000,0
20191230 020100,122.239000,122.256000,122.239000,122.253000,0
20191230 020200,122.256000,122.258000,122.252000,122.254000,0
20191230 020300,122.258000,122.264000,122.253000,122.257000,0
20191230 020400,122.257000,122.293000,122.257000,122.274000,0
20191230 020500,122.279000,122.286000,122.270000,122.279000,0
20191230 020600,122.278000,122.304000,122.278000,122.292000,0
20191230 020700,122.294000,122.308000,122.290000,122.305000,0
20191230 020800,122.306000,122.338000,122.305000,122.335000,0
20191230 020900,122.333000,122.354000,122.322000,122.328000,0
