Date,Open,High,Low,Close,Volume
20191230 000000,9.856100,9.856740,9.853940,9.853940,0
20191230 000100,9.853940,9.854840,9.853840,9.854140,0
20191230 000200,9.854230,9.854840,9.853940,9.854340,0
20191230 000300,9.854340,9.854840,9.854140,9.854140,0
20191230 000400,9.854140,9.854840,9.853340,9.853340,0
20191230 000500,9.853440,9.853440,9.852140,9.852240,0
20191230 000600,9.852340,9.852340,9.851640,9.851640,0
20191230 000700,9.851540,9.852140,9.851540,9.851640,0
20191230 000800,9.851640,9.852140,9.851430,9.851640,0
20191230 000900,9.851730,9.852340,9.851140,9.851640,0
20191230 001000,9.851540,9.852340,9.851330,9.851740,0
20191230 001100,9.851640,9.855160,9.851440,9.854850,0
20191230 001200,9.854840,9.857340,9.852940,9.852940,0
20191230 001300,9.852940,9.853240,9.852130,9.852840,0
20191230 001400,9.852740,9.853240,9.852640,9.852740,0
20191230 001500,9.852740,9.853040,9.852140,9.852540,0
20191230 001600,9.852640,9.853040,9.852640,9.852740,0
20191230 001700,9.852430,9.853040,9.852430,9.852840,0
20191230 001800,9.852840,9.853240,9.852540,9.852840,0
20191230 001900,9.852640,9.853140,9.852540,9.852940,0
20191230 002000,9.852740,9.853340,9.852540,9.853040,0
20191230 002100,9.852840,9.853140,9.852540,9.853040,0
20191230 002200,9.852840,9.853240,9.852540,9.853240,0
20191230 002300,9.853040,9.853330,9.852640,9.853140,0
20191230 002400,9.853240,9.853340,9.852530,9.853230,0
20191230 002500,9.852940,9.853240,9.852540,9.853240,0
20191230 002600,9.853140,9.853340,9.851700,9.851740,0
20191230 002700,9.851740,9.857920,9.851740,9.854240,0
20191230 002800,9.854540,9.854840,9.853040,9.853140,0
20191230 002900,9.853030,9.853430,9.852540,9.852740,0
20191230 003000,9.852740,9.855210,9.852040,9.855110,0
20191230 003100,9.855110,9.855740,9.855090,9.855540,0
20191230 003200,9.855540,9.856040,9.855240,9.855400,0
20191230 003300,9.855400,9.855970,9.853600,9.853840,0
20191230 003400,9.853840,9.854340,9.853340,9.853870,0
20191230 003500,9.853870,9.854380,9.853870,9.853930,0
20191230 003600,9.853930,9.854440,9.853070,9.853280,0
20191230 003700,9.853290,9.853740,9.852640,9.852640,0
20191230 003800,9.852640,9.853140,9.852530,9.852540,0
20191230 003900,9.852540,9.853740,9.852540,9.853300,0
20191230 004000,9.853310,9.853740,9.853140,9.853540,0
20191230 004100,9.853440,9.853740,9.853300,9.853540,0
20191230 004200,9.853340,9.856290,9.852340,9.855270,0
20191230 004300,9.855280,9.855280,9.852280,9.852280,0
20191230 004400,9.852260,9.852340,9.852260,9.852280,0
20191230 004500,9.852280,9.856570,9.852280,9.856430,0
20191230 004600,9.856440,9.856590,9.856440,9.856590,0
20191230 004700,9.856590,9.858180,9.853340,9.853940,0
20191230 004800,9.854120,9.854240,9.854120,9.854120,0
20191230 004900,9.854120,9.854640,9.854120,9.854460,0
