Date,Open,High,Low,Close,Volume
20191230 000000,1.668220,1.668450,1.668210,1.668320,0
20191230 000100,1.668320,1.668340,1.668230,1.668340,0
20191230 000200,1.668290,1.668460,1.668270,1.668450,0
20191230 000300,1.668450,1.668510,1.668380,1.668510,0
20191230 000400,1.668500,1.668500,1.668340,1.668340,0
20191230 000500,1.668340,1.668340,1.668030,1.668030,0
20191230 000600,1.668050,1.668140,1.668030,1.668030,0
20191230 000700,1.667950,1.668140,1.667950,1.668030,0
20191230 000800,1.668030,1.668030,1.667730,1.667840,0
20191230 000900,1.667840,1.667940,1.667740,1.667840,0
20191230 001000,1.667840,1.667940,1.667740,1.667840,0
20191230 001100,1.667840,1.667940,1.667810,1.667940,0
20191230 001200,1.667970,1.667990,1.667810,1.667810,0
20191230 001300,1.667800,1.668000,1.667800,1.667970,0
20191230 001400,1.667980,1.668040,1.667880,1.667880,0
20191230 001500,1.667930,1.668280,1.667930,1.668270,0
20191230 001600,1.668270,1.668270,1.668010,1.668040,0
20191230 001700,1.668040,1.668290,1.668030,1.668290,0
20191230 001800,1.668250,1.668310,1.668190,1.668250,0
20191230 001900,1.668250,1.668310,1.668130,1.668130,0
20191230 002000,1.668140,1.668240,1.668130,1.668130,0
20191230 002100,1.668090,1.668140,1.668030,1.668140,0
20191230 002200,1.668030,1.668140,1.667930,1.668140,0
20191230 002300,1.668030,1.668140,1.667850,1.668040,0
20191230 002400,1.668040,1.668040,1.667780,1.667830,0
20191230 002500,1.667830,1.668040,1.667830,1.668040,0
20191230 002600,1.668040,1.668040,1.667860,1.667890,0
20191230 002700,1.667930,1.668040,1.667810,1.667830,0
20191230 002800,1.667830,1.668030,1.667810,1.667810,0
20191230 002900,1.667830,1.668040,1.667830,1.667940,0
20191230 003000,1.667950,1.668150,1.667950,1.668090,0
20191230 003100,1.668140,1.668180,1.668110,1.668130,0
20191230 003200,1.668150,1.668240,1.668140,1.668180,0
20191230 003300,1.668210,1.668240,1.668100,1.668140,0
20191230 003400,1.668140,1.668240,1.668080,1.668130,0
20191230 003500,1.668090,1.668240,1.668070,1.668240,0
20191230 003600,1.668140,1.668240,1.668090,1.668140,0
20191230 003700,1.668100,1.668140,1.667930,1.667940,0
20191230 003800,1.667940,1.668030,1.667930,1.667990,0
20191230 003900,1.667940,1.668490,1.667940,1.668310,0
20191230 004000,1.668310,1.668940,1.668300,1.668810,0
20191230 004100,1.668850,1.668870,1.668800,1.668850,0
