Date,Open,High,Low,Close,Volume
20191230 000000,4.261770,4.261860,4.261450,4.261850,0
20191230 000100,4.261850,4.262030,4.261110,4.261760,0
20191230 000200,4.261760,4.262000,4.261560,4.261940,0
20191230 000300,4.261940,4.262200,4.261840,4.262060,0
20191230 000400,4.262060,4.262180,4.262060,4.262180,0
20191230 000500,4.262100,4.262220,4.262080,4.262220,0
20191230 000600,4.262220,4.262250,4.262050,4.262170,0
20191230 000700,4.262160,4.262300,4.262150,4.262170,0
20191230 000800,4.262170,4.262290,4.262040,4.262070,0
20191230 000900,4.262070,4.262070,4.262010,4.262010,0
20191230 001000,4.262010,4.262080,4.261760,4.261920,0
20191230 001100,4.261920,4.261940,4.261130,4.261530,0
20191230 001200,4.261620,4.261740,4.261550,4.261690,0
20191230 001300,4.261690,4.261980,4.261410,4.261880,0
20191230 001400,4.261880,4.262080,4.261860,4.262050,0
20191230 001500,4.262150,4.262160,4.262010,4.262010,0
20191230 001600,4.262010,4.262140,4.261940,4.262120,0
20191230 001700,4.262120,4.262250,4.262120,4.262250,0
20191230 001800,4.262250,4.262250,4.261970,4.262030,0
20191230 001900,4.262030,4.262150,4.261970,4.262150,0
20191230 002000,4.262150,4.262160,4.261960,4.262050,0
20191230 002100,4.261990,4.262170,4.261970,4.262010,0
20191230 002200,4.262010,4.262110,4.261850,4.261990,0
20191230 002300,4.262120,4.262120,4.261990,4.261990,0
20191230 002400,4.262110,4.262110,4.261990,4.261990,0
20191230 002500,4.261990,4.262100,4.261940,4.261940,0
20191230 002600,4.261940,4.262140,4.261450,4.261980,0
20191230 002700,4.261980,4.262210,4.261860,4.262110,0
20191230 002800,4.262110,4.262150,4.261960,4.262030,0
20191230 002900,4.262030,4.262130,4.261930,4.262130,0
20191230 003000,4.262130,4.262290,4.262010,4.262290,0
20191230 003100,4.262290,4.262290,4.262190,4.262190,0
20191230 003200,4.262190,4.262290,4.262150,4.262150,0
20191230 003300,4.262150,4.262350,4.262080,4.262210,0
20191230 003400,4.262210,4.262220,4.262030,4.262070,0
20191230 003500,4.262070,4.262220,4.261960,4.262210,0
20191230 003600,4.262210,4.262210,4.262050,4.262050,0
20191230 003700,4.262050,4.262050,4.262020,4.262020,0
20191230 003800,4.261970,4.261970,4.261740,4.261830,0
20191230 003900,4.261830,4.262020,4.261720,4.261950,0
20191230 004000,4.261950,4.262090,4.261860,4.261950,0
20191230 004100,4.261950,4.262140,4.261910,4.262020,0
20191230 004200,4.262020,4.262190,4.261920,4.262080,0
20191230 004300,4.262080,4.262080,4.261940,4.262010,0
20191230 004400,4.262010,4.262010,4.261920,4.261920,0
20191230 004500,4.261920,4.261930,4.261920,4.261920,0
20191230 004600,4.261920,4.262040,4.261920,4.262040,0
20191230 004700,4.262040,4.262290,4.261960,4.262280,0
20191230 004800,4.262290,4.262290,4.262280,4.262280,0
20191230 004900,4.262280,4.262280,4.262280,4.262280,0
20191230 005000,4.262290,4.262290,4.262280,4.262280,0
20191230 005100,4.262280,4.262280,4.262240,4.262240,0
20191230 005200,4.262240,4.262250,4.262240,4.262240,0
20191230 005300,4.262240,4.262250,4.262240,4.262240,0
20191230 005400,4.262250,4.262250,4.262250,4.262250,0
20191230 005500,4.262250,4.262250,4.262250,4.262250,0
20191230 005600,4.262250,4.262250,4.262250,4.262250,0
20191230 005700,4.262240,4.262240,4.262140,4.262140,0
20191230 005800,4.262140,4.262150,4.262140,4.262140,0
20191230 005900,4.262140,4.262220,4.262140,4.262220,0
20191230 010000,4.262240,4.262250,4.262240,4.262250,0
20191230 010100,4.262250,4.262250,4.262250,4.262250,0
20191230 010200,4.262250,4.262260,4.262250,4.262260,0
20191230 010300,4.262250,4.262260,4.262250,4.262250,0
20191230 010400,4.262250,4.262260,4.262250,4.262260,0
20191230 010500,4.262250,4.262250,4.262110,4.262110,0
20191230 010600,4.262040,4.262130,4.262040,4.262120,0
20191230 010700,4.262110,4.262120,4.262110,4.262120,0
20191230 010800,4.262120,4.262120,4.262110,4.262120,0
20191230 010900,4.262110,4.262110,4.262080,4.262100,0
20191230 011000,4.262110,4.262110,4.262110,4.262110,0
20191230 011100,4.262100,4.262100,4.262100,4.262100,0
20191230 011200,4.262100,4.262110,4.262100,4.262110,0
20191230 011300,4.262100,4.262220,4.262100,4.262220,0
20191230 011400,4.262220,4.262230,4.262220,4.262230,0
20191230 011500,4.262220,4.262220,4.262220,4.262220,0
20191230 011600,4.262230,4.262230,4.262220,4.262230,0
20191230 011700,4.262220,4.262230,4.262020,4.262150,0
20191230 011800,4.262150,4.262160,4.262030,4.262060,0
20191230 011900,4.262060,4.262070,4.262060,4.262070,0
20191230 012000,4.262070,4.262180,4.262060,4.262180,0
20191230 012100,4.262170,4.262180,4.262170,4.262180,0
20191230 012200,4.262170,4.262170,4.262170,4.262170,0
20191230 012300,4.262170,4.262170,4.261930,4.262160,0
20191230 012400,4.262160,4.262170,4.262160,4.262170,0
20191230 012500,4.262160,4.262170,4.262150,4.262150,0
20191230 012600,4.262150,4.262150,4.261800,4.262020,0
20191230 012700,4.262020,4.262120,4.262020,4.262120,0
20191230 012800,4.262120,4.262130,4.262120,4.262130,0
20191230 012900,4.262130,4.262270,4.262120,4.262270,0
20191230 013000,4.262270,4.262270,4.262160,4.262160,0
20191230 013100,4.262160,4.262170,4.262160,4.262160,0
20191230 013200,4.262160,4.262160,4.262160,4.262160,0
20191230 013300,4.262160,4.262160,4.262150,4.262150,0
20191230 013400,4.262160,4.262170,4.261250,4.262170,0
20191230 013500,4.262170,4.262180,4.262170,4.262170,0
20191230 013600,4.262170,4.262330,4.262130,4.262330,0
20191230 013700,4.262340,4.262340,4.262330,4.262330,0
