Date,Open,High,Low,Close,Volume
20191230 000000,10.431790,10.431850,10.431670,10.431720,0
20191230 000100,10.431810,10.431930,10.431510,10.431520,0
20191230 000200,10.431560,10.432060,10.431310,10.431910,0
20191230 000300,10.431920,10.432150,10.431920,10.432150,0
20191230 000400,10.432150,10.432150,10.432140,10.432150,0
20191230 000500,10.432150,10.432600,10.428510,10.430370,0
20191230 000600,10.431250,10.431840,10.431250,10.431450,0
20191230 000700,10.431450,10.431450,10.429950,10.430250,0
20191230 000800,10.430250,10.433870,10.429900,10.431470,0
20191230 000900,10.431580,10.433260,10.427150,10.433200,0
20191230 001000,10.431220,10.433210,10.428360,10.432860,0
20191230 001100,10.431480,10.431740,10.430940,10.431730,0
20191230 001200,10.431740,10.431740,10.431660,10.431660,0
20191230 001300,10.431690,10.432320,10.431690,10.432320,0
20191230 001400,10.432450,10.432450,10.432180,10.432220,0
20191230 001500,10.432250,10.432290,10.432240,10.432280,0
20191230 001600,10.432270,10.432270,10.432140,10.432140,0
20191230 001700,10.432170,10.432260,10.432160,10.432220,0
20191230 001800,10.432220,10.432230,10.428260,10.429970,0
20191230 001900,10.430120,10.431640,10.430120,10.431290,0
20191230 002000,10.431370,10.433550,10.430190,10.432220,0
20191230 002100,10.432220,10.432250,10.432150,10.432190,0
20191230 002200,10.432150,10.432210,10.431880,10.431900,0
20191230 002300,10.431890,10.433360,10.431810,10.432750,0
20191230 002400,10.432750,10.433200,10.429940,10.429940,0
20191230 002500,10.432520,10.432920,10.430930,10.432170,0
20191230 002600,10.430570,10.434720,10.426260,10.427390,0
20191230 002700,10.427860,10.433110,10.427860,10.432800,0
20191230 002800,10.430390,10.432630,10.428890,10.430150,0
20191230 002900,10.430270,10.430560,10.427190,10.430060,0
20191230 003000,10.431680,10.433580,10.428890,10.430210,0
20191230 003100,10.430110,10.430200,10.430080,10.430200,0
20191230 003200,10.430350,10.431220,10.430160,10.431220,0
20191230 003300,10.431130,10.431740,10.431070,10.431720,0
20191230 003400,10.431720,10.431730,10.431510,10.431520,0
20191230 003500,10.431540,10.431540,10.431500,10.431500,0
20191230 003600,10.431480,10.431520,10.431480,10.431500,0
20191230 003700,10.431490,10.431550,10.431490,10.431520,0
20191230 003800,10.431510,10.431590,10.431510,10.431580,0
20191230 003900,10.431510,10.431570,10.431500,10.431570,0
20191230 004000,10.431580,10.434180,10.431290,10.431710,0
20191230 004100,10.431710,10.433470,10.429990,10.433050,0
20191230 004200,10.433180,10.433180,10.431460,10.431630,0
20191230 004300,10.431600,10.431610,10.431550,10.431550,0
20191230 004400,10.431550,10.431550,10.431390,10.431480,0
20191230 004500,10.431520,10.431520,10.431510,10.431510,0
20191230 004600,10.431630,10.431670,10.431480,10.431480,0
20191230 004700,10.431520,10.431720,10.431350,10.431480,0
20191230 004800,10.431490,10.431490,10.431400,10.431400,0
20191230 004900,10.431400,10.432060,10.431400,10.432010,0
20191230 005000,10.432010,10.432180,10.432010,10.432050,0
20191230 005100,10.432050,10.432350,10.432010,10.432130,0
20191230 005200,10.432130,10.432270,10.432070,10.432180,0
20191230 005300,10.432180,10.432390,10.430510,10.430570,0
20191230 005400,10.432020,10.432420,10.431730,10.432070,0
20191230 005500,10.432140,10.432140,10.430670,10.430950,0
20191230 005600,10.430670,10.435200,10.428780,10.431520,0
20191230 005700,10.431160,10.434280,10.428490,10.431640,0
20191230 005800,10.431570,10.431580,10.431570,10.431570,0
20191230 005900,10.431570,10.431680,10.431560,10.431560,0
20191230 010000,10.431560,10.432320,10.431560,10.432220,0
20191230 010100,10.432410,10.432420,10.432190,10.432220,0
20191230 010200,10.432120,10.432120,10.432120,10.432120,0
20191230 010300,10.431930,10.432130,10.431930,10.432130,0
20191230 010500,10.432560,10.432560,10.432240,10.432240,0
20191230 010600,10.432240,10.432240,10.432240,10.432240,0
20191230 010700,10.432240,10.432240,10.432240,10.432240,0
20191230 010800,10.432240,10.432240,10.432230,10.432230,0
20191230 010900,10.432240,10.432330,10.432240,10.432330,0
20191230 011000,10.432300,10.432860,10.432240,10.432860,0
20191230 011100,10.432860,10.432860,10.432760,10.432760,0
20191230 011200,10.432760,10.432760,10.432760,10.432760,0
20191230 011300,10.432760,10.432760,10.432760,10.432760,0
20191230 011400,10.432760,10.432760,10.432760,10.432760,0
20191230 011500,10.432760,10.432760,10.432760,10.432760,0
20191230 011600,10.432760,10.432760,10.432760,10.432760,0
20191230 011700,10.432750,10.432760,10.432750,10.432760,0
20191230 011800,10.432760,10.433080,10.432450,10.432920,0
20191230 011900,10.432920,10.432930,10.432870,10.432870,0
20191230 012000,10.432870,10.432870,10.432870,10.432870,0
20191230 012100,10.432870,10.432870,10.432870,10.432870,0
20191230 012200,10.432870,10.432870,10.432870,10.432870,0
20191230 012300,10.432870,10.432870,10.432870,10.432870,0
20191230 012400,10.432870,10.432870,10.431660,10.431740,0
20191230 012500,10.431740,10.431840,10.429930,10.430090,0
20191230 012600,10.430090,10.430590,10.428710,10.429050,0
20191230 012700,10.429050,10.429750,10.429050,10.429740,0
20191230 012800,10.429740,10.430120,10.429740,10.430100,0
20191230 012900,10.430100,10.430100,10.430090,10.430100,0
20191230 013000,10.430100,10.430190,10.430100,10.430190,0
20191230 013100,10.430190,10.430190,10.430190,10.430190,0
20191230 013200,10.430190,10.430190,10.430190,10.430190,0
20191230 013300,10.430190,10.431620,10.429820,10.431510,0
20191230 013400,10.431510,10.432530,10.430060,10.432210,0
20191230 013500,10.432110,10.433220,10.431880,10.433100,0
20191230 013600,10.433100,10.433100,10.433050,10.433090,0
20191230 013700,10.433090,10.433240,10.433090,10.433240,0
20191230 013800,10.433220,10.433220,10.432900,10.432900,0
20191230 013900,10.432900,10.440380,10.432900,10.439550,0
20191230 014000,10.439550,10.440300,10.438180,10.438650,0
20191230 014100,10.438650,10.439510,10.432720,10.434240,0
20191230 014200,10.434510,10.436520,10.434200,10.435260,0
20191230 014300,10.435030,10.435380,10.435000,10.435110,0
20191230 014400,10.435130,10.435210,10.435060,10.435130,0
20191230 014500,10.434680,10.435130,10.434680,10.435130,0
20191230 014600,10.435130,10.435130,10.435120,10.435120,0
20191230 014700,10.435120,10.435240,10.435120,10.435130,0
20191230 014800,10.435130,10.435510,10.435130,10.435190,0
20191230 014900,10.435290,10.436940,10.434470,10.436510,0
20191230 015000,10.436510,10.436510,10.436310,10.436360,0
20191230 015100,10.436370,10.436370,10.436360,10.436360,0
20191230 015200,10.436380,10.436500,10.436380,10.436380,0
20191230 015300,10.436400,10.436600,10.436390,10.436390,0
20191230 015400,10.436390,10.436410,10.436390,10.436410,0
20191230 015500,10.436420,10.436430,10.436420,10.436430,0
20191230 015600,10.436450,10.436790,10.436450,10.436660,0
20191230 015700,10.436660,10.437790,10.436660,10.437660,0
20191230 015800,10.437660,10.437780,10.435800,10.437680,0
20191230 015900,10.437700,10.437750,10.418460,10.426510,0
20191230 020000,10.426590,10.436320,10.418930,10.434900,0
20191230 020100,10.434940,10.435740,10.433900,10.435030,0
20191230 020200,10.435430,10.435520,10.435030,10.435520,0
20191230 020300,10.435540,10.435930,10.433890,10.434690,0
20191230 020400,10.434570,10.436420,10.434200,10.435710,0
20191230 020500,10.435710,10.436570,10.435000,10.436100,0
20191230 020600,10.435800,10.437410,10.435800,10.436820,0
20191230 020700,10.436870,10.437800,10.430410,10.434350,0
20191230 020800,10.434570,10.436490,10.434410,10.436120,0
20191230 020900,10.436200,10.438680,10.433040,10.433860,0
20191230 021000,10.433870,10.436560,10.431210,10.431240,0
20191230 021100,10.431870,10.434700,10.431580,10.434430,0
20191230 021200,10.434420,10.434620,10.433020,10.433020,0
20191230 021300,10.432970,10.433440,10.431410,10.431570,0
20191230 021400,10.431550,10.433220,10.431520,10.432840,0
20191230 021500,10.432780,10.433210,10.432040,10.432070,0
20191230 021600,10.432080,10.432790,10.431990,10.432650,0
20191230 021700,10.432500,10.433730,10.431610,10.432020,0
20191230 021800,10.432050,10.435230,10.431790,10.434410,0
20191230 021900,10.434410,10.436780,10.434320,10.436610,0
20191230 022000,10.436490,10.437030,10.435340,10.436680,0
20191230 022100,10.436680,10.437450,10.435080,10.436210,0
20191230 022200,10.436180,10.437500,10.434590,10.435550,0
20191230 022300,10.435550,10.435880,10.431990,10.432580,0
20191230 022400,10.432630,10.433390,10.432380,10.432770,0
20191230 022500,10.432760,10.432940,10.432150,10.432700,0
20191230 022600,10.432700,10.432960,10.431990,10.432440,0
20191230 022700,10.432120,10.432800,10.429690,10.431180,0
20191230 022800,10.431620,10.432080,10.429100,10.430070,0
20191230 022900,10.430070,10.430890,10.428850,10.429070,0
