Date,Open,High,Low,Close,Volume
20191230 000000,6.661190,6.661190,6.660190,6.660590,0
20191230 000100,6.660760,6.661130,6.660760,6.661130,0
20191230 000200,6.661310,6.661900,6.661310,6.661900,0
20191230 000300,6.661900,6.662260,6.661900,6.662080,0
20191230 000400,6.662080,6.662080,6.661780,6.661960,0
20191230 000500,6.661960,6.662410,6.661930,6.662350,0
20191230 000600,6.662470,6.662530,6.662170,6.662170,0
20191230 000700,6.662170,6.662500,6.661830,6.661830,0
20191230 000800,6.661940,6.662140,6.661770,6.661990,0
20191230 000900,6.661990,6.662030,6.661800,6.661800,0
20191230 001000,6.661800,6.661990,6.661400,6.661460,0
20191230 001100,6.661390,6.661930,6.661260,6.661930,0
20191230 001200,6.661870,6.661950,6.660770,6.661390,0
20191230 001300,6.661630,6.661940,6.660250,6.661940,0
20191230 001400,6.661940,6.662340,6.660340,6.660340,0
20191230 001500,6.660340,6.661940,6.659540,6.659540,0
20191230 001600,6.659540,6.659940,6.659140,6.659540,0
20191230 001700,6.659570,6.660280,6.659350,6.659680,0
20191230 001800,6.659610,6.659850,6.658950,6.659540,0
20191230 001900,6.659540,6.659540,6.659140,6.659140,0
20191230 002000,6.659540,6.659540,6.659350,6.659540,0
20191230 002100,6.659540,6.659540,6.659540,6.659540,0
20191230 002200,6.659540,6.659540,6.659540,6.659540,0
20191230 002300,6.659540,6.659540,6.659140,6.659140,0
20191230 002400,6.659140,6.659140,6.658740,6.658740,0
20191230 002500,6.658740,6.659540,6.658740,6.659540,0
20191230 002600,6.659540,6.659940,6.659540,6.659940,0
20191230 002700,6.659940,6.660760,6.659540,6.659540,0
20191230 002800,6.659760,6.663140,6.659760,6.660880,0
20191230 002900,6.660800,6.660800,6.659730,6.659940,0
20191230 003000,6.659940,6.661670,6.659540,6.659940,0
20191230 003100,6.660230,6.660960,6.659590,6.659940,0
20191230 003200,6.659940,6.660340,6.659750,6.660340,0
20191230 003300,6.660340,6.660740,6.660340,6.660740,0
20191230 003400,6.660550,6.660740,6.660340,6.660340,0
20191230 003500,6.660340,6.660740,6.660340,6.660740,0
20191230 003600,6.660740,6.660740,6.659940,6.659940,0
20191230 003700,6.659940,6.659940,6.659940,6.659940,0
20191230 003800,6.659940,6.660340,6.659940,6.660340,0
20191230 003900,6.660340,6.660340,6.659540,6.659940,0
20191230 004000,6.659940,6.659940,6.659570,6.659940,0
20191230 004100,6.659940,6.660740,6.659940,6.659940,0
20191230 004200,6.659940,6.660340,6.659940,6.659940,0
20191230 004300,6.659940,6.659940,6.659470,6.659470,0
20191230 004400,6.659350,6.659940,6.659350,6.659940,0
20191230 004500,6.659940,6.659940,6.659250,6.659250,0
20191230 004600,6.659390,6.660340,6.659390,6.660340,0
20191230 004700,6.660340,6.660740,6.660130,6.660740,0
20191230 004800,6.660740,6.660740,6.660340,6.660340,0
20191230 004900,6.660340,6.661140,6.660340,6.661140,0
20191230 005000,6.661140,6.661140,6.660740,6.661140,0
20191230 005100,6.660950,6.661940,6.660740,6.661540,0
20191230 005200,6.661940,6.662340,6.660780,6.661940,0
20191230 005300,6.661940,6.661940,6.661120,6.661540,0
20191230 005400,6.661540,6.661540,6.661320,6.661540,0
20191230 005500,6.661540,6.661540,6.661540,6.661540,0
20191230 005600,6.661540,6.661540,6.659940,6.659940,0
20191230 005700,6.659940,6.661140,6.659940,6.661140,0
20191230 005800,6.661140,6.661540,6.660550,6.661140,0
20191230 005900,6.661140,6.661540,6.661140,6.661140,0
20191230 010000,6.661140,6.661540,6.659300,6.659540,0
20191230 010100,6.659610,6.659840,6.659500,6.659680,0
20191230 010200,6.659680,6.659800,6.659550,6.659790,0
20191230 010300,6.659790,6.659820,6.659540,6.659540,0
20191230 010400,6.659540,6.660180,6.659540,6.660150,0
20191230 010500,6.660150,6.660150,6.657750,6.658010,0
20191230 010600,6.658040,6.658540,6.657920,6.657950,0
20191230 010700,6.657940,6.657940,6.657460,6.657640,0
20191230 010800,6.657690,6.658990,6.657460,6.658990,0
