Date,Open,High,Low,Close,Volume
20191230 000000,1.119660,1.119660,1.119520,1.119610,0
20191230 000100,1.119650,1.119710,1.119650,1.119700,0
20191230 000200,1.119710,1.119830,1.119710,1.119830,0
20191230 000300,1.119830,1.119880,1.119830,1.119860,0
20191230 000400,1.119850,1.119850,1.119800,1.119830,0
20191230 000500,1.119830,1.119920,1.119830,1.119920,0
20191230 000600,1.119920,1.119940,1.119880,1.119880,0
20191230 000700,1.119880,1.119900,1.119790,1.119800,0
20191230 000800,1.119800,1.119830,1.119790,1.119810,0
20191230 000900,1.119810,1.119820,1.119780,1.119790,0
20191230 001000,1.119800,1.119810,1.119710,1.119730,0
20191230 001100,1.119730,1.119790,1.119700,1.119780,0
20191230 001200,1.119790,1.119850,1.119780,1.119840,0
20191230 001300,1.119860,1.119940,1.119860,1.119890,0
20191230 001400,1.119890,1.119930,1.119890,1.119900,0
20191230 001500,1.119900,1.119960,1.119900,1.119940,0
20191230 001600,1.119940,1.119950,1.119890,1.119940,0
20191230 001700,1.119940,1.119980,1.119940,1.119950,0
20191230 001800,1.119950,1.119950,1.119880,1.119930,0
20191230 001900,1.119930,1.119930,1.119880,1.119880,0
20191230 002000,1.119890,1.119970,1.119890,1.119970,0
20191230 002100,1.119970,1.119970,1.119940,1.119950,0
20191230 002200,1.119960,1.119960,1.119930,1.119950,0
20191230 002300,1.119950,1.119960,1.119900,1.119900,0
20191230 002400,1.119880,1.119890,1.119830,1.119850,0
20191230 002500,1.119850,1.119940,1.119850,1.119940,0
20191230 002600,1.119960,1.120030,1.119960,1.120030,0
20191230 002700,1.120040,1.120060,1.120020,1.120060,0
20191230 002800,1.120060,1.120080,1.120040,1.120050,0
20191230 002900,1.120060,1.120100,1.120060,1.120100,0
20191230 003000,1.120090,1.120150,1.120090,1.120140,0
20191230 003100,1.120150,1.120150,1.120100,1.120100,0
20191230 003200,1.120100,1.120150,1.120100,1.120130,0
20191230 003300,1.120140,1.120230,1.120140,1.120200,0
20191230 003400,1.120200,1.120210,1.120170,1.120190,0
20191230 003500,1.120190,1.120210,1.120180,1.120200,0
20191230 003600,1.120190,1.120190,1.120130,1.120150,0
20191230 003700,1.120150,1.120150,1.120130,1.120140,0
20191230 003800,1.120140,1.120150,1.120110,1.120150,0
20191230 003900,1.120130,1.120140,1.120090,1.120130,0
20191230 004000,1.120130,1.120140,1.120090,1.120130,0
20191230 004100,1.120130,1.120130,1.120130,1.120130,0
20191230 004200,1.120130,1.120150,1.120130,1.120140,0
20191230 004300,1.120150,1.120150,1.120140,1.120150,0
20191230 004400,1.120140,1.120140,1.120080,1.120090,0
20191230 004500,1.120090,1.120100,1.120090,1.120100,0
20191230 004600,1.120130,1.120180,1.120130,1.120180,0
20191230 004700,1.120170,1.120230,1.120170,1.120220,0
20191230 004800,1.120210,1.120210,1.120180,1.120200,0
20191230 004900,1.120200,1.120270,1.120190,1.120260,0
20191230 005000,1.120260,1.120310,1.120260,1.120310,0
20191230 005100,1.120310,1.120420,1.120260,1.120390,0
20191230 005200,1.120400,1.120510,1.120400,1.120440,0
20191230 005300,1.120440,1.120450,1.120340,1.120350,0
20191230 005400,1.120360,1.120360,1.120340,1.120360,0
20191230 005500,1.120360,1.120370,1.120340,1.120360,0
20191230 005600,1.120360,1.120360,1.120140,1.120150,0
20191230 005700,1.120180,1.120290,1.120160,1.120270,0
20191230 005800,1.120280,1.120280,1.120170,1.120250,0
20191230 005900,1.120270,1.120290,1.120230,1.120270,0
20191230 010000,1.120270,1.120290,1.120230,1.120280,0
20191230 010100,1.120280,1.120290,1.120280,1.120280,0
