Date,Open,High,Low,Close,Volume
20191230 020000,6027.569000,6027.569000,6025.075000,6025.331000,0
20191230 020100,6024.920000,6030.053000,6024.920000,6028.541000,0
20191230 020200,6030.068000,6031.074000,6029.553000,6031.062000,0
20191230 020300,6030.047000,6030.047000,6028.041000,6029.069000,0
20191230 020400,6028.831000,6029.063000,6028.051000,6028.587000,0
20191230 020500,6028.831000,6028.831000,6026.834000,6027.420000,0
20191230 020600,6027.560000,6028.587000,6027.304000,6028.587000,0
20191230 020700,6029.420000,6031.075000,6029.420000,6029.804000,0
20191230 020800,6030.084000,6030.084000,6029.170000,6029.170000,0
20191230 020900,6028.813000,6030.075000,6028.560000,6028.560000,0
20191230 021000,6028.331000,6030.307000,6028.331000,6029.834000,0
20191230 021100,6029.587000,6029.587000,6028.557000,6028.557000,0
20191230 021200,6028.328000,6028.328000,6028.081000,6028.081000,0
20191230 021300,6027.813000,6031.337000,6027.572000,6031.051000,0
20191230 021400,6031.075000,6031.584000,6029.316000,6029.554000,0
20191230 021500,6029.334000,6029.334000,6028.051000,6028.590000,0
20191230 021600,6029.301000,6029.334000,6028.554000,6029.069000,0
20191230 021700,6028.810000,6029.084000,6027.551000,6027.551000,0
20191230 021800,6027.301000,6028.069000,6027.054000,6027.810000,0
20191230 021900,6027.566000,6028.072000,6027.319000,6028.072000,0
20191230 022000,6028.307000,6028.307000,6027.557000,6028.084000,0
20191230 022100,6028.322000,6028.563000,6028.069000,6028.340000,0
20191230 022200,6028.563000,6028.563000,6028.563000,6028.563000,0
20191230 022400,6028.087000,6028.816000,6028.087000,6028.590000,0
20191230 022500,6028.816000,6029.075000,6028.090000,6028.319000,0
20191230 022600,6028.069000,6028.319000,6027.087000,6027.087000,0
20191230 022700,6027.560000,6028.170000,6027.560000,6028.057000,0
20191230 022800,6027.804000,6028.078000,6027.587000,6027.587000,0
20191230 022900,6027.072000,6027.584000,6027.057000,6027.069000,0
20191230 023000,6027.331000,6027.584000,6026.819000,6027.084000,0
20191230 023100,6026.560000,6027.084000,6025.920000,6026.054000,0
20191230 023200,6025.831000,6026.826000,6025.566000,6026.061000,0
20191230 023300,6025.814000,6026.100000,6025.591000,6026.100000,0
20191230 023400,6026.057000,6026.057000,6025.316000,6025.316000,0
20191230 023500,6025.572000,6026.563000,6025.063000,6026.051000,0
20191230 023600,6026.334000,6026.554000,6025.587000,6025.807000,0
20191230 023700,6026.087000,6026.087000,6025.563000,6025.563000,0
20191230 023800,6026.051000,6026.551000,6025.804000,6026.325000,0
20191230 023900,6026.051000,6026.051000,6025.328000,6025.328000,0
20191230 024000,6025.069000,6025.069000,6024.554000,6024.569000,0
20191230 024100,6024.334000,6024.334000,6022.054000,6022.054000,0
20191230 024200,6022.581000,6025.078000,6021.584000,6025.066000,0
20191230 024300,6025.560000,6027.590000,6025.560000,6027.581000,0
20191230 024400,6027.301000,6028.078000,6027.087000,6028.078000,0
20191230 024500,6027.822000,6027.822000,6027.566000,6027.566000,0
20191230 024600,6027.084000,6027.084000,6026.584000,6026.587000,0
20191230 024700,6025.587000,6026.328000,6025.587000,6026.060000,0
20191230 024800,6025.828000,6026.084000,6025.813000,6026.084000,0
20191230 024900,6025.804000,6025.804000,6024.301000,6024.301000,0
20191230 025000,6024.566000,6025.060000,6023.825000,6024.551000,0
20191230 025100,6024.816000,6025.060000,6024.569000,6025.060000,0
20191230 025200,6024.813000,6025.920000,6024.813000,6025.920000,0
20191230 025300,6025.325000,6026.316000,6025.066000,6025.822000,0
20191230 025400,6025.554000,6025.554000,6025.072000,6025.072000,0
20191230 025500,6024.819000,6025.081000,6024.566000,6024.566000,0
20191230 025600,6025.063000,6025.551000,6024.837000,6024.837000,0
20191230 025700,6024.084000,6026.066000,6024.084000,6025.322000,0
20191230 025800,6025.057000,6025.309000,6025.050000,6025.050000,0
20191230 025900,6024.818000,6028.541000,6024.660000,6028.541000,0
20191230 030000,6028.791000,6034.315000,6027.074000,6030.047000,0
20191230 030100,6029.541000,6034.571000,6028.553000,6033.062000,0
20191230 030200,6033.315000,6036.160000,6032.062000,6033.065000,0
20191230 030300,6033.312000,6038.577000,6033.071000,6035.050000,0
20191230 030400,6034.809000,6035.571000,6033.580000,6035.553000,0
20191230 030500,6034.797000,6035.577000,6029.840000,6031.563000,0
20191230 030600,6031.328000,6032.069000,6028.551000,6029.551000,0
20191230 030700,6029.319000,6031.577000,6028.531000,6029.041000,0
20191230 030800,6028.791000,6029.077000,6025.823000,6026.082000,0
20191230 030900,6025.588000,6027.070000,6023.590000,6023.590000,0
20191230 031000,6024.590000,6025.349000,6018.138000,6023.871000,0
20191230 031100,6024.353000,6026.670000,6022.106000,6026.578000,0
20191230 031200,6026.541000,6029.534000,6026.297000,6028.560000,0
20191230 031300,6028.299000,6028.555000,6022.576000,6022.602000,0
20191230 031400,6022.599000,6023.137000,6020.111000,6022.359000,0
20191230 031500,6021.862000,6023.346000,6020.607000,6020.720000,0
20191230 031600,6020.366000,6021.378000,6019.604000,6020.603000,0
20191230 031700,6020.100000,6022.600000,6019.110000,6021.615000,0
20191230 031800,6021.103000,6022.835000,6021.103000,6022.061000,0
20191230 031900,6022.341000,6025.548000,6021.567000,6025.548000,0
