Date,Open,High,Low,Close,Volume
20191230 000000,1.875650,1.875680,1.875250,1.875310,0
20191230 000100,1.875230,1.875360,1.875220,1.875250,0
20191230 000200,1.875350,1.875480,1.875340,1.875460,0
20191230 000300,1.875460,1.875800,1.875440,1.875800,0
20191230 000400,1.875820,1.875870,1.875740,1.875840,0
20191230 000500,1.875790,1.875790,1.875320,1.875330,0
20191230 000600,1.875350,1.875350,1.875060,1.875090,0
20191230 000700,1.875080,1.875120,1.874990,1.875020,0
20191230 000800,1.875020,1.875060,1.874830,1.874880,0
20191230 000900,1.874870,1.875010,1.874840,1.874860,0
20191230 001000,1.874840,1.875120,1.874830,1.875110,0
20191230 001100,1.875070,1.875360,1.875020,1.875310,0
20191230 001200,1.875310,1.875360,1.875070,1.875070,0
20191230 001300,1.875070,1.875570,1.875030,1.875460,0
20191230 001400,1.875470,1.875670,1.875420,1.875470,0
20191230 001500,1.875480,1.875760,1.875460,1.875710,0
20191230 001600,1.875710,1.875760,1.875600,1.875620,0
20191230 001700,1.875670,1.875920,1.875600,1.875860,0
20191230 001800,1.875790,1.875920,1.875520,1.875520,0
20191230 001900,1.875520,1.875620,1.875480,1.875480,0
20191230 002000,1.875480,1.875670,1.875480,1.875570,0
20191230 002100,1.875570,1.875660,1.875510,1.875510,0
20191230 002200,1.875510,1.875790,1.875510,1.875780,0
20191230 002300,1.875800,1.875910,1.875680,1.875910,0
20191230 002400,1.875870,1.875880,1.875750,1.875820,0
20191230 002500,1.875820,1.875920,1.875810,1.875870,0
20191230 002600,1.875840,1.876120,1.875630,1.875780,0
20191230 002700,1.875780,1.876160,1.875700,1.876110,0
20191230 002800,1.876130,1.876190,1.876040,1.876090,0
20191230 002900,1.876110,1.876310,1.876020,1.876210,0
20191230 003000,1.876210,1.876420,1.876110,1.876360,0
20191230 003100,1.876270,1.876410,1.876170,1.876240,0
20191230 003200,1.876200,1.876360,1.876200,1.876300,0
20191230 003300,1.876320,1.876770,1.876320,1.876580,0
