Date,Open,High,Low,Close,Volume
20191230 000000,1.712690,1.712740,1.712430,1.712490,0
20191230 000100,1.712460,1.712490,1.712350,1.712380,0
20191230 000200,1.712360,1.712510,1.712360,1.712450,0
20191230 000300,1.712440,1.712680,1.712380,1.712590,0
20191230 000400,1.712590,1.712640,1.712580,1.712640,0
20191230 000500,1.712640,1.712640,1.712530,1.712540,0
20191230 000600,1.712540,1.712540,1.712440,1.712440,0
20191230 000700,1.712440,1.712550,1.712440,1.712460,0
20191230 000800,1.712460,1.712540,1.712450,1.712530,0
20191230 000900,1.712520,1.712640,1.712520,1.712530,0
20191230 001000,1.712520,1.712550,1.712510,1.712530,0
20191230 001100,1.712510,1.712630,1.712470,1.712580,0
20191230 001200,1.712670,1.712690,1.712640,1.712690,0
20191230 001300,1.712630,1.713040,1.712600,1.712960,0
20191230 001400,1.712960,1.713180,1.712960,1.712990,0
20191230 001500,1.713010,1.713080,1.712900,1.713080,0
20191230 001600,1.713030,1.713140,1.713030,1.713090,0
20191230 001700,1.713090,1.713130,1.713020,1.713040,0
20191230 001800,1.713040,1.713040,1.712680,1.712680,0
20191230 001900,1.712680,1.712780,1.712580,1.712580,0
20191230 002000,1.712540,1.712780,1.712540,1.712780,0
20191230 002100,1.712730,1.712780,1.712630,1.712680,0
20191230 002200,1.712680,1.712730,1.712590,1.712630,0
20191230 002300,1.712630,1.712690,1.712530,1.712690,0
20191230 002400,1.712630,1.712700,1.712580,1.712640,0
20191230 002500,1.712640,1.712690,1.712630,1.712630,0
20191230 002600,1.712600,1.713040,1.712600,1.712950,0
20191230 002700,1.712980,1.713300,1.712980,1.713180,0
20191230 002800,1.713250,1.713290,1.713090,1.713290,0
20191230 002900,1.713290,1.713330,1.713160,1.713320,0
20191230 003000,1.713410,1.713410,1.713130,1.713280,0
20191230 003100,1.713270,1.713330,1.713170,1.713180,0
20191230 003200,1.713230,1.713290,1.713170,1.713170,0
20191230 003300,1.713180,1.713630,1.713180,1.713590,0
20191230 003400,1.713530,1.713640,1.713390,1.713480,0
20191230 003500,1.713490,1.713740,1.713430,1.713630,0
20191230 003600,1.713630,1.713630,1.713380,1.713530,0
20191230 003700,1.713480,1.713500,1.713440,1.713450,0
20191230 003800,1.713440,1.713630,1.713430,1.713630,0
20191230 003900,1.713530,1.713680,1.713490,1.713630,0
20191230 004000,1.713590,1.713790,1.713570,1.713730,0
20191230 004100,1.713680,1.713740,1.713630,1.713630,0
20191230 004200,1.713580,1.713640,1.713530,1.713580,0
20191230 004300,1.713530,1.713740,1.713530,1.713730,0
20191230 004400,1.713690,1.713780,1.713590,1.713780,0
20191230 004500,1.713680,1.713780,1.713630,1.713740,0
20191230 004600,1.713740,1.713790,1.713680,1.713730,0
20191230 004700,1.713730,1.713780,1.713680,1.713780,0
20191230 004800,1.713740,1.713830,1.713630,1.713780,0
20191230 004900,1.713830,1.714100,1.713600,1.713890,0
20191230 005000,1.713890,1.713890,1.713540,1.713580,0
20191230 005100,1.713580,1.713580,1.713320,1.713330,0
20191230 005200,1.713330,1.713640,1.713280,1.713640,0
20191230 005300,1.713630,1.713630,1.713430,1.713580,0
20191230 005400,1.713540,1.713580,1.713460,1.713580,0
20191230 005500,1.713540,1.713600,1.713480,1.713580,0
20191230 005600,1.713580,1.713580,1.713340,1.713480,0
20191230 005700,1.713480,1.713490,1.713400,1.713440,0
20191230 005800,1.713540,1.713540,1.713380,1.713480,0
20191230 005900,1.713530,1.713530,1.713160,1.713280,0
20191230 010000,1.713230,1.713430,1.713180,1.713430,0
20191230 010100,1.713430,1.713600,1.713330,1.713530,0
20191230 010200,1.713530,1.713670,1.713530,1.713630,0
20191230 010300,1.713610,1.713930,1.713610,1.713880,0
20191230 010400,1.714000,1.714040,1.713850,1.713930,0
20191230 010500,1.713930,1.714190,1.713900,1.714190,0
20191230 010600,1.714180,1.714340,1.714080,1.714290,0
20191230 010700,1.714330,1.714440,1.714280,1.714440,0
20191230 010800,1.714430,1.714430,1.714430,1.714430,0
20191230 010900,1.714430,1.714440,1.714380,1.714380,0
20191230 011000,1.714390,1.714440,1.714380,1.714440,0
20191230 011100,1.714440,1.714440,1.714210,1.714340,0
20191230 011200,1.714340,1.714440,1.714330,1.714430,0
20191230 011300,1.714430,1.714490,1.714330,1.714490,0
20191230 011400,1.714490,1.714490,1.714330,1.714390,0
20191230 011500,1.714430,1.714430,1.714090,1.714130,0
20191230 011600,1.714190,1.714480,1.714030,1.714480,0
20191230 011700,1.714530,1.714530,1.714440,1.714440,0
20191230 011800,1.714480,1.714680,1.714210,1.714380,0
20191230 011900,1.714380,1.714540,1.714380,1.714530,0
20191230 012000,1.714530,1.714530,1.714430,1.714510,0
20191230 012100,1.714550,1.714630,1.714380,1.714430,0
20191230 012200,1.714430,1.714530,1.714140,1.714140,0
20191230 012300,1.714150,1.714230,1.713750,1.713750,0
20191230 012400,1.713730,1.713740,1.713530,1.713710,0
20191230 012500,1.713580,1.713790,1.713330,1.713470,0
20191230 012600,1.713470,1.713500,1.713230,1.713230,0
20191230 012700,1.713240,1.713340,1.712980,1.713020,0
20191230 012800,1.712940,1.713050,1.712480,1.712980,0
20191230 012900,1.712980,1.713190,1.712850,1.713130,0
20191230 013000,1.713130,1.713130,1.712970,1.712970,0
20191230 013100,1.712960,1.713060,1.712830,1.713060,0
20191230 013200,1.712980,1.713140,1.712930,1.713140,0
20191230 013300,1.713130,1.714080,1.713130,1.714050,0
20191230 013400,1.713960,1.713960,1.713540,1.713650,0
20191230 013500,1.713650,1.713820,1.713640,1.713810,0
20191230 013600,1.713790,1.713910,1.713530,1.713730,0
20191230 013700,1.713720,1.713790,1.713580,1.713580,0
20191230 013800,1.713560,1.713590,1.713440,1.713490,0
20191230 013900,1.713500,1.713590,1.713500,1.713570,0
20191230 014000,1.713590,1.713640,1.713530,1.713530,0
20191230 014100,1.713530,1.713730,1.713440,1.713730,0
20191230 014200,1.713660,1.713700,1.713590,1.713690,0
20191230 014300,1.713680,1.713690,1.713670,1.713690,0
20191230 014400,1.713690,1.713740,1.713680,1.713690,0
20191230 014500,1.713710,1.713730,1.713640,1.713650,0
20191230 014600,1.713650,1.713690,1.713570,1.713610,0
20191230 014700,1.713610,1.713610,1.713480,1.713530,0
20191230 014800,1.713560,1.713680,1.713530,1.713640,0
20191230 014900,1.713720,1.713840,1.713580,1.713780,0
20191230 015000,1.713770,1.713940,1.713660,1.713660,0
20191230 015100,1.713670,1.713790,1.713630,1.713690,0
20191230 015200,1.713630,1.713780,1.713530,1.713530,0
20191230 015300,1.713620,1.713660,1.713610,1.713620,0
20191230 015400,1.713630,1.713630,1.713490,1.713590,0
20191230 015500,1.713590,1.713590,1.713380,1.713450,0
20191230 015600,1.713490,1.713490,1.713190,1.713190,0
20191230 015700,1.713390,1.713390,1.713380,1.713390,0
20191230 015800,1.713390,1.713580,1.713390,1.713580,0
20191230 015900,1.713530,1.713690,1.713530,1.713690,0
20191230 020000,1.713680,1.713880,1.713490,1.713780,0
20191230 020100,1.713780,1.713840,1.713730,1.713780,0
20191230 020200,1.713780,1.713780,1.713460,1.713480,0
20191230 020300,1.713480,1.713530,1.713380,1.713480,0
20191230 020400,1.713480,1.713480,1.712890,1.713020,0
20191230 020500,1.713030,1.713090,1.712830,1.712940,0
20191230 020600,1.712890,1.712940,1.712390,1.712390,0
20191230 020700,1.712400,1.712680,1.712400,1.712530,0
20191230 020800,1.712530,1.712840,1.712380,1.712830,0
20191230 020900,1.712850,1.713140,1.712730,1.712840,0
20191230 021000,1.713080,1.713240,1.713030,1.713130,0
20191230 021100,1.713130,1.713150,1.712880,1.713070,0
20191230 021200,1.713070,1.713230,1.712980,1.713080,0
20191230 021300,1.713080,1.713140,1.712960,1.712960,0
20191230 021400,1.712960,1.713140,1.712960,1.713100,0
20191230 021500,1.713090,1.713130,1.712630,1.712630,0
20191230 021600,1.712630,1.712760,1.712480,1.712530,0
20191230 021700,1.712640,1.712830,1.712530,1.712830,0
20191230 021800,1.712830,1.713290,1.712830,1.713030,0
20191230 021900,1.713030,1.713230,1.712990,1.713090,0
20191230 022000,1.713080,1.713340,1.713030,1.713280,0
20191230 022100,1.713280,1.713330,1.713030,1.713190,0
20191230 022200,1.713280,1.713880,1.713280,1.713680,0
20191230 022300,1.713680,1.713880,1.713580,1.713830,0
20191230 022400,1.713940,1.714140,1.713780,1.713780,0
20191230 022500,1.713840,1.714280,1.713830,1.713850,0
20191230 022600,1.713830,1.714130,1.713790,1.714040,0
20191230 022700,1.714040,1.714130,1.713780,1.713880,0
20191230 022800,1.713880,1.714340,1.713880,1.714230,0
20191230 022900,1.714230,1.714230,1.713980,1.714090,0
