Date,Open,High,Low,Close,Volume
20191230 000000,1.275090,1.275150,1.274840,1.274880,0
20191230 000100,1.274910,1.274960,1.274770,1.274800,0
20191230 000200,1.274870,1.274870,1.274670,1.274690,0
20191230 000300,1.274680,1.274830,1.274650,1.274800,0
20191230 000400,1.274780,1.274810,1.274760,1.274790,0
20191230 000500,1.274780,1.274800,1.274770,1.274770,0
20191230 000600,1.274730,1.274910,1.274720,1.274910,0
20191230 000700,1.274920,1.274960,1.274880,1.274940,0
20191230 000800,1.274960,1.275010,1.274960,1.275010,0
20191230 000900,1.275040,1.275080,1.275030,1.275080,0
20191230 001000,1.275080,1.275090,1.275040,1.275070,0
20191230 001100,1.275070,1.275120,1.274970,1.275090,0
20191230 001200,1.275080,1.275080,1.275040,1.275040,0
20191230 001300,1.275070,1.275330,1.275070,1.275320,0
20191230 001400,1.275360,1.275500,1.275360,1.275470,0
20191230 001500,1.275480,1.275500,1.275310,1.275390,0
20191230 001600,1.275400,1.275440,1.275380,1.275420,0
20191230 001700,1.275430,1.275470,1.275370,1.275410,0
20191230 001800,1.275420,1.275430,1.275190,1.275190,0
20191230 001900,1.275210,1.275250,1.275180,1.275190,0
20191230 002000,1.275190,1.275210,1.275130,1.275140,0
20191230 002100,1.275120,1.275150,1.275120,1.275140,0
20191230 002200,1.275120,1.275170,1.275120,1.275170,0
20191230 002300,1.275150,1.275180,1.275140,1.275180,0
20191230 002400,1.275180,1.275230,1.275180,1.275210,0
20191230 002500,1.275210,1.275230,1.275180,1.275190,0
20191230 002600,1.275200,1.275440,1.275150,1.275440,0
20191230 002700,1.275460,1.275630,1.275440,1.275550,0
20191230 002800,1.275560,1.275560,1.275480,1.275500,0
20191230 002900,1.275510,1.275580,1.275510,1.275510,0
20191230 003000,1.275480,1.275550,1.275380,1.275380,0
20191230 003100,1.275380,1.275480,1.275310,1.275360,0
20191230 003200,1.275370,1.275400,1.275330,1.275360,0
20191230 003300,1.275440,1.275620,1.275440,1.275550,0
20191230 003400,1.275550,1.275570,1.275470,1.275510,0
20191230 003500,1.275500,1.275720,1.275500,1.275720,0
20191230 003600,1.275710,1.275710,1.275540,1.275600,0
20191230 003700,1.275580,1.275610,1.275520,1.275520,0
