Date,Open,High,Low,Close,Volume
20191230 000000,143.104000,143.105000,143.068000,143.073000,0
20191230 000100,143.073000,143.080000,143.055000,143.056000,0
20191230 000200,143.056000,143.069000,143.056000,143.061000,0
20191230 000300,143.060000,143.083000,143.060000,143.082000,0
20191230 000400,143.083000,143.092000,143.079000,143.087000,0
20191230 000500,143.090000,143.099000,143.088000,143.095000,0
20191230 000600,143.097000,143.098000,143.093000,143.094000,0
20191230 000700,143.094000,143.099000,143.091000,143.098000,0
20191230 000800,143.098000,143.102000,143.095000,143.098000,0
20191230 000900,143.096000,143.100000,143.096000,143.098000,0
20191230 001000,143.098000,143.104000,143.095000,143.099000,0
20191230 001100,143.097000,143.120000,143.095000,143.117000,0
20191230 001200,143.117000,143.119000,143.111000,143.111000,0
20191230 001300,143.112000,143.144000,143.112000,143.144000,0
20191230 001400,143.147000,143.166000,143.147000,143.166000,0
20191230 001500,143.169000,143.173000,143.148000,143.149000,0
20191230 001600,143.149000,143.162000,143.149000,143.160000,0
20191230 001700,143.160000,143.164000,143.152000,143.158000,0
20191230 001800,143.156000,143.162000,143.129000,143.132000,0
20191230 001900,143.133000,143.141000,143.129000,143.131000,0
20191230 002000,143.130000,143.139000,143.129000,143.137000,0
20191230 002100,143.137000,143.141000,143.130000,143.130000,0
20191230 002200,143.130000,143.133000,143.128000,143.129000,0
20191230 002300,143.130000,143.134000,143.128000,143.130000,0
20191230 002400,143.130000,143.134000,143.130000,143.132000,0
20191230 002500,143.133000,143.134000,143.130000,143.131000,0
20191230 002600,143.130000,143.169000,143.130000,143.169000,0
20191230 002700,143.169000,143.189000,143.165000,143.179000,0
20191230 002800,143.179000,143.180000,143.173000,143.174000,0
20191230 002900,143.178000,143.188000,143.178000,143.182000,0
20191230 003000,143.181000,143.186000,143.165000,143.173000,0
20191230 003100,143.173000,143.181000,143.164000,143.175000,0
20191230 003200,143.174000,143.179000,143.174000,143.176000,0
20191230 003300,143.188000,143.209000,143.188000,143.206000,0
20191230 003400,143.201000,143.207000,143.194000,143.194000,0
20191230 003500,143.193000,143.219000,143.193000,143.219000,0
20191230 003600,143.217000,143.217000,143.195000,143.195000,0
20191230 003700,143.197000,143.202000,143.197000,143.198000,0
20191230 003800,143.199000,143.206000,143.196000,143.202000,0
20191230 003900,143.202000,143.211000,143.198000,143.201000,0
20191230 004000,143.200000,143.215000,143.189000,143.207000,0
20191230 004100,143.207000,143.210000,143.199000,143.199000,0
20191230 004200,143.199000,143.201000,143.195000,143.200000,0
20191230 004300,143.200000,143.211000,143.199000,143.209000,0
20191230 004400,143.207000,143.213000,143.200000,143.212000,0
20191230 004500,143.211000,143.212000,143.211000,143.212000,0
20191230 004600,143.213000,143.214000,143.206000,143.207000,0
20191230 004700,143.207000,143.209000,143.199000,143.206000,0
20191230 004800,143.202000,143.208000,143.196000,143.206000,0
20191230 004900,143.210000,143.231000,143.210000,143.215000,0
20191230 005000,143.214000,143.214000,143.188000,143.189000,0
20191230 005100,143.190000,143.192000,143.161000,143.163000,0
20191230 005200,143.162000,143.192000,143.162000,143.192000,0
20191230 005300,143.193000,143.200000,143.183000,143.183000,0
20191230 005400,143.185000,143.189000,143.179000,143.189000,0
20191230 005500,143.189000,143.200000,143.189000,143.199000,0
20191230 005600,143.200000,143.204000,143.176000,143.189000,0
20191230 005700,143.191000,143.209000,143.191000,143.208000,0
20191230 005800,143.207000,143.223000,143.204000,143.222000,0
20191230 005900,143.220000,143.223000,143.201000,143.216000,0
20191230 010000,143.216000,143.219000,143.197000,143.219000,0
20191230 010100,143.220000,143.220000,143.201000,143.202000,0
20191230 010200,143.202000,143.212000,143.193000,143.197000,0
