Date,Open,High,Low,Close,Volume
20191230 000000,1.953290,1.953340,1.952990,1.952990,0
20191230 000100,1.952940,1.952960,1.952840,1.952860,0
20191230 000200,1.952850,1.952990,1.952820,1.952970,0
20191230 000300,1.952980,1.953120,1.952840,1.953120,0
20191230 000400,1.953180,1.953180,1.953070,1.953120,0
20191230 000500,1.953110,1.953110,1.952680,1.952680,0
20191230 000600,1.952680,1.952810,1.952670,1.952670,0
20191230 000700,1.952650,1.952730,1.952620,1.952630,0
20191230 000800,1.952640,1.952670,1.952490,1.952590,0
20191230 000900,1.952530,1.952620,1.952490,1.952520,0
20191230 001000,1.952470,1.952620,1.952470,1.952520,0
20191230 001100,1.952550,1.952910,1.952520,1.952810,0
20191230 001200,1.952810,1.952920,1.952610,1.952610,0
20191230 001300,1.952610,1.953150,1.952610,1.953130,0
20191230 001400,1.953130,1.953410,1.953050,1.953250,0
20191230 001500,1.953250,1.953510,1.953250,1.953510,0
20191230 001600,1.953510,1.953510,1.953310,1.953320,0
20191230 001700,1.953320,1.953570,1.953300,1.953570,0
20191230 001800,1.953570,1.953570,1.953130,1.953170,0
20191230 001900,1.953190,1.953320,1.953110,1.953110,0
20191230 002000,1.953070,1.953320,1.953020,1.953020,0
20191230 002100,1.953020,1.953120,1.952920,1.953020,0
20191230 002200,1.953020,1.953020,1.952780,1.952920,0
20191230 002300,1.952920,1.953020,1.952780,1.952910,0
20191230 002400,1.952910,1.952950,1.952810,1.952920,0
20191230 002500,1.952920,1.953020,1.952860,1.952920,0
20191230 002600,1.952920,1.953150,1.952820,1.953120,0
20191230 002700,1.953140,1.953330,1.953080,1.953130,0
20191230 002800,1.953130,1.953220,1.953040,1.953080,0
20191230 002900,1.953110,1.953420,1.953100,1.953310,0
20191230 003000,1.953310,1.953510,1.953180,1.953290,0
20191230 003100,1.953290,1.953460,1.953240,1.953350,0
20191230 003200,1.953420,1.953510,1.953350,1.953360,0
20191230 003300,1.953360,1.953820,1.953360,1.953720,0
20191230 003400,1.953640,1.953820,1.953540,1.953620,0
20191230 003500,1.953610,1.953920,1.953600,1.953850,0
20191230 003600,1.953850,1.953850,1.953650,1.953720,0
20191230 003700,1.953720,1.953820,1.953520,1.953520,0
20191230 003800,1.953450,1.953710,1.953450,1.953570,0
20191230 003900,1.953570,1.954180,1.953550,1.954030,0
20191230 004000,1.954030,1.954860,1.954030,1.954790,0
20191230 004100,1.954790,1.954830,1.954610,1.954610,0
20191230 004200,1.954640,1.954650,1.954610,1.954620,0
20191230 004300,1.954620,1.954770,1.954590,1.954710,0
20191230 004400,1.954710,1.954820,1.954630,1.954720,0
20191230 004500,1.954760,1.954760,1.954700,1.954750,0
20191230 004600,1.954730,1.954910,1.954730,1.954910,0
20191230 004700,1.954810,1.954980,1.954310,1.954310,0
20191230 004800,1.954310,1.954320,1.954150,1.954250,0
20191230 004900,1.954310,1.954550,1.954310,1.954320,0
20191230 005000,1.954320,1.954330,1.954000,1.954040,0
20191230 005100,1.954040,1.954060,1.953620,1.953620,0
20191230 005200,1.953630,1.953870,1.953610,1.953710,0
20191230 005300,1.953850,1.953850,1.953660,1.953810,0
20191230 005400,1.953870,1.953920,1.953640,1.953810,0
20191230 005500,1.953730,1.953850,1.953610,1.953810,0
20191230 005600,1.953830,1.953830,1.953540,1.953720,0
20191230 005700,1.953720,1.953800,1.953640,1.953800,0
20191230 005800,1.953820,1.954120,1.953800,1.954020,0
20191230 005900,1.953920,1.953920,1.953520,1.953710,0
20191230 010000,1.953710,1.954010,1.953650,1.954010,0
20191230 010100,1.953910,1.954020,1.953550,1.953720,0
20191230 010200,1.953720,1.953730,1.953610,1.953720,0
20191230 010300,1.953720,1.953860,1.953680,1.953860,0
20191230 010400,1.953840,1.954110,1.953820,1.954040,0
20191230 010500,1.953960,1.954220,1.953910,1.954210,0
20191230 010600,1.954120,1.954320,1.954120,1.954250,0
20191230 010700,1.954320,1.954340,1.954290,1.954340,0
20191230 010800,1.954350,1.954350,1.954280,1.954330,0
20191230 010900,1.954320,1.954520,1.954290,1.954290,0
20191230 011000,1.954280,1.954510,1.954270,1.954420,0
20191230 011100,1.954420,1.954520,1.954280,1.954420,0
20191230 011200,1.954420,1.954520,1.954290,1.954310,0
20191230 011300,1.954320,1.954330,1.954250,1.954310,0
20191230 011400,1.954320,1.954330,1.954240,1.954250,0
20191230 011500,1.954280,1.954290,1.954150,1.954220,0
20191230 011600,1.954220,1.954510,1.954090,1.954420,0
20191230 011700,1.954420,1.954510,1.954310,1.954410,0
20191230 011800,1.954410,1.954510,1.954030,1.954100,0
20191230 011900,1.954210,1.954220,1.954040,1.954040,0
20191230 012000,1.954110,1.954180,1.954090,1.954150,0
20191230 012100,1.954130,1.954220,1.953830,1.953930,0
20191230 012200,1.953930,1.954130,1.953910,1.953950,0
20191230 012300,1.953880,1.953880,1.953370,1.953370,0
20191230 012400,1.953370,1.953400,1.953210,1.953370,0
20191230 012500,1.953380,1.953520,1.953160,1.953220,0
20191230 012600,1.953240,1.953250,1.952890,1.952890,0
20191230 012700,1.952890,1.953070,1.952600,1.952600,0
20191230 012800,1.952590,1.952790,1.952220,1.952680,0
20191230 012900,1.952630,1.952790,1.952520,1.952680,0
20191230 013000,1.952650,1.952670,1.952320,1.952320,0
20191230 013100,1.952350,1.952370,1.952210,1.952300,0
20191230 013200,1.952340,1.952370,1.952180,1.952210,0
20191230 013300,1.952260,1.953180,1.952110,1.953120,0
20191230 013400,1.953130,1.953140,1.952860,1.952860,0
20191230 013500,1.952840,1.953140,1.952840,1.953120,0
20191230 013600,1.953060,1.953180,1.952820,1.953100,0
20191230 013700,1.953070,1.953140,1.952840,1.952850,0
