Date,Open,High,Low,Close,Volume
20191230 000000,1.311030,1.311030,1.310690,1.310720,0
20191230 000100,1.310750,1.310810,1.310710,1.310730,0
20191230 000200,1.310790,1.310890,1.310790,1.310810,0
20191230 000300,1.310810,1.311020,1.310810,1.310980,0
20191230 000400,1.310980,1.311040,1.310970,1.311010,0
20191230 000500,1.311020,1.311080,1.311020,1.311030,0
20191230 000600,1.311040,1.311040,1.311030,1.311040,0
20191230 000700,1.311040,1.311080,1.310990,1.311000,0
20191230 000800,1.310980,1.311030,1.310980,1.311030,0
20191230 000900,1.311050,1.311060,1.311010,1.311030,0
20191230 001000,1.311030,1.311050,1.310960,1.310980,0
20191230 001100,1.310980,1.311200,1.310980,1.311160,0
20191230 001200,1.311140,1.311160,1.311120,1.311120,0
20191230 001300,1.311130,1.311480,1.311130,1.311440,0
20191230 001400,1.311500,1.311610,1.311480,1.311610,0
20191230 001500,1.311620,1.311650,1.311490,1.311510,0
20191230 001600,1.311510,1.311550,1.311490,1.311540,0
20191230 001700,1.311530,1.311640,1.311510,1.311510,0
20191230 001800,1.311510,1.311530,1.311280,1.311280,0
20191230 001900,1.311300,1.311370,1.311290,1.311290,0
20191230 002000,1.311310,1.311350,1.311280,1.311320,0
20191230 002100,1.311330,1.311340,1.311290,1.311290,0
20191230 002200,1.311300,1.311310,1.311260,1.311290,0
20191230 002300,1.311280,1.311310,1.311270,1.311310,0
20191230 002400,1.311310,1.311330,1.311310,1.311330,0
20191230 002500,1.311330,1.311350,1.311300,1.311300,0
20191230 002600,1.311320,1.311640,1.311300,1.311640,0
20191230 002700,1.311640,1.311760,1.311620,1.311750,0
20191230 002800,1.311750,1.311750,1.311670,1.311740,0
20191230 002900,1.311750,1.311840,1.311750,1.311830,0
20191230 003000,1.311800,1.311850,1.311660,1.311760,0
20191230 003100,1.311770,1.311840,1.311670,1.311710,0
20191230 003200,1.311710,1.311760,1.311700,1.311710,0
20191230 003300,1.311840,1.312060,1.311840,1.312050,0
20191230 003400,1.312020,1.312030,1.311970,1.311990,0
20191230 003500,1.312020,1.312160,1.312000,1.312140,0
20191230 003600,1.312140,1.312140,1.311980,1.312000,0
20191230 003700,1.312000,1.312030,1.311980,1.311980,0
20191230 003800,1.311980,1.312090,1.311980,1.312080,0
20191230 003900,1.312050,1.312120,1.312030,1.312060,0
20191230 004000,1.312050,1.312180,1.312020,1.312160,0
20191230 004100,1.312140,1.312190,1.312040,1.312060,0
20191230 004200,1.312050,1.312080,1.312050,1.312060,0
20191230 004300,1.312070,1.312170,1.312070,1.312150,0
20191230 004400,1.312110,1.312190,1.312060,1.312170,0
20191230 004500,1.312170,1.312170,1.312160,1.312160,0
20191230 004600,1.312180,1.312180,1.312140,1.312170,0
20191230 004700,1.312170,1.312230,1.312160,1.312210,0
20191230 004800,1.312170,1.312220,1.312100,1.312210,0
20191230 004900,1.312230,1.312440,1.312230,1.312240,0
20191230 005000,1.312250,1.312270,1.312010,1.312030,0
20191230 005100,1.312030,1.312030,1.311840,1.311870,0
20191230 005200,1.311840,1.312100,1.311840,1.312100,0
20191230 005300,1.312090,1.312090,1.311960,1.311990,0
20191230 005400,1.311980,1.312000,1.311920,1.311960,0
20191230 005500,1.311980,1.312040,1.311980,1.312010,0
20191230 005600,1.312010,1.312030,1.311820,1.311900,0
20191230 005700,1.311910,1.312040,1.311900,1.311990,0
20191230 005800,1.311990,1.312030,1.311960,1.312020,0
20191230 005900,1.312010,1.312010,1.311750,1.311850,0
20191230 010000,1.311830,1.312050,1.311780,1.312050,0
20191230 010100,1.312010,1.312050,1.311910,1.311950,0
20191230 010200,1.311980,1.312020,1.311940,1.311970,0
20191230 010300,1.311970,1.312040,1.311920,1.312040,0
20191230 010400,1.312060,1.312160,1.312060,1.312070,0
20191230 010500,1.312080,1.312130,1.312030,1.312100,0
20191230 010600,1.312090,1.312140,1.312030,1.312140,0
20191230 010700,1.312140,1.312140,1.312130,1.312140,0
20191230 010800,1.312150,1.312150,1.312140,1.312150,0
20191230 010900,1.312150,1.312180,1.312130,1.312150,0
20191230 011000,1.312150,1.312160,1.312140,1.312150,0
20191230 011100,1.312140,1.312170,1.312140,1.312150,0
20191230 011200,1.312150,1.312150,1.312140,1.312150,0
20191230 011300,1.312130,1.312150,1.312130,1.312130,0
20191230 011400,1.312140,1.312150,1.312130,1.312140,0
20191230 011500,1.312140,1.312200,1.312130,1.312140,0
20191230 011600,1.312130,1.312140,1.312130,1.312130,0
20191230 011700,1.312140,1.312170,1.312130,1.312130,0
20191230 011800,1.312110,1.312140,1.311890,1.311970,0
20191230 011900,1.311960,1.312010,1.311950,1.311960,0
20191230 012000,1.311970,1.311970,1.311970,1.311970,0
20191230 012100,1.311960,1.311960,1.311810,1.311820,0
20191230 012200,1.311860,1.311890,1.311620,1.311620,0
20191230 012300,1.311620,1.311620,1.311220,1.311220,0
20191230 012400,1.311220,1.311220,1.310980,1.311120,0
20191230 012500,1.311120,1.311130,1.310860,1.310860,0
20191230 012600,1.310860,1.310860,1.310690,1.310690,0
20191230 012700,1.310720,1.310740,1.310510,1.310530,0
20191230 012800,1.310530,1.310580,1.310130,1.310560,0
20191230 012900,1.310530,1.310720,1.310470,1.310710,0
20191230 013000,1.310730,1.310740,1.310510,1.310510,0
20191230 013100,1.310510,1.310600,1.310480,1.310600,0
20191230 013200,1.310590,1.310630,1.310490,1.310620,0
20191230 013300,1.310630,1.311320,1.310630,1.311250,0
20191230 013400,1.311240,1.311240,1.310940,1.310940,0
20191230 013500,1.310960,1.311040,1.310960,1.311000,0
20191230 013600,1.311000,1.311070,1.310820,1.310910,0
20191230 013700,1.310920,1.310970,1.310770,1.310770,0
20191230 013800,1.310770,1.310770,1.310680,1.310710,0
20191230 013900,1.310720,1.310790,1.310700,1.310790,0
20191230 014000,1.310790,1.310810,1.310700,1.310700,0
20191230 014100,1.310720,1.310870,1.310700,1.310860,0
20191230 014200,1.310800,1.310890,1.310730,1.310870,0
20191230 014300,1.310900,1.310910,1.310870,1.310870,0
