Date,Open,High,Low,Close,Volume
20191230 000000,13298.200000,13298.200000,13297.360000,13298.000000,0
20191230 000100,13297.360000,13297.690000,13297.170000,13297.690000,0
20191230 000200,13297.390000,13297.880000,13297.150000,13297.350000,0
20191230 000300,13297.800000,13297.870000,13297.180000,13297.390000,0
20191230 000400,13298.300000,13298.400000,13297.660000,13298.000000,0
20191230 000500,13298.500000,13299.390000,13297.890000,13299.390000,0
20191230 000700,13300.000000,13300.160000,13298.670000,13299.380000,0
20191230 000800,13299.300000,13300.380000,13299.300000,13299.670000,0
20191230 000900,13299.890000,13299.890000,13299.650000,13299.650000,0
20191230 001000,13300.000000,13301.200000,13300.000000,13300.350000,0
20191230 001100,13300.300000,13300.300000,13299.700000,13299.850000,0
20191230 001200,13299.660000,13300.190000,13298.700000,13298.700000,0
20191230 001300,13298.500000,13299.380000,13297.880000,13299.380000,0
20191230 001400,13299.700000,13299.700000,13298.670000,13298.860000,0
20191230 001500,13298.700000,13299.380000,13297.400000,13297.400000,0
20191230 001600,13297.870000,13298.400000,13297.400000,13297.870000,0
20191230 001700,13297.700000,13298.360000,13297.670000,13298.160000,0
20191230 001800,13297.890000,13297.890000,13297.360000,13297.370000,0
20191230 001900,13297.870000,13298.360000,13297.150000,13297.880000,0
20191230 002000,13298.190000,13298.870000,13297.400000,13298.370000,0
20191230 002100,13298.180000,13300.360000,13298.180000,13300.000000,0
20191230 002200,13300.390000,13300.860000,13299.650000,13299.650000,0
20191230 002300,13299.180000,13299.500000,13298.680000,13298.680000,0
20191230 002400,13298.350000,13299.500000,13298.350000,13298.390000,0
20191230 002500,13297.850000,13298.660000,13296.870000,13297.370000,0
20191230 002600,13297.200000,13298.200000,13296.880000,13297.900000,0
20191230 002700,13297.400000,13297.400000,13297.180000,13297.180000,0
20191230 002800,13296.860000,13297.190000,13295.870000,13295.890000,0
20191230 002900,13296.300000,13296.650000,13295.200000,13295.200000,0
20191230 003000,13295.400000,13296.300000,13293.000000,13293.000000,0
20191230 003100,13293.000000,13294.400000,13293.000000,13294.000000,0
20191230 003200,13293.350000,13293.850000,13293.000000,13293.850000,0
20191230 003300,13293.660000,13294.160000,13293.350000,13293.850000,0
20191230 003400,13294.860000,13295.900000,13294.860000,13295.900000,0
20191230 003500,13295.800000,13295.800000,13294.350000,13294.900000,0
20191230 003600,13294.350000,13294.350000,13293.370000,13293.370000,0
20191230 003700,13293.690000,13294.150000,13293.000000,13293.000000,0
20191230 003800,13293.000000,13293.000000,13293.000000,13293.000000,0
20191230 003900,13293.000000,13293.000000,13287.850000,13288.150000,0
20191230 004000,13288.650000,13288.650000,13287.370000,13287.890000,0
20191230 004100,13288.190000,13290.690000,13287.850000,13290.690000,0
20191230 004200,13290.360000,13290.880000,13289.670000,13290.690000,0
20191230 004300,13290.900000,13291.170000,13290.300000,13290.680000,0
20191230 004400,13290.860000,13293.690000,13290.860000,13293.350000,0
20191230 004500,13293.180000,13294.400000,13292.870000,13293.860000,0
20191230 004600,13294.400000,13294.400000,13293.850000,13293.850000,0
20191230 004700,13294.300000,13294.380000,13293.360000,13294.380000,0
20191230 004800,13294.300000,13294.390000,13293.370000,13294.390000,0
20191230 004900,13293.900000,13294.400000,13292.680000,13294.400000,0
20191230 005000,13294.190000,13294.650000,13292.900000,13294.650000,0
20191230 005100,13294.400000,13295.360000,13294.400000,13294.860000,0
20191230 005200,13295.180000,13296.190000,13294.890000,13295.890000,0
20191230 005300,13296.170000,13296.690000,13295.850000,13295.850000,0
20191230 005400,13295.200000,13295.380000,13294.150000,13294.150000,0
20191230 005500,13294.500000,13296.170000,13294.500000,13295.400000,0
20191230 005600,13295.690000,13296.300000,13295.150000,13296.300000,0
20191230 005700,13296.360000,13296.850000,13295.180000,13295.880000,0
20191230 005800,13296.500000,13298.200000,13296.370000,13297.890000,0
20191230 005900,13298.370000,13300.370000,13296.190000,13296.500000,0
20191230 010000,13296.500000,13297.390000,13290.870000,13294.850000,0
20191230 010100,13294.160000,13295.300000,13293.680000,13295.300000,0
20191230 010200,13295.300000,13295.300000,13289.300000,13289.300000,0
20191230 010300,13289.400000,13291.000000,13287.190000,13288.890000,0
20191230 010400,13289.670000,13289.890000,13287.660000,13288.000000,0
20191230 010500,13288.370000,13289.900000,13287.350000,13289.900000,0
20191230 010600,13289.360000,13290.350000,13288.400000,13290.350000,0
20191230 010700,13290.690000,13291.380000,13289.680000,13290.900000,0
20191230 010800,13290.150000,13291.380000,13290.150000,13291.000000,0
20191230 010900,13290.200000,13291.200000,13289.800000,13291.170000,0
20191230 011000,13291.370000,13292.000000,13290.170000,13290.170000,0
20191230 011100,13290.390000,13291.390000,13290.390000,13290.870000,0
20191230 011200,13290.000000,13291.200000,13290.000000,13290.900000,0
20191230 011300,13291.180000,13291.650000,13290.350000,13290.880000,0
20191230 011400,13290.370000,13291.380000,13290.370000,13290.900000,0
20191230 011500,13291.390000,13292.690000,13290.860000,13292.690000,0
20191230 011600,13292.390000,13292.800000,13290.870000,13292.400000,0
20191230 011700,13292.690000,13292.900000,13291.860000,13291.860000,0
20191230 011800,13292.150000,13292.380000,13291.360000,13291.370000,0
20191230 011900,13291.650000,13292.500000,13291.650000,13292.500000,0
20191230 012000,13292.800000,13292.890000,13291.670000,13292.890000,0
