Date,Open,High,Low,Close,Volume
20191230 000000,28433.170000,28433.170000,28413.920000,28424.900000,0
20191230 000100,28421.870000,28423.400000,28415.020000,28422.870000,0
20191230 000200,28423.520000,28427.400000,28421.020000,28422.970000,0
20191230 000300,28422.670000,28423.220000,28410.620000,28412.120000,0
20191230 000400,28412.320000,28420.920000,28411.420000,28419.620000,0
20191230 000500,28419.870000,28420.770000,28411.170000,28416.620000,0
20191230 000600,28417.670000,28419.020000,28412.720000,28416.020000,0
20191230 000700,28416.170000,28416.470000,28403.820000,28414.720000,0
20191230 000800,28414.520000,28418.920000,28410.820000,28410.820000,0
20191230 000900,28411.720000,28416.900000,28410.620000,28416.900000,0
20191230 001000,28415.770000,28422.900000,28414.620000,28420.670000,0
20191230 001100,28419.870000,28421.400000,28414.120000,28416.620000,0
20191230 001200,28415.970000,28418.900000,28409.770000,28412.000000,0
20191230 001300,28410.220000,28410.370000,28399.770000,28402.820000,0
20191230 001400,28403.220000,28407.120000,28381.270000,28382.970000,0
20191230 001500,28383.820000,28392.020000,28360.970000,28365.220000,0
20191230 001600,28364.170000,28384.770000,28364.170000,28379.470000,0
20191230 001700,28378.320000,28382.000000,28376.270000,28379.020000,0
20191230 001800,28378.520000,28384.000000,28377.370000,28382.120000,0
20191230 001900,28381.770000,28384.520000,28380.520000,28383.470000,0
20191230 002000,28383.620000,28388.970000,28377.720000,28387.870000,0
20191230 002100,28388.820000,28395.320000,28387.420000,28395.320000,0
20191230 002200,28396.000000,28396.000000,28390.720000,28395.020000,0
20191230 002300,28393.770000,28395.000000,28385.720000,28389.370000,0
20191230 002400,28389.320000,28394.000000,28385.770000,28387.920000,0
20191230 002500,28387.070000,28393.320000,28385.220000,28388.320000,0
20191230 002600,28388.320000,28395.020000,28388.320000,28394.020000,0
20191230 002700,28394.470000,28396.000000,28391.020000,28393.270000,0
20191230 002800,28394.000000,28394.000000,28382.820000,28386.870000,0
20191230 002900,28387.120000,28389.000000,28380.920000,28383.370000,0
20191230 003000,28383.820000,28388.000000,28378.420000,28380.120000,0
20191230 003100,28381.100000,28390.000000,28378.370000,28388.120000,0
20191230 003200,28387.870000,28388.020000,28381.370000,28385.020000,0
20191230 003300,28384.170000,28392.020000,28382.820000,28389.770000,0
20191230 003400,28389.870000,28394.120000,28389.820000,28391.270000,0
20191230 003500,28390.770000,28393.120000,28389.820000,28391.320000,0
20191230 003600,28391.370000,28395.920000,28389.020000,28390.000000,0
20191230 003700,28389.320000,28391.720000,28386.870000,28388.870000,0
20191230 003800,28388.870000,28391.000000,28382.120000,28382.870000,0
20191230 003900,28383.720000,28385.120000,28370.820000,28375.220000,0
20191230 004000,28375.070000,28382.220000,28372.020000,28378.720000,0
20191230 004100,28379.100000,28384.100000,28376.020000,28383.020000,0
20191230 004200,28384.170000,28385.170000,28381.320000,28382.370000,0
20191230 004300,28383.170000,28384.600000,28379.020000,28380.670000,0
20191230 004400,28380.120000,28382.600000,28376.220000,28382.470000,0
20191230 004500,28382.720000,28389.220000,28382.720000,28388.820000,0
20191230 004600,28388.100000,28388.220000,28384.920000,28386.220000,0
20191230 004700,28385.870000,28390.100000,28383.820000,28386.570000,0
20191230 004800,28386.570000,28388.100000,28383.870000,28384.970000,0
20191230 004900,28384.320000,28388.120000,28378.170000,28388.120000,0
20191230 005000,28389.100000,28396.770000,28384.820000,28396.770000,0
20191230 005100,28396.820000,28396.820000,28392.620000,28393.670000,0
20191230 005200,28393.320000,28398.100000,28392.820000,28395.020000,0
20191230 005300,28395.220000,28397.600000,28393.870000,28396.220000,0
20191230 005400,28394.820000,28400.420000,28392.470000,28399.720000,0
20191230 005500,28399.920000,28403.500000,28396.220000,28399.220000,0
20191230 005600,28399.020000,28402.000000,28398.820000,28400.620000,0
20191230 005700,28400.820000,28403.500000,28396.820000,28397.670000,0
20191230 005800,28397.920000,28401.100000,28396.420000,28398.970000,0
20191230 005900,28399.320000,28402.100000,28394.970000,28395.220000,0
20191230 010000,28394.920000,28403.100000,28386.870000,28403.020000,0
20191230 010100,28402.820000,28406.070000,28398.870000,28400.070000,0
20191230 010200,28398.870000,28401.720000,28384.820000,28384.820000,0
20191230 010300,28385.600000,28387.100000,28372.370000,28380.470000,0
20191230 010400,28380.370000,28386.100000,28376.370000,28378.170000,0
20191230 010500,28378.920000,28387.670000,28376.970000,28387.670000,0
20191230 010600,28388.100000,28389.100000,28384.870000,28387.120000,0
20191230 010700,28386.570000,28389.100000,28383.170000,28383.170000,0
20191230 010800,28383.070000,28389.100000,28382.870000,28383.320000,0
20191230 010900,28383.470000,28387.220000,28381.920000,28385.120000,0
20191230 011000,28387.470000,28391.220000,28380.220000,28380.220000,0
20191230 011100,28379.220000,28385.600000,28376.820000,28382.320000,0
20191230 011200,28382.970000,28384.600000,28380.920000,28384.020000,0
20191230 011300,28383.120000,28384.600000,28374.970000,28376.870000,0
20191230 011400,28376.970000,28381.100000,28376.820000,28381.020000,0
20191230 011500,28381.220000,28389.370000,28377.870000,28385.070000,0
20191230 011600,28385.120000,28386.220000,28377.920000,28382.020000,0
20191230 011700,28382.420000,28383.220000,28377.870000,28379.620000,0
20191230 011800,28379.420000,28379.620000,28367.170000,28370.700000,0
20191230 011900,28370.270000,28378.100000,28369.920000,28378.100000,0
20191230 012000,28379.100000,28384.070000,28378.520000,28384.070000,0
20191230 012100,28384.020000,28387.600000,28381.320000,28385.320000,0
20191230 012200,28386.920000,28387.670000,28382.820000,28382.820000,0
20191230 012300,28382.920000,28391.020000,28380.870000,28387.120000,0
20191230 012400,28386.670000,28391.100000,28384.870000,28390.220000,0
20191230 012500,28390.170000,28390.170000,28383.820000,28387.020000,0
20191230 012600,28387.170000,28389.120000,28384.070000,28384.970000,0
20191230 012700,28385.670000,28388.670000,28384.870000,28388.670000,0
20191230 012800,28388.370000,28392.170000,28386.870000,28391.220000,0
20191230 012900,28391.570000,28395.020000,28391.570000,28393.820000,0
20191230 013000,28394.120000,28395.100000,28385.820000,28389.600000,0
20191230 013100,28389.070000,28390.100000,28382.820000,28385.820000,0
20191230 013200,28386.320000,28389.100000,28384.820000,28386.220000,0
20191230 013300,28385.970000,28386.100000,28382.170000,28383.070000,0
20191230 013400,28383.220000,28385.600000,28378.120000,28382.020000,0
20191230 013500,28383.100000,28386.100000,28379.470000,28383.920000,0
20191230 013600,28383.970000,28389.100000,28382.870000,28388.070000,0
20191230 013700,28387.870000,28388.220000,28383.320000,28383.320000,0
20191230 013800,28383.120000,28386.600000,28381.070000,28384.200000,0
20191230 013900,28382.620000,28389.170000,28382.420000,28388.970000,0
20191230 014000,28388.020000,28393.600000,28386.670000,28390.420000,0
20191230 014100,28390.520000,28390.820000,28382.970000,28386.200000,0
20191230 014200,28384.670000,28388.600000,28382.920000,28387.870000,0
20191230 014300,28387.820000,28387.870000,28381.470000,28384.070000,0
20191230 014400,28384.120000,28385.700000,28381.970000,28383.020000,0
20191230 014500,28383.270000,28384.200000,28376.970000,28382.700000,0
20191230 014600,28381.920000,28383.270000,28379.970000,28381.020000,0
20191230 014700,28381.120000,28382.700000,28379.920000,28382.120000,0
20191230 014800,28382.220000,28388.700000,28381.970000,28387.170000,0
20191230 014900,28387.820000,28388.200000,28384.920000,28386.420000,0
20191230 015000,28386.770000,28390.200000,28384.220000,28386.970000,0
20191230 015100,28387.320000,28391.100000,28386.020000,28388.970000,0
20191230 015200,28389.070000,28393.100000,28387.020000,28389.970000,0
20191230 015300,28390.070000,28392.600000,28383.020000,28383.020000,0
20191230 015400,28383.320000,28386.700000,28380.120000,28384.020000,0
20191230 015500,28384.270000,28386.700000,28383.170000,28385.970000,0
20191230 015600,28386.170000,28390.320000,28384.920000,28388.120000,0
20191230 015700,28389.200000,28392.320000,28387.020000,28388.020000,0
20191230 015800,28387.720000,28391.200000,28386.220000,28386.770000,0
20191230 015900,28386.670000,28388.700000,28384.020000,28387.120000,0
20191230 020000,28386.070000,28390.200000,28385.570000,28388.120000,0
20191230 020100,28387.120000,28392.070000,28384.970000,28390.570000,0
20191230 020200,28389.920000,28397.220000,28389.920000,28397.020000,0
20191230 020300,28397.470000,28398.100000,28395.120000,28396.270000,0
20191230 020400,28396.170000,28398.100000,28391.970000,28397.070000,0
20191230 020500,28396.920000,28406.100000,28396.920000,28404.020000,0
20191230 020600,28403.570000,28404.120000,28399.720000,28400.820000,0
20191230 020700,28401.170000,28403.100000,28400.370000,28403.100000,0
20191230 020800,28401.870000,28402.020000,28397.220000,28397.270000,0
20191230 020900,28397.520000,28401.100000,28396.970000,28398.820000,0
20191230 021000,28400.200000,28414.600000,28400.120000,28413.120000,0
20191230 021100,28413.070000,28421.100000,28412.020000,28414.370000,0
20191230 021200,28415.020000,28416.100000,28408.870000,28409.470000,0
20191230 021300,28409.370000,28410.100000,28397.220000,28397.620000,0
20191230 021400,28396.970000,28396.970000,28391.920000,28394.920000,0
20191230 021500,28395.070000,28396.200000,28382.020000,28385.970000,0
20191230 021600,28386.470000,28388.920000,28380.920000,28388.170000,0
20191230 021700,28387.970000,28392.020000,28383.920000,28387.070000,0
20191230 021800,28387.020000,28394.200000,28386.920000,28392.320000,0
20191230 021900,28391.920000,28394.200000,28391.920000,28394.200000,0
20191230 022000,28393.220000,28394.020000,28388.270000,28393.020000,0
20191230 022100,28393.170000,28394.170000,28390.620000,28391.570000,0
20191230 022200,28391.970000,28398.320000,28389.970000,28396.020000,0
20191230 022300,28396.170000,28396.200000,28390.970000,28393.700000,0
20191230 022400,28392.220000,28392.220000,28386.020000,28388.170000,0
