Date,Open,High,Low,Close,Volume
20191230 000000,23670.520000,23675.470000,23670.270000,23675.320000,0
20191230 000100,23672.320000,23675.470000,23670.520000,23670.520000,0
20191230 000400,23672.370000,23675.520000,23672.370000,23672.420000,0
20191230 000500,23670.470000,23675.470000,23670.470000,23675.470000,0
20191230 000700,23672.370000,23676.000000,23670.370000,23675.420000,0
20191230 000800,23672.420000,23676.000000,23670.370000,23676.000000,0
20191230 000900,23672.270000,23675.370000,23672.270000,23675.270000,0
20191230 001000,23677.470000,23680.520000,23677.470000,23678.000000,0
20191230 001100,23675.320000,23678.000000,23675.320000,23678.000000,0
20191230 001200,23675.370000,23680.320000,23675.370000,23675.470000,0
20191230 001900,23672.270000,23675.520000,23672.270000,23675.520000,0
20191230 002000,23681.000000,23681.000000,23675.470000,23680.520000,0
20191230 002100,23686.000000,23686.000000,23680.370000,23685.370000,0
20191230 002300,23687.370000,23691.000000,23685.320000,23685.320000,0
20191230 002400,23687.270000,23691.000000,23685.370000,23685.370000,0
20191230 002500,23683.000000,23685.520000,23680.320000,23680.370000,0
20191230 002600,23682.470000,23685.520000,23680.270000,23682.270000,0
20191230 002700,23680.470000,23682.520000,23680.270000,23680.420000,0
20191230 002900,23677.520000,23677.520000,23675.270000,23675.270000,0
20191230 003000,23680.420000,23680.420000,23675.470000,23680.420000,0
20191230 003100,23685.370000,23685.370000,23680.370000,23680.420000,0
20191230 003200,23683.000000,23683.000000,23683.000000,23683.000000,0
20191230 003300,23680.270000,23685.520000,23680.270000,23685.520000,0
20191230 003700,23690.420000,23692.420000,23685.370000,23685.370000,0
20191230 003800,23680.470000,23686.000000,23680.370000,23680.370000,0
20191230 003900,23675.520000,23680.270000,23675.320000,23675.320000,0
20191230 004000,23671.000000,23675.470000,23670.270000,23672.270000,0
20191230 004100,23670.420000,23670.420000,23670.420000,23670.420000,0
20191230 004200,23672.420000,23676.000000,23672.420000,23676.000000,0
20191230 004300,23670.370000,23676.000000,23670.270000,23670.470000,0
20191230 004400,23672.370000,23675.370000,23670.370000,23675.370000,0
20191230 004500,23670.470000,23672.420000,23670.470000,23670.520000,0
20191230 004800,23675.370000,23675.370000,23670.420000,23670.420000,0
20191230 004900,23675.370000,23676.000000,23670.420000,23675.470000,0
20191230 005000,23670.420000,23676.000000,23670.420000,23672.520000,0
20191230 005100,23675.270000,23675.270000,23675.270000,23675.270000,0
20191230 005200,23680.420000,23685.320000,23675.270000,23680.470000,0
20191230 005300,23685.520000,23685.520000,23681.000000,23681.000000,0
20191230 005400,23677.470000,23681.000000,23677.370000,23681.000000,0
20191230 005500,23685.520000,23685.520000,23680.270000,23680.370000,0
20191230 005600,23682.470000,23690.520000,23680.470000,23690.270000,0
20191230 005700,23685.320000,23691.000000,23685.320000,23690.420000,0
20191230 005800,23692.520000,23700.520000,23690.370000,23695.370000,0
20191230 005900,23700.320000,23705.520000,23685.370000,23685.370000,0
20191230 010000,23690.370000,23690.520000,23660.370000,23680.420000,0
20191230 010100,23682.270000,23685.320000,23675.370000,23685.320000,0
20191230 010200,23680.320000,23685.270000,23660.320000,23660.320000,0
20191230 010300,23665.270000,23665.520000,23655.270000,23660.470000,0
20191230 010400,23665.520000,23665.520000,23650.320000,23650.520000,0
20191230 010500,23652.320000,23660.320000,23650.270000,23655.320000,0
20191230 010700,23660.320000,23660.320000,23655.270000,23655.270000,0
20191230 010800,23657.270000,23660.270000,23657.270000,23660.270000,0
20191230 010900,23656.000000,23660.520000,23650.470000,23660.520000,0
20191230 011000,23665.270000,23665.470000,23660.270000,23660.520000,0
20191230 011100,23663.000000,23665.320000,23663.000000,23665.320000,0
20191230 011300,23670.520000,23670.520000,23665.420000,23667.420000,0
20191230 011400,23665.470000,23670.470000,23665.470000,23670.370000,0
20191230 011900,23673.000000,23673.000000,23670.470000,23672.520000,0
20191230 012000,23675.420000,23675.420000,23675.420000,23675.420000,0
20191230 012300,23680.520000,23680.520000,23676.000000,23680.270000,0
20191230 012600,23685.470000,23685.470000,23685.470000,23685.470000,0
20191230 012700,23680.320000,23685.520000,23680.320000,23685.520000,0
20191230 012800,23680.270000,23686.000000,23680.270000,23686.000000,0
20191230 013000,23680.270000,23680.270000,23680.270000,23680.270000,0
20191230 013200,23682.470000,23685.370000,23682.470000,23685.370000,0
20191230 013300,23681.000000,23681.000000,23681.000000,23681.000000,0
20191230 013400,23682.320000,23682.320000,23682.320000,23682.320000,0
20191230 013500,23685.270000,23685.270000,23685.270000,23685.270000,0
20191230 013600,23680.470000,23686.000000,23680.470000,23686.000000,0
20191230 013700,23680.370000,23680.370000,23680.370000,23680.370000,0
20191230 014000,23685.420000,23685.420000,23682.420000,23685.420000,0
20191230 014200,23683.000000,23683.000000,23680.320000,23680.320000,0
20191230 014600,23675.270000,23675.270000,23675.270000,23675.270000,0
20191230 014700,23670.470000,23675.420000,23670.470000,23671.000000,0
20191230 014800,23675.270000,23675.520000,23670.420000,23675.520000,0
20191230 015500,23677.520000,23677.520000,23675.320000,23675.320000,0
20191230 015800,23670.320000,23676.000000,23670.320000,23676.000000,0
20191230 020000,23673.000000,23675.520000,23670.370000,23675.520000,0
20191230 020100,23680.470000,23680.470000,23680.470000,23680.470000,0
20191230 020200,23682.420000,23685.470000,23682.420000,23685.470000,0
20191230 020300,23682.470000,23686.000000,23680.520000,23680.520000,0
20191230 020400,23685.520000,23685.520000,23680.270000,23680.270000,0
20191230 020500,23685.370000,23685.370000,23675.320000,23675.420000,0
20191230 020600,23677.270000,23681.000000,23677.270000,23681.000000,0
20191230 020700,23682.270000,23690.320000,23682.270000,23690.320000,0
20191230 020900,23685.320000,23685.520000,23680.270000,23680.420000,0
20191230 021000,23682.420000,23685.320000,23682.420000,23685.320000,0
20191230 021100,23687.420000,23687.420000,23685.270000,23685.270000,0
20191230 021200,23682.320000,23685.320000,23682.320000,23685.320000,0
20191230 021300,23687.370000,23687.370000,23685.370000,23685.370000,0
20191230 021500,23680.470000,23680.470000,23670.270000,23670.520000,0
20191230 021600,23665.320000,23670.320000,23665.320000,23670.320000,0
20191230 021700,23665.370000,23670.320000,23665.320000,23666.000000,0
20191230 021800,23668.000000,23676.000000,23665.270000,23676.000000,0
20191230 021900,23677.470000,23681.000000,23675.320000,23675.320000,0
20191230 022000,23680.370000,23685.470000,23675.370000,23685.470000,0
20191230 022200,23681.000000,23685.520000,23681.000000,23685.520000,0
20191230 022300,23680.520000,23682.270000,23680.320000,23680.320000,0
20191230 022400,23675.420000,23675.420000,23675.420000,23675.420000,0
20191230 022500,23680.320000,23680.320000,23680.320000,23680.320000,0
20191230 022600,23677.270000,23680.470000,23675.470000,23677.370000,0
20191230 022700,23680.420000,23680.520000,23675.270000,23675.270000,0
20191230 022900,23670.470000,23676.000000,23670.470000,23676.000000,0
20191230 023000,23670.470000,23676.000000,23665.470000,23671.000000,0
20191230 023100,23665.470000,23670.520000,23660.470000,23660.470000,0
20191230 023200,23665.420000,23665.420000,23660.270000,23660.270000,0
20191230 023300,23665.270000,23665.520000,23660.520000,23665.520000,0
20191230 023400,23667.420000,23670.520000,23665.270000,23665.270000,0
20191230 023500,23667.520000,23670.320000,23665.470000,23665.470000,0
20191230 023700,23667.420000,23670.320000,23667.420000,23670.320000,0
20191230 023800,23672.520000,23672.520000,23670.470000,23670.470000,0
20191230 024100,23665.470000,23665.470000,23665.470000,23665.470000,0
20191230 024200,23670.520000,23670.520000,23670.520000,23670.520000,0
20191230 024400,23672.320000,23675.420000,23672.320000,23672.320000,0
20191230 024500,23675.270000,23675.270000,23670.270000,23670.270000,0
20191230 024900,23665.270000,23670.320000,23665.270000,23665.520000,0
20191230 025000,23661.000000,23665.520000,23660.270000,23662.420000,0
20191230 025100,23660.370000,23665.420000,23660.370000,23665.420000,0
20191230 025200,23662.270000,23665.520000,23661.000000,23665.520000,0
20191230 025600,23671.000000,23671.000000,23671.000000,23671.000000,0
20191230 025700,23676.000000,23680.420000,23675.420000,23675.420000,0
20191230 025800,23670.320000,23670.320000,23670.320000,23670.320000,0
20191230 025900,23675.320000,23675.420000,23670.320000,23675.370000,0
20191230 030000,23680.420000,23685.320000,23672.420000,23680.470000,0
20191230 030100,23685.370000,23686.000000,23680.320000,23685.270000,0
20191230 030200,23687.420000,23690.520000,23682.370000,23685.420000,0
20191230 030300,23682.320000,23687.520000,23680.270000,23685.520000,0
20191230 030400,23680.270000,23686.000000,23680.270000,23686.000000,0
20191230 030500,23682.420000,23685.520000,23680.270000,23685.270000,0
20191230 030600,23682.420000,23690.370000,23680.370000,23686.000000,0
20191230 030700,23682.270000,23691.000000,23682.270000,23685.270000,0
20191230 030800,23682.370000,23686.000000,23680.520000,23680.520000,0
20191230 030900,23685.520000,23685.520000,23675.370000,23675.370000,0
20191230 031000,23680.470000,23680.470000,23665.420000,23675.270000,0
20191230 031100,23672.420000,23677.470000,23672.320000,23675.470000,0
20191230 031300,23670.520000,23675.470000,23670.370000,23670.520000,0
