Date,Open,High,Low,Close,Volume
20191230 000000,8783.920000,8783.920000,8783.490000,8783.790000,0
20191230 000100,8783.680000,8783.900000,8783.420000,8783.780000,0
20191230 000200,8783.860000,8784.090000,8783.450000,8783.810000,0
20191230 000300,8783.970000,8784.310000,8783.790000,8783.950000,0
20191230 000400,8784.110000,8784.220000,8783.920000,8784.140000,0
20191230 000500,8784.200000,8784.290000,8784.000000,8784.110000,0
20191230 000600,8783.910000,8784.130000,8783.910000,8783.970000,0
20191230 000700,8783.970000,8783.970000,8783.460000,8783.830000,0
20191230 000800,8784.020000,8784.390000,8783.730000,8783.810000,0
20191230 000900,8783.970000,8783.970000,8783.970000,8783.970000,0
20191230 001000,8784.300000,8784.460000,8783.920000,8784.460000,0
20191230 001100,8784.250000,8784.400000,8783.880000,8783.980000,0
20191230 001200,8783.850000,8783.940000,8783.790000,8783.810000,0
20191230 001300,8783.810000,8783.810000,8783.140000,8783.500000,0
20191230 001400,8783.360000,8783.510000,8782.970000,8783.240000,0
20191230 001500,8783.180000,8783.270000,8782.510000,8782.510000,0
20191230 001600,8782.700000,8783.000000,8782.260000,8782.490000,0
20191230 001700,8782.330000,8782.490000,8781.940000,8781.940000,0
20191230 001800,8781.720000,8781.980000,8781.720000,8781.920000,0
20191230 001900,8782.150000,8782.290000,8781.810000,8781.900000,0
20191230 002000,8782.200000,8782.390000,8781.460000,8781.930000,0
20191230 002100,8782.180000,8782.700000,8781.950000,8782.700000,0
20191230 002200,8782.410000,8782.500000,8781.910000,8782.500000,0
20191230 002300,8782.190000,8782.480000,8781.860000,8782.260000,0
20191230 002400,8782.120000,8782.490000,8781.760000,8781.760000,0
20191230 002500,8781.980000,8782.010000,8781.220000,8781.220000,0
20191230 002600,8781.290000,8781.690000,8780.920000,8781.690000,0
20191230 002700,8781.690000,8781.690000,8780.920000,8781.310000,0
20191230 002800,8781.400000,8781.400000,8780.630000,8780.800000,0
20191230 002900,8780.630000,8780.740000,8780.260000,8780.260000,0
20191230 003000,8780.140000,8780.900000,8780.140000,8780.510000,0
20191230 003100,8780.320000,8780.790000,8780.310000,8780.790000,0
20191230 003200,8780.440000,8780.990000,8780.440000,8780.740000,0
20191230 003300,8780.740000,8781.500000,8780.470000,8781.500000,0
20191230 003500,8781.470000,8781.590000,8781.010000,8781.010000,0
20191230 003600,8780.820000,8780.820000,8780.820000,8780.820000,0
20191230 003700,8780.930000,8781.400000,8780.750000,8780.750000,0
20191230 003800,8780.420000,8780.700000,8780.120000,8780.200000,0
20191230 003900,8780.010000,8780.240000,8778.770000,8778.930000,0
20191230 004000,8778.820000,8779.000000,8778.320000,8778.930000,0
20191230 004100,8779.090000,8779.090000,8778.430000,8778.930000,0
20191230 004200,8778.790000,8778.980000,8778.650000,8778.790000,0
20191230 004300,8778.680000,8778.780000,8778.440000,8778.510000,0
20191230 004400,8778.510000,8778.900000,8778.220000,8778.750000,0
20191230 004500,8778.650000,8778.890000,8778.440000,8778.470000,0
20191230 004600,8778.330000,8778.490000,8778.230000,8778.450000,0
20191230 004700,8778.390000,8778.510000,8778.280000,8778.510000,0
20191230 004800,8778.360000,8778.590000,8778.240000,8778.290000,0
20191230 004900,8778.320000,8778.760000,8777.920000,8778.760000,0
20191230 005000,8778.870000,8779.230000,8778.620000,8779.230000,0
20191230 005100,8779.360000,8779.520000,8779.220000,8779.230000,0
20191230 005200,8779.310000,8779.800000,8779.310000,8779.500000,0
20191230 005300,8779.610000,8780.000000,8779.420000,8779.450000,0
20191230 005400,8779.250000,8779.690000,8779.210000,8779.510000,0
20191230 005500,8779.510000,8780.290000,8779.440000,8779.920000,0
20191230 005600,8780.260000,8780.290000,8779.880000,8780.290000,0
20191230 005700,8780.290000,8780.490000,8779.670000,8779.800000,0
20191230 005800,8779.800000,8780.420000,8779.800000,8780.260000,0
20191230 005900,8780.310000,8780.990000,8779.490000,8779.670000,0
20191230 010000,8779.670000,8780.000000,8777.460000,8779.520000,0
20191230 010100,8779.690000,8780.000000,8779.410000,8779.490000,0
20191230 010200,8779.250000,8779.480000,8776.920000,8776.920000,0
20191230 010300,8777.260000,8777.700000,8776.250000,8777.190000,0
20191230 010400,8777.300000,8777.710000,8776.230000,8776.230000,0
20191230 010500,8776.480000,8776.590000,8775.270000,8775.760000,0
20191230 010600,8775.680000,8775.950000,8775.620000,8775.810000,0
20191230 010700,8775.710000,8775.990000,8775.420000,8775.780000,0
20191230 010800,8775.460000,8775.990000,8775.460000,8775.770000,0
20191230 010900,8775.500000,8775.810000,8775.230000,8775.810000,0
20191230 011000,8775.960000,8777.000000,8775.750000,8775.750000,0
20191230 011100,8775.440000,8776.500000,8775.440000,8775.970000,0
20191230 011200,8775.850000,8776.480000,8775.720000,8776.460000,0
20191230 011300,8776.350000,8776.660000,8776.310000,8776.630000,0
20191230 011400,8776.500000,8777.400000,8776.500000,8777.400000,0
20191230 011500,8777.500000,8778.690000,8777.450000,8778.420000,0
20191230 011600,8778.290000,8778.510000,8777.830000,8778.280000,0
20191230 011700,8778.150000,8778.500000,8777.840000,8777.940000,0
20191230 011800,8777.820000,8778.200000,8777.720000,8777.880000,0
20191230 011900,8777.930000,8778.410000,8777.780000,8778.280000,0
20191230 012000,8778.320000,8778.700000,8778.020000,8778.250000,0
20191230 012100,8778.190000,8778.190000,8777.780000,8777.780000,0
20191230 012200,8777.950000,8778.090000,8777.720000,8777.720000,0
20191230 012300,8777.910000,8777.990000,8777.790000,8777.790000,0
20191230 012400,8777.830000,8777.830000,8777.470000,8777.730000,0
20191230 012500,8777.660000,8778.190000,8777.620000,8777.810000,0
20191230 012600,8777.710000,8778.190000,8777.670000,8778.190000,0
20191230 012700,8777.900000,8778.210000,8777.900000,8777.950000,0
