Date,Open,High,Low,Close,Volume
20191230 000000,0.876630,0.876680,0.876570,0.876670,0
20191230 000100,0.876620,0.876680,0.876620,0.876620,0
20191230 000200,0.876670,0.876720,0.876620,0.876620,0
20191230 000300,0.876620,0.876680,0.876580,0.876590,0
20191230 000400,0.876570,0.876680,0.876570,0.876630,0
20191230 000500,0.876620,0.876780,0.876620,0.876780,0
20191230 000600,0.876780,0.876830,0.876730,0.876780,0
20191230 000700,0.876780,0.876820,0.876770,0.876780,0
20191230 000800,0.876780,0.876920,0.876780,0.876880,0
20191230 000900,0.876870,0.876920,0.876830,0.876870,0
20191230 001000,0.876870,0.876880,0.876790,0.876870,0
20191230 001100,0.876870,0.876870,0.876780,0.876830,0
20191230 001200,0.876770,0.876930,0.876770,0.876870,0
20191230 001300,0.876880,0.876930,0.876820,0.876820,0
20191230 001400,0.876830,0.876880,0.876770,0.876780,0
20191230 001500,0.876780,0.876820,0.876720,0.876730,0
20191230 001600,0.876770,0.876830,0.876770,0.876780,0
20191230 001700,0.876780,0.876830,0.876670,0.876680,0
20191230 001800,0.876680,0.876720,0.876620,0.876670,0
20191230 001900,0.876670,0.876680,0.876620,0.876630,0
20191230 002000,0.876580,0.876730,0.876580,0.876730,0
20191230 002100,0.876730,0.876770,0.876620,0.876720,0
20191230 002200,0.876730,0.876830,0.876690,0.876780,0
20191230 002300,0.876780,0.876780,0.876660,0.876780,0
20191230 002400,0.876730,0.876780,0.876670,0.876780,0
20191230 002500,0.876780,0.876820,0.876740,0.876770,0
20191230 002600,0.876770,0.876850,0.876720,0.876770,0
20191230 002700,0.876880,0.876880,0.876770,0.876870,0
20191230 002800,0.876870,0.876930,0.876830,0.876930,0
20191230 002900,0.876900,0.876930,0.876850,0.876880,0
20191230 003000,0.876880,0.876880,0.876780,0.876820,0
20191230 003100,0.876840,0.876930,0.876820,0.876820,0
20191230 003200,0.876870,0.876880,0.876770,0.876770,0
20191230 003300,0.876830,0.876930,0.876830,0.876870,0
20191230 003400,0.876830,0.876930,0.876830,0.876830,0
20191230 003500,0.876820,0.876880,0.876790,0.876800,0
20191230 003600,0.876830,0.876880,0.876770,0.876790,0
20191230 003700,0.876770,0.876900,0.876770,0.876890,0
20191230 003800,0.876880,0.876930,0.876830,0.876880,0
20191230 003900,0.876880,0.876920,0.876720,0.876770,0
20191230 004000,0.876730,0.876730,0.876470,0.876520,0
20191230 004100,0.876530,0.876530,0.876470,0.876530,0
20191230 004200,0.876520,0.876530,0.876470,0.876480,0
20191230 004300,0.876480,0.876520,0.876480,0.876510,0
20191230 004400,0.876530,0.876530,0.876470,0.876480,0
20191230 004500,0.876530,0.876530,0.876470,0.876530,0
20191230 004600,0.876530,0.876530,0.876470,0.876470,0
20191230 004700,0.876470,0.876730,0.876380,0.876730,0
20191230 004800,0.876730,0.876780,0.876720,0.876780,0
