Date,Open,High,Low,Close,Volume
20191230 000000,0.652660,0.652690,0.652620,0.652680,0
20191230 000100,0.652700,0.652700,0.652640,0.652660,0
20191230 000200,0.652660,0.652680,0.652550,0.652550,0
20191230 000300,0.652550,0.652600,0.652550,0.652550,0
20191230 000400,0.652550,0.652580,0.652540,0.652560,0
20191230 000500,0.652560,0.652730,0.652560,0.652720,0
20191230 000600,0.652720,0.652800,0.652690,0.652800,0
20191230 000700,0.652790,0.652830,0.652750,0.652830,0
20191230 000800,0.652830,0.652900,0.652820,0.652880,0
20191230 000900,0.652880,0.652930,0.652860,0.652910,0
20191230 001000,0.652910,0.652910,0.652860,0.652890,0
20191230 001100,0.652890,0.652890,0.652810,0.652820,0
20191230 001200,0.652820,0.652890,0.652800,0.652880,0
20191230 001300,0.652880,0.652890,0.652840,0.652860,0
20191230 001400,0.652870,0.652890,0.652840,0.652870,0
20191230 001500,0.652870,0.652880,0.652760,0.652760,0
20191230 001600,0.652760,0.652840,0.652760,0.652830,0
20191230 001700,0.652810,0.652830,0.652750,0.652760,0
20191230 001800,0.652760,0.652780,0.652750,0.652760,0
20191230 001900,0.652760,0.652770,0.652730,0.652760,0
20191230 002000,0.652750,0.652810,0.652750,0.652770,0
20191230 002100,0.652770,0.652830,0.652770,0.652780,0
20191230 002200,0.652780,0.652870,0.652780,0.652810,0
20191230 002300,0.652820,0.652860,0.652790,0.652830,0
20191230 002400,0.652850,0.652870,0.652810,0.652860,0
20191230 002500,0.652860,0.652870,0.652840,0.652840,0
20191230 002600,0.652840,0.652910,0.652830,0.652900,0
20191230 002700,0.652860,0.652990,0.652850,0.652970,0
20191230 002800,0.652960,0.652970,0.652920,0.652960,0
20191230 002900,0.652940,0.652950,0.652850,0.652860,0
20191230 003000,0.652860,0.652860,0.652770,0.652800,0
20191230 003100,0.652790,0.652800,0.652760,0.652760,0
20191230 003200,0.652770,0.652790,0.652750,0.652760,0
20191230 003300,0.652760,0.652810,0.652750,0.652780,0
20191230 003400,0.652780,0.652810,0.652750,0.652760,0
20191230 003500,0.652750,0.652810,0.652750,0.652810,0
20191230 003600,0.652810,0.652810,0.652730,0.652800,0
20191230 003700,0.652800,0.652820,0.652770,0.652810,0
20191230 003800,0.652810,0.652820,0.652790,0.652790,0
20191230 003900,0.652790,0.652790,0.652600,0.652680,0
20191230 004000,0.652670,0.652670,0.652420,0.652450,0
20191230 004100,0.652470,0.652470,0.652420,0.652450,0
20191230 004200,0.652430,0.652450,0.652410,0.652430,0
20191230 004300,0.652430,0.652450,0.652410,0.652420,0
20191230 004400,0.652410,0.652460,0.652410,0.652450,0
20191230 004500,0.652450,0.652450,0.652440,0.652450,0
20191230 004600,0.652450,0.652450,0.652390,0.652390,0
20191230 004700,0.652390,0.652630,0.652340,0.652630,0
20191230 004800,0.652630,0.652630,0.652520,0.652580,0
20191230 004900,0.652580,0.652590,0.652520,0.652540,0
20191230 005000,0.652530,0.652600,0.652510,0.652590,0
20191230 005100,0.652600,0.652620,0.652550,0.652600,0
20191230 005200,0.652620,0.652740,0.652610,0.652740,0
20191230 005300,0.652730,0.652730,0.652600,0.652620,0
20191230 005400,0.652620,0.652670,0.652590,0.652610,0
20191230 005500,0.652620,0.652730,0.652610,0.652650,0
20191230 005600,0.652650,0.652700,0.652630,0.652680,0
20191230 005700,0.652680,0.652700,0.652640,0.652660,0
20191230 005800,0.652670,0.652670,0.652590,0.652650,0
20191230 005900,0.652650,0.652660,0.652610,0.652650,0
20191230 010000,0.652650,0.652650,0.652550,0.652620,0
20191230 010100,0.652640,0.652710,0.652620,0.652710,0
20191230 010200,0.652710,0.652720,0.652600,0.652620,0
20191230 010300,0.652620,0.652640,0.652570,0.652580,0
20191230 010400,0.652580,0.652610,0.652540,0.652540,0
20191230 010500,0.652550,0.652600,0.652540,0.652580,0
20191230 010600,0.652540,0.652570,0.652470,0.652530,0
20191230 010700,0.652520,0.652540,0.652500,0.652500,0
20191230 010800,0.652510,0.652520,0.652490,0.652500,0
20191230 010900,0.652480,0.652510,0.652460,0.652470,0
20191230 011000,0.652460,0.652480,0.652430,0.652440,0
20191230 011100,0.652450,0.652460,0.652390,0.652430,0
20191230 011200,0.652430,0.652450,0.652390,0.652400,0
20191230 011300,0.652400,0.652450,0.652390,0.652420,0
20191230 011400,0.652420,0.652440,0.652400,0.652400,0
20191230 011500,0.652410,0.652470,0.652410,0.652450,0
20191230 011600,0.652460,0.652500,0.652400,0.652420,0
20191230 011700,0.652420,0.652420,0.652390,0.652410,0
20191230 011800,0.652400,0.652470,0.652390,0.652430,0
20191230 011900,0.652420,0.652440,0.652400,0.652430,0
20191230 012000,0.652430,0.652470,0.652420,0.652460,0
20191230 012100,0.652460,0.652500,0.652460,0.652480,0
20191230 012200,0.652460,0.652480,0.652380,0.652400,0
20191230 012300,0.652410,0.652490,0.652410,0.652480,0
20191230 012400,0.652470,0.652490,0.652400,0.652410,0
20191230 012500,0.652410,0.652470,0.652400,0.652460,0
20191230 012600,0.652450,0.652490,0.652410,0.652460,0
20191230 012700,0.652470,0.652550,0.652440,0.652530,0
20191230 012800,0.652530,0.652540,0.652430,0.652480,0
20191230 012900,0.652480,0.652580,0.652480,0.652580,0
20191230 013000,0.652570,0.652640,0.652550,0.652640,0
20191230 013100,0.652640,0.652790,0.652630,0.652790,0
20191230 013200,0.652770,0.652820,0.652770,0.652800,0
20191230 013300,0.652790,0.652850,0.652760,0.652780,0
20191230 013400,0.652770,0.652840,0.652740,0.652800,0
20191230 013500,0.652800,0.652800,0.652720,0.652770,0
20191230 013600,0.652780,0.652800,0.652720,0.652760,0
20191230 013700,0.652760,0.652760,0.652710,0.652710,0
20191230 013800,0.652720,0.652750,0.652710,0.652720,0
20191230 013900,0.652720,0.652760,0.652620,0.652620,0
20191230 014000,0.652610,0.652670,0.652590,0.652620,0
20191230 014100,0.652610,0.652620,0.652560,0.652590,0
20191230 014200,0.652610,0.652630,0.652580,0.652610,0
20191230 014300,0.652620,0.652630,0.652590,0.652610,0
20191230 014400,0.652610,0.652730,0.652610,0.652700,0
20191230 014500,0.652700,0.652730,0.652690,0.652720,0
20191230 014600,0.652730,0.652740,0.652700,0.652730,0
