Date,Open,High,Low,Close,Volume
20191230 000000,73.241000,73.245000,73.232000,73.245000,0
20191230 000100,73.247000,73.247000,73.231000,73.236000,0
20191230 000200,73.238000,73.240000,73.230000,73.232000,0
20191230 000300,73.235000,73.240000,73.234000,73.234000,0
20191230 000400,73.235000,73.240000,73.235000,73.240000,0
20191230 000500,73.241000,73.264000,73.241000,73.264000,0
20191230 000600,73.262000,73.267000,73.262000,73.267000,0
20191230 000700,73.266000,73.268000,73.261000,73.266000,0
20191230 000800,73.266000,73.277000,73.265000,73.269000,0
20191230 000900,73.271000,73.271000,73.268000,73.270000,0
20191230 001000,73.271000,73.274000,73.266000,73.270000,0
20191230 001100,73.270000,73.270000,73.264000,73.269000,0
20191230 001200,73.267000,73.282000,73.267000,73.273000,0
20191230 001300,73.272000,73.276000,73.271000,73.272000,0
20191230 001400,73.275000,73.277000,73.269000,73.277000,0
20191230 001500,73.275000,73.277000,73.262000,73.262000,0
20191230 001600,73.263000,73.273000,73.259000,73.271000,0
20191230 001700,73.269000,73.271000,73.260000,73.263000,0
20191230 001800,73.263000,73.267000,73.261000,73.262000,0
20191230 001900,73.261000,73.263000,73.258000,73.261000,0
20191230 002000,73.261000,73.269000,73.260000,73.269000,0
20191230 002100,73.272000,73.272000,73.266000,73.270000,0
20191230 002200,73.269000,73.274000,73.268000,73.272000,0
20191230 002300,73.267000,73.274000,73.267000,73.270000,0
20191230 002400,73.272000,73.276000,73.269000,73.274000,0
20191230 002500,73.274000,73.274000,73.271000,73.272000,0
20191230 002600,73.272000,73.283000,73.272000,73.283000,0
20191230 002700,73.284000,73.290000,73.281000,73.288000,0
20191230 002800,73.287000,73.287000,73.285000,73.287000,0
20191230 002900,73.288000,73.289000,73.277000,73.277000,0
20191230 003000,73.276000,73.280000,73.269000,73.275000,0
20191230 003100,73.273000,73.278000,73.272000,73.274000,0
20191230 003200,73.275000,73.278000,73.274000,73.275000,0
20191230 003300,73.275000,73.281000,73.275000,73.278000,0
20191230 003400,73.278000,73.279000,73.276000,73.276000,0
20191230 003500,73.277000,73.280000,73.276000,73.277000,0
