Date,Open,High,Low,Close,Volume
20191230 000000,80.857000,80.860000,80.854000,80.858000,0
20191230 000100,80.857000,80.860000,80.850000,80.853000,0
20191230 000200,80.854000,80.855000,80.846000,80.850000,0
20191230 000300,80.850000,80.854000,80.850000,80.854000,0
20191230 000400,80.853000,80.857000,80.851000,80.854000,0
20191230 000500,80.854000,80.863000,80.854000,80.862000,0
20191230 000600,80.861000,80.863000,80.859000,80.861000,0
20191230 000700,80.860000,80.863000,80.857000,80.863000,0
20191230 000800,80.864000,80.866000,80.859000,80.859000,0
20191230 000900,80.859000,80.860000,80.856000,80.856000,0
20191230 001000,80.856000,80.863000,80.856000,80.862000,0
20191230 001100,80.863000,80.865000,80.862000,80.864000,0
20191230 001200,80.862000,80.867000,80.861000,80.862000,0
20191230 001300,80.862000,80.868000,80.861000,80.865000,0
20191230 001400,80.866000,80.875000,80.866000,80.874000,0
20191230 001500,80.872000,80.872000,80.864000,80.864000,0
20191230 001600,80.864000,80.872000,80.864000,80.871000,0
20191230 001700,80.871000,80.874000,80.867000,80.870000,0
20191230 001800,80.872000,80.874000,80.869000,80.871000,0
20191230 001900,80.871000,80.873000,80.868000,80.869000,0
20191230 002000,80.868000,80.869000,80.866000,80.868000,0
20191230 002100,80.869000,80.870000,80.865000,80.867000,0
20191230 002200,80.868000,80.868000,80.859000,80.859000,0
20191230 002300,80.860000,80.862000,80.855000,80.855000,0
20191230 002400,80.855000,80.858000,80.852000,80.852000,0
20191230 002500,80.854000,80.857000,80.853000,80.856000,0
20191230 002600,80.854000,80.863000,80.854000,80.862000,0
20191230 002700,80.862000,80.867000,80.858000,80.858000,0
20191230 002800,80.858000,80.858000,80.855000,80.855000,0
20191230 002900,80.856000,80.856000,80.850000,80.850000,0
20191230 003000,80.850000,80.852000,80.847000,80.850000,0
20191230 003100,80.849000,80.853000,80.848000,80.852000,0
20191230 003200,80.851000,80.856000,80.851000,80.852000,0
20191230 003300,80.854000,80.856000,80.851000,80.851000,0
20191230 003400,80.852000,80.854000,80.847000,80.847000,0
20191230 003500,80.849000,80.853000,80.849000,80.850000,0
20191230 003600,80.851000,80.853000,80.848000,80.849000,0
20191230 003700,80.849000,80.856000,80.849000,80.855000,0
20191230 003800,80.854000,80.856000,80.852000,80.854000,0
20191230 003900,80.854000,80.855000,80.847000,80.848000,0
20191230 004000,80.847000,80.849000,80.842000,80.845000,0
20191230 004100,80.847000,80.848000,80.845000,80.847000,0
20191230 004200,80.846000,80.848000,80.845000,80.847000,0
20191230 004300,80.849000,80.849000,80.846000,80.848000,0
20191230 004400,80.847000,80.849000,80.846000,80.847000,0
20191230 004500,80.848000,80.848000,80.846000,80.847000,0
20191230 004600,80.848000,80.853000,80.848000,80.851000,0
20191230 004700,80.849000,80.854000,80.847000,80.853000,0
20191230 004800,80.854000,80.857000,80.853000,80.855000,0
20191230 004900,80.854000,80.860000,80.853000,80.859000,0
20191230 005000,80.858000,80.860000,80.858000,80.858000,0
20191230 005100,80.859000,80.859000,80.854000,80.854000,0
20191230 005200,80.853000,80.859000,80.853000,80.859000,0
20191230 005300,80.858000,80.862000,80.855000,80.856000,0
20191230 005400,80.856000,80.860000,80.854000,80.859000,0
20191230 005500,80.859000,80.873000,80.859000,80.870000,0
20191230 005600,80.871000,80.877000,80.869000,80.872000,0
20191230 005700,80.872000,80.879000,80.872000,80.879000,0
20191230 005800,80.878000,80.887000,80.878000,80.883000,0
20191230 005900,80.883000,80.898000,80.883000,80.894000,0
20191230 010000,80.896000,80.896000,80.884000,80.893000,0
20191230 010100,80.892000,80.894000,80.888000,80.888000,0
20191230 010200,80.889000,80.891000,80.878000,80.878000,0
20191230 010300,80.878000,80.880000,80.861000,80.862000,0
20191230 010400,80.863000,80.872000,80.855000,80.856000,0
20191230 010500,80.857000,80.857000,80.852000,80.857000,0
20191230 010600,80.858000,80.859000,80.850000,80.855000,0
20191230 010700,80.855000,80.861000,80.853000,80.858000,0
20191230 010800,80.859000,80.859000,80.857000,80.859000,0
20191230 010900,80.858000,80.859000,80.854000,80.856000,0
20191230 011000,80.857000,80.864000,80.857000,80.859000,0
20191230 011100,80.859000,80.861000,80.858000,80.859000,0
20191230 011200,80.858000,80.860000,80.855000,80.855000,0
20191230 011300,80.855000,80.862000,80.854000,80.860000,0
20191230 011400,80.860000,80.862000,80.859000,80.859000,0
20191230 011500,80.857000,80.867000,80.857000,80.865000,0
20191230 011600,80.866000,80.866000,80.856000,80.857000,0
20191230 011700,80.858000,80.860000,80.858000,80.859000,0
20191230 011800,80.859000,80.860000,80.857000,80.859000,0
20191230 011900,80.861000,80.864000,80.858000,80.864000,0
20191230 012000,80.862000,80.866000,80.860000,80.860000,0
20191230 012100,80.862000,80.862000,80.857000,80.858000,0
20191230 012200,80.859000,80.860000,80.853000,80.857000,0
20191230 012300,80.857000,80.863000,80.857000,80.858000,0
20191230 012400,80.861000,80.861000,80.853000,80.858000,0
20191230 012500,80.859000,80.866000,80.857000,80.865000,0
20191230 012600,80.865000,80.868000,80.859000,80.863000,0
20191230 012700,80.863000,80.871000,80.863000,80.871000,0
20191230 012800,80.869000,80.877000,80.867000,80.874000,0
20191230 012900,80.873000,80.875000,80.865000,80.866000,0
20191230 013000,80.865000,80.870000,80.862000,80.868000,0
20191230 013100,80.868000,80.872000,80.866000,80.869000,0
20191230 013200,80.869000,80.871000,80.864000,80.865000,0
20191230 013300,80.865000,80.865000,80.861000,80.862000,0
20191230 013400,80.863000,80.866000,80.857000,80.862000,0
20191230 013500,80.863000,80.863000,80.855000,80.856000,0
20191230 013600,80.855000,80.864000,80.855000,80.861000,0
20191230 013700,80.861000,80.862000,80.856000,80.856000,0
20191230 013800,80.857000,80.858000,80.855000,80.856000,0
20191230 013900,80.857000,80.859000,80.855000,80.856000,0
20191230 014000,80.857000,80.861000,80.856000,80.858000,0
20191230 014100,80.857000,80.862000,80.854000,80.857000,0
20191230 014200,80.858000,80.863000,80.857000,80.861000,0
20191230 014300,80.862000,80.867000,80.860000,80.864000,0
20191230 014400,80.864000,80.866000,80.862000,80.864000,0
20191230 014500,80.864000,80.865000,80.862000,80.863000,0
20191230 014600,80.864000,80.868000,80.863000,80.867000,0
20191230 014700,80.867000,80.868000,80.864000,80.867000,0
20191230 014800,80.866000,80.874000,80.865000,80.873000,0
20191230 014900,80.874000,80.876000,80.871000,80.876000,0
20191230 015000,80.876000,80.879000,80.875000,80.879000,0
20191230 015100,80.878000,80.879000,80.877000,80.877000,0
20191230 015200,80.878000,80.878000,80.877000,80.878000,0
20191230 015300,80.877000,80.879000,80.874000,80.878000,0
20191230 015400,80.878000,80.879000,80.876000,80.876000,0
20191230 015500,80.877000,80.878000,80.876000,80.878000,0
20191230 015600,80.877000,80.878000,80.874000,80.876000,0
20191230 015700,80.876000,80.879000,80.876000,80.878000,0
20191230 015800,80.878000,80.879000,80.874000,80.875000,0
20191230 015900,80.876000,80.876000,80.872000,80.876000,0
20191230 020000,80.878000,80.884000,80.877000,80.883000,0
20191230 020100,80.883000,80.890000,80.883000,80.890000,0
20191230 020200,80.891000,80.897000,80.890000,80.892000,0
20191230 020300,80.892000,80.899000,80.892000,80.894000,0
20191230 020400,80.894000,80.907000,80.894000,80.904000,0
20191230 020500,80.905000,80.907000,80.901000,80.902000,0
20191230 020600,80.902000,80.909000,80.902000,80.907000,0
20191230 020700,80.908000,80.911000,80.903000,80.910000,0
20191230 020800,80.910000,80.948000,80.909000,80.933000,0
20191230 020900,80.934000,80.940000,80.921000,80.923000,0
20191230 021000,80.921000,80.927000,80.916000,80.920000,0
20191230 021100,80.921000,80.922000,80.919000,80.919000,0
20191230 021200,80.918000,80.919000,80.911000,80.914000,0
20191230 021300,80.915000,80.915000,80.898000,80.902000,0
20191230 021400,80.902000,80.904000,80.894000,80.894000,0
20191230 021500,80.894000,80.895000,80.879000,80.881000,0
20191230 021600,80.881000,80.881000,80.865000,80.870000,0
