Date,Open,High,Low,Close,Volume
20191230 000800,3241.555000,3241.555000,3241.249000,3241.249000,0
20191230 001000,3241.540000,3241.540000,3241.540000,3241.540000,0
20191230 001100,3241.234000,3241.234000,3241.234000,3241.234000,0
20191230 001300,3241.037000,3241.300000,3241.034000,3241.300000,0
20191230 001400,3241.037000,3241.243000,3241.037000,3241.243000,0
20191230 001500,3241.034000,3241.243000,3241.034000,3241.034000,0
20191230 001700,3241.034000,3241.034000,3241.034000,3241.034000,0
20191230 001900,3240.800000,3240.800000,3240.800000,3240.800000,0
20191230 002100,3241.046000,3241.046000,3241.046000,3241.046000,0
20191230 002300,3241.046000,3241.046000,3241.046000,3241.046000,0
20191230 002400,3241.046000,3241.046000,3240.743000,3240.934000,0
20191230 002500,3240.737000,3241.037000,3240.737000,3240.740000,0
20191230 002700,3240.740000,3240.740000,3240.740000,3240.740000,0
20191230 002800,3240.652000,3240.746000,3240.546000,3240.546000,0
20191230 003000,3240.546000,3240.546000,3240.546000,3240.546000,0
20191230 003100,3240.246000,3240.549000,3240.246000,3240.549000,0
20191230 003200,3240.234000,3240.549000,3240.234000,3240.549000,0
20191230 003300,3240.549000,3240.549000,3240.249000,3240.546000,0
20191230 003500,3240.546000,3240.546000,3240.546000,3240.546000,0
20191230 003800,3240.240000,3240.240000,3240.240000,3240.240000,0
20191230 003900,3240.100000,3240.100000,3239.734000,3239.734000,0
20191230 004000,3239.546000,3239.749000,3239.546000,3239.749000,0
20191230 004200,3239.749000,3239.749000,3239.749000,3239.749000,0
20191230 004500,3239.740000,3239.740000,3239.740000,3239.740000,0
20191230 004900,3240.055000,3240.055000,3240.055000,3240.055000,0
20191230 005000,3239.740000,3240.037000,3239.740000,3240.037000,0
20191230 005100,3240.249000,3240.249000,3240.249000,3240.249000,0
20191230 005400,3240.034000,3240.300000,3240.034000,3240.255000,0
20191230 005500,3240.549000,3240.549000,3240.240000,3240.240000,0
20191230 005700,3240.240000,3240.240000,3240.240000,3240.240000,0
20191230 005800,3240.452000,3240.540000,3240.452000,3240.540000,0
20191230 005900,3240.749000,3240.749000,3240.049000,3240.234000,0
20191230 010000,3240.540000,3240.540000,3239.543000,3240.100000,0
20191230 010100,3240.237000,3240.255000,3240.040000,3240.255000,0
20191230 010200,3240.052000,3240.052000,3239.543000,3239.543000,0
20191230 010300,3239.237000,3239.549000,3239.237000,3239.546000,0
20191230 010400,3239.500000,3239.600000,3239.240000,3239.240000,0
20191230 010500,3239.540000,3239.555000,3239.240000,3239.543000,0
20191230 010600,3239.446000,3239.552000,3239.446000,3239.552000,0
20191230 010700,3239.552000,3239.552000,3239.234000,3239.552000,0
20191230 010800,3239.249000,3239.552000,3239.249000,3239.552000,0
20191230 010900,3239.249000,3239.540000,3239.249000,3239.540000,0
20191230 011000,3239.755000,3239.755000,3239.537000,3239.537000,0
20191230 011100,3239.740000,3239.740000,3239.534000,3239.534000,0
20191230 011200,3239.755000,3239.755000,3239.543000,3239.746000,0
20191230 011400,3240.046000,3240.046000,3240.046000,3240.046000,0
20191230 011500,3240.300000,3240.300000,3240.300000,3240.300000,0
20191230 011600,3240.043000,3240.043000,3240.043000,3240.043000,0
20191230 011700,3240.243000,3240.243000,3240.034000,3240.034000,0
20191230 012000,3240.252000,3240.252000,3240.252000,3240.252000,0
20191230 012100,3240.040000,3240.040000,3240.040000,3240.040000,0
20191230 012300,3240.300000,3240.300000,3240.046000,3240.046000,0
20191230 012500,3240.046000,3240.249000,3240.046000,3240.052000,0
20191230 012900,3240.246000,3240.246000,3240.246000,3240.246000,0
20191230 013000,3240.055000,3240.055000,3240.055000,3240.055000,0
20191230 013200,3240.055000,3240.249000,3240.043000,3240.043000,0
20191230 013300,3239.734000,3240.037000,3239.734000,3240.037000,0
20191230 013700,3239.737000,3239.737000,3239.737000,3239.737000,0
20191230 013800,3240.034000,3240.034000,3240.034000,3240.034000,0
20191230 013900,3239.743000,3239.743000,3239.743000,3239.743000,0
20191230 014400,3239.734000,3239.734000,3239.546000,3239.734000,0
20191230 014500,3239.549000,3239.800000,3239.549000,3239.800000,0
20191230 014600,3239.546000,3239.546000,3239.546000,3239.546000,0
20191230 014800,3239.546000,3239.546000,3239.546000,3239.546000,0
20191230 015100,3239.543000,3239.543000,3239.543000,3239.543000,0
20191230 015400,3239.743000,3239.752000,3239.600000,3239.752000,0
20191230 015600,3239.534000,3239.534000,3239.534000,3239.534000,0
20191230 015700,3239.652000,3239.652000,3239.543000,3239.543000,0
20191230 015900,3239.543000,3239.755000,3239.543000,3239.755000,0
20191230 020000,3239.600000,3239.600000,3239.600000,3239.600000,0
20191230 020100,3239.600000,3240.052000,3239.540000,3240.043000,0
20191230 020200,3240.243000,3240.249000,3240.034000,3240.034000,0
20191230 020300,3240.240000,3240.255000,3240.037000,3240.046000,0
20191230 020400,3240.255000,3240.255000,3240.100000,3240.252000,0
