Date,Open,High,Low,Close,Volume
20191230 000000,96.457000,96.468000,96.457000,96.463000,0
20191230 000100,96.458000,96.459000,96.452000,96.458000,0
20191230 000200,96.453000,96.456000,96.448000,96.449000,0
20191230 000300,96.444000,96.446000,96.442000,96.446000,0
20191230 000400,96.444000,96.451000,96.443000,96.444000,0
20191230 000500,96.443000,96.443000,96.437000,96.439000,0
20191230 000600,96.437000,96.440000,96.437000,96.439000,0
20191230 000700,96.438000,96.449000,96.438000,96.449000,0
20191230 000800,96.447000,96.451000,96.442000,96.442000,0
20191230 000900,96.443000,96.451000,96.442000,96.448000,0
20191230 001000,96.448000,96.456000,96.447000,96.456000,0
20191230 001100,96.453000,96.453000,96.448000,96.449000,0
20191230 001200,96.449000,96.449000,96.442000,96.446000,0
20191230 001300,96.444000,96.446000,96.437000,96.439000,0
20191230 001400,96.439000,96.441000,96.437000,96.439000,0
20191230 001500,96.439000,96.439000,96.439000,96.439000,0
20191230 001600,96.438000,96.439000,96.437000,96.439000,0
20191230 001700,96.436000,96.441000,96.432000,96.438000,0
20191230 001800,96.434000,96.444000,96.434000,96.437000,0
20191230 001900,96.437000,96.439000,96.437000,96.437000,0
20191230 002000,96.438000,96.438000,96.437000,96.437000,0
20191230 002300,96.446000,96.446000,96.446000,96.446000,0
20191230 002400,96.443000,96.446000,96.443000,96.446000,0
20191230 002500,96.437000,96.437000,96.437000,96.437000,0
20191230 002600,96.432000,96.433000,96.427000,96.427000,0
20191230 002700,96.429000,96.436000,96.427000,96.434000,0
20191230 002800,96.436000,96.436000,96.430000,96.432000,0
20191230 002900,96.429000,96.431000,96.427000,96.427000,0
20191230 003000,96.429000,96.433000,96.426000,96.429000,0
20191230 003100,96.423000,96.431000,96.423000,96.427000,0
20191230 003200,96.429000,96.431000,96.427000,96.429000,0
20191230 003300,96.427000,96.427000,96.417000,96.417000,0
20191230 003400,96.426000,96.426000,96.421000,96.421000,0
20191230 003600,96.420000,96.426000,96.417000,96.421000,0
20191230 003700,96.419000,96.426000,96.418000,96.421000,0
20191230 003800,96.419000,96.423000,96.418000,96.418000,0
20191230 003900,96.423000,96.423000,96.417000,96.420000,0
20191230 004000,96.418000,96.426000,96.417000,96.421000,0
20191230 004100,96.423000,96.423000,96.419000,96.419000,0
20191230 004400,96.424000,96.426000,96.419000,96.423000,0
20191230 004500,96.423000,96.423000,96.423000,96.423000,0
20191230 004600,96.419000,96.419000,96.419000,96.419000,0
20191230 004700,96.412000,96.412000,96.412000,96.412000,0
20191230 004800,96.416000,96.419000,96.413000,96.413000,0
20191230 004900,96.416000,96.416000,96.407000,96.412000,0
20191230 005000,96.416000,96.416000,96.416000,96.416000,0
20191230 005100,96.411000,96.411000,96.409000,96.411000,0
20191230 005200,96.408000,96.408000,96.401000,96.404000,0
20191230 005300,96.407000,96.416000,96.407000,96.414000,0
20191230 005400,96.408000,96.414000,96.408000,96.413000,0
20191230 005500,96.414000,96.416000,96.408000,96.413000,0
20191230 005600,96.412000,96.423000,96.412000,96.422000,0
20191230 005700,96.417000,96.426000,96.412000,96.418000,0
20191230 005800,96.416000,96.421000,96.414000,96.421000,0
20191230 005900,96.414000,96.426000,96.414000,96.421000,0
20191230 010000,96.409000,96.416000,96.407000,96.408000,0
20191230 010100,96.408000,96.411000,96.404000,96.411000,0
20191230 010300,96.409000,96.411000,96.408000,96.411000,0
20191230 010500,96.412000,96.414000,96.412000,96.414000,0
20191230 010600,96.419000,96.423000,96.417000,96.423000,0
20191230 011000,96.423000,96.424000,96.423000,96.424000,0
20191230 011100,96.420000,96.421000,96.413000,96.419000,0
20191230 011200,96.418000,96.421000,96.413000,96.413000,0
20191230 011300,96.416000,96.421000,96.414000,96.421000,0
20191230 011400,96.426000,96.426000,96.412000,96.415000,0
20191230 011500,96.412000,96.416000,96.412000,96.414000,0
20191230 011600,96.413000,96.421000,96.409000,96.419000,0
20191230 011700,96.417000,96.421000,96.417000,96.417000,0
20191230 011800,96.417000,96.431000,96.417000,96.426000,0
20191230 011900,96.426000,96.431000,96.424000,96.428000,0
20191230 012000,96.429000,96.434000,96.429000,96.434000,0
20191230 012100,96.434000,96.434000,96.434000,96.434000,0
20191230 012200,96.436000,96.441000,96.436000,96.439000,0
20191230 012300,96.438000,96.461000,96.438000,96.457000,0
20191230 012400,96.464000,96.466000,96.462000,96.463000,0
20191230 012500,96.465000,96.479000,96.464000,96.479000,0
20191230 012600,96.478000,96.479000,96.472000,96.475000,0
20191230 012700,96.477000,96.481000,96.476000,96.478000,0
20191230 012800,96.478000,96.486000,96.477000,96.479000,0
20191230 012900,96.476000,96.481000,96.469000,96.473000,0
20191230 013000,96.469000,96.483000,96.469000,96.483000,0
20191230 013100,96.480000,96.486000,96.477000,96.484000,0
20191230 013200,96.479000,96.479000,96.479000,96.479000,0
20191230 013300,96.481000,96.481000,96.471000,96.471000,0
20191230 013400,96.471000,96.486000,96.471000,96.480000,0
20191230 013500,96.481000,96.486000,96.480000,96.486000,0
20191230 013600,96.482000,96.491000,96.482000,96.491000,0
20191230 013700,96.483000,96.489000,96.482000,96.486000,0
20191230 013800,96.489000,96.489000,96.482000,96.487000,0
20191230 013900,96.493000,96.493000,96.488000,96.488000,0
20191230 014000,96.493000,96.493000,96.493000,96.493000,0
20191230 014100,96.489000,96.491000,96.487000,96.487000,0
20191230 014200,96.492000,96.493000,96.487000,96.491000,0
20191230 014300,96.487000,96.491000,96.487000,96.488000,0
20191230 014400,96.491000,96.491000,96.487000,96.489000,0
20191230 014500,96.487000,96.491000,96.487000,96.487000,0
20191230 014600,96.484000,96.489000,96.482000,96.485000,0
20191230 014700,96.488000,96.491000,96.487000,96.487000,0
20191230 014800,96.491000,96.491000,96.479000,96.479000,0
20191230 014900,96.484000,96.491000,96.483000,96.487000,0
20191230 015000,96.484000,96.485000,96.483000,96.483000,0
20191230 015200,96.480000,96.486000,96.475000,96.479000,0
20191230 015600,96.474000,96.478000,96.473000,96.473000,0
20191230 015700,96.475000,96.479000,96.473000,96.476000,0
20191230 015800,96.474000,96.479000,96.474000,96.479000,0
20191230 015900,96.475000,96.479000,96.469000,96.469000,0
20191230 020000,96.471000,96.475000,96.467000,96.467000,0
20191230 020100,96.468000,96.471000,96.467000,96.471000,0
20191230 020200,96.467000,96.476000,96.467000,96.468000,0
20191230 020300,96.470000,96.473000,96.467000,96.467000,0
20191230 020400,96.462000,96.471000,96.457000,96.464000,0
20191230 020500,96.464000,96.471000,96.462000,96.468000,0
20191230 020600,96.471000,96.471000,96.453000,96.463000,0
20191230 020700,96.461000,96.461000,96.447000,96.447000,0
20191230 020800,96.446000,96.446000,96.427000,96.427000,0
20191230 020900,96.429000,96.429000,96.414000,96.426000,0
20191230 021000,96.426000,96.428000,96.419000,96.423000,0
20191230 021100,96.424000,96.431000,96.421000,96.423000,0
20191230 021200,96.424000,96.433000,96.424000,96.430000,0
20191230 021300,96.429000,96.436000,96.427000,96.429000,0
20191230 021400,96.433000,96.433000,96.427000,96.429000,0
20191230 021500,96.428000,96.434000,96.426000,96.433000,0
20191230 021600,96.429000,96.436000,96.423000,96.423000,0
20191230 021700,96.420000,96.421000,96.417000,96.419000,0
20191230 021800,96.421000,96.421000,96.408000,96.418000,0
20191230 021900,96.414000,96.421000,96.413000,96.419000,0
20191230 022000,96.424000,96.424000,96.414000,96.418000,0
20191230 022100,96.412000,96.423000,96.412000,96.419000,0
20191230 022200,96.420000,96.423000,96.407000,96.413000,0
20191230 022300,96.410000,96.421000,96.409000,96.417000,0
20191230 022400,96.416000,96.418000,96.412000,96.414000,0
20191230 022500,96.412000,96.416000,96.408000,96.416000,0
20191230 022600,96.413000,96.416000,96.408000,96.409000,0
20191230 022700,96.405000,96.418000,96.405000,96.417000,0
20191230 022800,96.414000,96.414000,96.411000,96.411000,0
20191230 023000,96.404000,96.413000,96.404000,96.405000,0
20191230 023100,96.404000,96.406000,96.403000,96.403000,0
20191230 023200,96.402000,96.406000,96.394000,96.401000,0
20191230 023300,96.401000,96.406000,96.397000,96.399000,0
20191230 023400,96.401000,96.411000,96.397000,96.406000,0
20191230 023500,96.408000,96.414000,96.404000,96.412000,0
20191230 023600,96.413000,96.416000,96.407000,96.409000,0
20191230 023700,96.406000,96.406000,96.402000,96.402000,0
20191230 023800,96.403000,96.411000,96.397000,96.411000,0
20191230 023900,96.412000,96.416000,96.407000,96.414000,0
20191230 024000,96.410000,96.419000,96.410000,96.418000,0
20191230 024100,96.415000,96.421000,96.412000,96.412000,0
20191230 024200,96.413000,96.418000,96.409000,96.409000,0
20191230 024300,96.407000,96.421000,96.407000,96.421000,0
20191230 024400,96.414000,96.417000,96.414000,96.417000,0
20191230 024500,96.414000,96.419000,96.407000,96.407000,0
20191230 024600,96.402000,96.411000,96.402000,96.404000,0
20191230 024700,96.406000,96.421000,96.404000,96.417000,0
20191230 024800,96.414000,96.421000,96.413000,96.419000,0
20191230 024900,96.419000,96.421000,96.414000,96.421000,0
20191230 025000,96.423000,96.431000,96.419000,96.429000,0
20191230 025100,96.426000,96.443000,96.426000,96.437000,0
20191230 025200,96.441000,96.466000,96.438000,96.457000,0
20191230 025300,96.463000,96.466000,96.453000,96.453000,0
20191230 025400,96.455000,96.461000,96.452000,96.461000,0
20191230 025500,96.461000,96.461000,96.437000,96.441000,0
20191230 025600,96.438000,96.446000,96.435000,96.442000,0
20191230 025700,96.446000,96.459000,96.437000,96.458000,0
20191230 025800,96.458000,96.461000,96.453000,96.458000,0
20191230 025900,96.461000,96.471000,96.454000,96.461000,0
20191230 030000,96.459000,96.481000,96.459000,96.477000,0
20191230 030100,96.473000,96.479000,96.464000,96.469000,0
20191230 030200,96.466000,96.476000,96.462000,96.464000,0
20191230 030300,96.465000,96.474000,96.462000,96.468000,0
20191230 030400,96.466000,96.473000,96.462000,96.462000,0
20191230 030500,96.459000,96.466000,96.459000,96.466000,0
20191230 030600,96.463000,96.466000,96.452000,96.453000,0
20191230 030700,96.454000,96.457000,96.448000,96.456000,0
20191230 030800,96.456000,96.461000,96.444000,96.444000,0
20191230 030900,96.442000,96.456000,96.442000,96.454000,0
20191230 031000,96.452000,96.452000,96.449000,96.451000,0
20191230 031100,96.453000,96.454000,96.447000,96.448000,0
20191230 031200,96.444000,96.456000,96.444000,96.448000,0
20191230 031300,96.451000,96.453000,96.438000,96.439000,0
20191230 031400,96.440000,96.442000,96.426000,96.428000,0
20191230 031500,96.427000,96.431000,96.422000,96.426000,0
20191230 031600,96.424000,96.424000,96.417000,96.422000,0
20191230 031700,96.425000,96.426000,96.422000,96.422000,0
20191230 031800,96.427000,96.433000,96.422000,96.429000,0
20191230 031900,96.426000,96.436000,96.422000,96.429000,0
20191230 032000,96.436000,96.443000,96.431000,96.436000,0
20191230 032100,96.431000,96.443000,96.429000,96.443000,0
20191230 032200,96.444000,96.468000,96.443000,96.463000,0
20191230 032300,96.457000,96.461000,96.452000,96.452000,0
20191230 032400,96.458000,96.462000,96.456000,96.462000,0
20191230 032500,96.460000,96.476000,96.459000,96.469000,0
20191230 032600,96.469000,96.476000,96.467000,96.467000,0
20191230 032700,96.471000,96.479000,96.463000,96.471000,0
20191230 032800,96.464000,96.476000,96.464000,96.468000,0
20191230 032900,96.463000,96.472000,96.462000,96.469000,0
20191230 033000,96.470000,96.473000,96.459000,96.464000,0
20191230 033100,96.463000,96.466000,96.457000,96.457000,0
20191230 033200,96.461000,96.464000,96.458000,96.459000,0
20191230 033300,96.463000,96.466000,96.460000,96.463000,0
20191230 033400,96.459000,96.463000,96.458000,96.462000,0
20191230 033500,96.457000,96.466000,96.453000,96.457000,0
20191230 033600,96.457000,96.466000,96.457000,96.466000,0
20191230 033700,96.462000,96.468000,96.462000,96.463000,0
20191230 033800,96.462000,96.466000,96.459000,96.464000,0
20191230 033900,96.463000,96.474000,96.462000,96.472000,0
20191230 034000,96.473000,96.476000,96.465000,96.468000,0
20191230 034100,96.470000,96.474000,96.465000,96.465000,0
20191230 034200,96.466000,96.471000,96.462000,96.466000,0
20191230 034300,96.463000,96.464000,96.452000,96.452000,0
20191230 034400,96.454000,96.458000,96.452000,96.453000,0
20191230 034500,96.454000,96.469000,96.454000,96.462000,0
20191230 034600,96.466000,96.466000,96.447000,96.449000,0
20191230 034700,96.448000,96.454000,96.442000,96.454000,0
20191230 034800,96.450000,96.466000,96.449000,96.466000,0
20191230 034900,96.466000,96.476000,96.463000,96.474000,0
20191230 035000,96.473000,96.473000,96.463000,96.468000,0
20191230 035100,96.469000,96.476000,96.463000,96.476000,0
20191230 035200,96.473000,96.476000,96.467000,96.476000,0
20191230 035300,96.479000,96.486000,96.477000,96.483000,0
20191230 035400,96.484000,96.486000,96.472000,96.472000,0
20191230 035500,96.476000,96.483000,96.472000,96.478000,0
20191230 035600,96.481000,96.489000,96.477000,96.484000,0
20191230 035700,96.488000,96.501000,96.484000,96.501000,0
20191230 035800,96.498000,96.498000,96.483000,96.488000,0
20191230 035900,96.489000,96.491000,96.482000,96.489000,0
20191230 040000,96.488000,96.489000,96.479000,96.486000,0
20191230 040100,96.491000,96.493000,96.487000,96.492000,0
20191230 040200,96.493000,96.495000,96.487000,96.495000,0
20191230 040300,96.489000,96.499000,96.489000,96.499000,0
20191230 040400,96.497000,96.506000,96.497000,96.504000,0
20191230 040500,96.499000,96.516000,96.498000,96.516000,0
20191230 040600,96.521000,96.521000,96.510000,96.519000,0
20191230 040700,96.521000,96.521000,96.512000,96.514000,0
20191230 040800,96.514000,96.519000,96.513000,96.518000,0
20191230 040900,96.521000,96.526000,96.517000,96.519000,0
20191230 041000,96.521000,96.521000,96.512000,96.512000,0
20191230 041100,96.514000,96.516000,96.510000,96.511000,0
20191230 041200,96.507000,96.516000,96.507000,96.507000,0
20191230 041300,96.511000,96.516000,96.508000,96.511000,0
20191230 041400,96.507000,96.514000,96.504000,96.507000,0
20191230 041500,96.508000,96.513000,96.502000,96.504000,0
20191230 041600,96.498000,96.501000,96.490000,96.491000,0
20191230 041700,96.492000,96.492000,96.487000,96.492000,0
20191230 041800,96.491000,96.498000,96.488000,96.498000,0
20191230 041900,96.492000,96.498000,96.488000,96.495000,0
20191230 042000,96.491000,96.499000,96.487000,96.493000,0
20191230 042100,96.498000,96.499000,96.492000,96.493000,0
20191230 042200,96.499000,96.499000,96.487000,96.488000,0
20191230 042300,96.493000,96.495000,96.489000,96.495000,0
20191230 042400,96.492000,96.495000,96.492000,96.493000,0
20191230 042500,96.492000,96.501000,96.492000,96.501000,0
20191230 042600,96.499000,96.508000,96.498000,96.508000,0
20191230 042700,96.511000,96.511000,96.497000,96.499000,0
20191230 042800,96.497000,96.501000,96.493000,96.498000,0
20191230 042900,96.499000,96.506000,96.497000,96.504000,0
20191230 043000,96.506000,96.514000,96.502000,96.512000,0
20191230 043100,96.508000,96.521000,96.508000,96.519000,0
20191230 043200,96.516000,96.521000,96.507000,96.516000,0
20191230 043300,96.508000,96.511000,96.507000,96.508000,0
20191230 043400,96.509000,96.511000,96.502000,96.506000,0
20191230 043500,96.499000,96.506000,96.499000,96.499000,0
20191230 043600,96.502000,96.509000,96.495000,96.501000,0
20191230 043700,96.498000,96.501000,96.491000,96.493000,0
20191230 043800,96.491000,96.495000,96.487000,96.491000,0
20191230 043900,96.486000,96.486000,96.477000,96.482000,0
20191230 044000,96.483000,96.489000,96.479000,96.482000,0
20191230 044100,96.489000,96.489000,96.482000,96.482000,0
20191230 044200,96.479000,96.483000,96.477000,96.479000,0
20191230 044300,96.484000,96.484000,96.478000,96.479000,0
20191230 044400,96.483000,96.486000,96.477000,96.477000,0
20191230 044500,96.478000,96.484000,96.478000,96.483000,0
20191230 044600,96.480000,96.484000,96.477000,96.479000,0
20191230 044700,96.479000,96.481000,96.477000,96.481000,0
20191230 044800,96.472000,96.479000,96.467000,96.467000,0
20191230 044900,96.470000,96.474000,96.462000,96.467000,0
20191230 045000,96.466000,96.471000,96.463000,96.466000,0
20191230 045100,96.468000,96.473000,96.467000,96.467000,0
20191230 045200,96.469000,96.476000,96.469000,96.473000,0
20191230 045300,96.473000,96.473000,96.469000,96.470000,0
20191230 045400,96.469000,96.476000,96.467000,96.473000,0
20191230 045500,96.468000,96.476000,96.459000,96.463000,0
20191230 045600,96.461000,96.463000,96.458000,96.463000,0
20191230 045700,96.461000,96.466000,96.453000,96.454000,0
20191230 045800,96.451000,96.456000,96.449000,96.453000,0
20191230 045900,96.451000,96.451000,96.444000,96.448000,0
20191230 050000,96.444000,96.451000,96.442000,96.447000,0
20191230 050100,96.442000,96.448000,96.441000,96.446000,0
20191230 050200,96.448000,96.449000,96.442000,96.443000,0
20191230 050300,96.440000,96.449000,96.432000,96.446000,0
20191230 050400,96.444000,96.451000,96.441000,96.442000,0
20191230 050500,96.441000,96.451000,96.432000,96.432000,0
20191230 050600,96.428000,96.433000,96.424000,96.431000,0
20191230 050700,96.434000,96.434000,96.427000,96.434000,0
20191230 050900,96.434000,96.441000,96.428000,96.433000,0
20191230 051100,96.441000,96.441000,96.433000,96.438000,0
20191230 051200,96.435000,96.441000,96.432000,96.437000,0
20191230 051300,96.438000,96.444000,96.438000,96.443000,0
20191230 051400,96.444000,96.444000,96.437000,96.437000,0
20191230 051500,96.439000,96.441000,96.433000,96.441000,0
20191230 051600,96.432000,96.439000,96.432000,96.437000,0
20191230 051700,96.436000,96.441000,96.433000,96.433000,0
20191230 051800,96.436000,96.441000,96.432000,96.441000,0
20191230 051900,96.433000,96.441000,96.433000,96.439000,0
20191230 052000,96.434000,96.441000,96.432000,96.432000,0
20191230 052100,96.433000,96.436000,96.427000,96.427000,0
20191230 052200,96.429000,96.431000,96.422000,96.426000,0
20191230 052300,96.429000,96.436000,96.429000,96.433000,0
20191230 052400,96.438000,96.451000,96.437000,96.446000,0
20191230 052500,96.446000,96.456000,96.443000,96.447000,0
20191230 052600,96.448000,96.449000,96.444000,96.446000,0
20191230 052700,96.447000,96.451000,96.442000,96.451000,0
20191230 052800,96.448000,96.454000,96.447000,96.447000,0
20191230 052900,96.448000,96.451000,96.447000,96.449000,0
20191230 053000,96.454000,96.471000,96.448000,96.471000,0
20191230 053100,96.463000,96.474000,96.458000,96.472000,0
20191230 053200,96.476000,96.481000,96.472000,96.472000,0
20191230 053300,96.473000,96.474000,96.462000,96.466000,0
20191230 053400,96.464000,96.469000,96.463000,96.467000,0
20191230 053500,96.469000,96.469000,96.457000,96.464000,0
20191230 053600,96.460000,96.466000,96.458000,96.464000,0
20191230 053700,96.463000,96.466000,96.462000,96.463000,0
20191230 053800,96.459000,96.481000,96.457000,96.473000,0
20191230 053900,96.474000,96.491000,96.474000,96.491000,0
20191230 054000,96.491000,96.495000,96.485000,96.491000,0
20191230 054100,96.487000,96.495000,96.487000,96.492000,0
20191230 054200,96.491000,96.495000,96.491000,96.491000,0
20191230 054300,96.501000,96.501000,96.487000,96.487000,0
20191230 054400,96.491000,96.491000,96.483000,96.483000,0
20191230 054500,96.482000,96.491000,96.482000,96.487000,0
20191230 054600,96.491000,96.498000,96.487000,96.493000,0
20191230 054700,96.491000,96.498000,96.487000,96.491000,0
20191230 054800,96.494000,96.502000,96.494000,96.498000,0
20191230 054900,96.501000,96.504000,96.499000,96.499000,0
20191230 055000,96.499000,96.506000,96.497000,96.503000,0
20191230 055100,96.506000,96.511000,96.502000,96.508000,0
20191230 055200,96.502000,96.511000,96.502000,96.504000,0
20191230 055300,96.502000,96.506000,96.497000,96.499000,0
20191230 055400,96.498000,96.501000,96.493000,96.493000,0
20191230 055500,96.493000,96.493000,96.487000,96.493000,0
20191230 055600,96.488000,96.498000,96.487000,96.495000,0
20191230 055700,96.499000,96.501000,96.491000,96.499000,0
20191230 055800,96.499000,96.503000,96.491000,96.492000,0
20191230 055900,96.487000,96.491000,96.476000,96.476000,0
20191230 060000,96.477000,96.481000,96.472000,96.481000,0
20191230 060100,96.476000,96.481000,96.467000,96.474000,0
20191230 060200,96.474000,96.481000,96.472000,96.472000,0
20191230 060300,96.475000,96.476000,96.473000,96.474000,0
20191230 060400,96.481000,96.481000,96.475000,96.476000,0
20191230 060500,96.481000,96.481000,96.467000,96.468000,0
20191230 060600,96.469000,96.473000,96.452000,96.452000,0
20191230 060700,96.454000,96.462000,96.453000,96.462000,0
20191230 060800,96.466000,96.466000,96.447000,96.448000,0
20191230 060900,96.451000,96.451000,96.442000,96.444000,0
20191230 061000,96.446000,96.449000,96.442000,96.447000,0
20191230 061100,96.445000,96.449000,96.437000,96.437000,0
20191230 061200,96.439000,96.453000,96.439000,96.453000,0
20191230 061300,96.454000,96.454000,96.442000,96.445000,0
20191230 061400,96.446000,96.446000,96.433000,96.434000,0
20191230 061500,96.427000,96.431000,96.422000,96.422000,0
20191230 061600,96.424000,96.436000,96.423000,96.434000,0
20191230 061700,96.432000,96.441000,96.432000,96.438000,0
20191230 061800,96.440000,96.443000,96.432000,96.434000,0
20191230 061900,96.437000,96.441000,96.437000,96.438000,0
20191230 062000,96.439000,96.441000,96.437000,96.437000,0
20191230 062100,96.443000,96.446000,96.437000,96.441000,0
20191230 062200,96.446000,96.446000,96.438000,96.443000,0
20191230 062300,96.439000,96.443000,96.437000,96.439000,0
20191230 062400,96.437000,96.441000,96.437000,96.441000,0
20191230 062500,96.441000,96.446000,96.437000,96.441000,0
20191230 062600,96.438000,96.446000,96.438000,96.439000,0
20191230 062700,96.439000,96.444000,96.439000,96.444000,0
20191230 062800,96.445000,96.451000,96.442000,96.443000,0
20191230 062900,96.448000,96.456000,96.442000,96.453000,0
20191230 063000,96.452000,96.456000,96.447000,96.447000,0
20191230 063100,96.454000,96.454000,96.447000,96.451000,0
20191230 063200,96.451000,96.453000,96.447000,96.453000,0
20191230 063300,96.452000,96.461000,96.452000,96.459000,0
20191230 063400,96.462000,96.462000,96.462000,96.462000,0
20191230 063500,96.459000,96.461000,96.459000,96.459000,0
20191230 063600,96.461000,96.471000,96.461000,96.462000,0
20191230 063700,96.457000,96.471000,96.457000,96.468000,0
20191230 063800,96.469000,96.476000,96.467000,96.473000,0
20191230 063900,96.476000,96.476000,96.472000,96.476000,0
20191230 064000,96.476000,96.482000,96.472000,96.472000,0
20191230 064100,96.478000,96.479000,96.478000,96.479000,0
20191230 064300,96.475000,96.476000,96.462000,96.464000,0
20191230 064400,96.469000,96.469000,96.462000,96.466000,0
20191230 064500,96.464000,96.471000,96.462000,96.469000,0
20191230 064600,96.466000,96.473000,96.462000,96.463000,0
20191230 064700,96.466000,96.466000,96.462000,96.466000,0
20191230 064800,96.460000,96.471000,96.460000,96.471000,0
20191230 064900,96.468000,96.471000,96.457000,96.457000,0
20191230 065000,96.459000,96.462000,96.452000,96.457000,0
20191230 065100,96.459000,96.471000,96.459000,96.471000,0
20191230 065200,96.468000,96.476000,96.462000,96.472000,0
20191230 065300,96.471000,96.473000,96.462000,96.462000,0
20191230 065400,96.464000,96.476000,96.464000,96.469000,0
20191230 065500,96.471000,96.476000,96.459000,96.459000,0
20191230 065600,96.460000,96.471000,96.457000,96.467000,0
20191230 065700,96.467000,96.471000,96.467000,96.469000,0
20191230 065800,96.472000,96.486000,96.472000,96.486000,0
20191230 065900,96.478000,96.486000,96.477000,96.477000,0
20191230 070000,96.481000,96.484000,96.472000,96.481000,0
20191230 070100,96.479000,96.484000,96.478000,96.484000,0
20191230 070200,96.482000,96.486000,96.482000,96.483000,0
20191230 070300,96.483000,96.491000,96.481000,96.491000,0
20191230 070400,96.489000,96.489000,96.482000,96.488000,0
20191230 070500,96.485000,96.488000,96.475000,96.478000,0
20191230 070600,96.475000,96.475000,96.467000,96.468000,0
20191230 070700,96.469000,96.471000,96.462000,96.463000,0
20191230 070800,96.466000,96.468000,96.457000,96.466000,0
20191230 070900,96.471000,96.471000,96.471000,96.471000,0
20191230 071000,96.463000,96.471000,96.462000,96.464000,0
20191230 071100,96.464000,96.464000,96.462000,96.462000,0
20191230 071200,96.464000,96.471000,96.464000,96.465000,0
20191230 071300,96.468000,96.469000,96.462000,96.462000,0
20191230 071400,96.464000,96.466000,96.458000,96.458000,0
20191230 071500,96.461000,96.461000,96.453000,96.459000,0
