Date,Open,High,Low,Close,Volume
20191230 000000,7633.399000,7634.417000,7633.399000,7634.396000,0
20191230 000100,7634.396000,7634.396000,7633.390000,7633.690000,0
20191230 000200,7633.381000,7633.381000,7633.205000,7633.205000,0
20191230 000300,7632.902000,7632.902000,7632.693000,7632.693000,0
20191230 000400,7632.890000,7633.175000,7632.687000,7633.175000,0
20191230 000500,7633.375000,7633.681000,7633.375000,7633.681000,0
20191230 000600,7633.914000,7633.914000,7633.914000,7633.914000,0
20191230 000700,7634.208000,7634.208000,7633.678000,7633.881000,0
20191230 000800,7633.681000,7634.211000,7633.681000,7634.193000,0
20191230 000900,7634.000000,7634.181000,7633.678000,7633.884000,0
20191230 001000,7634.190000,7634.190000,7633.908000,7633.908000,0
20191230 001200,7633.696000,7633.696000,7633.696000,7633.696000,0
20191230 001300,7633.408000,7633.693000,7632.375000,7632.717000,0
20191230 001400,7632.375000,7632.375000,7631.887000,7631.887000,0
20191230 001700,7631.800000,7632.417000,7631.000000,7632.384000,0
20191230 001800,7632.214000,7632.908000,7631.890000,7632.908000,0
20191230 001900,7632.690000,7632.690000,7631.884000,7632.402000,0
20191230 002000,7632.208000,7632.800000,7631.896000,7632.687000,0
20191230 002100,7632.396000,7633.714000,7632.000000,7633.681000,0
20191230 002200,7634.000000,7634.000000,7633.396000,7633.702000,0
20191230 002300,7634.000000,7634.000000,7633.684000,7633.684000,0
20191230 002400,7633.375000,7633.375000,7632.699000,7632.902000,0
20191230 002500,7632.702000,7633.375000,7632.702000,7633.208000,0
20191230 002600,7632.884000,7632.884000,7632.393000,7632.393000,0
20191230 002700,7632.684000,7632.684000,7632.000000,7632.000000,0
20191230 002800,7631.708000,7632.411000,7631.708000,7632.300000,0
20191230 002900,7632.390000,7632.390000,7631.896000,7632.300000,0
20191230 003000,7631.908000,7632.184000,7631.675000,7631.675000,0
20191230 003100,7631.378000,7631.800000,7631.378000,7631.800000,0
20191230 003200,7631.414000,7631.414000,7631.181000,7631.181000,0
20191230 003300,7630.914000,7631.300000,7630.881000,7631.300000,0
20191230 003400,7631.393000,7631.393000,7631.393000,7631.393000,0
20191230 003500,7631.184000,7631.390000,7631.181000,7631.181000,0
20191230 003600,7631.399000,7631.399000,7631.184000,7631.384000,0
20191230 003700,7631.217000,7631.500000,7631.217000,7631.500000,0
20191230 003800,7631.202000,7631.202000,7630.690000,7630.690000,0
20191230 003900,7630.181000,7630.211000,7629.896000,7630.211000,0
20191230 004000,7630.211000,7630.211000,7629.196000,7630.193000,0
20191230 004100,7630.405000,7631.300000,7630.184000,7631.300000,0
20191230 004200,7630.890000,7631.187000,7630.890000,7631.187000,0
20191230 004300,7630.911000,7631.217000,7630.902000,7630.908000,0
20191230 004400,7631.181000,7631.181000,7631.181000,7631.181000,0
20191230 004500,7631.396000,7631.396000,7631.181000,7631.181000,0
20191230 004700,7630.905000,7631.202000,7630.905000,7631.202000,0
20191230 004800,7631.500000,7631.500000,7631.175000,7631.175000,0
20191230 004900,7630.884000,7631.717000,7630.884000,7631.717000,0
20191230 005000,7632.000000,7632.208000,7631.681000,7632.205000,0
20191230 005100,7632.800000,7633.217000,7632.800000,7633.208000,0
20191230 005200,7633.208000,7633.208000,7632.375000,7632.387000,0
20191230 005300,7631.931000,7632.414000,7631.896000,7632.208000,0
20191230 005400,7631.902000,7632.214000,7631.875000,7632.208000,0
20191230 005500,7632.387000,7632.408000,7631.878000,7631.881000,0
20191230 005600,7632.214000,7632.893000,7631.875000,7632.405000,0
20191230 005700,7632.696000,7632.917000,7632.375000,7632.917000,0
20191230 005800,7632.681000,7633.381000,7632.387000,7633.381000,0
20191230 005900,7633.178000,7634.214000,7632.914000,7632.914000,0
20191230 010000,7633.402000,7633.402000,7631.199000,7632.387000,0
20191230 010100,7632.684000,7632.887000,7632.381000,7632.887000,0
20191230 010200,7632.705000,7632.881000,7631.181000,7631.181000,0
20191230 010300,7630.704000,7630.911000,7630.378000,7630.378000,0
20191230 010400,7630.714000,7630.714000,7629.390000,7629.390000,0
20191230 010500,7629.911000,7629.911000,7629.214000,7629.417000,0
20191230 010600,7629.214000,7629.214000,7629.214000,7629.214000,0
20191230 010700,7629.390000,7629.678000,7629.181000,7629.417000,0
20191230 010800,7629.214000,7629.378000,7629.214000,7629.378000,0
20191230 010900,7629.211000,7629.500000,7629.190000,7629.500000,0
20191230 011000,7629.705000,7629.705000,7629.399000,7629.399000,0
20191230 011200,7629.196000,7629.705000,7629.196000,7629.705000,0
20191230 011300,7629.875000,7630.000000,7629.375000,7629.678000,0
20191230 011400,7629.384000,7629.917000,7629.196000,7629.196000,0
20191230 011500,7629.800000,7629.896000,7629.190000,7629.708000,0
20191230 011700,7630.175000,7630.175000,7630.175000,7630.175000,0
20191230 011800,7630.681000,7630.681000,7630.202000,7630.202000,0
20191230 012000,7629.884000,7630.193000,7629.884000,7630.193000,0
20191230 012300,7631.414000,7631.875000,7631.199000,7631.875000,0
20191230 012700,7632.181000,7632.181000,7632.181000,7632.181000,0
20191230 012800,7632.381000,7632.381000,7632.381000,7632.381000,0
20191230 012900,7631.927000,7632.399000,7631.890000,7632.399000,0
20191230 013000,7632.000000,7632.000000,7632.000000,7632.000000,0
20191230 013100,7632.175000,7633.399000,7632.175000,7633.181000,0
20191230 013200,7632.902000,7632.902000,7632.678000,7632.678000,0
20191230 013300,7632.396000,7632.396000,7632.196000,7632.196000,0
20191230 013700,7632.196000,7632.196000,7631.887000,7631.887000,0
20191230 014200,7631.800000,7631.890000,7630.402000,7630.708000,0
20191230 014300,7630.202000,7630.202000,7630.202000,7630.202000,0
20191230 014400,7630.411000,7630.411000,7630.199000,7630.211000,0
20191230 014500,7630.693000,7630.693000,7629.946000,7630.402000,0
20191230 014600,7630.208000,7630.208000,7630.208000,7630.208000,0
20191230 014700,7629.908000,7630.193000,7629.905000,7629.905000,0
20191230 015000,7630.178000,7630.178000,7629.709000,7629.709000,0
20191230 015200,7629.687000,7629.687000,7629.687000,7629.687000,0
20191230 015300,7629.917000,7630.190000,7629.917000,7630.000000,0
20191230 015400,7630.215000,7631.193000,7630.215000,7631.193000,0
20191230 015500,7630.902000,7630.902000,7630.902000,7630.902000,0
20191230 015700,7630.902000,7630.902000,7630.208000,7630.208000,0
20191230 015900,7629.902000,7630.902000,7629.899000,7630.711000,0
20191230 020000,7630.402000,7631.477000,7630.381000,7630.947000,0
20191230 020100,7630.947000,7635.190000,7630.438000,7634.921000,0
20191230 020200,7635.887000,7637.204000,7635.887000,7636.427000,0
20191230 020300,7636.417000,7636.442000,7635.290000,7635.927000,0
20191230 020400,7636.190000,7637.205000,7636.190000,7636.678000,0
20191230 020500,7637.168000,7637.190000,7635.671000,7636.214000,0
20191230 020600,7636.396000,7637.708000,7635.418000,7637.708000,0
20191230 020700,7637.707000,7638.530000,7637.415000,7637.914000,0
20191230 020800,7637.914000,7637.914000,7636.439000,7636.439000,0
20191230 020900,7636.439000,7638.447000,7636.205000,7637.921000,0
20191230 021000,7638.300000,7639.205000,7637.921000,7637.942000,0
20191230 021100,7637.942000,7637.942000,7637.442000,7637.939000,0
20191230 021200,7638.684000,7640.717000,7638.684000,7639.917000,0
20191230 021300,7640.211000,7641.413000,7640.211000,7640.923000,0
