Date,Open,High,Low,Close,Volume
20191230 000000,1.306830,1.306940,1.306820,1.306930,0
20191230 000100,1.306880,1.306880,1.306810,1.306830,0
20191230 000200,1.306830,1.306840,1.306790,1.306790,0
20191230 000300,1.306790,1.306790,1.306740,1.306740,0
20191230 000400,1.306740,1.306750,1.306740,1.306740,0
20191230 000500,1.306690,1.306710,1.306650,1.306650,0
20191230 000600,1.306660,1.306660,1.306600,1.306610,0
20191230 000700,1.306610,1.306670,1.306610,1.306650,0
20191230 000800,1.306660,1.306670,1.306620,1.306660,0
20191230 000900,1.306640,1.306720,1.306640,1.306670,0
20191230 001000,1.306660,1.306710,1.306650,1.306700,0
20191230 001100,1.306690,1.306720,1.306650,1.306660,0
20191230 001200,1.306650,1.306650,1.306610,1.306610,0
20191230 001300,1.306610,1.306610,1.306560,1.306560,0
20191230 001400,1.306570,1.306580,1.306480,1.306480,0
20191230 001500,1.306480,1.306570,1.306480,1.306570,0
20191230 001600,1.306560,1.306570,1.306500,1.306520,0
20191230 001700,1.306520,1.306570,1.306490,1.306500,0
20191230 001800,1.306500,1.306500,1.306480,1.306490,0
20191230 001900,1.306490,1.306490,1.306430,1.306430,0
20191230 002000,1.306430,1.306490,1.306400,1.306470,0
20191230 002100,1.306490,1.306490,1.306420,1.306480,0
20191230 002200,1.306480,1.306500,1.306480,1.306490,0
20191230 002300,1.306490,1.306500,1.306480,1.306480,0
20191230 002400,1.306490,1.306520,1.306480,1.306490,0
20191230 002500,1.306500,1.306500,1.306490,1.306490,0
20191230 002600,1.306490,1.306500,1.306400,1.306410,0
20191230 002700,1.306420,1.306440,1.306400,1.306410,0
20191230 002800,1.306430,1.306490,1.306420,1.306490,0
20191230 002900,1.306490,1.306490,1.306400,1.306490,0
20191230 003000,1.306490,1.306500,1.306470,1.306480,0
20191230 003100,1.306480,1.306490,1.306480,1.306490,0
20191230 003200,1.306500,1.306500,1.306480,1.306490,0
20191230 003300,1.306490,1.306490,1.306400,1.306420,0
20191230 003400,1.306420,1.306490,1.306420,1.306490,0
20191230 003500,1.306440,1.306470,1.306400,1.306400,0
20191230 003600,1.306410,1.306410,1.306370,1.306400,0
20191230 003700,1.306390,1.306410,1.306390,1.306410,0
20191230 003800,1.306400,1.306410,1.306370,1.306400,0
20191230 003900,1.306400,1.306500,1.306400,1.306500,0
20191230 004000,1.306500,1.306530,1.306460,1.306490,0
20191230 004100,1.306500,1.306500,1.306490,1.306490,0
20191230 004200,1.306490,1.306490,1.306400,1.306410,0
20191230 004300,1.306410,1.306510,1.306410,1.306500,0
20191230 004400,1.306500,1.306520,1.306490,1.306490,0
20191230 004500,1.306500,1.306500,1.306480,1.306500,0
20191230 004600,1.306490,1.306490,1.306480,1.306490,0
20191230 004700,1.306490,1.306520,1.306430,1.306450,0
20191230 004800,1.306430,1.306500,1.306430,1.306490,0
20191230 004900,1.306480,1.306490,1.306470,1.306490,0
20191230 005000,1.306490,1.306490,1.306410,1.306440,0
20191230 005100,1.306440,1.306460,1.306420,1.306430,0
20191230 005200,1.306430,1.306440,1.306390,1.306440,0
20191230 005300,1.306440,1.306490,1.306410,1.306480,0
20191230 005400,1.306480,1.306500,1.306480,1.306490,0
20191230 005500,1.306490,1.306490,1.306430,1.306430,0
20191230 005600,1.306430,1.306520,1.306430,1.306490,0
20191230 005700,1.306490,1.306490,1.306420,1.306430,0
20191230 005800,1.306430,1.306430,1.306390,1.306400,0
20191230 005900,1.306390,1.306430,1.306360,1.306380,0
20191230 010000,1.306390,1.306430,1.306310,1.306360,0
20191230 010100,1.306370,1.306500,1.306330,1.306490,0
20191230 010200,1.306480,1.306580,1.306480,1.306570,0
20191230 010300,1.306590,1.306780,1.306580,1.306710,0
20191230 010400,1.306710,1.306780,1.306700,1.306730,0
20191230 010500,1.306710,1.306870,1.306700,1.306870,0
20191230 010600,1.306870,1.306970,1.306870,1.306910,0
20191230 010700,1.306910,1.306970,1.306910,1.306970,0
20191230 010800,1.306960,1.306980,1.306960,1.306970,0
20191230 010900,1.306980,1.306980,1.306970,1.306970,0
20191230 011000,1.306970,1.306980,1.306960,1.306980,0
20191230 011100,1.306970,1.306980,1.306840,1.306890,0
20191230 011200,1.306890,1.307000,1.306890,1.306980,0
20191230 011300,1.306980,1.307060,1.306970,1.307060,0
20191230 011400,1.307050,1.307060,1.307030,1.307030,0
20191230 011500,1.306960,1.306960,1.306770,1.306770,0
20191230 011600,1.306780,1.307040,1.306780,1.307040,0
20191230 011700,1.307030,1.307040,1.307030,1.307040,0
20191230 011800,1.307040,1.307220,1.307040,1.307220,0
20191230 011900,1.307210,1.307220,1.307210,1.307220,0
20191230 012000,1.307210,1.307320,1.307210,1.307290,0
20191230 012100,1.307300,1.307320,1.307290,1.307300,0
20191230 012200,1.307300,1.307380,1.307290,1.307340,0
20191230 012300,1.307360,1.307460,1.307350,1.307440,0
20191230 012400,1.307440,1.307510,1.307440,1.307500,0
20191230 012500,1.307490,1.307570,1.307490,1.307540,0
20191230 012600,1.307550,1.307560,1.307540,1.307540,0
20191230 012700,1.307540,1.307590,1.307460,1.307570,0
20191230 012800,1.307580,1.307610,1.307510,1.307520,0
20191230 012900,1.307510,1.307520,1.307430,1.307450,0
20191230 013000,1.307440,1.307540,1.307430,1.307540,0
20191230 013100,1.307530,1.307540,1.307530,1.307540,0
20191230 013200,1.307540,1.307550,1.307530,1.307540,0
20191230 013300,1.307540,1.307550,1.307530,1.307530,0
20191230 013400,1.307530,1.307620,1.307530,1.307620,0
20191230 013500,1.307610,1.307650,1.307610,1.307640,0
20191230 013600,1.307620,1.307710,1.307620,1.307710,0
20191230 013700,1.307690,1.307710,1.307680,1.307700,0
20191230 013800,1.307700,1.307750,1.307700,1.307700,0
20191230 013900,1.307700,1.307710,1.307700,1.307700,0
20191230 014000,1.307690,1.307700,1.307690,1.307700,0
20191230 014100,1.307700,1.307700,1.307690,1.307700,0
20191230 014200,1.307700,1.307700,1.307690,1.307700,0
20191230 014300,1.307690,1.307700,1.307690,1.307690,0
20191230 014400,1.307700,1.307700,1.307690,1.307690,0
20191230 014500,1.307690,1.307700,1.307690,1.307690,0
20191230 014600,1.307700,1.307700,1.307620,1.307690,0
20191230 014700,1.307680,1.307810,1.307680,1.307740,0
20191230 014800,1.307740,1.307750,1.307690,1.307700,0
20191230 014900,1.307710,1.307800,1.307690,1.307800,0
20191230 015000,1.307790,1.307800,1.307640,1.307670,0
20191230 015100,1.307670,1.307700,1.307620,1.307620,0
20191230 015200,1.307630,1.307630,1.307520,1.307560,0
20191230 015300,1.307560,1.307570,1.307560,1.307560,0
20191230 015400,1.307570,1.307570,1.307560,1.307560,0
20191230 015500,1.307560,1.307570,1.307560,1.307560,0
20191230 015600,1.307560,1.307570,1.307560,1.307570,0
20191230 015700,1.307570,1.307590,1.307570,1.307580,0
20191230 015800,1.307580,1.307680,1.307580,1.307680,0
20191230 015900,1.307680,1.307740,1.307660,1.307660,0
20191230 020000,1.307660,1.307710,1.307660,1.307670,0
20191230 020100,1.307690,1.307710,1.307660,1.307660,0
20191230 020200,1.307670,1.307680,1.307660,1.307660,0
20191230 020300,1.307660,1.307670,1.307520,1.307530,0
20191230 020400,1.307530,1.307530,1.307310,1.307410,0
20191230 020500,1.307410,1.307460,1.307370,1.307450,0
20191230 020600,1.307450,1.307450,1.307290,1.307290,0
20191230 020700,1.307310,1.307320,1.307120,1.307120,0
20191230 020800,1.307110,1.307120,1.306950,1.306960,0
20191230 020900,1.306940,1.306960,1.306850,1.306960,0
20191230 021000,1.306950,1.306960,1.306870,1.306960,0
20191230 021100,1.306950,1.306950,1.306790,1.306890,0
20191230 021200,1.306890,1.306950,1.306840,1.306940,0
20191230 021300,1.306940,1.306970,1.306900,1.306900,0
20191230 021400,1.306920,1.307090,1.306910,1.307020,0
20191230 021500,1.307020,1.307080,1.306960,1.306960,0
20191230 021600,1.306960,1.306960,1.306820,1.306820,0
20191230 021700,1.306820,1.306820,1.306760,1.306810,0
20191230 021800,1.306810,1.306820,1.306730,1.306750,0
20191230 021900,1.306750,1.306830,1.306720,1.306810,0
20191230 022000,1.306750,1.306820,1.306740,1.306800,0
20191230 022100,1.306800,1.306800,1.306730,1.306730,0
20191230 022200,1.306720,1.306740,1.306620,1.306730,0
20191230 022300,1.306730,1.306910,1.306730,1.306900,0
20191230 022400,1.306900,1.306920,1.306820,1.306860,0
20191230 022500,1.306860,1.306900,1.306810,1.306820,0
20191230 022600,1.306810,1.306820,1.306720,1.306730,0
20191230 022700,1.306800,1.306860,1.306790,1.306810,0
20191230 022800,1.306810,1.306840,1.306740,1.306830,0
20191230 022900,1.306830,1.306830,1.306760,1.306820,0
20191230 023000,1.306820,1.306850,1.306780,1.306810,0
20191230 023100,1.306810,1.306820,1.306720,1.306740,0
20191230 023200,1.306740,1.306750,1.306720,1.306730,0
20191230 023300,1.306750,1.306760,1.306730,1.306740,0
20191230 023400,1.306740,1.306830,1.306740,1.306810,0
20191230 023500,1.306830,1.307000,1.306800,1.306980,0
20191230 023600,1.306970,1.307030,1.306940,1.306940,0
20191230 023700,1.306950,1.306980,1.306860,1.306870,0
20191230 023800,1.306870,1.306920,1.306850,1.306910,0
20191230 023900,1.306910,1.307010,1.306900,1.307010,0
20191230 024000,1.307000,1.307090,1.307000,1.307080,0
20191230 024100,1.307060,1.307090,1.307040,1.307060,0
20191230 024200,1.307040,1.307080,1.307010,1.307040,0
20191230 024300,1.307040,1.307070,1.307030,1.307070,0
20191230 024400,1.307070,1.307080,1.307030,1.307050,0
20191230 024500,1.307020,1.307050,1.306920,1.306920,0
20191230 024600,1.306940,1.306940,1.306910,1.306910,0
20191230 024700,1.306930,1.307090,1.306920,1.307090,0
20191230 024800,1.307090,1.307150,1.307070,1.307150,0
20191230 024900,1.307170,1.307190,1.307120,1.307170,0
20191230 025000,1.307170,1.307270,1.307160,1.307260,0
20191230 025100,1.307260,1.307340,1.307260,1.307320,0
20191230 025200,1.307280,1.307430,1.307280,1.307360,0
20191230 025300,1.307410,1.307460,1.307340,1.307340,0
20191230 025400,1.307330,1.307340,1.307280,1.307340,0
20191230 025500,1.307330,1.307330,1.307230,1.307250,0
20191230 025600,1.307250,1.307290,1.307180,1.307280,0
20191230 025700,1.307270,1.307440,1.307240,1.307440,0
20191230 025800,1.307440,1.307590,1.307380,1.307590,0
20191230 025900,1.307610,1.307720,1.307560,1.307580,0
20191230 030000,1.307580,1.307610,1.307310,1.307330,0
20191230 030100,1.307330,1.307410,1.307330,1.307400,0
20191230 030200,1.307400,1.307410,1.307390,1.307400,0
20191230 030300,1.307400,1.307500,1.307390,1.307480,0
20191230 030400,1.307490,1.307510,1.307400,1.307480,0
20191230 030500,1.307470,1.307590,1.307420,1.307530,0
20191230 030600,1.307540,1.307560,1.307490,1.307490,0
20191230 030700,1.307500,1.307500,1.307420,1.307480,0
20191230 030800,1.307480,1.307590,1.307480,1.307530,0
20191230 030900,1.307490,1.307630,1.307490,1.307570,0
20191230 031000,1.307570,1.307580,1.307560,1.307560,0
20191230 031100,1.307560,1.307570,1.307560,1.307570,0
20191230 031200,1.307560,1.307630,1.307530,1.307580,0
20191230 031300,1.307570,1.307670,1.307560,1.307570,0
20191230 031400,1.307570,1.307660,1.307490,1.307490,0
20191230 031500,1.307490,1.307510,1.307350,1.307360,0
20191230 031600,1.307370,1.307490,1.307300,1.307470,0
20191230 031700,1.307470,1.307550,1.307450,1.307550,0
20191230 031800,1.307540,1.307560,1.307450,1.307480,0
20191230 031900,1.307470,1.307490,1.307440,1.307450,0
20191230 032000,1.307470,1.307550,1.307460,1.307470,0
20191230 032100,1.307460,1.307470,1.307390,1.307430,0
20191230 032200,1.307430,1.307590,1.307430,1.307550,0
20191230 032300,1.307550,1.307550,1.307470,1.307470,0
20191230 032400,1.307470,1.307490,1.307380,1.307470,0
20191230 032500,1.307460,1.307510,1.307420,1.307460,0
20191230 032600,1.307460,1.307470,1.307370,1.307370,0
20191230 032700,1.307370,1.307380,1.307220,1.307240,0
20191230 032800,1.307230,1.307250,1.307130,1.307130,0
20191230 032900,1.307130,1.307180,1.307050,1.307140,0
20191230 033000,1.307150,1.307210,1.307130,1.307210,0
20191230 033100,1.307210,1.307230,1.307120,1.307140,0
20191230 033200,1.307150,1.307170,1.307110,1.307160,0
20191230 033300,1.307160,1.307170,1.307100,1.307170,0
20191230 033400,1.307170,1.307240,1.307160,1.307230,0
20191230 033500,1.307280,1.307320,1.307200,1.307320,0
20191230 033600,1.307300,1.307310,1.307220,1.307260,0
20191230 033700,1.307260,1.307300,1.307250,1.307300,0
20191230 033800,1.307300,1.307300,1.307280,1.307300,0
20191230 033900,1.307300,1.307390,1.307300,1.307390,0
20191230 034000,1.307390,1.307390,1.307320,1.307360,0
20191230 034100,1.307380,1.307400,1.307260,1.307280,0
20191230 034200,1.307270,1.307300,1.307270,1.307300,0
20191230 034300,1.307300,1.307300,1.307100,1.307100,0
20191230 034400,1.307100,1.307140,1.307100,1.307130,0
20191230 034500,1.307160,1.307220,1.307130,1.307210,0
20191230 034600,1.307190,1.307210,1.307040,1.307040,0
20191230 034700,1.307050,1.307080,1.307040,1.307080,0
20191230 034800,1.307070,1.307100,1.307020,1.307040,0
20191230 034900,1.307070,1.307180,1.307060,1.307120,0
20191230 035000,1.307100,1.307100,1.307050,1.307070,0
20191230 035100,1.307070,1.307100,1.307040,1.307100,0
20191230 035200,1.307110,1.307160,1.307100,1.307110,0
20191230 035300,1.307130,1.307370,1.307130,1.307280,0
20191230 035400,1.307270,1.307330,1.307200,1.307250,0
20191230 035500,1.307220,1.307330,1.307180,1.307190,0
20191230 035600,1.307180,1.307280,1.307180,1.307200,0
20191230 035700,1.307210,1.307270,1.307200,1.307260,0
20191230 035800,1.307240,1.307270,1.307190,1.307230,0
20191230 035900,1.307230,1.307250,1.307170,1.307200,0
20191230 040000,1.307200,1.307270,1.307190,1.307210,0
20191230 040100,1.307210,1.307290,1.307210,1.307270,0
20191230 040200,1.307270,1.307300,1.307220,1.307290,0
20191230 040300,1.307290,1.307290,1.307210,1.307280,0
20191230 040400,1.307270,1.307460,1.307270,1.307420,0
20191230 040500,1.307420,1.307460,1.307360,1.307430,0
20191230 040600,1.307450,1.307520,1.307440,1.307520,0
20191230 040700,1.307500,1.307540,1.307460,1.307500,0
20191230 040800,1.307500,1.307530,1.307500,1.307510,0
20191230 040900,1.307490,1.307700,1.307490,1.307560,0
20191230 041000,1.307570,1.307570,1.307470,1.307480,0
20191230 041100,1.307480,1.307480,1.307420,1.307460,0
20191230 041200,1.307470,1.307620,1.307450,1.307550,0
20191230 041300,1.307550,1.307550,1.307540,1.307540,0
20191230 041400,1.307550,1.307630,1.307550,1.307570,0
20191230 041500,1.307580,1.307640,1.307540,1.307540,0
20191230 041600,1.307540,1.307540,1.307300,1.307360,0
20191230 041700,1.307360,1.307360,1.307290,1.307300,0
20191230 041800,1.307300,1.307370,1.307280,1.307370,0
20191230 041900,1.307370,1.307380,1.307280,1.307280,0
20191230 042000,1.307280,1.307320,1.307260,1.307300,0
20191230 042100,1.307310,1.307380,1.307270,1.307280,0
20191230 042200,1.307280,1.307370,1.307220,1.307340,0
20191230 042300,1.307340,1.307340,1.307230,1.307310,0
20191230 042400,1.307310,1.307440,1.307310,1.307410,0
20191230 042500,1.307380,1.307470,1.307350,1.307420,0
20191230 042600,1.307480,1.307590,1.307460,1.307570,0
20191230 042700,1.307570,1.307590,1.307480,1.307510,0
20191230 042800,1.307530,1.307540,1.307470,1.307480,0
20191230 042900,1.307480,1.307570,1.307440,1.307560,0
20191230 043000,1.307570,1.307720,1.307570,1.307660,0
20191230 043100,1.307660,1.307720,1.307660,1.307660,0
20191230 043200,1.307650,1.307650,1.307600,1.307640,0
20191230 043300,1.307640,1.307640,1.307560,1.307560,0
20191230 043400,1.307560,1.307560,1.307470,1.307470,0
20191230 043500,1.307460,1.307470,1.307460,1.307460,0
20191230 043600,1.307460,1.307570,1.307430,1.307460,0
20191230 043700,1.307460,1.307480,1.307450,1.307460,0
20191230 043800,1.307460,1.307460,1.307370,1.307370,0
20191230 043900,1.307370,1.307380,1.307360,1.307370,0
20191230 044000,1.307370,1.307370,1.307280,1.307290,0
20191230 044100,1.307280,1.307340,1.307280,1.307300,0
20191230 044200,1.307300,1.307300,1.307270,1.307290,0
20191230 044300,1.307290,1.307340,1.307280,1.307280,0
20191230 044400,1.307280,1.307280,1.307180,1.307190,0
20191230 044500,1.307190,1.307270,1.307190,1.307270,0
20191230 044600,1.307270,1.307270,1.307190,1.307190,0
20191230 044700,1.307190,1.307270,1.307150,1.307160,0
20191230 044800,1.307170,1.307200,1.307170,1.307190,0
20191230 044900,1.307190,1.307190,1.307100,1.307170,0
20191230 045000,1.307190,1.307280,1.307120,1.307250,0
20191230 045100,1.307240,1.307310,1.307240,1.307250,0
20191230 045200,1.307280,1.307280,1.307240,1.307250,0
20191230 045300,1.307250,1.307250,1.307220,1.307220,0
20191230 045400,1.307220,1.307280,1.307220,1.307260,0
20191230 045500,1.307260,1.307260,1.307050,1.307050,0
20191230 045600,1.307050,1.307140,1.307040,1.307140,0
20191230 045700,1.307140,1.307140,1.307070,1.307080,0
20191230 045800,1.307080,1.307220,1.307060,1.307180,0
