Date,Open,High,Low,Close,Volume
20191230 000000,0.972580,0.972680,0.972580,0.972640,0
20191230 000100,0.972620,0.972640,0.972530,0.972530,0
20191230 000200,0.972530,0.972540,0.972400,0.972400,0
20191230 000300,0.972400,0.972400,0.972400,0.972400,0
20191230 000400,0.972400,0.972400,0.972400,0.972400,0
20191230 000500,0.972400,0.972400,0.972400,0.972400,0
20191230 000600,0.972400,0.972420,0.972250,0.972420,0
20191230 000700,0.972410,0.972500,0.972390,0.972490,0
20191230 000800,0.972500,0.972500,0.972480,0.972500,0
20191230 000900,0.972500,0.972540,0.972500,0.972540,0
20191230 001000,0.972530,0.972590,0.972520,0.972580,0
20191230 001100,0.972550,0.972550,0.972460,0.972460,0
20191230 001200,0.972460,0.972460,0.972430,0.972440,0
20191230 001300,0.972440,0.972440,0.972400,0.972440,0
20191230 001400,0.972430,0.972430,0.972420,0.972430,0
20191230 001500,0.972420,0.972440,0.972370,0.972440,0
20191230 001600,0.972430,0.972430,0.972430,0.972430,0
20191230 001700,0.972440,0.972440,0.972390,0.972430,0
20191230 001800,0.972440,0.972460,0.972420,0.972450,0
20191230 001900,0.972430,0.972440,0.972430,0.972430,0
20191230 002000,0.972430,0.972440,0.972370,0.972370,0
20191230 002100,0.972370,0.972410,0.972370,0.972380,0
20191230 002200,0.972400,0.972430,0.972400,0.972430,0
20191230 002300,0.972430,0.972430,0.972410,0.972430,0
20191230 002400,0.972450,0.972450,0.972450,0.972450,0
20191230 002500,0.972420,0.972420,0.972410,0.972420,0
20191230 002600,0.972430,0.972430,0.972370,0.972370,0
20191230 002700,0.972390,0.972430,0.972390,0.972410,0
20191230 002800,0.972390,0.972410,0.972370,0.972390,0
20191230 002900,0.972360,0.972360,0.972300,0.972310,0
20191230 003000,0.972330,0.972330,0.972270,0.972270,0
20191230 003100,0.972250,0.972280,0.972250,0.972280,0
20191230 003200,0.972290,0.972290,0.972250,0.972260,0
20191230 003300,0.972250,0.972260,0.972150,0.972170,0
20191230 003400,0.972180,0.972220,0.972160,0.972170,0
20191230 003500,0.972160,0.972260,0.972160,0.972260,0
20191230 003600,0.972220,0.972260,0.972180,0.972230,0
20191230 003700,0.972240,0.972240,0.972180,0.972190,0
20191230 003800,0.972180,0.972180,0.972150,0.972150,0
20191230 003900,0.972160,0.972170,0.972160,0.972170,0
20191230 004000,0.972170,0.972170,0.972160,0.972160,0
20191230 004100,0.972160,0.972160,0.972130,0.972130,0
20191230 004200,0.972110,0.972110,0.972110,0.972110,0
20191230 004300,0.972110,0.972120,0.972090,0.972090,0
20191230 004400,0.972100,0.972180,0.972100,0.972140,0
20191230 004500,0.972120,0.972140,0.972120,0.972140,0
20191230 004600,0.972120,0.972130,0.972100,0.972130,0
20191230 004700,0.972110,0.972120,0.972100,0.972100,0
20191230 004800,0.972090,0.972110,0.972050,0.972060,0
20191230 004900,0.972060,0.972060,0.972000,0.972000,0
20191230 005000,0.971990,0.972090,0.971990,0.972080,0
20191230 005100,0.972070,0.972080,0.972060,0.972070,0
20191230 005200,0.972080,0.972120,0.972050,0.972090,0
20191230 005300,0.972100,0.972100,0.972050,0.972060,0
20191230 005400,0.972040,0.972040,0.972040,0.972040,0
20191230 005500,0.972050,0.972070,0.972050,0.972070,0
20191230 005600,0.972080,0.972180,0.972070,0.972170,0
20191230 005700,0.972180,0.972190,0.972090,0.972140,0
20191230 005800,0.972150,0.972150,0.972110,0.972120,0
20191230 005900,0.972130,0.972140,0.972110,0.972130,0
20191230 010000,0.972140,0.972140,0.972080,0.972110,0
20191230 010100,0.972110,0.972140,0.972100,0.972100,0
20191230 010200,0.972110,0.972110,0.972040,0.972040,0
20191230 010300,0.972040,0.972050,0.972020,0.972020,0
20191230 010400,0.972020,0.972020,0.971970,0.971990,0
20191230 010500,0.971990,0.972050,0.971990,0.972040,0
20191230 010600,0.972060,0.972110,0.972000,0.972060,0
20191230 010700,0.972070,0.972080,0.972050,0.972050,0
20191230 010800,0.972060,0.972060,0.972040,0.972050,0
20191230 010900,0.972060,0.972060,0.972000,0.972000,0
20191230 011000,0.972010,0.972010,0.971980,0.971980,0
20191230 011100,0.971970,0.971980,0.971890,0.971960,0
20191230 011200,0.971960,0.971960,0.971870,0.971880,0
20191230 011300,0.971890,0.971940,0.971890,0.971920,0
20191230 011400,0.971920,0.971920,0.971890,0.971890,0
20191230 011500,0.971890,0.971900,0.971880,0.971900,0
20191230 011600,0.971890,0.971910,0.971880,0.971910,0
20191230 011700,0.971910,0.971910,0.971890,0.971900,0
20191230 011800,0.971910,0.971980,0.971900,0.971910,0
20191230 011900,0.971910,0.971930,0.971910,0.971920,0
20191230 012000,0.971920,0.972020,0.971920,0.971990,0
20191230 012100,0.972010,0.972040,0.971990,0.972020,0
20191230 012200,0.972000,0.972050,0.972000,0.972040,0
20191230 012300,0.972090,0.972220,0.972070,0.972220,0
20191230 012400,0.972220,0.972220,0.972200,0.972200,0
20191230 012500,0.972200,0.972370,0.972200,0.972360,0
20191230 012600,0.972360,0.972360,0.972290,0.972330,0
20191230 012700,0.972320,0.972430,0.972310,0.972430,0
20191230 012800,0.972430,0.972450,0.972360,0.972360,0
20191230 012900,0.972360,0.972400,0.972310,0.972340,0
20191230 013000,0.972330,0.972440,0.972320,0.972440,0
20191230 013100,0.972440,0.972560,0.972440,0.972560,0
20191230 013200,0.972570,0.972610,0.972510,0.972510,0
20191230 013300,0.972520,0.972540,0.972500,0.972500,0
20191230 013400,0.972510,0.972640,0.972510,0.972600,0
20191230 013500,0.972560,0.972650,0.972550,0.972650,0
20191230 013600,0.972660,0.972720,0.972660,0.972710,0
20191230 013700,0.972700,0.972700,0.972640,0.972660,0
20191230 013800,0.972660,0.972680,0.972660,0.972680,0
20191230 013900,0.972680,0.972730,0.972670,0.972670,0
20191230 014000,0.972640,0.972640,0.972620,0.972640,0
20191230 014100,0.972630,0.972630,0.972600,0.972620,0
20191230 014200,0.972640,0.972650,0.972610,0.972620,0
20191230 014300,0.972620,0.972660,0.972610,0.972630,0
20191230 014400,0.972680,0.972690,0.972640,0.972640,0
20191230 014500,0.972630,0.972630,0.972630,0.972630,0
20191230 014600,0.972640,0.972640,0.972630,0.972630,0
20191230 014700,0.972640,0.972700,0.972640,0.972640,0
20191230 014800,0.972630,0.972630,0.972580,0.972580,0
20191230 014900,0.972590,0.972650,0.972590,0.972650,0
20191230 015000,0.972650,0.972650,0.972600,0.972610,0
20191230 015100,0.972640,0.972640,0.972610,0.972610,0
20191230 015200,0.972610,0.972650,0.972500,0.972530,0
20191230 015300,0.972520,0.972540,0.972510,0.972540,0
20191230 015400,0.972530,0.972530,0.972520,0.972530,0
20191230 015500,0.972510,0.972540,0.972450,0.972490,0
20191230 015600,0.972490,0.972490,0.972430,0.972430,0
20191230 015700,0.972440,0.972440,0.972370,0.972390,0
20191230 015800,0.972380,0.972390,0.972330,0.972330,0
20191230 015900,0.972320,0.972320,0.972320,0.972320,0
20191230 020000,0.972330,0.972350,0.972240,0.972280,0
20191230 020100,0.972270,0.972370,0.972270,0.972370,0
20191230 020200,0.972380,0.972380,0.972370,0.972380,0
20191230 020300,0.972380,0.972390,0.972380,0.972390,0
20191230 020400,0.972390,0.972400,0.972350,0.972400,0
20191230 020500,0.972400,0.972400,0.972380,0.972380,0
20191230 020600,0.972380,0.972410,0.972370,0.972410,0
20191230 020700,0.972390,0.972390,0.972330,0.972340,0
20191230 020800,0.972340,0.972340,0.972250,0.972270,0
20191230 020900,0.972280,0.972290,0.972150,0.972270,0
20191230 021000,0.972270,0.972300,0.972260,0.972280,0
20191230 021100,0.972260,0.972290,0.972260,0.972260,0
20191230 021200,0.972260,0.972300,0.972260,0.972290,0
20191230 021300,0.972290,0.972290,0.972260,0.972260,0
20191230 021400,0.972260,0.972310,0.972250,0.972270,0
20191230 021500,0.972270,0.972310,0.972260,0.972290,0
20191230 021600,0.972290,0.972310,0.972220,0.972230,0
20191230 021700,0.972230,0.972230,0.972180,0.972200,0
20191230 021800,0.972200,0.972290,0.972180,0.972280,0
20191230 021900,0.972280,0.972290,0.972200,0.972290,0
20191230 022000,0.972290,0.972290,0.972250,0.972290,0
20191230 022100,0.972290,0.972320,0.972290,0.972310,0
20191230 022200,0.972310,0.972320,0.972210,0.972310,0
20191230 022300,0.972300,0.972300,0.972260,0.972290,0
20191230 022400,0.972300,0.972300,0.972250,0.972290,0
20191230 022500,0.972290,0.972290,0.972250,0.972280,0
20191230 022600,0.972280,0.972300,0.972240,0.972280,0
20191230 022700,0.972280,0.972360,0.972280,0.972330,0
20191230 022800,0.972330,0.972330,0.972270,0.972290,0
