Date,Open,High,Low,Close,Volume
20191230 000000,6.670650,6.671280,6.670650,6.670860,0
20191230 000100,6.670800,6.670800,6.670300,6.670350,0
20191230 000200,6.670270,6.670270,6.669590,6.669610,0
20191230 000300,6.669540,6.669620,6.669300,6.669560,0
20191230 000400,6.669570,6.669750,6.669400,6.669520,0
20191230 000500,6.669520,6.669640,6.669070,6.669090,0
20191230 000600,6.668990,6.669290,6.668910,6.669290,0
20191230 000700,6.669190,6.669870,6.669120,6.669850,0
20191230 000800,6.669800,6.669920,6.669500,6.669520,0
20191230 000900,6.669630,6.669850,6.669490,6.669850,0
20191230 001000,6.669830,6.670300,6.669710,6.670250,0
20191230 001100,6.670210,6.670320,6.669820,6.669860,0
20191230 001200,6.669890,6.669900,6.669390,6.669490,0
20191230 001300,6.669490,6.669490,6.668990,6.669090,0
20191230 001400,6.669090,6.669190,6.668880,6.669090,0
20191230 001500,6.669040,6.669150,6.668800,6.668880,0
20191230 001600,6.668990,6.669150,6.668890,6.668890,0
20191230 001700,6.668890,6.668900,6.668780,6.668900,0
20191230 001800,6.668890,6.669270,6.668870,6.668970,0
20191230 001900,6.668960,6.669270,6.668960,6.669270,0
20191230 002000,6.669260,6.669260,6.668720,6.668720,0
20191230 002100,6.668720,6.668890,6.668710,6.668860,0
20191230 002200,6.668790,6.668980,6.668780,6.668890,0
20191230 002300,6.668850,6.669300,6.668740,6.669300,0
20191230 002400,6.669300,6.669580,6.669170,6.669540,0
20191230 002500,6.669540,6.669540,6.668890,6.668960,0
20191230 002600,6.668960,6.668960,6.668440,6.668440,0
20191230 002700,6.668440,6.668490,6.668190,6.668280,0
20191230 002800,6.668290,6.668320,6.668090,6.668320,0
20191230 002900,6.668170,6.668190,6.667890,6.667890,0
20191230 003000,6.667890,6.668040,6.667670,6.667730,0
20191230 003100,6.667630,6.667980,6.667630,6.667980,0
20191230 003200,6.667980,6.667990,6.667680,6.667680,0
20191230 003300,6.667620,6.667670,6.667120,6.667380,0
20191230 003400,6.667390,6.667590,6.667370,6.667500,0
20191230 003500,6.667490,6.667500,6.667290,6.667410,0
20191230 003600,6.667370,6.667780,6.667360,6.667610,0
20191230 003700,6.667640,6.667870,6.667630,6.667780,0
20191230 003800,6.667780,6.668020,6.667640,6.667760,0
20191230 003900,6.667750,6.668090,6.667720,6.667800,0
20191230 004000,6.667790,6.668040,6.667730,6.667770,0
20191230 004100,6.667770,6.667800,6.667760,6.667800,0
20191230 004200,6.667810,6.667890,6.667670,6.667790,0
20191230 004300,6.667780,6.667790,6.667660,6.667720,0
20191230 004400,6.667940,6.668050,6.667800,6.667880,0
20191230 004500,6.667840,6.667860,6.667830,6.667850,0
20191230 004600,6.667730,6.667730,6.667370,6.667430,0
20191230 004700,6.667470,6.667470,6.667030,6.667180,0
20191230 004800,6.667180,6.667430,6.667180,6.667260,0
20191230 004900,6.667330,6.667330,6.666870,6.666870,0
20191230 005000,6.666890,6.666890,6.666570,6.666590,0
20191230 005100,6.666630,6.666830,6.665970,6.666030,0
20191230 005200,6.665930,6.665930,6.665330,6.665730,0
20191230 005300,6.665830,6.666330,6.665700,6.666330,0
20191230 005400,6.666330,6.666330,6.666210,6.666220,0
20191230 005500,6.666330,6.666330,6.666230,6.666330,0
20191230 005600,6.666430,6.667630,6.666430,6.667520,0
20191230 005700,6.667520,6.667530,6.666770,6.666790,0
20191230 005800,6.666860,6.667430,6.666770,6.666830,0
20191230 005900,6.666830,6.667030,6.666630,6.666930,0
20191230 010000,6.666820,6.667030,6.666630,6.666720,0
20191230 010100,6.666770,6.666830,6.666690,6.666830,0
20191230 010200,6.666790,6.666790,6.666690,6.666760,0
20191230 010300,6.666760,6.666830,6.666720,6.666770,0
20191230 010400,6.666730,6.666790,6.666690,6.666790,0
20191230 010500,6.666790,6.667320,6.666730,6.667320,0
20191230 010600,6.667370,6.668230,6.667370,6.668230,0
20191230 010700,6.668120,6.668130,6.667970,6.667970,0
20191230 010800,6.668030,6.668030,6.667990,6.667990,0
20191230 010900,6.667990,6.668230,6.667990,6.668090,0
20191230 011000,6.668030,6.668030,6.667710,6.667850,0
20191230 011100,6.667830,6.668030,6.667430,6.667780,0
20191230 011200,6.667820,6.667830,6.667330,6.667330,0
20191230 011300,6.667370,6.667820,6.667370,6.667820,0
20191230 011400,6.667820,6.667930,6.667140,6.667230,0
20191230 011500,6.667220,6.667320,6.666990,6.667230,0
20191230 011600,6.667230,6.667630,6.667020,6.667630,0
20191230 011700,6.667630,6.667630,6.667280,6.667590,0
20191230 011800,6.667630,6.668730,6.667580,6.668450,0
20191230 011900,6.668450,6.668540,6.668220,6.668410,0
20191230 012000,6.668410,6.669010,6.668390,6.668850,0
20191230 012100,6.668850,6.668990,6.668830,6.668940,0
20191230 012200,6.668990,6.669530,6.668850,6.669530,0
20191230 012300,6.669530,6.671030,6.669490,6.670920,0
20191230 012400,6.670920,6.671630,6.670820,6.671430,0
20191230 012500,6.671530,6.672700,6.671530,6.672700,0
20191230 012600,6.672700,6.672790,6.672090,6.672420,0
20191230 012700,6.672390,6.672390,6.671830,6.672220,0
20191230 012800,6.672120,6.672730,6.672080,6.672220,0
20191230 012900,6.672220,6.672430,6.671230,6.671240,0
20191230 013000,6.671180,6.672130,6.671080,6.672130,0
20191230 013100,6.672140,6.672350,6.672120,6.672180,0
20191230 013200,6.672160,6.672260,6.671850,6.671850,0
20191230 013300,6.671720,6.671850,6.671150,6.671230,0
20191230 013400,6.671330,6.672420,6.671330,6.672330,0
20191230 013500,6.672230,6.672730,6.672210,6.672730,0
20191230 013600,6.672730,6.673210,6.672630,6.673090,0
20191230 013700,6.673090,6.673130,6.672330,6.672620,0
20191230 013800,6.672620,6.672760,6.672480,6.672650,0
20191230 013900,6.672660,6.673210,6.672510,6.672770,0
20191230 014000,6.672780,6.672930,6.672550,6.672890,0
20191230 014100,6.672890,6.672890,6.672390,6.672700,0
20191230 014200,6.672720,6.673020,6.672400,6.672430,0
20191230 014300,6.672390,6.672590,6.672330,6.672590,0
20191230 014400,6.672590,6.672650,6.672280,6.672430,0
20191230 014500,6.672430,6.672430,6.672420,6.672420,0
20191230 014600,6.672420,6.672420,6.672320,6.672420,0
20191230 014700,6.672420,6.672890,6.672390,6.672420,0
20191230 014800,6.672420,6.672420,6.671730,6.671810,0
20191230 014900,6.671760,6.672640,6.671760,6.672640,0
20191230 015000,6.672640,6.672640,6.672240,6.672350,0
20191230 015100,6.672370,6.672430,6.672290,6.672290,0
20191230 015200,6.672290,6.672290,6.671690,6.671690,0
20191230 015300,6.671730,6.672030,6.671730,6.671790,0
20191230 015400,6.671790,6.671870,6.671670,6.671740,0
20191230 015500,6.671680,6.671750,6.671590,6.671750,0
20191230 015600,6.671750,6.671750,6.671360,6.671390,0
20191230 015700,6.671390,6.671450,6.671200,6.671230,0
20191230 015800,6.671330,6.671470,6.671280,6.671430,0
20191230 015900,6.671330,6.671330,6.671030,6.671140,0
20191230 020000,6.671160,6.671750,6.671110,6.671210,0
20191230 020100,6.671210,6.671210,6.670990,6.671030,0
20191230 020200,6.671140,6.671230,6.671030,6.671170,0
20191230 020300,6.671170,6.671230,6.670960,6.670970,0
20191230 020400,6.670970,6.670970,6.669650,6.670330,0
20191230 020500,6.670240,6.670350,6.669870,6.670180,0
20191230 020600,6.670120,6.670120,6.669170,6.669670,0
20191230 020700,6.669540,6.669630,6.668580,6.668670,0
20191230 020800,6.668580,6.668580,6.666930,6.667090,0
20191230 020900,6.667010,6.667010,6.665390,6.666670,0
20191230 021000,6.666730,6.667130,6.666560,6.666990,0
20191230 021100,6.666890,6.667130,6.666570,6.666680,0
20191230 021200,6.666730,6.667730,6.666730,6.667620,0
20191230 021300,6.667630,6.667690,6.667380,6.667580,0
20191230 021400,6.667570,6.667810,6.667300,6.667630,0
20191230 021500,6.667820,6.667850,6.667350,6.667800,0
20191230 021600,6.667780,6.667850,6.667160,6.667300,0
20191230 021700,6.667260,6.667300,6.666760,6.667110,0
20191230 021800,6.667070,6.667130,6.666120,6.667040,0
20191230 021900,6.667060,6.667230,6.666690,6.667230,0
20191230 022000,6.667200,6.667200,6.666570,6.666690,0
20191230 022100,6.666730,6.667370,6.666650,6.667330,0
20191230 022200,6.667340,6.667400,6.666410,6.666770,0
20191230 022300,6.666740,6.667410,6.666720,6.667410,0
20191230 022400,6.667410,6.667450,6.667040,6.667130,0
20191230 022500,6.667110,6.667110,6.666550,6.666800,0
20191230 022600,6.666770,6.666770,6.666410,6.666450,0
20191230 022700,6.666480,6.667700,6.666480,6.667650,0
20191230 022800,6.667700,6.667700,6.666560,6.666810,0
20191230 022900,6.666810,6.666960,6.666620,6.666800,0
20191230 023000,6.666810,6.667030,6.666430,6.666470,0
20191230 023100,6.666510,6.666580,6.666080,6.666160,0
20191230 023200,6.666200,6.666270,6.665490,6.665630,0
20191230 023300,6.665630,6.666290,6.665580,6.665820,0
20191230 023400,6.665860,6.666400,6.665830,6.666250,0
20191230 023500,6.666250,6.666900,6.666240,6.666510,0
20191230 023600,6.666470,6.666580,6.666130,6.666220,0
20191230 023700,6.666220,6.666220,6.665530,6.665810,0
20191230 023800,6.665810,6.665880,6.665280,6.665880,0
20191230 023900,6.665880,6.666500,6.665880,6.666220,0
20191230 024000,6.666270,6.666880,6.666000,6.666820,0
20191230 024100,6.666820,6.666920,6.666470,6.666670,0
20191230 024200,6.666720,6.666830,6.666180,6.666430,0
20191230 024300,6.666380,6.667200,6.666330,6.667200,0
20191230 024400,6.667160,6.667210,6.666860,6.667090,0
20191230 024500,6.667060,6.667060,6.666300,6.666300,0
20191230 024600,6.666300,6.666300,6.666070,6.666190,0
20191230 024700,6.666150,6.667480,6.666080,6.667450,0
20191230 024800,6.667450,6.667780,6.667200,6.667530,0
20191230 024900,6.667540,6.667850,6.667170,6.667850,0
20191230 025000,6.667850,6.668530,6.667730,6.668250,0
20191230 025100,6.668230,6.669720,6.668230,6.669630,0
20191230 025200,6.669630,6.671480,6.669430,6.671150,0
20191230 025300,6.671150,6.671430,6.670970,6.671130,0
20191230 025400,6.671230,6.671430,6.671040,6.671230,0
20191230 025500,6.671230,6.671320,6.669470,6.669600,0
20191230 025600,6.669600,6.669870,6.669250,6.669830,0
20191230 025700,6.669830,6.671130,6.669620,6.671030,0
20191230 025800,6.671030,6.671100,6.670570,6.671070,0
20191230 025900,6.671090,6.671830,6.670730,6.671130,0
20191230 030000,6.671230,6.672570,6.671130,6.672530,0
20191230 030100,6.672460,6.672530,6.671430,6.671690,0
20191230 030200,6.671650,6.672160,6.671330,6.671350,0
20191230 030300,6.671350,6.672000,6.670850,6.671220,0
20191230 030400,6.671190,6.671560,6.670930,6.670930,0
20191230 030500,6.670900,6.671010,6.670630,6.670930,0
20191230 030600,6.670880,6.671130,6.670100,6.670140,0
20191230 030700,6.670180,6.670350,6.669710,6.670090,0
20191230 030800,6.670060,6.670280,6.668740,6.668740,0
