Date,Open,High,Low,Close,Volume
20191230 000000,7.788240,7.788250,7.788170,7.788220,0
20191230 000100,7.788220,7.788230,7.788200,7.788200,0
20191230 000200,7.788210,7.788270,7.788200,7.788220,0
20191230 000300,7.788210,7.788210,7.788180,7.788180,0
20191230 000400,7.788180,7.788180,7.788140,7.788140,0
20191230 000500,7.788180,7.788180,7.788180,7.788180,0
20191230 000600,7.788180,7.788180,7.788170,7.788170,0
20191230 000700,7.788150,7.788150,7.788140,7.788140,0
20191230 000800,7.788170,7.788180,7.788170,7.788180,0
20191230 000900,7.788210,7.788210,7.788200,7.788210,0
20191230 001000,7.788200,7.788280,7.788200,7.788200,0
20191230 001200,7.788160,7.788200,7.788160,7.788200,0
20191230 001300,7.788210,7.788210,7.788200,7.788210,0
20191230 001400,7.788210,7.788240,7.788170,7.788240,0
20191230 001500,7.788220,7.788220,7.788220,7.788220,0
20191230 001600,7.788190,7.788190,7.788090,7.788090,0
20191230 001700,7.788090,7.788090,7.788090,7.788090,0
20191230 001800,7.788090,7.788090,7.788090,7.788090,0
20191230 001900,7.788090,7.788090,7.787650,7.787710,0
20191230 002000,7.787720,7.787720,7.787720,7.787720,0
20191230 002100,7.787730,7.787740,7.787730,7.787730,0
20191230 002200,7.787760,7.787760,7.787750,7.787750,0
20191230 002300,7.787700,7.787700,7.787640,7.787640,0
20191230 002400,7.787630,7.787700,7.787630,7.787660,0
20191230 002500,7.787650,7.787670,7.787630,7.787630,0
20191230 002600,7.787630,7.787630,7.787630,7.787630,0
20191230 002700,7.787630,7.787630,7.787630,7.787630,0
20191230 002800,7.787630,7.787660,7.787630,7.787630,0
20191230 002900,7.787630,7.787670,7.787630,7.787630,0
20191230 003000,7.787630,7.787630,7.787630,7.787630,0
20191230 003100,7.787630,7.787750,7.787630,7.787680,0
20191230 003200,7.787700,7.787700,7.787700,7.787700,0
20191230 003300,7.787700,7.787720,7.787630,7.787720,0
20191230 003400,7.787670,7.787670,7.787670,7.787670,0
20191230 003500,7.787660,7.787660,7.787660,7.787660,0
20191230 003600,7.787660,7.787660,7.787450,7.787450,0
20191230 003700,7.787400,7.787400,7.787310,7.787360,0
20191230 003800,7.787360,7.787360,7.787320,7.787350,0
20191230 003900,7.787310,7.787380,7.787310,7.787370,0
20191230 004000,7.787370,7.787370,7.787370,7.787370,0
20191230 004100,7.787370,7.787420,7.787370,7.787420,0
20191230 004200,7.787420,7.787420,7.787370,7.787370,0
20191230 004300,7.787370,7.787370,7.787370,7.787370,0
20191230 004400,7.787360,7.787360,7.787350,7.787350,0
20191230 004500,7.787370,7.787370,7.787370,7.787370,0
20191230 004600,7.787360,7.787360,7.787360,7.787360,0
20191230 004700,7.787400,7.787470,7.787400,7.787470,0
20191230 004800,7.787420,7.787420,7.787420,7.787420,0
20191230 005000,7.787420,7.787470,7.787420,7.787470,0
20191230 005100,7.787470,7.787470,7.787410,7.787410,0
20191230 005200,7.787410,7.787420,7.787410,7.787420,0
20191230 005300,7.787420,7.787420,7.787420,7.787420,0
20191230 005400,7.787470,7.787470,7.787470,7.787470,0
20191230 005500,7.787410,7.787410,7.787390,7.787390,0
20191230 005600,7.787390,7.787390,7.787390,7.787390,0
20191230 005700,7.787390,7.787390,7.787390,7.787390,0
20191230 005800,7.787450,7.787580,7.787390,7.787580,0
20191230 005900,7.787560,7.787610,7.787560,7.787560,0
20191230 010000,7.787560,7.787560,7.787560,7.787560,0
20191230 010100,7.787550,7.787550,7.787530,7.787530,0
20191230 010200,7.787530,7.787530,7.787400,7.787420,0
20191230 010300,7.787420,7.787480,7.787400,7.787480,0
20191230 010400,7.787480,7.787550,7.787480,7.787550,0
20191230 010500,7.787540,7.787540,7.787540,7.787540,0
20191230 010600,7.787540,7.787540,7.787540,7.787540,0
20191230 010700,7.787540,7.787540,7.787530,7.787530,0
20191230 010800,7.787530,7.787530,7.787530,7.787530,0
20191230 010900,7.787530,7.787530,7.787530,7.787530,0
20191230 011000,7.787530,7.787530,7.787520,7.787520,0
20191230 011100,7.787490,7.787490,7.787360,7.787360,0
20191230 011200,7.787360,7.787420,7.787360,7.787370,0
20191230 011300,7.787370,7.787370,7.787350,7.787350,0
20191230 011400,7.787350,7.787420,7.787320,7.787320,0
20191230 011500,7.787320,7.787350,7.787320,7.787340,0
20191230 011600,7.787270,7.787370,7.787270,7.787320,0
20191230 011700,7.787360,7.787370,7.787170,7.787170,0
20191230 011800,7.787170,7.787170,7.787080,7.787090,0
20191230 011900,7.787090,7.787640,7.787090,7.787480,0
20191230 012000,7.787470,7.787570,7.787340,7.787340,0
20191230 012100,7.787310,7.787360,7.787300,7.787360,0
20191230 012200,7.787380,7.787400,7.787360,7.787360,0
20191230 012300,7.787360,7.787360,7.787360,7.787360,0
20191230 012400,7.787360,7.787450,7.787360,7.787430,0
20191230 012500,7.787420,7.787430,7.787420,7.787420,0
20191230 012600,7.787420,7.787530,7.787410,7.787440,0
20191230 012700,7.787440,7.787440,7.787410,7.787410,0
20191230 012800,7.787450,7.787490,7.787450,7.787480,0
20191230 012900,7.787460,7.787460,7.787450,7.787450,0
20191230 013000,7.787460,7.787460,7.787410,7.787410,0
20191230 013100,7.787410,7.787480,7.787410,7.787480,0
20191230 013200,7.787450,7.787450,7.787440,7.787440,0
20191230 013300,7.787440,7.787440,7.787430,7.787430,0
20191230 013400,7.787430,7.787430,7.787430,7.787430,0
20191230 013500,7.787420,7.787510,7.787410,7.787420,0
20191230 013600,7.787420,7.787420,7.787420,7.787420,0
20191230 013700,7.787420,7.787420,7.787420,7.787420,0
20191230 013800,7.787420,7.787420,7.787420,7.787420,0
20191230 013900,7.787420,7.787420,7.787420,7.787420,0
20191230 014000,7.787430,7.787550,7.787430,7.787430,0
20191230 014100,7.787420,7.787420,7.787420,7.787420,0
20191230 014200,7.787420,7.787420,7.787400,7.787400,0
20191230 014300,7.787400,7.787400,7.787320,7.787360,0
20191230 014400,7.787360,7.787370,7.787360,7.787370,0
20191230 014500,7.787360,7.787360,7.787340,7.787350,0
20191230 014600,7.787350,7.787420,7.787330,7.787350,0
20191230 014700,7.787360,7.787420,7.787340,7.787340,0
20191230 014800,7.787320,7.787350,7.787320,7.787350,0
20191230 014900,7.787340,7.787340,7.787340,7.787340,0
20191230 015000,7.787340,7.787340,7.787340,7.787340,0
20191230 015100,7.787340,7.787400,7.787340,7.787400,0
20191230 015200,7.787370,7.787400,7.787340,7.787360,0
20191230 015300,7.787360,7.787360,7.787360,7.787360,0
20191230 015400,7.787360,7.787360,7.787320,7.787320,0
20191230 015500,7.787330,7.787330,7.787330,7.787330,0
20191230 015600,7.787320,7.787320,7.787320,7.787320,0
20191230 015700,7.787300,7.787300,7.787300,7.787300,0
20191230 015800,7.787310,7.787320,7.787310,7.787320,0
20191230 015900,7.787320,7.787420,7.787310,7.787370,0
20191230 020000,7.787360,7.787370,7.787350,7.787350,0
20191230 020100,7.787350,7.787350,7.787350,7.787350,0
20191230 020200,7.787350,7.787350,7.787350,7.787350,0
20191230 020300,7.787350,7.787350,7.787340,7.787350,0
20191230 020400,7.787340,7.787350,7.787340,7.787340,0
20191230 020500,7.787340,7.787340,7.787140,7.787140,0
20191230 020600,7.787130,7.787190,7.786930,7.786930,0
20191230 020700,7.786930,7.786970,7.786580,7.786620,0
20191230 020800,7.786620,7.786680,7.786610,7.786660,0
20191230 020900,7.786660,7.786690,7.786660,7.786690,0
20191230 021000,7.786690,7.786770,7.786690,7.786720,0
20191230 021100,7.786730,7.787010,7.786730,7.786900,0
20191230 021200,7.786900,7.786910,7.786900,7.786910,0
20191230 021300,7.786900,7.786910,7.786900,7.786900,0
20191230 021400,7.786920,7.786920,7.786900,7.786900,0
20191230 021500,7.786900,7.786900,7.786900,7.786900,0
20191230 021600,7.786880,7.786890,7.786730,7.786730,0
20191230 021700,7.786730,7.786740,7.786730,7.786740,0
20191230 021800,7.786740,7.786760,7.786740,7.786760,0
20191230 021900,7.786730,7.786730,7.786720,7.786730,0
20191230 022000,7.786730,7.786740,7.786730,7.786740,0
20191230 022100,7.786740,7.786740,7.786740,7.786740,0
20191230 022300,7.786750,7.786820,7.786750,7.786750,0
20191230 022400,7.786750,7.786750,7.786750,7.786750,0
20191230 022500,7.786750,7.786770,7.786750,7.786770,0
20191230 022600,7.786800,7.786800,7.786800,7.786800,0
20191230 022700,7.786810,7.786810,7.786810,7.786810,0
20191230 022800,7.786810,7.786810,7.786710,7.786710,0
20191230 022900,7.786700,7.786700,7.786510,7.786510,0
20191230 023000,7.786520,7.786560,7.786440,7.786440,0
20191230 023100,7.786470,7.786560,7.786470,7.786540,0
20191230 023200,7.786540,7.786720,7.786520,7.786720,0
20191230 023300,7.786710,7.786830,7.786710,7.786830,0
20191230 023400,7.786840,7.787260,7.786840,7.786950,0
20191230 023500,7.786950,7.787090,7.786950,7.787000,0
20191230 023600,7.786990,7.786990,7.786960,7.786970,0
20191230 023700,7.786950,7.786950,7.786940,7.786940,0
20191230 023800,7.786920,7.787060,7.786900,7.786980,0
20191230 023900,7.786980,7.786980,7.786850,7.786890,0
20191230 024000,7.786920,7.786960,7.786890,7.786950,0
20191230 024100,7.786950,7.786960,7.786770,7.786890,0
20191230 024200,7.786890,7.786990,7.786870,7.786980,0
20191230 024300,7.786930,7.786930,7.786920,7.786920,0
20191230 024400,7.786890,7.786890,7.786870,7.786880,0
20191230 024500,7.786870,7.786870,7.786620,7.786630,0
20191230 024600,7.786660,7.786750,7.786660,7.786750,0
20191230 024700,7.786750,7.786760,7.786660,7.786670,0
