Date,Open,High,Low,Close,Volume
20191230 000000,295.124000,295.154000,295.104000,295.134000,0
20191230 000100,295.134000,295.144000,294.917000,294.917000,0
20191230 000200,294.886000,294.962000,294.886000,294.934000,0
20191230 000300,294.939000,294.964000,294.939000,294.964000,0
20191230 000400,294.964000,294.974000,294.964000,294.974000,0
20191230 000500,294.964000,295.014000,294.964000,295.004000,0
20191230 000600,295.004000,295.024000,294.984000,295.014000,0
20191230 000700,295.024000,295.034000,295.024000,295.034000,0
20191230 000800,295.044000,295.054000,295.024000,295.054000,0
20191230 000900,295.054000,295.084000,295.034000,295.084000,0
20191230 001000,295.084000,295.094000,294.948000,295.054000,0
20191230 001100,295.064000,295.064000,295.024000,295.034000,0
20191230 001200,295.034000,295.034000,295.024000,295.024000,0
20191230 001300,294.984000,295.024000,294.965000,295.014000,0
20191230 001400,295.014000,295.044000,294.994000,295.034000,0
20191230 001500,295.034000,295.064000,295.014000,295.054000,0
20191230 001600,295.054000,295.064000,295.044000,295.054000,0
20191230 001700,295.054000,295.054000,295.034000,295.054000,0
20191230 001800,295.054000,295.074000,295.054000,295.064000,0
20191230 001900,295.064000,295.084000,295.016000,295.084000,0
20191230 002000,295.064000,295.074000,294.796000,294.814000,0
20191230 002100,294.836000,294.836000,294.836000,294.836000,0
20191230 002200,294.858000,294.904000,294.858000,294.904000,0
20191230 002300,294.924000,295.004000,294.904000,294.974000,0
20191230 002400,294.974000,295.044000,294.974000,295.034000,0
20191230 002500,295.044000,295.044000,295.004000,295.014000,0
20191230 002600,295.004000,295.044000,294.965000,295.014000,0
20191230 002700,295.034000,295.044000,294.982000,295.014000,0
20191230 002800,295.024000,295.034000,295.004000,295.024000,0
20191230 002900,295.024000,295.034000,294.973000,294.994000,0
20191230 003000,295.004000,295.004000,294.984000,294.994000,0
20191230 003100,294.994000,295.004000,294.984000,294.994000,0
20191230 003200,295.004000,295.004000,294.962000,294.984000,0
20191230 003300,294.984000,295.014000,294.964000,294.984000,0
20191230 003400,294.994000,294.994000,294.984000,294.984000,0
20191230 003500,294.994000,294.994000,294.984000,294.984000,0
20191230 003600,294.984000,295.004000,294.974000,294.994000,0
20191230 003700,294.984000,294.994000,294.984000,294.994000,0
20191230 003800,294.994000,295.004000,294.984000,294.994000,0
20191230 003900,294.994000,295.024000,294.994000,295.014000,0
