Date,Open,High,Low,Close,Volume
20191230 000000,109.137000,109.140000,109.137000,109.137000,0
20191230 000100,109.136000,109.137000,109.125000,109.126000,0
20191230 000200,109.127000,109.127000,109.116000,109.120000,0
20191230 000300,109.120000,109.125000,109.120000,109.125000,0
20191230 000400,109.124000,109.129000,109.124000,109.125000,0
20191230 000500,109.126000,109.133000,109.126000,109.132000,0
20191230 000600,109.131000,109.132000,109.129000,109.131000,0
20191230 000700,109.130000,109.139000,109.127000,109.139000,0
20191230 000800,109.138000,109.139000,109.132000,109.133000,0
20191230 000900,109.133000,109.133000,109.132000,109.133000,0
20191230 001000,109.133000,109.141000,109.133000,109.138000,0
20191230 001100,109.138000,109.140000,109.136000,109.138000,0
20191230 001200,109.137000,109.141000,109.135000,109.135000,0
20191230 001300,109.135000,109.138000,109.133000,109.134000,0
20191230 001400,109.133000,109.142000,109.133000,109.141000,0
20191230 001500,109.138000,109.138000,109.131000,109.131000,0
20191230 001600,109.131000,109.139000,109.131000,109.137000,0
20191230 001700,109.136000,109.139000,109.132000,109.136000,0
20191230 001800,109.140000,109.140000,109.136000,109.137000,0
20191230 001900,109.137000,109.139000,109.135000,109.136000,0
20191230 002000,109.135000,109.138000,109.135000,109.138000,0
20191230 002100,109.137000,109.140000,109.133000,109.137000,0
20191230 002200,109.135000,109.138000,109.135000,109.137000,0
20191230 002300,109.137000,109.139000,109.135000,109.136000,0
20191230 002400,109.135000,109.137000,109.135000,109.136000,0
20191230 002500,109.136000,109.137000,109.135000,109.135000,0
20191230 002600,109.135000,109.138000,109.135000,109.138000,0
20191230 002700,109.138000,109.145000,109.138000,109.139000,0
20191230 002800,109.138000,109.138000,109.137000,109.137000,0
20191230 002900,109.136000,109.137000,109.131000,109.131000,0
20191230 003000,109.132000,109.134000,109.126000,109.131000,0
20191230 003100,109.131000,109.135000,109.129000,109.135000,0
20191230 003200,109.137000,109.137000,109.135000,109.136000,0
20191230 003300,109.135000,109.136000,109.131000,109.131000,0
20191230 003400,109.131000,109.133000,109.126000,109.127000,0
20191230 003500,109.129000,109.130000,109.129000,109.130000,0
20191230 003600,109.129000,109.130000,109.128000,109.129000,0
20191230 003700,109.130000,109.134000,109.130000,109.130000,0
20191230 003800,109.130000,109.130000,109.126000,109.126000,0
20191230 003900,109.127000,109.131000,109.126000,109.126000,0
20191230 004000,109.125000,109.126000,109.121000,109.123000,0
20191230 004100,109.123000,109.126000,109.123000,109.124000,0
20191230 004200,109.124000,109.125000,109.122000,109.124000,0
20191230 004300,109.126000,109.126000,109.122000,109.124000,0
20191230 004400,109.125000,109.126000,109.125000,109.125000,0
20191230 004500,109.126000,109.126000,109.125000,109.126000,0
20191230 004600,109.126000,109.126000,109.121000,109.125000,0
20191230 004700,109.122000,109.122000,109.120000,109.120000,0
20191230 004800,109.121000,109.122000,109.120000,109.121000,0
20191230 004900,109.120000,109.121000,109.117000,109.121000,0
20191230 005000,109.120000,109.120000,109.120000,109.120000,0
20191230 005100,109.120000,109.120000,109.115000,109.115000,0
20191230 005200,109.116000,109.117000,109.113000,109.117000,0
20191230 005300,109.118000,109.127000,109.118000,109.122000,0
20191230 005400,109.121000,109.126000,109.119000,109.126000,0
20191230 005500,109.126000,109.128000,109.126000,109.128000,0
20191230 005600,109.129000,109.133000,109.126000,109.132000,0
20191230 005700,109.133000,109.138000,109.133000,109.137000,0
20191230 005800,109.139000,109.147000,109.136000,109.144000,0
20191230 005900,109.147000,109.161000,109.144000,109.156000,0
20191230 010000,109.156000,109.157000,109.139000,109.144000,0
20191230 010100,109.143000,109.144000,109.138000,109.138000,0
20191230 010200,109.139000,109.142000,109.131000,109.132000,0
20191230 010300,109.133000,109.134000,109.120000,109.121000,0
20191230 010400,109.121000,109.126000,109.118000,109.120000,0
20191230 010500,109.120000,109.124000,109.120000,109.124000,0
20191230 010600,109.124000,109.128000,109.121000,109.128000,0
20191230 010700,109.126000,109.131000,109.126000,109.127000,0
20191230 010800,109.127000,109.128000,109.127000,109.128000,0
20191230 010900,109.128000,109.128000,109.125000,109.128000,0
20191230 011000,109.130000,109.133000,109.129000,109.129000,0
20191230 011100,109.128000,109.128000,109.128000,109.128000,0
20191230 011200,109.128000,109.128000,109.121000,109.121000,0
20191230 011300,109.121000,109.128000,109.120000,109.128000,0
20191230 011400,109.128000,109.128000,109.124000,109.125000,0
20191230 011500,109.126000,109.126000,109.121000,109.126000,0
20191230 011600,109.126000,109.126000,109.114000,109.119000,0
20191230 011700,109.118000,109.121000,109.118000,109.120000,0
20191230 011800,109.120000,109.121000,109.119000,109.120000,0
20191230 011900,109.121000,109.125000,109.121000,109.124000,0
20191230 012000,109.126000,109.126000,109.122000,109.122000,0
20191230 012100,109.124000,109.124000,109.118000,109.119000,0
20191230 012200,109.119000,109.121000,109.119000,109.121000,0
20191230 012300,109.121000,109.128000,109.121000,109.124000,0
20191230 012400,109.124000,109.133000,109.124000,109.132000,0
20191230 012500,109.133000,109.141000,109.130000,109.141000,0
20191230 012600,109.141000,109.142000,109.134000,109.137000,0
20191230 012700,109.141000,109.142000,109.138000,109.140000,0
20191230 012800,109.139000,109.149000,109.137000,109.147000,0
20191230 012900,109.145000,109.148000,109.137000,109.137000,0
20191230 013000,109.136000,109.140000,109.133000,109.140000,0
20191230 013100,109.142000,109.144000,109.138000,109.142000,0
20191230 013200,109.142000,109.143000,109.133000,109.135000,0
20191230 013300,109.136000,109.136000,109.132000,109.134000,0
20191230 013400,109.134000,109.142000,109.134000,109.140000,0
20191230 013500,109.141000,109.141000,109.136000,109.138000,0
20191230 013600,109.137000,109.143000,109.137000,109.141000,0
20191230 013700,109.141000,109.141000,109.132000,109.133000,0
20191230 013800,109.133000,109.139000,109.133000,109.138000,0
20191230 013900,109.138000,109.141000,109.137000,109.139000,0
20191230 014000,109.140000,109.141000,109.140000,109.140000,0
20191230 014100,109.140000,109.140000,109.135000,109.140000,0
20191230 014200,109.140000,109.140000,109.136000,109.140000,0
20191230 014300,109.140000,109.141000,109.139000,109.140000,0
20191230 014400,109.143000,109.144000,109.141000,109.142000,0
20191230 014500,109.142000,109.144000,109.140000,109.143000,0
20191230 014600,109.143000,109.143000,109.141000,109.142000,0
20191230 014700,109.143000,109.147000,109.142000,109.146000,0
20191230 014800,109.147000,109.147000,109.142000,109.142000,0
20191230 014900,109.141000,109.145000,109.140000,109.145000,0
20191230 015000,109.147000,109.147000,109.146000,109.146000,0
20191230 015100,109.147000,109.147000,109.146000,109.146000,0
20191230 015200,109.147000,109.147000,109.146000,109.146000,0
20191230 015300,109.146000,109.146000,109.143000,109.146000,0
20191230 015400,109.146000,109.147000,109.146000,109.147000,0
20191230 015500,109.147000,109.147000,109.146000,109.146000,0
20191230 015600,109.146000,109.147000,109.146000,109.146000,0
20191230 015700,109.147000,109.147000,109.146000,109.147000,0
20191230 015800,109.146000,109.147000,109.146000,109.147000,0
20191230 015900,109.146000,109.147000,109.141000,109.147000,0
20191230 020000,109.148000,109.153000,109.147000,109.152000,0
20191230 020100,109.153000,109.162000,109.153000,109.161000,0
20191230 020200,109.163000,109.164000,109.163000,109.164000,0
20191230 020300,109.165000,109.170000,109.163000,109.164000,0
20191230 020400,109.167000,109.174000,109.167000,109.169000,0
20191230 020500,109.171000,109.172000,109.166000,109.169000,0
20191230 020600,109.171000,109.176000,109.171000,109.173000,0
20191230 020700,109.174000,109.177000,109.165000,109.167000,0
20191230 020800,109.167000,109.169000,109.165000,109.166000,0
20191230 020900,109.167000,109.168000,109.155000,109.156000,0
20191230 021000,109.157000,109.166000,109.156000,109.164000,0
20191230 021100,109.163000,109.167000,109.162000,109.162000,0
20191230 021200,109.162000,109.163000,109.161000,109.162000,0
20191230 021300,109.162000,109.162000,109.155000,109.155000,0
20191230 021400,109.156000,109.159000,109.154000,109.154000,0
20191230 021500,109.154000,109.154000,109.143000,109.144000,0
20191230 021600,109.143000,109.146000,109.136000,109.136000,0
20191230 021700,109.136000,109.136000,109.126000,109.126000,0
20191230 021800,109.126000,109.136000,109.126000,109.136000,0
20191230 021900,109.135000,109.136000,109.133000,109.136000,0
20191230 022000,109.136000,109.137000,109.135000,109.137000,0
20191230 022100,109.136000,109.136000,109.131000,109.132000,0
20191230 022200,109.132000,109.132000,109.125000,109.125000,0
20191230 022300,109.127000,109.130000,109.126000,109.128000,0
20191230 022400,109.127000,109.130000,109.121000,109.126000,0
20191230 022500,109.127000,109.131000,109.120000,109.125000,0
20191230 022600,109.124000,109.124000,109.119000,109.119000,0
20191230 022700,109.118000,109.121000,109.116000,109.118000,0
20191230 022800,109.117000,109.121000,109.116000,109.121000,0
20191230 022900,109.120000,109.120000,109.117000,109.119000,0
20191230 023000,109.119000,109.120000,109.116000,109.116000,0
20191230 023100,109.114000,109.116000,109.107000,109.108000,0
20191230 023200,109.108000,109.120000,109.108000,109.113000,0
20191230 023300,109.114000,109.118000,109.112000,109.116000,0
20191230 023400,109.116000,109.125000,109.116000,109.122000,0
20191230 023500,109.123000,109.134000,109.123000,109.134000,0
20191230 023600,109.133000,109.134000,109.125000,109.127000,0
20191230 023700,109.126000,109.127000,109.121000,109.123000,0
20191230 023800,109.122000,109.128000,109.122000,109.128000,0
20191230 023900,109.128000,109.131000,109.127000,109.128000,0
20191230 024000,109.127000,109.132000,109.127000,109.131000,0
20191230 024100,109.132000,109.132000,109.128000,109.128000,0
20191230 024200,109.127000,109.128000,109.126000,109.128000,0
20191230 024300,109.129000,109.132000,109.126000,109.132000,0
20191230 024400,109.132000,109.134000,109.131000,109.134000,0
20191230 024500,109.133000,109.133000,109.132000,109.133000,0
20191230 024600,109.133000,109.133000,109.127000,109.127000,0
20191230 024700,109.127000,109.130000,109.126000,109.128000,0
