Date,Open,High,Low,Close,Volume
20191230 000000,8.802280,8.804320,8.801120,8.801120,0
20191230 000100,8.800820,8.801530,8.800530,8.800920,0
20191230 000200,8.800720,8.800930,8.799520,8.799720,0
20191230 000300,8.799620,8.799930,8.799220,8.799420,0
20191230 000400,8.799520,8.800130,8.798920,8.799020,0
20191230 000500,8.798780,8.798830,8.797220,8.797220,0
20191230 000600,8.797230,8.797520,8.796720,8.796920,0
20191230 000700,8.796920,8.797930,8.796730,8.797520,0
20191230 000800,8.797620,8.798030,8.797120,8.797320,0
20191230 000900,8.797420,8.798030,8.796960,8.797420,0
20191230 001000,8.797320,8.798520,8.797170,8.798020,0
20191230 001100,8.797920,8.800770,8.797420,8.800770,0
20191230 001200,8.800820,8.802590,8.798220,8.798220,0
20191230 001300,8.798020,8.798030,8.797300,8.797820,0
20191230 001400,8.797720,8.798020,8.797230,8.797520,0
20191230 001500,8.797420,8.797620,8.797220,8.797290,0
20191230 001600,8.797420,8.798020,8.797310,8.797320,0
20191230 001700,8.797270,8.797730,8.797060,8.797420,0
20191230 001800,8.797260,8.798220,8.797260,8.797520,0
20191230 001900,8.797420,8.797930,8.797260,8.797720,0
20191230 002000,8.797820,8.797920,8.797130,8.797320,0
20191230 002100,8.797230,8.797420,8.796860,8.797320,0
20191230 002200,8.797330,8.797620,8.797080,8.797620,0
20191230 002300,8.797620,8.798220,8.797220,8.798020,0
20191230 002400,8.797920,8.798720,8.797720,8.798520,0
20191230 002500,8.798630,8.798630,8.797360,8.797820,0
20191230 002600,8.797920,8.797920,8.796130,8.796130,0
20191230 002700,8.796130,8.801430,8.796130,8.798220,0
20191230 002800,8.798120,8.798320,8.796840,8.796890,0
20191230 002900,8.796890,8.796890,8.795920,8.796020,0
20191230 003000,8.796120,8.798170,8.795320,8.798170,0
20191230 003100,8.798240,8.798830,8.798240,8.798720,0
20191230 003200,8.798630,8.799120,8.798150,8.798650,0
20191230 003300,8.798480,8.798480,8.796300,8.796300,0
20191230 003400,8.796320,8.797000,8.796090,8.796810,0
20191230 003500,8.796810,8.797030,8.796570,8.796570,0
20191230 003600,8.796570,8.797420,8.796370,8.796420,0
20191230 003700,8.796420,8.796820,8.795920,8.795920,0
20191230 003800,8.795920,8.796530,8.795830,8.795970,0
20191230 003900,8.795820,8.797020,8.795810,8.796620,0
20191230 004000,8.796620,8.797220,8.796520,8.796830,0
20191230 004100,8.796530,8.796920,8.796330,8.796730,0
20191230 004200,8.796730,8.798940,8.795720,8.798380,0
20191230 004300,8.798380,8.798380,8.795540,8.795540,0
20191230 004400,8.795540,8.796010,8.795540,8.795920,0
20191230 004500,8.795770,8.799620,8.795770,8.799530,0
20191230 004600,8.799240,8.799240,8.798830,8.798830,0
20191230 004700,8.798830,8.800370,8.796120,8.796460,0
20191230 004800,8.796680,8.796960,8.796680,8.796960,0
20191230 004900,8.796960,8.796960,8.796280,8.796720,0
20191230 005000,8.796720,8.796720,8.796210,8.796210,0
20191230 005100,8.796210,8.799590,8.795420,8.798110,0
20191230 005200,8.798290,8.798320,8.796050,8.796820,0
20191230 005300,8.796920,8.797620,8.796640,8.797520,0
20191230 005400,8.797420,8.797620,8.797100,8.797520,0
20191230 005500,8.797620,8.797620,8.796980,8.797420,0
20191230 005600,8.797320,8.798920,8.797320,8.797920,0
20191230 005700,8.798220,8.798530,8.796570,8.796920,0
20191230 005800,8.797020,8.797470,8.796710,8.796940,0
20191230 005900,8.796940,8.797050,8.796670,8.797030,0
20191230 010000,8.797030,8.797240,8.796650,8.796780,0
20191230 010100,8.796780,8.800260,8.796710,8.800180,0
20191230 010200,8.800180,8.800380,8.796820,8.797380,0
20191230 010300,8.797390,8.797420,8.797380,8.797380,0
20191230 010400,8.797380,8.798900,8.797260,8.798900,0
20191230 010500,8.799090,8.799320,8.798440,8.799130,0
20191230 010600,8.799120,8.802800,8.798920,8.800580,0
20191230 010700,8.800580,8.800790,8.800430,8.800430,0
20191230 010800,8.800430,8.800720,8.800430,8.800520,0
20191230 010900,8.800430,8.800830,8.800380,8.800750,0
20191230 011000,8.800750,8.800750,8.800120,8.800120,0
20191230 011100,8.800280,8.800730,8.799990,8.799990,0
20191230 011200,8.799990,8.800150,8.798470,8.798680,0
20191230 011300,8.798720,8.799620,8.798680,8.799530,0
20191230 011400,8.799520,8.799520,8.798620,8.798620,0
20191230 011500,8.798530,8.798910,8.798090,8.798620,0
20191230 011600,8.798620,8.799030,8.798090,8.798620,0
20191230 011700,8.798820,8.799090,8.798100,8.799020,0
20191230 011800,8.799220,8.800060,8.798860,8.799640,0
20191230 011900,8.799810,8.800480,8.799500,8.800340,0
20191230 012000,8.800220,8.801490,8.800020,8.801250,0
20191230 012100,8.801250,8.803160,8.801250,8.803020,0
20191230 012200,8.803090,8.803450,8.802570,8.803450,0
20191230 012300,8.803580,8.805770,8.803530,8.805770,0
20191230 012400,8.805770,8.807290,8.805770,8.806600,0
20191230 012500,8.806600,8.808040,8.806560,8.807670,0
20191230 012600,8.807670,8.808210,8.806560,8.807410,0
20191230 012700,8.807430,8.807710,8.804950,8.806800,0
20191230 012800,8.806800,8.807970,8.806240,8.807350,0
