Date,Open,High,Low,Close,Volume
20191230 000000,3.806220,3.806500,3.805750,3.806500,0
20191230 000100,3.806500,3.806500,3.805650,3.806230,0
20191230 000200,3.806230,3.806230,3.805820,3.805970,0
20191230 000300,3.805970,3.805970,3.805770,3.805920,0
20191230 000400,3.805920,3.806160,3.805920,3.806160,0
20191230 000500,3.806160,3.806160,3.805790,3.805790,0
20191230 000600,3.805790,3.805860,3.805680,3.805820,0
20191230 000700,3.805820,3.806170,3.805820,3.806170,0
20191230 000800,3.806170,3.806250,3.806000,3.806030,0
20191230 000900,3.806030,3.806130,3.806020,3.806120,0
20191230 001000,3.806120,3.806270,3.806120,3.806170,0
20191230 001100,3.806170,3.806170,3.805210,3.805680,0
20191230 001200,3.805680,3.805850,3.805570,3.805570,0
20191230 001300,3.805570,3.805570,3.805150,3.805400,0
20191230 001400,3.805400,3.805510,3.805390,3.805500,0
20191230 001500,3.805500,3.805670,3.805460,3.805460,0
20191230 001600,3.805460,3.805650,3.805450,3.805590,0
20191230 001700,3.805590,3.805730,3.805440,3.805730,0
20191230 001800,3.805730,3.805730,3.805540,3.805580,0
20191230 001900,3.805580,3.805690,3.805580,3.805690,0
20191230 002000,3.805690,3.805690,3.805550,3.805550,0
20191230 002100,3.805550,3.805560,3.805520,3.805520,0
20191230 002200,3.805520,3.805530,3.805390,3.805510,0
20191230 002300,3.805510,3.805720,3.805510,3.805720,0
20191230 002400,3.805720,3.805970,3.805720,3.805970,0
20191230 002500,3.805970,3.805970,3.805600,3.805600,0
20191230 002600,3.805600,3.805620,3.805330,3.805330,0
20191230 002700,3.805330,3.805380,3.805170,3.805220,0
20191230 002800,3.805220,3.805220,3.805210,3.805210,0
20191230 002900,3.805210,3.805210,3.805090,3.805150,0
20191230 003000,3.805150,3.805170,3.804970,3.805170,0
20191230 003100,3.805010,3.805240,3.805010,3.805240,0
20191230 003200,3.805240,3.805240,3.805040,3.805040,0
20191230 003300,3.805040,3.805040,3.804780,3.804910,0
20191230 003400,3.804910,3.805050,3.804780,3.804810,0
20191230 003500,3.804810,3.804830,3.804720,3.804830,0
20191230 003600,3.804830,3.805030,3.804830,3.805030,0
20191230 003700,3.805030,3.805030,3.805020,3.805020,0
20191230 003800,3.805020,3.805020,3.804750,3.804760,0
20191230 003900,3.804880,3.805010,3.804780,3.804840,0
20191230 004000,3.804840,3.804960,3.804800,3.804900,0
20191230 004100,3.804900,3.805040,3.804890,3.804930,0
20191230 004200,3.804930,3.805030,3.804850,3.804990,0
20191230 004300,3.804990,3.805000,3.804870,3.804940,0
20191230 004400,3.804940,3.805000,3.804870,3.804870,0
20191230 004500,3.804870,3.804880,3.804870,3.804880,0
20191230 004600,3.804880,3.804890,3.804740,3.804740,0
20191230 004700,3.804710,3.804770,3.804620,3.804770,0
20191230 004800,3.804770,3.804960,3.804770,3.804960,0
20191230 004900,3.804960,3.804970,3.804670,3.804670,0
20191230 005000,3.804670,3.804680,3.804560,3.804560,0
20191230 005100,3.804560,3.804560,3.804160,3.804240,0
20191230 005200,3.804240,3.804240,3.803930,3.804110,0
20191230 005300,3.804110,3.804420,3.804110,3.804420,0
20191230 005400,3.804410,3.804420,3.804300,3.804300,0
20191230 005500,3.804420,3.804420,3.804330,3.804330,0
20191230 005600,3.804330,3.805100,3.804330,3.804970,0
20191230 005700,3.804980,3.804980,3.804490,3.804490,0
20191230 005800,3.804490,3.804750,3.804480,3.804670,0
20191230 005900,3.804670,3.804670,3.804520,3.804520,0
20191230 010000,3.804520,3.804660,3.804520,3.804540,0
20191230 010100,3.804620,3.804630,3.804510,3.804620,0
20191230 010200,3.804620,3.804630,3.804620,3.804620,0
20191230 010300,3.804630,3.804630,3.804630,3.804630,0
20191230 010400,3.804600,3.804610,3.804600,3.804600,0
20191230 010500,3.804680,3.804900,3.804560,3.804900,0
20191230 010600,3.804900,3.805290,3.804900,3.805290,0
20191230 010700,3.805290,3.805290,3.805280,3.805280,0
20191230 010800,3.805280,3.805280,3.805280,3.805280,0
20191230 010900,3.805280,3.805370,3.805280,3.805370,0
20191230 011000,3.805250,3.805250,3.805070,3.805200,0
20191230 011100,3.805190,3.805190,3.804910,3.805080,0
20191230 011200,3.805090,3.805090,3.804820,3.804820,0
20191230 011300,3.804820,3.805080,3.804820,3.805080,0
20191230 011400,3.805080,3.805080,3.804710,3.804760,0
20191230 011500,3.804710,3.804730,3.804600,3.804730,0
20191230 011600,3.804730,3.804910,3.804640,3.804910,0
20191230 011700,3.804910,3.804910,3.804790,3.804790,0
20191230 011800,3.804790,3.805590,3.804790,3.805460,0
20191230 011900,3.805460,3.805460,3.805370,3.805450,0
20191230 012000,3.805450,3.805760,3.805450,3.805760,0
20191230 012100,3.805760,3.805760,3.805760,3.805760,0
20191230 012200,3.805750,3.806070,3.805750,3.806070,0
20191230 012300,3.806070,3.806820,3.806070,3.806820,0
20191230 012400,3.806820,3.807240,3.806820,3.807230,0
20191230 012500,3.807230,3.807930,3.807230,3.807930,0
20191230 012600,3.807930,3.807930,3.807470,3.807680,0
20191230 012700,3.807680,3.807680,3.807320,3.807370,0
20191230 012800,3.807370,3.807830,3.807370,3.807580,0
20191230 012900,3.807580,3.807690,3.807050,3.807190,0
20191230 013000,3.807190,3.807660,3.807190,3.807660,0
