Date,Open,High,Low,Close,Volume
20191230 000000,9.316280,9.317180,9.315550,9.316650,0
20191230 000100,9.316660,9.316670,9.315810,9.315890,0
20191230 000200,9.315790,9.315800,9.314350,9.315180,0
20191230 000300,9.314900,9.315160,9.314310,9.315150,0
20191230 000400,9.315340,9.315340,9.314570,9.315190,0
20191230 000500,9.315090,9.315270,9.311550,9.312620,0
20191230 000600,9.312620,9.313880,9.312620,9.313440,0
20191230 000700,9.312990,9.313820,9.312550,9.313800,0
20191230 000800,9.313800,9.317200,9.313550,9.315220,0
20191230 000900,9.315320,9.316150,9.311240,9.316110,0
20191230 001000,9.315130,9.316640,9.312650,9.315890,0
20191230 001100,9.315890,9.315890,9.315390,9.315390,0
20191230 001200,9.315390,9.315390,9.314430,9.314600,0
20191230 001300,9.314640,9.314890,9.314270,9.314890,0
20191230 001400,9.314890,9.314890,9.314230,9.314490,0
20191230 001500,9.314490,9.314550,9.314050,9.314390,0
20191230 001600,9.314290,9.314740,9.314070,9.314130,0
20191230 001700,9.314100,9.314370,9.314060,9.314180,0
20191230 001800,9.314180,9.314560,9.311360,9.312640,0
20191230 001900,9.313470,9.313880,9.313370,9.313680,0
20191230 002000,9.313140,9.315580,9.312590,9.314060,0
20191230 002100,9.314060,9.314360,9.313810,9.314130,0
20191230 002200,9.314130,9.314130,9.313330,9.313960,0
20191230 002300,9.313960,9.315400,9.313730,9.315220,0
20191230 002400,9.315220,9.315700,9.313570,9.313930,0
20191230 002500,9.313930,9.314890,9.313370,9.313720,0
20191230 002600,9.313370,9.315570,9.308320,9.309250,0
20191230 002700,9.309250,9.314020,9.309250,9.314020,0
20191230 002800,9.312690,9.313590,9.311620,9.312610,0
20191230 002900,9.312610,9.312920,9.309930,9.311820,0
20191230 003000,9.311870,9.313720,9.311430,9.311770,0
20191230 003100,9.311770,9.311970,9.311440,9.311970,0
20191230 003200,9.311970,9.311970,9.311200,9.311810,0
20191230 003300,9.311810,9.311970,9.311300,9.311450,0
20191230 003400,9.311450,9.311680,9.311450,9.311620,0
20191230 003500,9.311620,9.311650,9.311460,9.311460,0
20191230 003600,9.311460,9.312020,9.311230,9.311750,0
20191230 003700,9.311750,9.311870,9.311750,9.311850,0
20191230 003800,9.311850,9.312140,9.311410,9.312020,0
20191230 003900,9.312020,9.312400,9.312020,9.312190,0
20191230 004000,9.312190,9.313930,9.312160,9.312590,0
20191230 004100,9.312660,9.313890,9.311270,9.312830,0
