Date,Open,High,Low,Close,Volume
20191230 000000,5.947870,5.948240,5.947870,5.948240,0
20191230 000100,5.948230,5.948230,5.948230,5.948230,0
20191230 000200,5.947940,5.947940,5.947940,5.947940,0
20191230 000300,5.948240,5.948240,5.948230,5.948230,0
20191230 000400,5.947940,5.948240,5.947940,5.948240,0
20191230 000500,5.948230,5.948240,5.948230,5.948240,0
20191230 000600,5.947940,5.948230,5.947930,5.948230,0
20191230 000700,5.948420,5.948420,5.948280,5.948350,0
20191230 000800,5.948430,5.948430,5.948340,5.948350,0
20191230 000900,5.948240,5.948360,5.948240,5.948320,0
20191230 001000,5.948230,5.948390,5.948230,5.948390,0
20191230 001100,5.948250,5.948420,5.948250,5.948420,0
20191230 001200,5.948420,5.948420,5.947450,5.947820,0
20191230 001300,5.947860,5.947970,5.946420,5.946940,0
20191230 001400,5.946980,5.947250,5.946080,5.946170,0
20191230 001500,5.946080,5.946890,5.945220,5.945340,0
20191230 001600,5.945330,5.946490,5.944780,5.945570,0
20191230 001700,5.945570,5.946200,5.944410,5.945640,0
20191230 001800,5.945640,5.945850,5.944260,5.944350,0
20191230 001900,5.944750,5.945220,5.944290,5.944380,0
20191230 002000,5.944380,5.945160,5.944330,5.944940,0
20191230 002100,5.944950,5.945210,5.944940,5.945160,0
20191230 002200,5.945100,5.945340,5.945060,5.945070,0
20191230 002300,5.945350,5.945360,5.945140,5.945280,0
20191230 002400,5.945350,5.945350,5.944470,5.944480,0
20191230 002500,5.944490,5.945470,5.944490,5.945220,0
20191230 002600,5.945470,5.945550,5.945180,5.945180,0
20191230 002700,5.944500,5.946210,5.944230,5.944660,0
20191230 002800,5.945140,5.947150,5.945140,5.946200,0
20191230 002900,5.946200,5.946210,5.944520,5.944520,0
20191230 003000,5.944590,5.946510,5.943760,5.943760,0
20191230 003100,5.943760,5.945880,5.943760,5.944710,0
20191230 003200,5.944700,5.944700,5.944560,5.944560,0
20191230 003300,5.944560,5.944570,5.944560,5.944570,0
20191230 003400,5.944560,5.944850,5.944560,5.944840,0
20191230 003500,5.944710,5.944740,5.944710,5.944730,0
20191230 003600,5.944760,5.944760,5.944220,5.944260,0
20191230 003700,5.944250,5.944800,5.944250,5.944690,0
20191230 003800,5.944520,5.944790,5.944510,5.944610,0
20191230 003900,5.944610,5.944610,5.944610,5.944610,0
20191230 004000,5.943830,5.944610,5.943830,5.944610,0
20191230 004100,5.944600,5.944980,5.943760,5.944380,0
20191230 004200,5.944390,5.944530,5.944390,5.944530,0
20191230 004300,5.944460,5.944470,5.944460,5.944460,0
20191230 004400,5.944450,5.944710,5.944440,5.944710,0
20191230 004500,5.944720,5.944720,5.944540,5.944610,0
20191230 004600,5.944500,5.944580,5.944480,5.944570,0
20191230 004700,5.944570,5.944610,5.944470,5.944480,0
20191230 004800,5.944480,5.944480,5.944460,5.944460,0
20191230 004900,5.944450,5.944460,5.944310,5.944310,0
20191230 005000,5.944360,5.944410,5.944000,5.944040,0
20191230 005100,5.944200,5.944720,5.944200,5.944460,0
20191230 005200,5.943840,5.944250,5.943760,5.944250,0
20191230 005300,5.944250,5.944800,5.943640,5.944770,0
20191230 005400,5.944660,5.944970,5.944660,5.944950,0
20191230 005500,5.944950,5.945050,5.944660,5.944660,0
20191230 005600,5.944640,5.944650,5.944630,5.944630,0
20191230 005700,5.944630,5.944800,5.944630,5.944800,0
20191230 005800,5.944790,5.944790,5.944570,5.944570,0
20191230 005900,5.944560,5.944670,5.944560,5.944670,0
20191230 010000,5.944670,5.944770,5.943500,5.943810,0
20191230 010100,5.943810,5.944650,5.943680,5.944640,0
20191230 010200,5.944600,5.944660,5.944590,5.944630,0
20191230 010300,5.944630,5.944630,5.944100,5.944170,0
20191230 010400,5.944170,5.944740,5.944100,5.944670,0
20191230 010500,5.944680,5.944680,5.943140,5.943330,0
20191230 010600,5.943340,5.944220,5.943280,5.944200,0
20191230 010700,5.944210,5.944210,5.943730,5.944050,0
20191230 010800,5.944050,5.945060,5.943870,5.945050,0
20191230 010900,5.945060,5.945760,5.945060,5.945730,0
20191230 011000,5.945690,5.947500,5.945680,5.947410,0
20191230 011100,5.947420,5.947840,5.947340,5.947790,0
20191230 011200,5.947780,5.948180,5.947360,5.947360,0
20191230 011300,5.947340,5.947340,5.947100,5.947120,0
20191230 011400,5.947120,5.947130,5.946870,5.946880,0
20191230 011500,5.946880,5.946980,5.946190,5.946190,0
20191230 011600,5.946170,5.946310,5.946150,5.946310,0
20191230 011700,5.946240,5.946460,5.946210,5.946210,0
20191230 011800,5.946200,5.946200,5.946050,5.946050,0
20191230 011900,5.946080,5.946080,5.946030,5.946040,0
20191230 012000,5.946050,5.946060,5.946050,5.946060,0
20191230 012100,5.945970,5.946250,5.945800,5.946240,0
20191230 012200,5.946220,5.946660,5.945920,5.946360,0
20191230 012300,5.946380,5.946390,5.946300,5.946300,0
20191230 012400,5.946250,5.946360,5.946170,5.946310,0
20191230 012500,5.946190,5.946360,5.946180,5.946340,0
20191230 012600,5.946240,5.946700,5.946220,5.946680,0
20191230 012700,5.946440,5.946620,5.946410,5.946510,0
20191230 012800,5.946500,5.946500,5.945870,5.945940,0
20191230 012900,5.945990,5.946450,5.945850,5.946330,0
20191230 013000,5.946340,5.946370,5.946200,5.946240,0
20191230 013100,5.946240,5.946270,5.946200,5.946210,0
20191230 013200,5.946230,5.947490,5.946230,5.947160,0
20191230 013300,5.947130,5.947160,5.947070,5.947070,0
20191230 013400,5.947090,5.947950,5.947090,5.947950,0
20191230 013500,5.947940,5.947970,5.947240,5.947240,0
20191230 013600,5.947250,5.947530,5.946720,5.947230,0
20191230 013700,5.947230,5.947710,5.947230,5.947710,0
20191230 013800,5.947700,5.947700,5.947300,5.947310,0
20191230 013900,5.947300,5.947310,5.946780,5.946800,0
20191230 014000,5.946820,5.947150,5.946810,5.946810,0
20191230 014100,5.946820,5.947130,5.946420,5.947130,0
20191230 014200,5.947120,5.947470,5.947120,5.947320,0
20191230 014300,5.947310,5.947320,5.946680,5.947190,0
20191230 014400,5.947200,5.947730,5.947050,5.947230,0
20191230 014500,5.947220,5.947560,5.947170,5.947400,0
20191230 014600,5.947300,5.947390,5.946940,5.947190,0
20191230 014700,5.947190,5.947200,5.946840,5.947050,0
20191230 014800,5.947040,5.947050,5.946580,5.946640,0
20191230 014900,5.946640,5.946730,5.946640,5.946730,0
20191230 015000,5.946720,5.947420,5.946630,5.947330,0
20191230 015100,5.947340,5.947340,5.946130,5.946590,0
20191230 015200,5.946720,5.947200,5.946480,5.946940,0
20191230 015300,5.947120,5.947250,5.947020,5.947020,0
20191230 015400,5.946790,5.947060,5.946620,5.947020,0
20191230 015500,5.946870,5.947010,5.946560,5.946560,0
20191230 015600,5.946610,5.947640,5.946450,5.947560,0
20191230 015700,5.947560,5.947630,5.947430,5.947610,0
20191230 015800,5.947710,5.948020,5.947480,5.947950,0
20191230 015900,5.947970,5.948030,5.947690,5.947940,0
20191230 020000,5.948140,5.948300,5.947990,5.948140,0
20191230 020100,5.948490,5.949140,5.948490,5.948560,0
20191230 020200,5.948670,5.949050,5.948400,5.948820,0
20191230 020300,5.948830,5.949480,5.948540,5.948910,0
20191230 020400,5.949050,5.949400,5.948050,5.948450,0
20191230 020500,5.948430,5.948840,5.948270,5.948520,0
20191230 020600,5.948520,5.948780,5.948260,5.948510,0
20191230 020700,5.948510,5.948980,5.948150,5.948660,0
20191230 020800,5.948660,5.948850,5.947750,5.947750,0
20191230 020900,5.947750,5.947810,5.946940,5.947490,0
20191230 021000,5.947470,5.947670,5.946910,5.947010,0
20191230 021100,5.947050,5.947620,5.946900,5.947440,0
20191230 021200,5.947410,5.947510,5.947160,5.947300,0
20191230 021300,5.947230,5.947390,5.947020,5.947040,0
20191230 021400,5.947020,5.947310,5.946940,5.947040,0
20191230 021500,5.947040,5.947200,5.946810,5.946990,0
20191230 021600,5.946950,5.947380,5.946860,5.947190,0
20191230 021700,5.947070,5.947070,5.945190,5.945640,0
20191230 021800,5.945520,5.945720,5.944920,5.945030,0
20191230 021900,5.945550,5.946060,5.945550,5.945780,0
20191230 022000,5.945780,5.946870,5.945440,5.946570,0
20191230 022100,5.946700,5.947300,5.946550,5.946940,0
20191230 022200,5.946940,5.946970,5.946800,5.946920,0
20191230 022300,5.946870,5.946940,5.946180,5.946320,0
20191230 022400,5.946270,5.946680,5.946080,5.946570,0
20191230 022500,5.946640,5.947190,5.946490,5.946880,0
20191230 022600,5.946860,5.947500,5.946640,5.947070,0
20191230 022700,5.947070,5.947640,5.946410,5.947480,0
20191230 022800,5.947480,5.947500,5.946880,5.947290,0
20191230 022900,5.947290,5.948070,5.946820,5.947040,0
20191230 023000,5.947040,5.947090,5.946410,5.946420,0
20191230 023100,5.946400,5.947280,5.946090,5.946090,0
20191230 023200,5.946090,5.946210,5.945680,5.945900,0
20191230 023300,5.945900,5.946120,5.945830,5.945850,0
20191230 023400,5.946040,5.946540,5.945810,5.945960,0
20191230 023500,5.945870,5.946220,5.945860,5.946020,0
20191230 023600,5.946010,5.946130,5.944990,5.945460,0
20191230 023700,5.945470,5.947150,5.945390,5.946400,0
20191230 023800,5.946390,5.946960,5.946390,5.946600,0
20191230 023900,5.946610,5.946730,5.945920,5.946600,0
20191230 024000,5.946600,5.947200,5.946400,5.947200,0
20191230 024100,5.947200,5.947730,5.947130,5.947130,0
20191230 024200,5.947130,5.948780,5.946900,5.947540,0
20191230 024300,5.947540,5.947610,5.947240,5.947400,0
20191230 024400,5.947400,5.947510,5.946610,5.946760,0
20191230 024500,5.946870,5.947020,5.946720,5.946930,0
20191230 024600,5.946930,5.947030,5.946690,5.946970,0
20191230 024700,5.947010,5.947530,5.946540,5.946940,0
20191230 024800,5.946940,5.947380,5.946920,5.947060,0
20191230 024900,5.947050,5.947420,5.946610,5.947250,0
20191230 025000,5.947610,5.948440,5.947470,5.947560,0
20191230 025100,5.947620,5.947960,5.947520,5.947790,0
20191230 025200,5.947790,5.948110,5.947670,5.947830,0
20191230 025300,5.947830,5.948140,5.947470,5.947550,0
20191230 025400,5.947530,5.947860,5.947300,5.947330,0
20191230 025500,5.947350,5.947760,5.946060,5.947240,0
20191230 025600,5.947120,5.947390,5.946420,5.947220,0
20191230 025700,5.947220,5.947650,5.946860,5.947000,0
20191230 025800,5.946980,5.947730,5.946980,5.947730,0
20191230 025900,5.947730,5.947730,5.947220,5.947420,0
20191230 030000,5.947420,5.947650,5.947350,5.947580,0
20191230 030100,5.947580,5.948080,5.947310,5.947580,0
20191230 030200,5.947820,5.948200,5.947630,5.947630,0
20191230 030300,5.947620,5.948050,5.947400,5.948050,0
20191230 030400,5.948050,5.948050,5.947750,5.947840,0
20191230 030500,5.947840,5.948170,5.947520,5.947520,0
20191230 030600,5.947520,5.947760,5.947440,5.947650,0
20191230 030700,5.947650,5.947710,5.947070,5.947560,0
20191230 030800,5.947560,5.947700,5.947240,5.947400,0
20191230 030900,5.947420,5.947590,5.946950,5.947360,0
20191230 031000,5.947250,5.947620,5.946890,5.947500,0
20191230 031100,5.947500,5.947750,5.947060,5.947660,0
20191230 031200,5.947590,5.947850,5.947250,5.947630,0
20191230 031300,5.947750,5.948020,5.947030,5.947330,0
20191230 031400,5.947390,5.947880,5.946170,5.946730,0
20191230 031500,5.947050,5.947330,5.946580,5.946980,0
20191230 031600,5.947070,5.947280,5.946060,5.946360,0
20191230 031700,5.946370,5.946970,5.946360,5.946660,0
20191230 031800,5.946740,5.946970,5.946480,5.946850,0
20191230 031900,5.946840,5.947020,5.946490,5.946780,0
20191230 032000,5.946760,5.946930,5.946300,5.946490,0
20191230 032100,5.946380,5.947170,5.946270,5.947060,0
20191230 032200,5.947240,5.947750,5.946510,5.947160,0
20191230 032300,5.946970,5.947420,5.946190,5.946500,0
20191230 032400,5.946600,5.947410,5.946220,5.947200,0
20191230 032500,5.947300,5.947450,5.946680,5.947160,0
20191230 032600,5.947120,5.947560,5.946740,5.947420,0
20191230 032700,5.947520,5.947620,5.946510,5.946850,0
20191230 032800,5.946830,5.947260,5.946570,5.946840,0
20191230 032900,5.947160,5.947280,5.946480,5.946880,0
20191230 033000,5.946950,5.947420,5.946580,5.947090,0
20191230 033100,5.947070,5.947180,5.946500,5.946590,0
20191230 033200,5.946590,5.947060,5.946260,5.946750,0
20191230 033300,5.946770,5.947170,5.945870,5.947040,0
20191230 033400,5.947040,5.948140,5.946770,5.947170,0
20191230 033500,5.947170,5.947870,5.947060,5.947870,0
20191230 033600,5.947870,5.948680,5.947710,5.948170,0
20191230 033700,5.948170,5.948170,5.947060,5.947280,0
20191230 033800,5.947390,5.947630,5.947390,5.947440,0
20191230 033900,5.947600,5.947600,5.946860,5.947170,0
20191230 034000,5.947170,5.948020,5.946710,5.947490,0
20191230 034100,5.947490,5.948140,5.947490,5.947850,0
20191230 034200,5.947850,5.948210,5.947670,5.947830,0
20191230 034300,5.947830,5.947940,5.947640,5.947840,0
20191230 034400,5.947840,5.948040,5.947770,5.948000,0
20191230 034500,5.948020,5.948020,5.947790,5.947890,0
20191230 034600,5.947890,5.947940,5.947620,5.947830,0
20191230 034700,5.947960,5.948350,5.947830,5.947830,0
20191230 034800,5.947830,5.947890,5.947810,5.947880,0
20191230 034900,5.947890,5.948040,5.947660,5.947760,0
20191230 035000,5.947770,5.948020,5.947620,5.947790,0
20191230 035100,5.947790,5.947880,5.947480,5.947880,0
20191230 035200,5.947710,5.947840,5.947510,5.947770,0
20191230 035300,5.947770,5.948330,5.947740,5.947850,0
20191230 035400,5.947850,5.947990,5.947660,5.947680,0
20191230 035500,5.947670,5.948000,5.947590,5.947820,0
20191230 035600,5.947740,5.948360,5.947740,5.947950,0
20191230 035700,5.947980,5.948330,5.947920,5.948080,0
20191230 035800,5.948090,5.948150,5.947970,5.948080,0
20191230 035900,5.948070,5.948340,5.948070,5.948150,0
20191230 040000,5.948160,5.949150,5.947980,5.949150,0
20191230 040100,5.949090,5.949370,5.948750,5.949250,0
20191230 040200,5.949240,5.949240,5.948650,5.948850,0
20191230 040300,5.948850,5.949180,5.948760,5.949130,0
20191230 040400,5.949050,5.949500,5.948940,5.949020,0
20191230 040500,5.949020,5.949210,5.948630,5.948950,0
20191230 040600,5.948950,5.948950,5.948530,5.948700,0
20191230 040700,5.948660,5.948840,5.948360,5.948800,0
20191230 040800,5.948750,5.948870,5.948460,5.948540,0
20191230 040900,5.948560,5.949020,5.948310,5.948430,0
20191230 041000,5.948540,5.948920,5.948400,5.948760,0
20191230 041100,5.948740,5.948930,5.948460,5.948740,0
