Date,Open,High,Low,Close,Volume
20191230 000100,61.766000,61.766000,61.766000,61.766000,0
20191230 000200,61.761000,61.761000,61.745000,61.745000,0
20191230 000600,61.755000,61.755000,61.755000,61.755000,0
20191230 000700,61.756000,61.756000,61.756000,61.756000,0
20191230 000800,61.750000,61.755000,61.745000,61.745000,0
20191230 001000,61.756000,61.756000,61.756000,61.756000,0
20191230 001100,61.766000,61.766000,61.745000,61.745000,0
20191230 001400,61.756000,61.756000,61.756000,61.756000,0
20191230 001800,61.756000,61.756000,61.756000,61.756000,0
20191230 001900,61.746000,61.746000,61.746000,61.746000,0
20191230 002100,61.745000,61.745000,61.745000,61.745000,0
20191230 002200,61.735000,61.735000,61.735000,61.735000,0
20191230 002300,61.745000,61.745000,61.745000,61.745000,0
20191230 002400,61.751000,61.751000,61.735000,61.735000,0
20191230 002600,61.746000,61.746000,61.746000,61.746000,0
20191230 002700,61.756000,61.756000,61.735000,61.735000,0
20191230 002800,61.745000,61.745000,61.745000,61.745000,0
20191230 003000,61.766000,61.766000,61.766000,61.766000,0
20191230 003200,61.765000,61.765000,61.765000,61.765000,0
20191230 003400,61.776000,61.776000,61.776000,61.776000,0
20191230 003600,61.776000,61.776000,61.776000,61.776000,0
20191230 003900,61.766000,61.766000,61.766000,61.766000,0
20191230 004400,61.766000,61.766000,61.766000,61.766000,0
20191230 004800,61.765000,61.765000,61.765000,61.765000,0
20191230 005300,61.786000,61.796000,61.765000,61.786000,0
20191230 005400,61.776000,61.786000,61.776000,61.786000,0
20191230 005500,61.785000,61.796000,61.775000,61.796000,0
20191230 005600,61.796000,61.806000,61.796000,61.796000,0
20191230 005700,61.801000,61.801000,61.795000,61.795000,0
20191230 010000,61.796000,61.801000,61.785000,61.795000,0
20191230 010200,61.796000,61.796000,61.786000,61.786000,0
20191230 010300,61.785000,61.796000,61.775000,61.796000,0
20191230 010400,61.775000,61.785000,61.775000,61.775000,0
20191230 010500,61.776000,61.776000,61.770000,61.776000,0
20191230 010600,61.766000,61.766000,61.765000,61.765000,0
20191230 011000,61.775000,61.786000,61.765000,61.765000,0
20191230 011200,61.775000,61.775000,61.775000,61.775000,0
20191230 011600,61.786000,61.786000,61.786000,61.786000,0
20191230 011700,61.785000,61.796000,61.775000,61.796000,0
20191230 011800,61.775000,61.775000,61.775000,61.775000,0
20191230 012000,61.785000,61.785000,61.785000,61.785000,0
20191230 012100,61.786000,61.786000,61.786000,61.786000,0
20191230 012500,61.796000,61.796000,61.775000,61.796000,0
20191230 012700,61.806000,61.806000,61.785000,61.785000,0
20191230 012900,61.806000,61.806000,61.806000,61.806000,0
20191230 013000,61.801000,61.801000,61.796000,61.796000,0
20191230 013200,61.786000,61.786000,61.786000,61.786000,0
20191230 013400,61.781000,61.786000,61.765000,61.765000,0
20191230 013500,61.775000,61.775000,61.775000,61.775000,0
20191230 013600,61.781000,61.781000,61.765000,61.765000,0
20191230 013700,61.771000,61.776000,61.755000,61.755000,0
20191230 013800,61.776000,61.776000,61.755000,61.755000,0
20191230 014000,61.756000,61.756000,61.756000,61.756000,0
20191230 014500,61.746000,61.756000,61.746000,61.756000,0
20191230 014700,61.766000,61.766000,61.766000,61.766000,0
20191230 015100,61.776000,61.776000,61.755000,61.755000,0
20191230 015200,61.756000,61.756000,61.755000,61.755000,0
20191230 015400,61.745000,61.745000,61.745000,61.745000,0
20191230 015500,61.761000,61.761000,61.735000,61.745000,0
20191230 015900,61.746000,61.756000,61.735000,61.745000,0
20191230 020000,61.745000,61.761000,61.745000,61.756000,0
20191230 020500,61.755000,61.761000,61.750000,61.755000,0
20191230 020600,61.745000,61.755000,61.745000,61.755000,0
20191230 020800,61.756000,61.776000,61.755000,61.776000,0
20191230 020900,61.775000,61.785000,61.775000,61.775000,0
20191230 021000,61.785000,61.791000,61.775000,61.791000,0
20191230 021100,61.775000,61.791000,61.775000,61.775000,0
20191230 021300,61.776000,61.776000,61.776000,61.776000,0
20191230 021400,61.775000,61.775000,61.765000,61.765000,0
20191230 021500,61.775000,61.775000,61.765000,61.765000,0
20191230 021600,61.755000,61.771000,61.755000,61.765000,0
20191230 021700,61.755000,61.766000,61.755000,61.766000,0
20191230 021800,61.765000,61.766000,61.765000,61.765000,0
20191230 021900,61.755000,61.755000,61.755000,61.755000,0
20191230 022000,61.776000,61.776000,61.755000,61.755000,0
20191230 022100,61.745000,61.755000,61.745000,61.755000,0
20191230 022200,61.776000,61.776000,61.755000,61.755000,0
