Date,Open,High,Low,Close,Volume
20191230 000000,17.910000,17.911000,17.910000,17.911000,0
20191230 000200,17.910000,17.913000,17.910000,17.912000,0
20191230 000300,17.913000,17.915000,17.908000,17.912000,0
20191230 000400,17.913000,17.914000,17.913000,17.914000,0
20191230 000500,17.915000,17.915000,17.915000,17.915000,0
20191230 000600,17.912000,17.912000,17.912000,17.912000,0
20191230 000700,17.911000,17.911000,17.908000,17.910000,0
20191230 000800,17.909000,17.911000,17.909000,17.911000,0
20191230 000900,17.912000,17.913000,17.912000,17.912000,0
20191230 001000,17.912000,17.913000,17.909000,17.909000,0
20191230 001100,17.910000,17.911000,17.908000,17.908000,0
20191230 001200,17.910000,17.912000,17.908000,17.911000,0
20191230 001300,17.912000,17.912000,17.911000,17.911000,0
20191230 001400,17.911000,17.918000,17.911000,17.912000,0
20191230 001500,17.911000,17.922000,17.911000,17.920000,0
20191230 001600,17.921000,17.923000,17.916000,17.922000,0
20191230 001700,17.924000,17.928000,17.924000,17.928000,0
20191230 001900,17.928000,17.928000,17.928000,17.928000,0
20191230 002000,17.927000,17.927000,17.926000,17.927000,0
20191230 002100,17.927000,17.929000,17.926000,17.928000,0
20191230 002200,17.924000,17.924000,17.924000,17.924000,0
20191230 002300,17.924000,17.924000,17.921000,17.922000,0
20191230 002400,17.922000,17.922000,17.916000,17.916000,0
20191230 002500,17.916000,17.916000,17.911000,17.911000,0
20191230 002600,17.916000,17.917000,17.916000,17.917000,0
20191230 002700,17.918000,17.920000,17.918000,17.920000,0
20191230 002800,17.920000,17.920000,17.920000,17.920000,0
20191230 002900,17.920000,17.920000,17.920000,17.920000,0
20191230 003000,17.919000,17.920000,17.912000,17.920000,0
20191230 003100,17.919000,17.928000,17.918000,17.925000,0
20191230 003200,17.924000,17.925000,17.918000,17.918000,0
20191230 003300,17.921000,17.921000,17.918000,17.918000,0
20191230 003400,17.921000,17.921000,17.921000,17.921000,0
20191230 003500,17.922000,17.924000,17.922000,17.922000,0
20191230 003600,17.923000,17.924000,17.923000,17.924000,0
20191230 003700,17.922000,17.922000,17.918000,17.918000,0
20191230 003800,17.918000,17.918000,17.917000,17.918000,0
20191230 003900,17.918000,17.919000,17.917000,17.917000,0
20191230 004000,17.917000,17.918000,17.917000,17.917000,0
20191230 004100,17.914000,17.914000,17.914000,17.914000,0
20191230 004300,17.917000,17.921000,17.915000,17.921000,0
20191230 004400,17.920000,17.922000,17.920000,17.922000,0
20191230 004500,17.923000,17.923000,17.916000,17.916000,0
20191230 004600,17.918000,17.922000,17.918000,17.922000,0
20191230 004700,17.922000,17.925000,17.920000,17.921000,0
20191230 004800,17.923000,17.926000,17.923000,17.925000,0
20191230 004900,17.920000,17.927000,17.920000,17.926000,0
20191230 005000,17.927000,17.927000,17.926000,17.926000,0
20191230 005100,17.926000,17.926000,17.926000,17.926000,0
20191230 005200,17.926000,17.926000,17.926000,17.926000,0
20191230 005300,17.926000,17.926000,17.926000,17.926000,0
20191230 005400,17.926000,17.926000,17.924000,17.925000,0
20191230 005500,17.925000,17.926000,17.923000,17.926000,0
20191230 005600,17.926000,17.927000,17.925000,17.926000,0
20191230 005700,17.921000,17.928000,17.921000,17.927000,0
20191230 005800,17.927000,17.937000,17.927000,17.936000,0
20191230 005900,17.936000,17.936000,17.929000,17.936000,0
20191230 010000,17.935000,17.936000,17.920000,17.930000,0
20191230 010100,17.930000,17.933000,17.929000,17.929000,0
20191230 010200,17.930000,17.932000,17.930000,17.930000,0
