Date,Open,High,Low,Close,Volume
20191230 000000,1514.455000,1514.525000,1514.445000,1514.475000,0
20191230 000100,1514.495000,1514.515000,1514.385000,1514.385000,0
20191230 000200,1514.435000,1514.465000,1514.385000,1514.455000,0
20191230 000300,1514.435000,1514.565000,1514.415000,1514.465000,0
20191230 000400,1514.465000,1514.545000,1514.448000,1514.515000,0
20191230 000500,1514.515000,1514.525000,1514.475000,1514.475000,0
20191230 000600,1514.475000,1514.475000,1514.475000,1514.475000,0
20191230 000700,1514.475000,1514.475000,1514.365000,1514.375000,0
20191230 000800,1514.425000,1514.445000,1514.425000,1514.445000,0
20191230 000900,1514.445000,1514.555000,1514.435000,1514.505000,0
20191230 001000,1514.505000,1514.505000,1514.375000,1514.375000,0
20191230 001100,1514.375000,1514.375000,1514.355000,1514.365000,0
20191230 001200,1514.368000,1514.468000,1514.305000,1514.365000,0
20191230 001300,1514.365000,1514.365000,1514.275000,1514.275000,0
20191230 001400,1514.275000,1514.275000,1513.845000,1513.865000,0
20191230 001500,1513.868000,1514.165000,1513.868000,1514.145000,0
20191230 001600,1514.145000,1514.145000,1514.055000,1514.135000,0
20191230 001700,1514.155000,1514.575000,1514.155000,1514.485000,0
20191230 001800,1514.475000,1514.535000,1514.455000,1514.535000,0
20191230 001900,1514.535000,1514.535000,1514.505000,1514.535000,0
20191230 002000,1514.568000,1514.668000,1514.515000,1514.668000,0
20191230 002100,1514.655000,1514.885000,1514.655000,1514.855000,0
20191230 002200,1514.815000,1514.875000,1514.815000,1514.875000,0
20191230 002300,1514.868000,1514.875000,1514.698000,1514.715000,0
20191230 002400,1514.725000,1514.755000,1514.605000,1514.628000,0
20191230 002500,1514.638000,1514.755000,1514.598000,1514.668000,0
20191230 002600,1514.665000,1514.668000,1514.588000,1514.668000,0
20191230 002700,1514.668000,1514.755000,1514.645000,1514.668000,0
20191230 002800,1514.665000,1514.665000,1514.598000,1514.598000,0
20191230 002900,1514.608000,1514.685000,1514.595000,1514.625000,0
20191230 003000,1514.628000,1514.668000,1514.205000,1514.505000,0
20191230 003100,1514.505000,1514.805000,1514.505000,1514.785000,0
20191230 003200,1514.785000,1514.785000,1514.668000,1514.715000,0
20191230 003300,1514.718000,1514.798000,1514.698000,1514.785000,0
20191230 003400,1514.795000,1514.798000,1514.668000,1514.705000,0
20191230 003500,1514.705000,1514.768000,1514.615000,1514.618000,0
20191230 003600,1514.615000,1514.768000,1514.615000,1514.668000,0
20191230 003700,1514.658000,1514.705000,1514.568000,1514.615000,0
20191230 003800,1514.598000,1514.688000,1514.585000,1514.655000,0
20191230 003900,1514.638000,1514.715000,1514.625000,1514.625000,0
20191230 004000,1514.688000,1514.788000,1514.605000,1514.635000,0
20191230 004100,1514.688000,1514.725000,1514.688000,1514.725000,0
20191230 004200,1514.725000,1514.815000,1514.725000,1514.735000,0
20191230 004300,1514.788000,1514.815000,1514.788000,1514.815000,0
20191230 004400,1514.815000,1514.825000,1514.815000,1514.825000,0
20191230 004500,1514.825000,1514.825000,1514.735000,1514.735000,0
20191230 004700,1514.738000,1514.828000,1514.738000,1514.815000,0
20191230 004800,1514.818000,1514.908000,1514.798000,1514.888000,0
20191230 004900,1514.838000,1514.865000,1514.798000,1514.818000,0
20191230 005000,1514.845000,1514.928000,1514.785000,1514.825000,0
20191230 005100,1514.825000,1514.888000,1514.825000,1514.865000,0
20191230 005200,1514.888000,1514.925000,1514.805000,1514.915000,0
20191230 005300,1514.918000,1514.928000,1514.888000,1514.925000,0
20191230 005400,1514.945000,1514.945000,1514.798000,1514.865000,0
20191230 005500,1514.798000,1514.855000,1514.745000,1514.745000,0
20191230 005600,1514.735000,1514.775000,1514.638000,1514.645000,0
20191230 005700,1514.648000,1514.875000,1514.568000,1514.855000,0
20191230 005800,1514.888000,1514.958000,1514.855000,1514.925000,0
20191230 005900,1514.925000,1515.158000,1514.845000,1515.148000,0
20191230 010000,1515.148000,1515.148000,1515.005000,1515.098000,0
20191230 010100,1515.095000,1515.148000,1515.095000,1515.105000,0
20191230 010200,1515.095000,1515.168000,1515.095000,1515.118000,0
20191230 010300,1515.168000,1515.265000,1515.125000,1515.265000,0
20191230 010400,1515.208000,1515.225000,1515.145000,1515.168000,0
20191230 010500,1515.168000,1515.218000,1515.135000,1515.135000,0
20191230 010600,1515.135000,1515.135000,1514.855000,1514.855000,0
20191230 010700,1514.835000,1514.835000,1514.498000,1514.655000,0
20191230 010800,1514.655000,1514.775000,1514.575000,1514.775000,0
20191230 010900,1514.775000,1514.835000,1514.775000,1514.825000,0
20191230 011000,1514.825000,1514.855000,1514.795000,1514.855000,0
20191230 011100,1514.865000,1514.968000,1514.865000,1514.928000,0
20191230 011200,1514.928000,1514.928000,1514.775000,1514.895000,0
