Date,Open,High,Low,Close,Volume
20191230 000100,7.786000,7.787000,7.786000,7.787000,0
20191230 000200,7.786000,7.786000,7.784000,7.784000,0
20191230 000300,7.785000,7.786000,7.785000,7.785000,0
20191230 000400,7.786000,7.786000,7.786000,7.786000,0
20191230 000500,7.786000,7.786000,7.786000,7.786000,0
20191230 000600,7.786000,7.786000,7.786000,7.786000,0
20191230 000700,7.786000,7.787000,7.786000,7.787000,0
20191230 000800,7.786000,7.787000,7.786000,7.787000,0
20191230 000900,7.787000,7.787000,7.786000,7.786000,0
20191230 001000,7.786000,7.788000,7.786000,7.788000,0
20191230 001100,7.787000,7.787000,7.787000,7.787000,0
20191230 001300,7.786000,7.787000,7.786000,7.786000,0
20191230 001400,7.787000,7.787000,7.786000,7.786000,0
20191230 001500,7.787000,7.787000,7.786000,7.787000,0
20191230 001600,7.787000,7.787000,7.787000,7.787000,0
20191230 001700,7.786000,7.787000,7.786000,7.787000,0
20191230 001800,7.786000,7.786000,7.786000,7.786000,0
20191230 001900,7.787000,7.787000,7.786000,7.786000,0
20191230 002000,7.787000,7.787000,7.786000,7.787000,0
20191230 002100,7.786000,7.786000,7.786000,7.786000,0
20191230 002200,7.787000,7.787000,7.786000,7.787000,0
20191230 002300,7.786000,7.786000,7.786000,7.786000,0
20191230 002400,7.787000,7.787000,7.786000,7.787000,0
20191230 002500,7.787000,7.787000,7.786000,7.787000,0
20191230 002600,7.786000,7.787000,7.786000,7.787000,0
20191230 002700,7.787000,7.787000,7.786000,7.786000,0
20191230 002800,7.786000,7.787000,7.786000,7.787000,0
20191230 002900,7.786000,7.787000,7.786000,7.787000,0
20191230 003000,7.786000,7.786000,7.786000,7.786000,0
20191230 003100,7.785000,7.786000,7.785000,7.786000,0
20191230 003200,7.787000,7.787000,7.787000,7.787000,0
20191230 003300,7.787000,7.787000,7.786000,7.787000,0
20191230 003400,7.786000,7.786000,7.786000,7.786000,0
20191230 003500,7.786000,7.786000,7.785000,7.785000,0
20191230 003600,7.786000,7.786000,7.785000,7.786000,0
20191230 003700,7.786000,7.786000,7.785000,7.785000,0
20191230 003800,7.786000,7.786000,7.785000,7.786000,0
20191230 003900,7.786000,7.786000,7.786000,7.786000,0
20191230 004000,7.785000,7.786000,7.785000,7.786000,0
20191230 004100,7.786000,7.786000,7.786000,7.786000,0
20191230 004200,7.786000,7.786000,7.785000,7.785000,0
20191230 004300,7.786000,7.786000,7.785000,7.786000,0
20191230 004400,7.786000,7.786000,7.784000,7.785000,0
20191230 004500,7.786000,7.786000,7.785000,7.786000,0
20191230 004600,7.786000,7.786000,7.786000,7.786000,0
20191230 004700,7.785000,7.785000,7.784000,7.785000,0
20191230 004800,7.784000,7.785000,7.784000,7.785000,0
20191230 004900,7.784000,7.785000,7.784000,7.785000,0
20191230 005000,7.785000,7.785000,7.785000,7.785000,0
20191230 005100,7.784000,7.786000,7.784000,7.786000,0
20191230 005200,7.785000,7.788000,7.785000,7.786000,0
20191230 005300,7.785000,7.787000,7.785000,7.787000,0
20191230 005400,7.786000,7.788000,7.786000,7.786000,0
20191230 005500,7.786000,7.788000,7.786000,7.786000,0
