id,pipsize,history_first_trading_month
EUR/USD,0.0001,200005
EUR/CHF,0.0001,200203
EUR/GBP,0.0001,200203
EUR/JPY,0.01,200203
EUR/AUD,0.0001,200208
USD/CAD,0.0001,200006
USD/CHF,0.0001,200005
USD/JPY,0.01,200005
USD/MXN,0.0001,201011
GBP/CHF,0.0001,200208
GBP/JPY,0.01,200205
GBP/USD,0.0001,200005
AUD/JPY,0.01,200208
AUD/USD,0.0001,200006
CHF/JPY,0.01,200208
NZD/JPY,0.01,200609
NZD/USD,0.0001,200508
XAU/USD,0.0001,200903
EUR/CAD,0.0001,200703
AUD/CAD,0.0001,200707
CAD/JPY,0.01,200703
EUR/NZD,0.0001,200803
GRX/EUR,0.0001,201011
NZD/CAD,0.0001,200803
SGD/JPY,0.01,200808
USD/HKD,0.0001,200808
USD/NOK,0.0001,200808
USD/TRY,0.0001,201011
AUD/CHF,0.0001,200803
AUX/AUD,0.0001,201011
EUR/HUF,0.0001,201011
EUR/PLN,0.0001,201011
FRX/EUR,0.0001,201011
HKX/HKD,0.0001,201011
NZD/CHF,0.0001,200803
SPX/USD,0.0001,201011
USD/HUF,0.0001,201011
USD/PLN,0.0001,201011
USD/ZAR,0.001,201011
ZAR/JPY,0.01,201011
BCO/USD,0.0001,201011
EUR/CZK,0.0001,201011
EUR/SEK,0.0001,200808
GBP/AUD,0.0001,200709
GBP/NZD,0.0001,200803
JPX/JPY,0.01,201011
UDX/USD,0.0001,201011
USD/CZK,0.0001,201008
USD/SEK,0.0001,200808
WTI/USD,0.0001,201011
AUD/NZD,0.0001,200709
CAD/CHF,0.0001,200803
EUR/DKK,0.0001,200808
EUR/NOK,0.0001,200808
EUR/TRY,0.0001,201011
GBP/CAD,0.0001,200709
NSX/USD,0.0001,201011
UKX/GBP,0.0001,201011
USD/DKK,0.0001,200808
USD/SGD,0.0001,200808
XAG/USD,0.0001,200905
