Time,LatitudeDegrees,LongitudeDegrees,AltitudeMeters,DistanceMeters,HeartRate,Weight,Seconds,Pace,Speed,MinHeartTarget,MaxHeartTarget
2015.09.23D18:26:29.000,53.33720634,-6.218884075,13.39999962,2.75,103,0,1,2.75,2.75,105,157
2015.09.23D18:26:30.000,53.33718848,-6.21885784,13.19999981,5.400000095,103,0,2,3.02,2.7,105,157
2015.09.23D18:26:31.000,53.3371677,-6.218828587,12.80000019,8.420000076,103,0,3,2.91,2.8067,105,157
2015.09.23D18:26:32.000,53.33714775,-6.218800424,12.80000019,11.32999992,103,0,4,3.32,2.8325,105,157
2015.09.23D18:26:33.000,53.33712503,-6.218767986,12.60000038,14.64999962,103,0,5,2.92,2.93,105,157
2015.09.23D18:26:34.000,53.33710634,-6.218737392,12.39999962,17.56999969,103,20,6,4.09,2.9283,105,157
2015.09.23D18:26:35.000,53.33707709,-6.218700008,12.39999962,21.65999985,103,0,7,2.86,3.0943,105,157
2015.09.23D18:26:36.000,53.33705597,-6.218675533,12.39999962,24.52000046,103,0,8,2.87,3.065,105,157
2015.09.23D18:26:37.000,53.33703694,-6.218646448,12.19999981,27.38999939,103,0,9,3.1,3.0433,105,157
2015.09.23D18:26:38.000,53.33701557,-6.218616609,12.39999962,30.48999977,103,0,10,3.16,3.049,105,157
2015.09.23D18:26:39.000,53.3369931,-6.21858744,12.39999962,33.65000153,106,0,11,3.18,3.0591,105,157
2015.09.23D18:26:40.000,53.33697181,-6.218555672,12.39999962,36.83000183,106,0,12,3.3,3.0692,105,157
2015.09.23D18:26:41.000,53.33695019,-6.218521893,12.39999962,40.13000107,106,0,13,2.72,3.0869,105,157
2015.09.23D18:26:42.000,53.33693208,-6.218494149,12.60000038,42.84999847,108,0,14,3.17,3.0607,105,157
2015.09.23D18:26:43.000,53.33691213,-6.218460202,12.80000019,46.02000046,112,0,15,2.93,3.068,105,157
2015.09.23D18:26:44.000,53.33689487,-6.218426842,12.80000019,48.95000076,115,0,16,3.3,3.0594,105,157
2015.09.23D18:26:45.000,53.33687425,-6.218391303,13,52.25,116,0,17,2.88,3.0735,105,157
2015.09.23D18:26:46.000,53.3368579,-6.218357692,13.39999962,55.13000107,117,0,18,3.13,3.0628,105,157
2015.09.23D18:26:47.000,53.33684089,-6.218320224,13.39999962,58.25999832,118,0,19,2.96,3.0663,105,157
2015.09.23D18:26:48.000,53.33682546,-6.218284182,13.80000019,61.22000122,120,0,20,3.03,3.061,105,157
2015.09.23D18:26:49.000,53.33680862,-6.218248308,14,64.25,120,15,21,3.2,3.0595,105,157
2015.09.23D18:26:50.000,53.3367911,-6.218210254,13.80000019,67.44999695,122,0,22,3.18,3.0659,105,157
2015.09.23D18:26:51.000,53.33677392,-6.218172032,14,70.62999725,123,0,23,3.15,3.0709,105,157
2015.09.23D18:26:52.000,53.33675321,-6.218139762,13.80000019,73.77999878,124,0,24,3.12,3.0742,105,157
2015.09.23D18:26:53.000,53.33673603,-6.21810263,14,76.90000153,125,0,25,3.23,3.076,105,157
2015.09.23D18:26:54.000,53.33671927,-6.218063068,14.19999981,80.12999725,126,0,26,2.87,3.0819,105,157
2015.09.23D18:26:55.000,53.33670384,-6.218028534,14.19999981,83,127,0,27,3.19,3.0741,105,157
2015.09.23D18:26:56.000,53.33668859,-6.21798805,14.19999981,86.19000244,127,0,28,2.94,3.0782,105,157
2015.09.23D18:26:57.000,53.33667358,-6.217951588,14,89.12999725,127,0,29,2.57,3.0734,105,157
2015.09.23D18:26:58.000,53.33666135,-6.217919067,14.19999981,91.69999695,127,0,30,3.5,3.0567,105,157
2015.09.23D18:26:59.000,53.33664509,-6.217873888,14,95.19999695,129,0,31,3.05,3.071,105,157
2015.09.23D18:27:00.000,53.33662924,-6.217836589,14,98.25,129,0,32,3.13,3.0703,105,157
2015.09.23D18:27:01.000,53.33661189,-6.217799708,14,101.3799973,130,0,33,2.95,3.0721,105,157
2015.09.23D18:27:02.000,53.33659362,-6.217767522,14.19999981,104.3300018,130,0,34,3.17,3.0685,105,157
2015.09.23D18:27:03.000,53.33657694,-6.217728881,14.19999981,107.5,130,0,35,2.49,3.0714,105,157
2015.09.23D18:27:04.000,53.33656336,-6.217699293,14.39999962,109.9899979,131,0,36,3.21,3.0553,105,157
2015.09.23D18:27:05.000,53.33654509,-6.217661994,14.39999962,113.1999969,131,0,37,2.99,3.0595,105,157
2015.09.23D18:27:06.000,53.33652858,-6.217626538,14.60000038,116.1900024,131,0,38,3.36,3.0576,105,157
2015.09.23D18:27:07.000,53.33650947,-6.217587478,14.80000019,119.5500031,132,14,39,3.06,3.0654,105,157
2015.09.23D18:27:08.000,53.33649279,-6.217550933,14.60000038,122.6100006,133,0,40,3.07,3.0653,105,157
2015.09.23D18:27:09.000,53.33647468,-6.217516148,14.60000038,125.6800003,134,0,41,3.36,3.0654,105,157
2015.09.23D18:27:10.000,53.33645632,-6.217476167,14.39999962,129.0399933,134,0,42,3.22,3.0724,105,157
2015.09.23D18:27:11.000,53.33643939,-6.217436939,14.60000038,132.2599945,135,0,43,3.07,3.0758,105,157
2015.09.23D18:27:12.000,53.33642112,-6.21740249,14.60000038,135.3300018,135,0,44,3.5,3.0757,105,157
2015.09.23D18:27:13.000,53.33640167,-6.217361083,14.60000038,138.8300018,135,0,45,3.16,3.0851,105,157
2015.09.23D18:27:14.000,53.33638634,-6.217321102,14.60000038,141.9900055,135,0,46,3.07,3.0867,105,157
2015.09.23D18:27:15.000,53.33636915,-6.217285059,14.80000019,145.0599976,136,0,47,3.21,3.0864,105,157
2015.09.23D18:27:16.000,53.3363508,-6.217248011,14.60000038,148.2700043,136,0,48,3.57,3.089,105,157
2015.09.23D18:27:17.000,53.33633202,-6.217204425,14.60000038,151.8399963,137,0,49,3.23,3.0988,105,157
2015.09.23D18:27:18.000,53.33631492,-6.217165366,14.60000038,155.0700073,137,0,50,3.02,3.1014,105,157
2015.09.23D18:27:19.000,53.33629682,-6.217131503,15,158.0899963,137,0,51,3.59,3.0998,105,157
2015.09.23D18:27:20.000,53.33627427,-6.217092946,15,161.6799927,138,0,52,3.11,3.1092,105,157
2015.09.23D18:27:21.000,53.33625784,-6.21705506,15,164.7899933,138,0,53,2.95,3.1092,105,157
2015.09.23D18:27:22.000,53.33624057,-6.217021365,15.19999981,167.7400055,138,0,54,4.17,3.1063,105,157
2015.09.23D18:27:23.000,53.33621962,-6.216969481,15.19999981,171.9100037,138,360,55,3.77,3.1256,105,157
2015.09.23D18:27:24.000,53.33620093,-6.216922374,15.19999981,175.6799927,139,0,56,3.29,3.1371,105,157
2015.09.23D18:27:25.000,53.33618148,-6.216885159,15.19999981,178.9700012,140,0,57,3.66,3.1398,105,157
2015.09.23D18:27:26.000,53.33616287,-6.216839729,15,182.6300049,141,0,58,3.22,3.1488,105,157
2015.09.23D18:27:27.000,53.33614695,-6.216799244,15,185.8500061,140,0,59,2.81,3.15,105,157
2015.09.23D18:27:28.000,53.33613329,-6.216763789,14.80000019,188.6600037,141,0,60,3.15,3.1443,105,157
2015.09.23D18:27:29.000,53.33611485,-6.216727914,14.60000038,191.8099976,141,0,61,3.43,3.1444,105,157
2015.09.23D18:27:30.000,53.33609716,-6.216685669,14.80000019,195.2400055,141,0,62,3.61,3.149,105,157
2015.09.23D18:27:31.000,53.33607922,-6.216640491,14.80000019,198.8500061,141,0,63,3.27,3.1563,105,157
2015.09.23D18:27:32.000,53.33606053,-6.216602689,15,202.1199951,142,0,64,3.37,3.1581,105,157
