Area,Group,Price,Rooms,Address
Carlow,Carlow,25000,1,"54 Ard Bhile, Rathvilly, Co. Carlow"
Carlow,Carlow,70000,1,"106 RIVERDELL, HAY MARKET, CARLOW"
Carlow,Carlow,70000,1,"53 Ard Bhile, Rathvilly, County Carlow"
Carlow,Carlow,80000,1,"4 STATION RD, BAGNALSTOWN, CARLOW"
Carlow,Carlow,81000,1,"102 RIVERDELL, CENTAUR ST, CARLOW"
Carlow,Carlow,82000,2,"APARTMENT 4, BARROWMILLS, GRAIGUECULLEN"
Carlow,Carlow,85000,2,"25 RIVERVIEW, CHAPELSTOWN GATE, CARLOW"
Carlow,Carlow,89000,2,"13 KILLERIG LODGE, KILLERIG, COUNTY CARLOW"
Carlow,Carlow,91000,2,"ROSLEE FENAGH RD, MYSHALL, CARLOW"
Carlow,Carlow,92000,2,"100 MAHER RD, GRAIGUECULLEN, CARLOW"
Carlow,Carlow,92500,2,"16 ST JOSEPHS TCE, TINRYLAND, CARLOW"
Carlow,Carlow,99295,2,"3 MILLRACE COURT, MILLRACE RD, CARLOW"
Carlow,Carlow,100000,2,"POUND LANE, BORRIS, CARLOW"
Carlow,Carlow,106344,2,"4 MILLRACE COURT, MILLRACE RD, CARLOW"
Carlow,Carlow,130000,3,"CROSSNEEN, CARLOW"
Carlow,Carlow,155000,3,"17 WOODGLADE, FENAGH, CARLOW"
Carlow,Carlow,155000,3,"DONORE, BAGENALSTOWN, CARLOW"
Carlow,Carlow,157500,4,"22 SHERWOOD, POOLERTON, CARLOW"
Carlow,Carlow,170000,4,"27 SPRINGDALE, TULLOW RD, CARLOW"
Carlow,Carlow,175000,4,"BALLINKILLIN, BAGENALSTOWN, CARLOW"
Carlow,Carlow,191000,5,"76 FELTHAM HALL, BLACKBOG RD, CARLOW"
Carlow,Carlow,197500,5,"60 THE FAIRWAYS, POLLERTON, CARLOW"
Carlow,Carlow,215000,5,"48 SOUTHERN GARDENS, KILKENNY ROAD, CARLOW"
Carlow,Carlow,259000,5,"BALLYHACKET LOWER, TULLOW, CARLOW"
Carlow,Carlow,340000,5,"BALLYBROMMEL, FENAGH, CARLOW"
Cavan,Cavan,7600,1,"APT. 1 46 HOLBORN HILL, BELTURBET, COUNTY CAVAN"
Cavan,Cavan,7600,1,"APT.2 46 HOLBORN HILL, BELTURBET, COUNTY CAVAN"
Cavan,Cavan,20000,1,"GARVOLT, GLANGEVLIN, CO CAVAN"
Cavan,Cavan,30000,1,"25 AN BONNAN BUI WAY, BLACKLION, CO CAVAN"
Cavan,Cavan,34000,1,"1 BRIDGE SIDE APTS, GARRYMORE, BALLINAGH"
Cavan,Cavan,40000,1,"13 KILCONNY STREET, BELTURBET, CO CAVAN"
Cavan,Cavan,40000,1,"28 An Bonnan Bui Way, Blacklion"
Cavan,Cavan,40000,1,"APT 22 BLOCK 2, CANAL BANK WALK CASTLEFORDE, BALLYCONNELL"
Cavan,Cavan,45000,1,"CHURCH ROAD, KILNALECK, CO CAVAN"
Cavan,Cavan,50000,1,"58 Daisyhill Manor, Ballyconnell"
Cavan,Cavan,55000,1,"11 RUSSELL QUAY, BALLYCONNELL, CAVAN"
Cavan,Cavan,55000,1,"CLOGHBALLY UPPER, MULLAGH, COUNTY CAVAN"
Cavan,Cavan,60000,1,"7 MOUNT ST JOSEPH, KINGSCOURT, CAVAN"
Cavan,Cavan,75000,1,"10 CASTLEFORDE, BALLYCONNELL HOUSE, ANNAGH"
Cavan,Cavan,78500,1,"DRUMLIN COTTAGE, DRUTAMY, BAILIEBOROUGH"
Cavan,Cavan,80000,1,"MILLTOWN PAROCHIAL HOUSE, MILLTOWN, BELTURBET"
Cavan,Cavan,81000,1,"BRUSKEY, BALLINAGH, CAVAN"
Cavan,Cavan,85000,2,"KILNAGLARE, MILLTOWN, BELTURBET"
Cavan,Cavan,85000,2,"ROCKFIELD, TOGHER, CARRICKGORMAN BAILEBOROUGH"
Cavan,Cavan,100000,2,"53 Daisyhill Manor, Ballyconnell"
Cavan,Cavan,100000,2,"9 LOUGH SILLAN LODGE, SHERCOCK, CAVAN"
Cavan,Cavan,120000,2,"37 PERCY FRENCH PLACE, OLDCASTLE RD, BALLYJAMESDUFF"
Cavan,Cavan,121000,2,"12 OLDTOWN, CAVAN"
Cavan,Cavan,123348,2,"Rabane, Shercock"
Cavan,Cavan,125000,2,"48 RAMPART VIEW, RAHARDRUM, VIRGINIA"
Cavan,Cavan,125000,2,"49 RAMPART VIEW, RAHARDRUM, VIRGINIA"
Cavan,Cavan,125000,3,"Mountain View, Lear, Bailieborough"
Cavan,Cavan,125000,3,"TONYFOYLE, BALLIEBOROUGH, COUNTY CAVAN"
Cavan,Cavan,130000,3,"20 ROCKLANDS, DRUMALEE, CAVAN"
Cavan,Cavan,145000,3,"AUGHAVAINS, LOCH GOWNA, CO CAVAN"
Cavan,Cavan,150000,3,"54 YEW PARK, VIRGINIA, COUNTY CAVAN"
Cavan,Cavan,175000,3,"21 Lakeland Close, Swellan, Cavan"
Cavan,Cavan,180000,3,"CAVAN RD, VIRGINIA, CAVAN"
Cavan,Cavan,192000,3,"CORLURGAN, VIRGINIA RD, BAILIEBOROUGH"
Cavan,Cavan,195000,4,"102 THE DRUMLINS, VIRGINIA, CAVAN"
Cavan,Cavan,195000,4,"COLLOPS, KINGSCOURT, CAVAN"
Cavan,Cavan,195000,4,"COLLOPS, KINGSCOURT, CAVAN"
Cavan,Cavan,215000,5,"BLACKHILLS, BAILEBOROUGH, CO. CAVAN"
Cavan,Cavan,235000,5,"IGELNOOK, 3 PROSPECT HILL, LISMACANIGAN LOWER"
Cavan,Cavan,240000,5,"48 CARRICKFERN, CAVAN, CAVAN"
Cavan,Cavan,272500,5,"FIA HOUSE, ROEBUCK, MOUNTNUGENT"
Cavan,Cavan,282000,5,"KILCULLY HOUSE, KILCULLY, BALLYJAMESDUFF"
Cavan,Cavan,295000,5,"CROSS, MULLAGH, CAVAN"
Clare,Clare,12000,1,"BALLYEA NORTH, INAGH, COUNTY CLARE"
Clare,Clare,22000,1,"CLOUNLAHEEN, MULLAGH, ENNIS"
Clare,Clare,25000,1,"CARROWREAGH WEST, KILMURRY MCMAHON CO CLARE"
Clare,Clare,51000,1,"KNOCKERRA, KILRUSH, CO CLARE"
Clare,Clare,55000,1,"10 LIOS ARD, TULLA RD, ENNIS"
