Date,Open,High,Low,Close,Volume
2018-07-26 16:00:00,194.3400,194.3600,194.1600,194.2100,1847481
2018-07-26 15:59:00,194.3850,194.4100,194.2900,194.3300,79546
2018-07-26 15:58:00,194.3500,194.4000,194.3100,194.3800,80808
2018-07-26 15:57:00,194.3500,194.3650,194.3000,194.3500,55092
2018-07-26 15:56:00,194.2600,194.3800,194.2600,194.3500,37200
2018-07-26 15:55:00,194.2900,194.3050,194.2450,194.2510,40803
2018-07-26 15:54:00,194.3900,194.4500,194.2800,194.2800,46153
2018-07-26 15:53:00,194.4247,194.4800,194.3800,194.3900,37089
2018-07-26 15:52:00,194.3400,194.4500,194.3100,194.4200,30031
2018-07-26 15:51:00,194.1300,194.3300,194.1200,194.3300,67830
2018-07-26 15:50:00,194.5650,194.5950,194.0000,194.1200,121628
2018-07-26 15:49:00,194.5600,194.5800,194.5200,194.5600,29528
2018-07-26 15:48:00,194.4846,194.5900,194.4801,194.5650,43305
2018-07-26 15:47:00,194.3900,194.4900,194.3900,194.4842,60524
2018-07-26 15:46:00,194.1700,194.4100,194.1700,194.3900,47153
2018-07-26 15:45:00,194.2100,194.2150,194.1600,194.1700,45703
2018-07-26 15:44:00,194.1759,194.2900,194.1750,194.2100,38133
2018-07-26 15:43:00,194.2800,194.2800,194.1600,194.1700,40456
2018-07-26 15:42:00,194.3400,194.3700,194.2700,194.2800,37335
2018-07-26 15:41:00,194.4375,194.4400,194.3000,194.3450,50648
2018-07-26 15:40:00,194.4001,194.4500,194.3900,194.4400,25076
2018-07-26 15:39:00,194.4400,194.4500,194.3700,194.4000,46282
2018-07-26 15:38:00,194.4200,194.4600,194.4100,194.4400,19125
2018-07-26 15:37:00,194.4500,194.4552,194.4200,194.4200,13132
2018-07-26 15:36:00,194.4850,194.4950,194.4400,194.4510,22443
2018-07-26 15:35:00,194.3900,194.5000,194.3900,194.4800,30247
2018-07-26 15:34:00,194.4500,194.4600,194.3900,194.3900,23507
2018-07-26 15:33:00,194.4701,194.5000,194.4400,194.4400,19413
2018-07-26 15:32:00,194.4700,194.5100,194.4650,194.4700,52022
2018-07-26 15:31:00,194.4928,194.5000,194.4500,194.4700,35108
2018-07-26 15:30:00,194.4900,194.5000,194.4800,194.4900,16361
2018-07-26 15:29:00,194.3650,194.5000,194.3650,194.4946,31796
2018-07-26 15:28:00,194.3500,194.3800,194.3100,194.3700,23771
2018-07-26 15:27:00,194.3700,194.3800,194.3500,194.3500,31563
2018-07-26 15:26:00,194.3550,194.3800,194.3350,194.3650,12692
2018-07-26 15:25:00,194.3400,194.4200,194.3400,194.3550,24639
2018-07-26 15:24:00,194.3200,194.3849,194.2900,194.3350,33989
2018-07-26 15:23:00,194.4050,194.4100,194.2800,194.3250,62104
2018-07-26 15:22:00,194.3900,194.4200,194.3700,194.4000,9451
2018-07-26 15:21:00,194.4000,194.4100,194.3600,194.4000,14075
2018-07-26 15:20:00,194.3700,194.4400,194.3650,194.4000,17028
2018-07-26 15:19:00,194.4100,194.4199,194.3600,194.3700,18865
2018-07-26 15:18:00,194.4250,194.4498,194.4100,194.4100,15433
2018-07-26 15:17:00,194.3700,194.4300,194.3700,194.4200,18991
2018-07-26 15:16:00,194.3450,194.4050,194.3200,194.3700,27865
2018-07-26 15:15:00,194.3300,194.3500,194.2900,194.3400,14985
2018-07-26 15:14:00,194.2840,194.3400,194.2500,194.3200,28460
2018-07-26 15:13:00,194.2900,194.3400,194.2700,194.2900,41758
2018-07-26 15:12:00,194.3508,194.3508,194.2900,194.2900,37147
2018-07-26 15:11:00,194.4450,194.4500,194.3500,194.3650,34523
2018-07-26 15:10:00,194.4700,194.4900,194.4300,194.4450,31156
2018-07-26 15:09:00,194.5100,194.5200,194.4700,194.4700,24073
2018-07-26 15:08:00,194.5300,194.5300,194.4800,194.5050,20221
2018-07-26 15:07:00,194.5000,194.5500,194.5000,194.5300,20418
2018-07-26 15:06:00,194.5000,194.5400,194.5000,194.5000,31659
2018-07-26 15:05:00,194.4700,194.5100,194.4600,194.5000,22967
2018-07-26 15:04:00,194.4000,194.4706,194.3900,194.4500,29180
2018-07-26 15:03:00,194.4900,194.5000,194.4000,194.4000,44780
2018-07-26 15:02:00,194.5750,194.5900,194.4500,194.4900,54192
