Date,Open,High,Low,Close,Volume
2018-07-26 16:00:00,114.7800,114.9100,114.7700,114.8400,231104
2018-07-26 15:59:00,114.8300,114.8400,114.7600,114.7600,79985
2018-07-26 15:58:00,114.7800,114.8300,114.7800,114.8225,39268
2018-07-26 15:57:00,114.7401,114.7800,114.7300,114.7800,55553
2018-07-26 15:56:00,114.7700,114.7700,114.7200,114.7450,37098
2018-07-26 15:55:00,114.7800,114.7850,114.7500,114.7700,26643
2018-07-26 15:54:00,114.7600,114.8100,114.7600,114.7900,16663
2018-07-26 15:53:00,114.7650,114.7900,114.7600,114.7700,19104
2018-07-26 15:52:00,114.7800,114.7800,114.7450,114.7700,19673
2018-07-26 15:51:00,114.7300,114.8000,114.7250,114.7750,22815
2018-07-26 15:50:00,114.8150,114.8200,114.7200,114.7300,28855
2018-07-26 15:49:00,114.7300,114.8100,114.7300,114.8100,39243
2018-07-26 15:48:00,114.7300,114.7500,114.6800,114.7300,48480
2018-07-26 15:47:00,114.6915,114.7500,114.6915,114.7300,28271
2018-07-26 15:46:00,114.6060,114.6900,114.6000,114.6900,54380
2018-07-26 15:45:00,114.7000,114.7000,114.6000,114.6000,35595
2018-07-26 15:44:00,114.7100,114.7200,114.7000,114.7099,14548
2018-07-26 15:43:00,114.7900,114.7900,114.7200,114.7200,19730
2018-07-26 15:42:00,114.8000,114.8350,114.7800,114.7900,28335
2018-07-26 15:41:00,114.8800,114.8800,114.8000,114.8000,17176
2018-07-26 15:40:00,114.8700,114.8800,114.8600,114.8800,13659
2018-07-26 15:39:00,114.9000,114.9100,114.8700,114.8700,9868
2018-07-26 15:38:00,114.9000,114.9200,114.8950,114.9050,10635
2018-07-26 15:37:00,114.9100,114.9100,114.8850,114.9000,13420
2018-07-26 15:36:00,114.9400,114.9400,114.9100,114.9141,14155
2018-07-26 15:35:00,114.9400,114.9500,114.9300,114.9400,17429
2018-07-26 15:34:00,114.9400,114.9500,114.9250,114.9400,7797
2018-07-26 15:33:00,114.9200,114.9400,114.9100,114.9300,5310
2018-07-26 15:32:00,114.9400,114.9600,114.9100,114.9200,19828
2018-07-26 15:31:00,114.8900,114.9500,114.8900,114.9300,8699
2018-07-26 15:30:00,114.9100,114.9100,114.8800,114.8900,4114
2018-07-26 15:29:00,114.8700,114.9200,114.8700,114.9190,46705
2018-07-26 15:28:00,114.8700,114.8700,114.8300,114.8600,17993
2018-07-26 15:27:00,114.8800,114.8900,114.8700,114.8700,12791
2018-07-26 15:26:00,114.8700,114.8800,114.8600,114.8800,7284
2018-07-26 15:25:00,114.8800,114.8900,114.8700,114.8750,11603
2018-07-26 15:24:00,114.8700,114.8952,114.8700,114.8800,10242
2018-07-26 15:23:00,114.9400,114.9400,114.8600,114.8700,22472
2018-07-26 15:22:00,114.9300,114.9422,114.9000,114.9422,10977
2018-07-26 15:21:00,114.9154,114.9500,114.9100,114.9300,18359
2018-07-26 15:20:00,114.8900,114.9199,114.8900,114.9152,5672
2018-07-26 15:19:00,114.9000,114.9000,114.8700,114.8900,9879
2018-07-26 15:18:00,114.9100,114.9450,114.8900,114.8950,12096
2018-07-26 15:17:00,114.9100,114.9100,114.8900,114.9000,7267
2018-07-26 15:16:00,114.9100,114.9200,114.8700,114.9100,15440
2018-07-26 15:15:00,114.9100,114.9200,114.8900,114.9100,10776
2018-07-26 15:14:00,114.8150,114.9100,114.8150,114.9000,15231
2018-07-26 15:13:00,114.8600,114.8700,114.8000,114.8200,30577
2018-07-26 15:12:00,114.8900,114.9000,114.8600,114.8600,21369
2018-07-26 15:11:00,114.9400,114.9400,114.8900,114.8950,13211
2018-07-26 15:10:00,114.9200,114.9700,114.9200,114.9400,9329
2018-07-26 15:09:00,114.9200,114.9300,114.8900,114.9300,9447
