Date,Open,High,Low,Close,Volume
2018-07-26 16:00:00,257.1800,257.2300,256.9500,257.0300,60432
2018-07-26 15:59:00,257.1700,257.1700,257.1000,257.1400,7883
2018-07-26 15:58:00,256.9800,257.1700,256.9600,257.1700,8845
2018-07-26 15:57:00,256.9100,257.0000,256.9000,256.9700,6508
2018-07-26 15:56:00,256.9500,256.9800,256.9000,256.9000,6845
2018-07-26 15:55:00,256.9100,256.9600,256.8700,256.9400,6954
2018-07-26 15:54:00,256.8800,256.9700,256.8800,256.9231,5512
2018-07-26 15:53:00,256.9500,256.9900,256.9000,256.9100,3339
2018-07-26 15:52:00,257.0000,257.0450,256.9500,256.9500,6850
2018-07-26 15:51:00,256.9200,257.0100,256.9100,257.0000,4800
2018-07-26 15:50:00,257.0250,257.0400,256.8700,256.9200,5108
2018-07-26 15:49:00,256.9800,257.1350,256.9800,257.0300,4829
2018-07-26 15:48:00,256.9900,257.0313,256.9700,257.0017,3238
2018-07-26 15:47:00,256.9400,256.9800,256.9300,256.9800,4034
2018-07-26 15:46:00,256.9400,256.9900,256.8900,256.9400,5929
2018-07-26 15:45:00,256.9700,256.9900,256.9400,256.9400,1831
2018-07-26 15:44:00,257.0200,257.0500,257.0000,257.0200,1400
2018-07-26 15:43:00,257.0500,257.1000,257.0100,257.0100,4599
2018-07-26 15:42:00,257.0200,257.0600,257.0100,257.0500,3513
2018-07-26 15:41:00,257.0800,257.0800,257.0100,257.0100,1900
2018-07-26 15:40:00,257.0700,257.0900,257.0000,257.0899,8737
2018-07-26 15:39:00,257.0800,257.0900,257.0600,257.0800,2046
2018-07-26 15:38:00,257.0800,257.1000,257.0800,257.0900,2115
2018-07-26 15:37:00,257.0300,257.1000,257.0300,257.1000,2544
2018-07-26 15:36:00,257.0800,257.0900,257.0500,257.0500,2612
2018-07-26 15:35:00,257.0900,257.1000,257.0800,257.0800,2951
2018-07-26 15:34:00,257.0800,257.1000,257.0700,257.0700,2910
2018-07-26 15:33:00,257.1100,257.1135,257.0800,257.0800,2573
2018-07-26 15:32:00,257.0700,257.1100,257.0700,257.0900,1227
2018-07-26 15:31:00,257.0800,257.0900,257.0600,257.0700,2600
2018-07-26 15:30:00,257.0940,257.1400,257.0700,257.0900,1904
2018-07-26 15:29:00,257.0300,257.0800,257.0200,257.0800,2462
2018-07-26 15:28:00,257.0800,257.0800,256.9300,257.0000,17798
2018-07-26 15:27:00,257.0800,257.1100,257.0500,257.0659,4636
2018-07-26 15:26:00,257.0900,257.1000,257.0800,257.0900,1793
2018-07-26 15:25:00,257.0700,257.1200,257.0700,257.0700,7676
2018-07-26 15:24:00,257.0400,257.0900,257.0400,257.0900,700
2018-07-26 15:23:00,257.1200,257.1200,256.9600,257.0600,9595
2018-07-26 15:22:00,257.0600,257.1500,257.0300,257.1400,2600
2018-07-26 15:21:00,257.0600,257.0900,257.0600,257.0600,1717
2018-07-26 15:20:00,257.1000,257.1400,257.0500,257.0600,2434
2018-07-26 15:19:00,257.1700,257.1700,257.0800,257.0800,1914
2018-07-26 15:18:00,257.1700,257.1800,257.1300,257.1500,2184
2018-07-26 15:17:00,257.1000,257.1400,257.0400,257.1400,4200
2018-07-26 15:16:00,257.1800,257.2899,257.0600,257.1400,23625
2018-07-26 15:15:00,257.1500,257.1800,257.1500,257.1800,700
2018-07-26 15:14:00,257.1500,257.1900,257.1200,257.1700,3130
2018-07-26 15:13:00,257.1400,257.1700,257.1200,257.1600,2940
2018-07-26 15:12:00,257.2500,257.2500,257.1200,257.1700,1842
2018-07-26 15:11:00,257.3150,257.3500,257.2300,257.2900,6175
2018-07-26 15:10:00,257.2300,257.3700,257.2300,257.3200,5257
2018-07-26 15:09:00,257.1000,257.2400,257.0900,257.2400,6353
2018-07-26 15:08:00,256.9300,257.0800,256.9200,257.0800,14517
2018-07-26 15:07:00,256.9500,256.9700,256.9200,256.9400,2829
2018-07-26 15:06:00,256.9700,256.9899,256.9300,256.9400,3918
2018-07-26 15:05:00,256.9700,256.9750,256.8800,256.9700,2900
2018-07-26 15:04:00,256.9200,256.9900,256.9100,256.9800,3738
2018-07-26 15:03:00,257.0000,257.0000,256.9300,256.9800,2800
2018-07-26 15:02:00,257.0400,257.0500,256.9600,257.0100,2126
2018-07-26 15:01:00,257.1200,257.1300,257.0600,257.0700,2400
2018-07-26 15:00:00,257.1600,257.1700,257.1100,257.1500,2005
2018-07-26 14:59:00,257.1250,257.1900,257.1250,257.1900,1617
2018-07-26 14:58:00,257.1400,257.1600,257.1100,257.1100,2360
2018-07-26 14:57:00,257.0900,257.1300,257.0900,257.0900,1100
2018-07-26 14:56:00,257.0483,257.0700,257.0200,257.0200,743
2018-07-26 14:55:00,257.0300,257.0300,257.0300,257.0300,100
2018-07-26 14:54:00,256.9909,257.0900,256.9909,257.0500,1767
2018-07-26 14:53:00,256.9700,257.0400,256.9550,257.0400,1299
2018-07-26 14:52:00,256.9900,257.0400,256.9500,256.9800,1800
2018-07-26 14:51:00,256.9749,257.0000,256.9400,256.9400,1600
2018-07-26 14:50:00,257.0100,257.0300,256.9500,256.9500,1675
2018-07-26 14:49:00,257.0100,257.0600,257.0100,257.0600,1641
2018-07-26 14:48:00,257.0200,257.0200,256.9908,257.0100,399
2018-07-26 14:47:00,257.0100,257.0600,257.0100,257.0300,1203
2018-07-26 14:46:00,256.9500,257.0600,256.9500,257.0600,1478
2018-07-26 14:45:00,257.0900,257.1100,256.9400,256.9500,3969
2018-07-26 14:44:00,257.0890,257.0900,257.0489,257.0900,2395
2018-07-26 14:43:00,257.1286,257.1286,257.0400,257.0400,1320
2018-07-26 14:42:00,257.0900,257.1800,257.0900,257.1100,600
2018-07-26 14:41:00,257.1000,257.1200,257.1000,257.1200,400
2018-07-26 14:40:00,257.1000,257.1200,257.0000,257.1200,1100
2018-07-26 14:39:00,257.0600,257.1300,257.0210,257.1300,600
2018-07-26 14:38:00,257.1100,257.1600,257.0600,257.1100,3949
2018-07-26 14:37:00,257.0700,257.1000,257.0600,257.1000,600
2018-07-26 14:36:00,257.0800,257.1400,257.0800,257.0800,300
2018-07-26 14:35:00,257.1000,257.1600,257.0500,257.0800,6881
2018-07-26 14:34:00,257.1500,257.1600,257.0900,257.0900,1400
2018-07-26 14:33:00,257.1300,257.1500,257.0900,257.1300,5729
2018-07-26 14:32:00,257.1600,257.1600,257.0900,257.1150,2210
2018-07-26 14:31:00,257.0900,257.1650,257.0800,257.1100,3999
2018-07-26 14:30:00,257.1000,257.1750,257.0900,257.1200,4305
2018-07-26 14:29:00,257.1200,257.1400,257.0900,257.0900,2200
2018-07-26 14:28:00,257.0900,257.1000,257.0900,257.0983,300
2018-07-26 14:27:00,257.0700,257.1500,257.0700,257.0800,2534
2018-07-26 14:26:00,257.1200,257.1350,257.0700,257.0700,1810
2018-07-26 14:25:00,257.0800,257.1600,257.0800,257.1100,3000
2018-07-26 14:24:00,257.0500,257.1950,257.0500,257.1150,1760
2018-07-26 14:23:00,257.1000,257.1700,257.0400,257.0500,7200
2018-07-26 14:22:00,257.0800,257.1200,257.0800,257.1000,3055
2018-07-26 14:21:00,257.0300,257.0300,257.0200,257.0200,300
2018-07-26 14:20:00,257.0200,257.0790,257.0200,257.0206,636
2018-07-26 14:19:00,257.0400,257.0900,256.9900,257.0900,2327
2018-07-26 14:18:00,257.0800,257.0800,257.0300,257.0300,500
2018-07-26 14:17:00,257.0900,257.1100,257.0800,257.0848,900
2018-07-26 14:16:00,257.1400,257.1400,257.0500,257.0700,5581
2018-07-26 14:15:00,257.1400,257.1800,257.1300,257.1400,1300
2018-07-26 14:14:00,257.1100,257.1610,257.0800,257.0993,2271
2018-07-26 14:13:00,257.1700,257.1700,257.0460,257.0780,855
2018-07-26 14:12:00,257.0900,257.1500,257.0792,257.1500,995
2018-07-26 14:11:00,257.0600,257.1200,257.0400,257.1200,1690
2018-07-26 14:10:00,256.9600,257.0600,256.9600,257.0300,1238
2018-07-26 14:09:00,256.9500,257.0300,256.9300,256.9900,1400
2018-07-26 14:08:00,256.9600,257.0099,256.9400,256.9600,1229
2018-07-26 14:07:00,257.1699,257.1699,256.9500,256.9500,3475
2018-07-26 14:06:00,257.0000,257.1000,257.0000,257.1000,1100
2018-07-26 14:05:00,257.0300,257.0300,256.9400,257.0000,2806
2018-07-26 14:04:00,257.0400,257.1200,257.0200,257.0550,5095
2018-07-26 14:03:00,257.0500,257.0800,257.0000,257.0000,2100
2018-07-26 14:02:00,257.1300,257.1500,257.0600,257.0600,2151
2018-07-26 14:01:00,257.1100,257.1364,257.1000,257.1300,1462
2018-07-26 14:00:00,257.1500,257.1700,257.1500,257.1500,700
2018-07-26 13:59:00,257.1300,257.1946,257.1100,257.1946,865
2018-07-26 13:58:00,257.1700,257.2167,257.1500,257.1900,415
2018-07-26 13:57:00,257.1404,257.2100,257.1100,257.1900,1369
2018-07-26 13:56:00,257.1400,257.1400,257.1100,257.1300,1138
